,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
83,open,284,1235,34,macd,220,168,6,2,0.05,2639,412,145,174,173,183,13,142,31,211,72,39,2,733,745,381,229,180,241,135,284,150,866,871,438,432,228,528,582,930,337,1194,1920,39,239,47,60,130,16,724,20,49,0.86,0.09,15,12,0.99,0.97,0.8,0.97,False,True,False,False,False,True,True,False,False,True,True,True,False,True,False,True,False,-1,True,False
84,HLCC/4,495,790,8,macd,117,19,6,33,0.75,1457,421,190,101,483,114,145,457,94,163,603,130,7,641,875,525,292,38,238,200,136,51,646,87,438,643,51,77,188,227,287,1028,1139,44,620,9,89,112,30,467,35,10,0.13,0.8,45,36,0.9,0.86,0.99,0.92,True,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,-1,True,False
85,HLCC/4,466,1051,6,macd,14,18,6,45,0.71,2297,58,215,171,761,152,12,400,236,58,417,113,167,244,927,798,313,94,226,194,185,158,158,915,428,700,247,924,720,819,26,1314,712,14,134,17,71,199,4,816,36,42,0.59,0.07,12,26,0.88,0.8,0.91,0.99,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,-1,True,False
86,close,47,138,18,macds,88,168,6,1,0.14,1029,301,115,189,363,205,92,717,214,230,593,139,36,468,772,254,221,68,918,487,412,384,980,193,732,707,965,793,314,388,265,748,2345,11,423,18,66,54,7,779,44,33,0.71,0.24,22,20,0.96,0.81,0.98,0.94,True,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False,-1,True,False
87,OHLC/4,191,1468,16,macdh,15,138,6,37,0.39,2888,991,160,136,460,126,130,181,126,205,923,55,220,161,991,990,393,39,237,156,118,17,228,684,205,355,924,849,549,277,112,700,1770,34,847,17,70,158,13,893,37,6,0.19,0.64,5,42,0.95,0.84,0.87,0.83,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,True,-1,True,False
88,close,201,1067,49,macdh,5,167,6,22,0.35,2287,661,132,108,287,100,250,328,42,77,828,220,84,745,996,45,213,79,94,611,419,197,980,717,445,764,769,228,935,527,401,678,657,38,710,26,100,174,36,686,6,33,0.6,0.42,4,4,0.88,0.82,0.91,0.84,True,True,False,False,False,False,True,False,False,True,True,True,False,True,False,False,True,-1,True,False
89,HLC/3,750,1410,35,macdh,137,30,6,23,0.71,340,380,36,90,325,178,208,368,9,21,935,89,240,385,641,797,202,109,241,198,205,101,853,909,836,609,463,695,921,7,497,1257,2318,23,6,19,78,79,38,621,45,3,0.85,0.33,3,50,0.84,0.91,0.82,0.96,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,-1,True,False
90,open,529,1230,8,macds,51,213,6,2,0.92,1759,377,22,121,487,77,156,405,130,53,473,189,4,827,138,759,309,159,846,627,181,11,489,930,654,249,76,616,871,274,275,988,907,46,3,23,38,13,31,219,45,33,0.8,0.81,12,5,0.8,0.98,0.97,0.92,True,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,-1,True,False
91,OHLC/4,36,49,20,macds,191,146,6,36,0.26,824,996,87,18,703,74,203,997,194,138,679,152,153,166,899,816,468,231,907,253,411,341,524,709,867,629,84,472,764,151,283,832,439,6,850,4,89,207,16,878,1,25,0.65,0.62,43,14,0.88,0.88,0.82,0.97,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,-1,True,False
92,OHLC/4,732,1173,17,macd,131,250,6,49,0.83,1633,411,155,102,536,210,205,729,231,88,145,234,204,809,410,377,487,421,233,168,405,70,253,885,874,455,923,852,145,473,51,1257,129,7,418,93,893,164,38,733,47,41,0.6,0.3,39,36,0.93,0.9,0.83,0.97,True,False,True,True,True,False,False,True,True,False,True,True,False,True,False,False,True,-1,True,False
93,high,657,1133,15,macdh,36,31,6,3,0.08,328,26,43,212,621,247,198,22,105,151,255,119,99,424,397,197,427,320,679,427,34,28,855,127,765,232,812,974,571,433,39,182,21,32,653,246,452,148,16,74,40,41,0.14,0.25,12,17,0.92,0.81,0.88,0.98,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,-1,True,False
94,HLCC/4,618,963,8,macdh,4,140,6,17,0.08,1616,828,7,129,393,180,162,175,87,197,391,116,38,872,798,783,339,148,717,509,290,87,562,596,873,945,630,596,32,852,321,742,1816,11,439,8,35,40,23,319,15,14,0.54,0.29,27,35,0.87,0.92,0.82,0.95,True,True,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,-1,True,False
95,HL/2,481,766,15,macdh,166,20,6,24,0.68,2160,615,70,155,602,160,84,314,153,180,288,69,170,315,440,288,243,149,152,294,241,19,116,934,664,656,327,688,215,924,73,766,1715,11,324,50,68,37,50,532,20,32,0.27,0.51,37,28,0.93,0.88,0.89,0.8,False,True,True,False,True,True,False,True,True,False,False,True,True,True,False,False,True,-1,True,False
96,HLC/3,408,771,32,macdh,90,101,6,15,0.58,22,430,111,97,434,104,27,668,226,208,690,215,27,120,508,680,343,93,227,852,266,185,576,481,25,534,12,786,47,922,7,367,2471,37,504,500,847,68,19,311,15,20,0.53,0.55,13,44,0.85,0.89,0.91,0.83,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,False,False,-1,True,False
97,HLCC/4,771,889,15,macdh,80,96,6,17,0.5,870,393,206,27,32,201,40,228,154,27,631,167,47,610,868,292,204,113,37,3,145,137,836,129,33,684,214,508,334,991,473,788,1161,26,704,42,66,183,30,792,1,1,0.98,0.78,9,33,0.91,0.91,0.85,0.98,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,-1,True,False
98,high,569,648,37,macd,215,218,6,38,0.79,1170,83,206,80,69,110,144,319,58,57,336,18,117,811,762,653,330,215,489,422,418,152,306,443,271,938,834,333,396,983,113,1022,1794,50,946,40,66,158,38,51,3,35,0.93,0.15,44,45,0.88,0.92,0.93,0.92,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,-1,True,False
99,open,155,992,35,macdh,183,109,6,7,0.63,1193,845,180,115,936,185,130,792,21,7,724,196,127,88,878,225,193,19,170,692,274,83,640,910,58,705,984,277,273,863,192,662,2258,8,708,8,52,44,25,445,37,18,0.17,0.47,46,13,0.91,0.9,0.82,0.82,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,-1,True,False
100,HL/2,731,1324,42,macd,162,54,6,28,0.73,1122,583,226,28,522,88,192,409,127,248,408,47,113,8,841,472,133,64,157,623,476,238,215,627,378,459,129,81,353,687,308,499,959,32,290,201,513,17,47,48,15,19,0.7,0.49,38,32,0.83,0.94,0.96,0.83,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,-1,True,False
101,close,18,1098,13,macds,239,123,6,32,0.97,371,108,114,200,728,123,65,20,216,50,365,125,160,518,769,414,395,313,63,61,207,34,571,714,745,499,66,4,757,97,301,1098,565,32,314,21,67,76,16,729,18,19,0.04,0.14,26,11,0.92,0.91,0.82,0.92,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,-1,True,False
102,low,397,783,25,macds,192,94,6,9,0.02,784,520,39,116,803,124,166,470,80,35,384,19,199,161,926,603,334,250,644,155,266,40,479,155,424,380,346,477,441,889,481,1150,450,35,30,10,22,54,42,784,1,49,0.53,0.56,11,3,0.96,0.91,0.83,0.96,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,False,-1,True,False
103,HLC/3,771,841,10,macdh,142,94,6,29,0.48,645,567,93,67,302,170,201,764,75,240,324,133,176,153,632,390,297,25,918,522,460,134,122,493,688,221,662,493,673,938,171,1231,142,40,836,16,63,182,36,745,4,45,0.81,0.46,15,35,0.8,0.99,0.93,0.84,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,-1,True,False
104,HLCC/4,598,1051,39,macd,27,91,6,5,0.82,672,567,204,139,462,34,62,264,174,69,230,12,248,138,759,218,367,131,764,281,63,31,831,521,686,847,572,756,697,655,331,748,1955,3,705,31,98,62,1,895,9,9,0.96,0.44,23,48,0.86,0.88,0.93,0.93,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,-1,True,False
105,HLCC/4,622,827,33,macds,139,96,6,33,0.44,1687,306,95,238,295,53,100,628,63,122,315,57,86,601,550,603,382,40,210,203,349,98,216,488,883,507,956,829,731,345,32,1018,1458,24,545,26,103,92,21,255,37,50,0.83,0.19,42,23,0.85,0.81,0.82,0.99,True,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,-1,True,False
