,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
1227,HLCC/4,138,178,41,macdh,213,52,2,11,0.56,615,159,214,42,631,123,169,364,26,184,275,187,84,849,990,801,409,5,382,213,250,220,622,749,974,387,247,613,57,67,101,157,17,42,357,3,85,94,18,979,10,3,0.38,0.55,-1.08,25.52,0.33,19.89,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,22.45349905756174,True,False
1228,HLC/3,78,193,11,macdh,88,187,6,10,0.75,1688,568,59,194,37,99,70,766,112,82,393,247,26,935,608,533,440,93,859,590,452,175,209,416,547,893,459,388,610,840,22,106,405,38,445,42,66,117,23,25,4,7,0.28,0.61,0.89,0.91,0.97,0.96,True,False,True,False,False,True,False,True,True,True,False,True,False,True,False,True,True,32.23241642216136,True,False
1229,OHLC/4,77,127,20,macds,166,148,6,4,0.83,1351,623,80,9,552,207,4,748,199,9,78,79,74,765,804,699,127,37,728,428,425,360,345,576,230,973,190,94,594,755,59,179,165,18,947,20,66,52,34,999,26,41,0.39,0.77,8.5,17.83,5.3,13.04,True,True,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,22.3856154778986,True,False
1230,close,22,219,16,macds,7,229,6,3,0.71,1887,771,227,39,955,5,199,496,117,23,201,168,48,228,785,130,428,82,394,309,134,16,889,737,261,371,547,69,93,668,72,228,95,40,551,21,29,16,16,146,23,11,0.29,0.66,0.95,0.8,0.93,0.97,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,3.590931216019713,True,False
1231,high,73,121,25,macd,59,128,6,49,0.05,2529,613,23,183,507,204,167,242,231,104,681,27,42,533,956,355,195,190,202,147,423,38,16,763,738,731,458,612,439,374,80,211,189,37,630,13,61,44,28,444,43,43,0.14,0.96,12.023807341532471,20.43067312081602,11.062163454890689,25.03140682999456,True,True,True,True,False,True,True,False,False,True,True,False,True,False,True,True,True,17.429077774590816,True,False
1232,OHLC/4,18,263,48,macdh,37,130,2,27,0.28,1859,816,69,131,852,52,242,442,87,7,189,212,101,838,539,985,457,95,671,226,433,56,462,639,749,496,106,207,231,210,24,230,372,42,288,32,44,59,47,35,9,13,0.2,0.24,9.513450703991296,16.04072079635086,10.1718158942684,18.841414796459524,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,3.057548956303608,True,False
1233,HL/2,21,231,20,macd,170,194,2,11,0.7,1187,891,34,165,462,108,104,116,32,177,136,118,192,484,688,372,406,49,598,416,332,169,1000,40,458,867,631,746,999,248,33,47,416,3,1000,23,26,136,48,29,14,20,0.76,0.23,8.88,18.23,6.83,13.77,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,True,19.64377633065076,True,False
1234,close,41,252,13,macds,93,112,6,17,0.13,2332,695,83,206,912,129,115,91,165,79,144,174,234,856,241,796,287,48,458,457,374,306,101,20,318,132,878,895,684,817,4,102,547,49,239,31,101,26,23,625,19,26,0.48,0.51,8.97,25.35,0.72,19.04,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,7.954800003182617,True,False
1235,close,69,277,28,macdh,197,230,5,14,0.68,1550,369,4,28,593,87,195,517,13,72,593,20,160,748,654,380,174,150,808,740,288,46,496,55,915,952,225,819,412,446,60,292,151,5,517,22,92,68,32,164,27,35,0.13,0.38,0.8,0.94,0.92,0.83,True,True,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,10.83415797136456,True,False
1236,OHLC/4,120,211,41,macdh,123,136,6,24,0.15,2876,223,50,164,763,120,168,538,204,223,905,152,133,617,754,675,468,244,884,584,228,118,809,841,369,201,776,360,257,837,102,247,590,44,643,36,78,73,42,374,4,39,0.48,0.71,12.33,12.51,9.65,20.5,False,True,False,True,False,True,True,True,False,False,True,True,True,False,True,False,True,14.59182786037074,True,False
