,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
10,HLC/3,658,1469,9,macd,74,172,6,28,0.92,2510,347,72,184,267,31,214,111,218,28,238,213,193,773,811,597,360,279,136,749,178,61,944,885,980,758,642,4,483,584,49,1113,797,42,970,47,67,22,10,122,37,41,0.57,0.99,16.19,19.84,19.55,19.81,True,True,False,False,True,True,False,True,False,True,True,True,False,True,True,False,True,-1.0,True,False
11,HL/2,407,694,6,macdh,240,78,6,36,0.62,783,948,32,27,339,77,136,148,53,42,693,52,76,659,639,304,242,168,94,499,235,66,761,286,727,583,709,569,777,844,193,681,2500,16,352,3,71,14,2,540,11,33,0.05,0.92,15.08,16.47,19.12,19.49,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,-1.0,True,False
12,low,32,431,9,macds,213,226,6,33,0.54,2977,38,72,93,792,172,156,615,239,83,279,14,187,311,897,765,199,189,772,551,159,98,949,29,254,54,535,790,70,315,256,1114,1253,41,813,206,560,127,48,822,50,39,0.09,0.12,16.45,17.06,16.69,17.92,True,True,True,False,False,True,False,False,False,True,True,True,True,True,False,False,True,-1.0,True,False
13,high,172,1178,5,macds,121,60,6,9,0.15,2180,291,249,24,763,226,12,788,44,136,397,150,85,196,487,471,374,124,864,693,160,67,542,588,678,493,908,243,658,179,176,1275,712,32,68,6,68,183,5,402,4,50,0.33,0.14,19.34,16.1,17.22,15.09,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,-1.0,True,False
14,close,328,1012,23,macd,96,33,6,47,0.69,1153,568,111,192,751,198,76,757,66,151,731,75,191,185,780,758,377,11,134,203,98,60,121,196,812,6,217,379,247,161,232,385,579,6,107,37,105,204,20,710,28,41,0.06,0.5,18.64,19.34,19.9,16.13,False,False,True,True,False,True,True,True,False,False,False,False,False,False,True,True,True,-1.0,True,False
15,low,25,734,25,macds,47,87,6,46,0.93,1869,114,232,171,707,53,148,76,196,229,821,245,207,534,778,162,81,65,234,858,429,14,152,218,582,331,659,692,659,517,426,1086,60,3,259,42,65,157,13,485,11,18,0.68,0.8,19.21,18.39,19.25,17.31,True,False,True,True,True,True,False,True,False,True,False,False,False,False,True,False,True,-1.0,True,False
16,low,240,457,42,macds,136,95,6,5,0.63,1145,680,5,208,954,226,132,29,183,4,884,173,154,446,949,519,162,73,1000,687,60,56,138,917,857,354,781,942,380,124,89,1039,962,10,733,400,511,194,24,151,47,25,0.76,0.09,15.34,19.72,16.89,18.79,False,True,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,-1.0,True,False
17,HL/2,112,546,4,macds,2,243,6,25,0.55,213,56,121,192,638,172,85,158,190,236,430,156,214,875,592,704,261,148,957,349,158,101,976,123,775,240,702,71,217,702,310,1343,676,32,838,26,35,210,30,383,9,29,0.62,0.09,16.84,18.41,16.25,17.25,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True,-1.0,True,False
18,HLCC/4,790,1091,45,macdh,159,85,6,3,0.7,2133,425,166,148,773,143,62,888,158,59,402,118,42,399,830,517,230,19,678,306,163,37,47,427,273,839,625,902,426,419,276,1161,1835,50,301,181,635,56,31,23,31,6,0.09,0.89,19.41,16.86,18.26,19.36,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,False,-1.0,True,False
19,HL/2,439,1461,23,macdh,138,178,6,10,0.79,1697,728,106,191,149,222,57,525,149,147,824,173,105,427,508,247,148,49,222,432,389,152,656,789,149,694,710,449,601,174,120,759,366,18,524,226,1285,93,18,535,11,41,0.81,0.53,19.85,15.4,15.95,15.74,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,-1.0,True,False
