,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
56,open,501,1464,16,macd,135,26,6,45,0.86,1026,380,149,126,523,194,232,222,44,113,29,35,249,191,613,227,200,158,975,591,361,38,15,715,614,940,191,756,292,61,68,1286,2350,23,557,7,49,5,32,582,40,20,0.12,0.14,25,1,0.96,0.95,0.85,0.98,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,-1,True,False
57,HLCC/4,142,442,13,macdh,153,228,6,47,0.71,1883,664,177,15,73,180,42,171,221,82,219,241,98,757,833,282,461,10,937,553,454,105,997,182,804,273,823,875,640,131,475,544,343,10,238,34,77,40,15,401,13,40,0.83,0.47,16,38,0.91,0.99,0.87,0.84,True,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False,-1,True,False
58,HLCC/4,374,797,42,macdh,218,217,6,35,0.32,594,945,212,228,867,95,57,64,207,77,845,177,9,840,932,430,417,406,124,791,413,61,879,702,347,26,526,377,481,357,231,1135,347,29,452,93,463,80,6,33,2,12,0.27,0.59,19,23,0.82,0.8,0.92,0.98,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,-1,True,False
59,OHLC/4,309,536,4,macds,165,73,6,18,0.9,924,953,121,208,539,97,8,986,96,197,843,188,162,425,515,271,264,62,166,312,142,56,910,951,395,893,390,374,854,1000,240,394,559,3,811,6,46,113,39,129,42,20,0.74,0.98,45,22,0.93,0.85,0.8,0.86,False,False,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,-1,True,False
60,HL/2,602,695,46,macdh,167,119,6,40,0.96,2899,640,175,20,61,248,5,772,76,63,292,118,151,659,971,552,117,44,64,894,473,58,849,984,709,490,500,266,177,960,250,447,1762,37,877,28,31,32,18,263,2,25,0.47,0.17,37,31,0.99,0.83,0.91,0.96,True,False,False,True,True,True,False,False,False,False,True,True,True,True,False,True,False,-1,True,False
61,close,310,782,45,macds,158,163,6,30,0.06,234,991,13,197,654,230,78,922,147,32,262,185,220,795,939,532,200,131,197,65,255,99,446,79,519,935,897,789,465,223,281,846,2487,8,508,33,804,53,26,120,15,3,0.54,0.69,48,40,0.83,0.96,0.95,0.97,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,True,False,-1,True,False
62,HLCC/4,25,1283,21,macds,227,157,6,24,0.29,1425,245,43,77,351,157,165,902,217,109,519,6,108,688,988,710,331,309,723,356,225,138,290,624,252,466,27,604,487,98,116,330,1302,49,813,15,48,63,11,583,31,24,0.74,0.87,45,48,0.96,0.86,0.96,0.83,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,-1,True,False
63,open,250,388,40,macds,99,62,6,6,0.65,2560,277,38,90,901,179,183,701,237,6,362,189,29,86,800,788,403,362,597,591,209,200,111,40,136,493,402,43,940,233,33,566,1042,17,64,30,88,40,48,451,26,21,0.9,0.99,25,16,0.81,0.95,0.98,0.96,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,-1,True,False
64,close,228,346,31,macds,189,24,6,7,0.6,2520,503,182,231,778,28,100,341,227,68,645,177,98,576,754,742,305,105,973,328,178,41,444,824,931,106,78,935,415,710,333,569,990,2,574,396,992,195,19,62,13,32,0.65,0.83,39,8,0.81,0.82,0.96,0.87,True,True,True,False,True,False,False,True,True,False,True,False,False,True,True,True,True,-1,True,False
65,HLCC/4,317,778,14,macdh,139,31,6,30,0.8,1604,642,102,56,981,232,22,878,127,153,424,229,72,48,617,347,264,136,732,506,348,74,783,916,410,329,327,898,809,634,197,417,231,49,499,6,7,157,29,378,38,15,0.62,0.95,36,48,0.96,0.86,0.9,0.81,False,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,True,-1,True,False
