,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
130,LTCUSD_i,195.15,194.0,193.68,195.28,194.48000000000002,194.32000000000002,194.24,194.5275,11660,2021-03-29 22:00:00
131,LTCUSD_i,194.0,193.93,193.5,194.3,193.9,193.91,193.91500000000002,193.9325,15480,2021-03-29 23:00:00
132,LTCUSD_i,194.15,194.82,193.83,194.91,194.37,194.51999999999998,194.59499999999997,194.42749999999998,9380,2021-03-30 01:00:00
133,LTCUSD_i,194.82,193.5,192.78,194.82,193.8,193.70000000000002,193.65,193.98000000000002,12280,2021-03-30 02:00:00
134,LTCUSD_i,193.51,194.44,193.19,195.66,194.425,194.42999999999998,194.4325,194.2,20750,2021-03-30 03:00:00
135,LTCUSD_i,194.44,191.26,190.5,194.44,192.47,192.0666666666667,191.865,192.66000000000003,20900,2021-03-30 04:00:00
136,LTCUSD_i,191.28,190.82,190.26,192.11,191.185,191.06333333333336,191.0025,191.1175,23410,2021-03-30 05:00:00
137,LTCUSD_i,190.82,190.79,190.14,191.39,190.765,190.7733333333333,190.77749999999997,190.78499999999997,16770,2021-03-30 06:00:00
138,LTCUSD_i,190.79,191.39,190.26,192.14,191.2,191.26333333333332,191.295,191.14499999999998,17610,2021-03-30 07:00:00
139,LTCUSD_i,191.39,190.95,190.19,191.59,190.89,190.91,190.92000000000002,191.03,14640,2021-03-30 08:00:00
140,LTCUSD_i,190.96,191.73,190.25,191.77,191.01,191.25,191.37,191.1775,17240,2021-03-30 09:00:00
141,LTCUSD_i,191.73,192.41,190.94,192.48,191.70999999999998,191.9433333333333,192.05999999999997,191.89,15980,2021-03-30 10:00:00
142,LTCUSD_i,192.41,192.83,191.2,193.24,192.22,192.42333333333332,192.525,192.42,21550,2021-03-30 11:00:00
143,LTCUSD_i,192.83,195.89,192.06,196.06,194.06,194.67,194.975,194.21,25700,2021-03-30 12:00:00
144,LTCUSD_i,195.89,196.87,195.69,197.67,196.68,196.74333333333334,196.775,196.53,23570,2021-03-30 13:00:00
145,LTCUSD_i,196.87,199.7,196.87,199.8,198.335,198.79,199.01749999999998,198.31,27700,2021-03-30 14:00:00
146,LTCUSD_i,199.71,197.9,197.69,200.09,198.89,198.55999999999997,198.39499999999998,198.8475,21100,2021-03-30 15:00:00
147,LTCUSD_i,197.88,196.29,195.96,198.78,197.37,197.01,196.82999999999998,197.2275,24350,2021-03-30 16:00:00
148,LTCUSD_i,196.3,196.96,195.45,197.57,196.51,196.66,196.735,196.57,16090,2021-03-30 17:00:00
149,LTCUSD_i,196.96,195.77,195.76,198.37,197.065,196.63333333333333,196.4175,196.715,20370,2021-03-30 18:00:00
150,LTCUSD_i,195.77,196.59,195.74,197.03,196.385,196.45333333333335,196.4875,196.2825,20060,2021-03-30 19:00:00
151,LTCUSD_i,196.59,196.19,195.94,197.41,196.675,196.51333333333332,196.4325,196.5325,10940,2021-03-30 20:00:00
152,LTCUSD_i,196.19,196.2,196.01,197.27,196.64,196.49333333333334,196.42000000000002,196.41750000000002,14570,2021-03-30 21:00:00
153,LTCUSD_i,196.2,196.41,195.75,196.53,196.14,196.23,196.27499999999998,196.22249999999997,9630,2021-03-30 22:00:00
