,AUDUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1214,AUDUSD_i,0.78069,0.77987,0.77956,0.78085,0.780205,0.7800933333333333,0.7800374999999999,0.7802425,4679,2021-03-03 19:00:00
1215,AUDUSD_i,0.77985,0.7799,0.77963,0.78102,0.780325,0.7801833333333335,0.7801125000000001,0.7801000000000001,3786,2021-03-03 20:00:00
1216,AUDUSD_i,0.77988,0.77918,0.77846,0.77992,0.77919,0.7791866666666666,0.779185,0.7793599999999999,4064,2021-03-03 21:00:00
1217,AUDUSD_i,0.77918,0.77826,0.77817,0.7795,0.7788349999999999,0.7786433333333332,0.7785475,0.7787774999999999,4477,2021-03-03 22:00:00
1218,AUDUSD_i,0.77826,0.77726,0.77719,0.77868,0.777935,0.77771,0.7775975,0.7778475,1385,2021-03-03 23:00:00
1219,AUDUSD_i,0.7772,0.77721,0.7769,0.77851,0.7777050000000001,0.7775400000000001,0.7774575000000001,0.7774550000000001,765,2021-03-04 00:00:00
1220,AUDUSD_i,0.77721,0.7752,0.77517,0.77775,0.77646,0.7760400000000001,0.77583,0.7763325000000001,2845,2021-03-04 01:00:00
1221,AUDUSD_i,0.7752,0.77805,0.7752,0.7782,0.7767,0.7771499999999999,0.7773749999999999,0.7766624999999999,3449,2021-03-04 02:00:00
1222,AUDUSD_i,0.77804,0.77879,0.77735,0.77881,0.77808,0.7783166666666667,0.778435,0.7782475,4175,2021-03-04 03:00:00
1223,AUDUSD_i,0.77878,0.77882,0.77796,0.7791,0.7785299999999999,0.7786266666666667,0.778675,0.7786649999999999,3075,2021-03-04 04:00:00
1224,AUDUSD_i,0.77881,0.77818,0.77808,0.77911,0.7785949999999999,0.7784566666666666,0.7783874999999999,0.7785449999999999,3047,2021-03-04 05:00:00
1225,AUDUSD_i,0.77818,0.77919,0.77725,0.77919,0.77822,0.7785433333333334,0.778705,0.7784525,3059,2021-03-04 06:00:00
1226,AUDUSD_i,0.77922,0.77977,0.77906,0.7806,0.77983,0.77981,0.7798,0.7796625,3406,2021-03-04 07:00:00
1227,AUDUSD_i,0.77977,0.78075,0.77936,0.78089,0.780125,0.7803333333333334,0.7804375000000001,0.7801925000000001,3043,2021-03-04 08:00:00
1228,AUDUSD_i,0.78075,0.7801,0.77989,0.78142,0.780655,0.7804699999999999,0.7803775,0.78054,3638,2021-03-04 09:00:00
1229,AUDUSD_i,0.7801,0.77998,0.77925,0.78088,0.780065,0.7800366666666667,0.7800225000000001,0.7800525,5119,2021-03-04 10:00:00
1230,AUDUSD_i,0.77998,0.77786,0.77765,0.78015,0.7788999999999999,0.7785533333333333,0.77838,0.77891,5433,2021-03-04 11:00:00
1231,AUDUSD_i,0.77785,0.77788,0.77667,0.7782,0.777435,0.7775833333333333,0.7776575,0.77765,4182,2021-03-04 12:00:00
1232,AUDUSD_i,0.77789,0.77779,0.77673,0.77829,0.77751,0.7776033333333334,0.7776500000000001,0.7776750000000001,3504,2021-03-04 13:00:00
1233,AUDUSD_i,0.7778,0.7791,0.77764,0.77931,0.778475,0.7786833333333334,0.7787875000000001,0.7784625000000001,3386,2021-03-04 14:00:00
1234,AUDUSD_i,0.77911,0.77917,0.77844,0.77952,0.77898,0.7790433333333334,0.7790750000000001,0.7790600000000001,4366,2021-03-04 15:00:00
1235,AUDUSD_i,0.77915,0.77874,0.7779,0.77962,0.77876,0.7787533333333334,0.77875,0.7788525000000001,6300,2021-03-04 16:00:00
1236,AUDUSD_i,0.77874,0.77989,0.77733,0.78024,0.7787850000000001,0.7791533333333334,0.7793375,0.77905,8938,2021-03-04 17:00:00
1237,AUDUSD_i,0.77989,0.7805,0.77953,0.78108,0.780305,0.78037,0.7804025,0.78025,6219,2021-03-04 18:00:00
1238,AUDUSD_i,0.78052,0.77436,0.77351,0.78102,0.7772650000000001,0.7762966666666667,0.7758125000000001,0.7773525000000001,13570,2021-03-04 19:00:00
1239,AUDUSD_i,0.77434,0.77087,0.77076,0.77502,0.7728900000000001,0.7722166666666667,0.77188,0.7727475,12371,2021-03-04 20:00:00
1240,AUDUSD_i,0.77087,0.77267,0.77087,0.77368,0.772275,0.7724066666666666,0.7724724999999999,0.7720225,8077,2021-03-04 21:00:00
1241,AUDUSD_i,0.77268,0.77259,0.77156,0.77302,0.77229,0.77239,0.77244,0.7724625,8336,2021-03-04 22:00:00
1242,AUDUSD_i,0.77259,0.77204,0.77171,0.77302,0.772365,0.7722566666666667,0.7722025,0.77234,2158,2021-03-04 23:00:00
1243,AUDUSD_i,0.77199,0.77188,0.77123,0.77261,0.7719199999999999,0.7719066666666666,0.7718999999999999,0.7719274999999999,900,2021-03-05 00:00:00
1244,AUDUSD_i,0.77188,0.77133,0.77037,0.77198,0.7711749999999999,0.7712266666666666,0.7712524999999999,0.7713899999999999,2560,2021-03-05 01:00:00
1245,AUDUSD_i,0.77133,0.77098,0.77037,0.77173,0.77105,0.7710266666666667,0.771015,0.7711025,3846,2021-03-05 02:00:00
1246,AUDUSD_i,0.77098,0.76988,0.76868,0.77098,0.76983,0.7698466666666667,0.7698550000000001,0.77013,5553,2021-03-05 03:00:00
1247,AUDUSD_i,0.76985,0.77063,0.76919,0.77086,0.770025,0.7702266666666667,0.7703275,0.7701325,3712,2021-03-05 04:00:00
1248,AUDUSD_i,0.77061,0.77143,0.77037,0.7715,0.7709349999999999,0.7711,0.7711825,0.7709775,3097,2021-03-05 05:00:00
1249,AUDUSD_i,0.77143,0.77055,0.77037,0.77147,0.77092,0.7707966666666667,0.7707350000000001,0.7709550000000001,2627,2021-03-05 06:00:00
1250,AUDUSD_i,0.77053,0.7723,0.77037,0.77236,0.7713650000000001,0.7716766666666667,0.7718325,0.77139,3475,2021-03-05 07:00:00
1251,AUDUSD_i,0.7723,0.77163,0.77128,0.77258,0.77193,0.77183,0.77178,0.7719475,3234,2021-03-05 08:00:00
1252,AUDUSD_i,0.7716,0.76976,0.76932,0.7717,0.77051,0.7702600000000001,0.770135,0.770595,4263,2021-03-05 09:00:00
1253,AUDUSD_i,0.76976,0.76767,0.76724,0.77012,0.76868,0.7683433333333333,0.7681749999999999,0.7686975,6174,2021-03-05 10:00:00
1254,AUDUSD_i,0.76766,0.7675,0.76596,0.76857,0.767265,0.7673433333333333,0.7673825,0.7674224999999999,4594,2021-03-05 11:00:00
1255,AUDUSD_i,0.7675,0.76573,0.76564,0.76755,0.7665949999999999,0.7663066666666666,0.7661625,0.766605,2832,2021-03-05 12:00:00
1256,AUDUSD_i,0.76574,0.76677,0.76516,0.7677,0.76643,0.7665433333333332,0.7666,0.7663424999999999,3201,2021-03-05 13:00:00
1257,AUDUSD_i,0.76675,0.76698,0.76617,0.76748,0.7668250000000001,0.7668766666666667,0.7669025,0.766845,2937,2021-03-05 14:00:00
1258,AUDUSD_i,0.76699,0.76669,0.76212,0.76744,0.76478,0.7654166666666667,0.765735,0.76581,8036,2021-03-05 15:00:00
1259,AUDUSD_i,0.76669,0.76807,0.76661,0.77084,0.768725,0.7685066666666667,0.7683975000000001,0.7680525,12768,2021-03-05 16:00:00
1260,AUDUSD_i,0.76809,0.76619,0.76593,0.76936,0.767645,0.7671600000000001,0.7669175,0.7673925,14108,2021-03-05 17:00:00
1261,AUDUSD_i,0.76619,0.76637,0.76499,0.76691,0.7659499999999999,0.7660899999999998,0.76616,0.7661149999999999,11065,2021-03-05 18:00:00
1262,AUDUSD_i,0.76637,0.76712,0.76561,0.76737,0.76649,0.7667,0.766805,0.7666175,8186,2021-03-05 19:00:00
1263,AUDUSD_i,0.76709,0.76821,0.76668,0.76878,0.76773,0.76789,0.7679699999999999,0.76769,6906,2021-03-05 20:00:00
1264,AUDUSD_i,0.7682,0.76878,0.76735,0.76907,0.7682100000000001,0.7684000000000001,0.768495,0.7683500000000001,5630,2021-03-05 21:00:00
1265,AUDUSD_i,0.76879,0.76918,0.76832,0.76992,0.76912,0.76914,0.76915,0.7690525,4279,2021-03-05 22:00:00
1266,AUDUSD_i,0.76918,0.76811,0.76806,0.76955,0.768805,0.7685733333333333,0.7684575,0.768725,1646,2021-03-05 23:00:00
1267,AUDUSD_i,0.76908,0.76947,0.76907,0.76973,0.7694000000000001,0.7694233333333335,0.7694350000000001,0.7693375,283,2021-03-08 00:00:00
1268,AUDUSD_i,0.76947,0.77075,0.76946,0.77213,0.770795,0.7707799999999999,0.7707725,0.7704525,4540,2021-03-08 01:00:00
