,GBPAUD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4044,GBPAUD_i,1.8866800000000001,1.88742,1.88654,1.88782,1.88718,1.8872600000000002,1.8873000000000002,1.887115,2075,2021-08-16 19:00:00
4045,GBPAUD_i,1.88742,1.88642,1.88636,1.88771,1.887035,1.88683,1.8867275000000001,1.8869775,1515,2021-08-16 20:00:00
4046,GBPAUD_i,1.88642,1.88582,1.88572,1.88694,1.88633,1.88616,1.886075,1.886225,1835,2021-08-16 21:00:00
4047,GBPAUD_i,1.88578,1.88532,1.88516,1.88625,1.885705,1.8855766666666665,1.8855125,1.8856275,1417,2021-08-16 22:00:00
4048,GBPAUD_i,1.88532,1.8864,1.88514,1.8866399999999999,1.8858899999999998,1.8860599999999998,1.886145,1.885875,1537,2021-08-16 23:00:00
4049,GBPAUD_i,1.88554,1.88609,1.8850500000000001,1.8866399999999999,1.885845,1.8859266666666665,1.8859675,1.88583,370,2021-08-17 00:00:00
4050,GBPAUD_i,1.8862299999999999,1.8855499999999998,1.8852799999999998,1.8862299999999999,1.8857549999999998,1.8856866666666665,1.8856525,1.8858224999999997,512,2021-08-17 01:00:00
4051,GBPAUD_i,1.8855,1.8855,1.8852600000000002,1.88606,1.8856600000000001,1.8856066666666667,1.88558,1.88558,583,2021-08-17 02:00:00
4052,GBPAUD_i,1.8854899999999999,1.88814,1.8852600000000002,1.88842,1.88684,1.8872733333333336,1.8874900000000001,1.8868275,1366,2021-08-17 03:00:00
4053,GBPAUD_i,1.88816,1.89104,1.8875600000000001,1.89228,1.88992,1.8902933333333334,1.8904800000000002,1.88976,2424,2021-08-17 04:00:00
4054,GBPAUD_i,1.89107,1.89062,1.88992,1.8921299999999999,1.891025,1.89089,1.8908225,1.890935,2160,2021-08-17 05:00:00
4055,GBPAUD_i,1.89065,1.89013,1.88985,1.89187,1.89086,1.8906166666666666,1.890495,1.890625,1414,2021-08-17 06:00:00
4056,GBPAUD_i,1.89015,1.89021,1.8896899999999999,1.8913600000000002,1.890525,1.89042,1.8903675,1.8903525,950,2021-08-17 07:00:00
4057,GBPAUD_i,1.89018,1.89062,1.88977,1.8915199999999999,1.890645,1.8906366666666665,1.8906325,1.8905224999999999,1566,2021-08-17 08:00:00
4058,GBPAUD_i,1.8906,1.89432,1.8904999999999998,1.8948,1.89265,1.8932066666666667,1.893485,1.892555,5123,2021-08-17 09:00:00
4059,GBPAUD_i,1.8943400000000001,1.89296,1.89212,1.89493,1.893525,1.8933366666666664,1.8932425,1.8935874999999998,6895,2021-08-17 10:00:00
4060,GBPAUD_i,1.89296,1.89228,1.89106,1.89325,1.892155,1.8921966666666667,1.8922175,1.8923875,3791,2021-08-17 11:00:00
4061,GBPAUD_i,1.89229,1.89254,1.89228,1.89439,1.893335,1.8930699999999998,1.8929375,1.8928749999999999,2607,2021-08-17 12:00:00
4062,GBPAUD_i,1.89253,1.89162,1.89123,1.8929399999999998,1.8920849999999998,1.8919299999999997,1.8918524999999997,1.8920799999999998,3249,2021-08-17 13:00:00
4063,GBPAUD_i,1.89162,1.8911799999999999,1.89028,1.89174,1.89101,1.8910666666666665,1.891095,1.8912049999999998,3066,2021-08-17 14:00:00
4064,GBPAUD_i,1.8912,1.8915,1.8890799999999999,1.89185,1.8904649999999998,1.8908099999999999,1.8909824999999998,1.8909075,5316,2021-08-17 15:00:00
4065,GBPAUD_i,1.8915600000000001,1.89229,1.8911099999999998,1.89296,1.892035,1.89212,1.8921625,1.89198,6643,2021-08-17 16:00:00
