,NZDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
3714,NZDCAD_i,0.87628,0.87697,0.87621,0.87702,0.876615,0.8767333333333335,0.8767925000000001,0.8766200000000001,473,2021-07-28 01:00:00
3715,NZDCAD_i,0.87696,0.87643,0.87635,0.87703,0.87669,0.8766033333333333,0.87656,0.8766925,432,2021-07-28 02:00:00
3716,NZDCAD_i,0.87645,0.87551,0.87521,0.87666,0.875935,0.8757933333333333,0.8757225,0.8759575,1114,2021-07-28 03:00:00
3717,NZDCAD_i,0.8755,0.87624,0.87534,0.87679,0.876065,0.8761233333333333,0.8761525,0.8759675,1414,2021-07-28 04:00:00
3718,NZDCAD_i,0.87623,0.87544,0.87508,0.87623,0.875655,0.8755833333333333,0.8755474999999999,0.875745,1222,2021-07-28 05:00:00
3719,NZDCAD_i,0.87539,0.87553,0.8751,0.87572,0.87541,0.87545,0.87547,0.875435,880,2021-07-28 06:00:00
3720,NZDCAD_i,0.87552,0.87536,0.87534,0.87591,0.875625,0.8755366666666666,0.8754925,0.8755324999999999,493,2021-07-28 07:00:00
3721,NZDCAD_i,0.87536,0.87601,0.87513,0.87616,0.875645,0.8757666666666667,0.8758275,0.875665,1247,2021-07-28 08:00:00
3722,NZDCAD_i,0.87601,0.87497,0.87484,0.87606,0.87545,0.87529,0.87521,0.87547,1161,2021-07-28 09:00:00
3723,NZDCAD_i,0.87496,0.8742,0.87376,0.87509,0.874425,0.8743500000000001,0.8743125,0.8745025,1944,2021-07-28 10:00:00
3724,NZDCAD_i,0.87418,0.87338,0.87286,0.87441,0.8736349999999999,0.8735499999999999,0.8735075,0.8737075,1717,2021-07-28 11:00:00
3725,NZDCAD_i,0.87339,0.87238,0.87175,0.87342,0.8725849999999999,0.8725166666666667,0.8724825,0.872735,1483,2021-07-28 12:00:00
3726,NZDCAD_i,0.87238,0.87248,0.87176,0.87273,0.8722449999999999,0.8723233333333332,0.8723624999999999,0.8723375,1583,2021-07-28 13:00:00
3727,NZDCAD_i,0.87247,0.87191,0.87101,0.87257,0.87179,0.87183,0.87185,0.8719899999999999,1656,2021-07-28 14:00:00
3728,NZDCAD_i,0.87191,0.87238,0.87136,0.87252,0.8719399999999999,0.8720866666666667,0.87216,0.8720425,1678,2021-07-28 15:00:00
3729,NZDCAD_i,0.87241,0.87167,0.87123,0.87286,0.872045,0.8719199999999999,0.8718575,0.8720424999999999,2589,2021-07-28 16:00:00
3730,NZDCAD_i,0.87166,0.87061,0.8699,0.87166,0.87078,0.8707233333333333,0.870695,0.8709574999999999,2905,2021-07-28 17:00:00
3731,NZDCAD_i,0.87061,0.87072,0.87002,0.87097,0.870495,0.87057,0.8706075,0.87058,1983,2021-07-28 18:00:00
3732,NZDCAD_i,0.87071,0.87078,0.87051,0.87131,0.8709100000000001,0.8708666666666667,0.870845,0.8708275,1445,2021-07-28 19:00:00
3733,NZDCAD_i,0.87076,0.87042,0.87021,0.87125,0.87073,0.8706266666666668,0.8705750000000001,0.87066,1119,2021-07-28 20:00:00
3734,NZDCAD_i,0.87042,0.87012,0.86921,0.87189,0.87055,0.8704066666666668,0.8703350000000001,0.8704100000000001,5720,2021-07-28 21:00:00
3735,NZDCAD_i,0.8668,0.87146,0.86677,0.87166,0.8692150000000001,0.8699633333333333,0.8703375,0.8691725,2702,2021-07-28 22:00:00
3736,NZDCAD_i,0.87141,0.87084,0.87033,0.87153,0.87093,0.8708999999999999,0.8708849999999999,0.8710275,730,2021-07-28 23:00:00
3737,NZDCAD_i,0.87084,0.87096,0.86924,0.87121,0.870225,0.8704700000000001,0.8705925000000001,0.8705625,320,2021-07-29 00:00:00
3738,NZDCAD_i,0.87112,0.87136,0.87088,0.87141,0.8711450000000001,0.8712166666666668,0.8712525000000001,0.8711925,436,2021-07-29 01:00:00
3739,NZDCAD_i,0.87132,0.87111,0.87107,0.87143,0.8712500000000001,0.8712033333333334,0.8711800000000001,0.8712325000000001,491,2021-07-29 02:00:00
3740,NZDCAD_i,0.8712,0.87127,0.87041,0.87147,0.87094,0.87105,0.871105,0.8710875,879,2021-07-29 03:00:00
3741,NZDCAD_i,0.87128,0.87018,0.87013,0.87133,0.87073,0.8705466666666667,0.870455,0.87073,1483,2021-07-29 04:00:00
3742,NZDCAD_i,0.87021,0.87055,0.86983,0.87075,0.87029,0.8703766666666667,0.8704200000000001,0.8703350000000001,1334,2021-07-29 05:00:00
3743,NZDCAD_i,0.87058,0.86982,0.8698,0.87101,0.870405,0.87021,0.8701125000000001,0.8703025,963,2021-07-29 06:00:00
3744,NZDCAD_i,0.86979,0.87002,0.86934,0.87032,0.86983,0.8698933333333333,0.8699250000000001,0.8698675,637,2021-07-29 07:00:00
3745,NZDCAD_i,0.87002,0.87066,0.86968,0.8708,0.87024,0.8703799999999999,0.87045,0.87029,944,2021-07-29 08:00:00
3746,NZDCAD_i,0.87062,0.87046,0.87026,0.87151,0.870885,0.8707433333333334,0.8706725000000001,0.8707125,1158,2021-07-29 09:00:00
3747,NZDCAD_i,0.87046,0.87031,0.87026,0.87146,0.87086,0.8706766666666667,0.8705849999999999,0.8706225,1642,2021-07-29 10:00:00
3748,NZDCAD_i,0.87035,0.87145,0.87011,0.87184,0.870975,0.8711333333333333,0.8712125,0.8709374999999999,1797,2021-07-29 11:00:00
3749,NZDCAD_i,0.87146,0.87191,0.87111,0.87222,0.871665,0.8717466666666667,0.8717874999999999,0.871675,1289,2021-07-29 12:00:00
3750,NZDCAD_i,0.87191,0.87131,0.87098,0.87238,0.87168,0.8715566666666668,0.8714950000000001,0.871645,1243,2021-07-29 13:00:00
3751,NZDCAD_i,0.87126,0.87141,0.87106,0.87192,0.87149,0.8714633333333334,0.8714500000000001,0.8714125,1223,2021-07-29 14:00:00
3752,NZDCAD_i,0.8714,0.87111,0.87075,0.87206,0.871405,0.8713066666666668,0.8712575,0.87133,1912,2021-07-29 15:00:00
3753,NZDCAD_i,0.8711,0.87241,0.87076,0.87246,0.87161,0.8718766666666666,0.87201,0.8716824999999999,2448,2021-07-29 16:00:00
3754,NZDCAD_i,0.87239,0.87236,0.87165,0.87342,0.8725350000000001,0.8724766666666667,0.8724475,0.872455,2212,2021-07-29 17:00:00
3755,NZDCAD_i,0.87236,0.87236,0.87196,0.87321,0.8725849999999999,0.87251,0.8724725,0.8724725,1652,2021-07-29 18:00:00
3756,NZDCAD_i,0.87231,0.87185,0.87155,0.87246,0.872005,0.8719533333333334,0.8719275,0.8720425,999,2021-07-29 19:00:00
3757,NZDCAD_i,0.87186,0.87222,0.87154,0.87246,0.872,0.8720733333333334,0.87211,0.87202,1067,2021-07-29 20:00:00
3758,NZDCAD_i,0.87221,0.87201,0.87189,0.87253,0.87221,0.8721433333333334,0.87211,0.87216,878,2021-07-29 21:00:00
3759,NZDCAD_i,0.87126,0.87252,0.87125,0.87271,0.87198,0.87216,0.87225,0.871935,745,2021-07-29 22:00:00
3760,NZDCAD_i,0.87253,0.87203,0.87196,0.87264,0.8723,0.8722099999999999,0.872165,0.87229,714,2021-07-29 23:00:00
3761,NZDCAD_i,0.87191,0.87111,0.87053,0.87235,0.87144,0.87133,0.871275,0.871475,367,2021-07-30 00:00:00
3762,NZDCAD_i,0.87111,0.87257,0.87111,0.87304,0.872075,0.87224,0.8723225,0.8719574999999999,478,2021-07-30 01:00:00
3763,NZDCAD_i,0.87277,0.8725,0.87232,0.87299,0.872655,0.8726033333333333,0.8725775,0.872645,574,2021-07-30 02:00:00
