,SPX500_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6136,SPX500_m_i,4624.4,4620.9,4608.9,4627.4,4618.15,4619.066666666667,4619.525,4620.4,4484,2021-12-01 16:00:00
6137,SPX500_m_i,4621.2,4641.2,4618.9,4642.0,4630.45,4634.033333333333,4635.825,4630.825,5101,2021-12-01 17:00:00
6138,SPX500_m_i,4641.4,4633.1,4629.1,4653.1,4641.1,4638.433333333333,4637.1,4639.175,4417,2021-12-01 18:00:00
6139,SPX500_m_i,4632.9,4612.0,4609.8,4644.4,4627.1,4622.066666666667,4619.55,4624.775,5271,2021-12-01 19:00:00
6140,SPX500_m_i,4611.8,4597.6,4581.5,4618.8,4600.15,4599.3,4598.875,4602.425,6760,2021-12-01 20:00:00
6141,SPX500_m_i,4597.2,4581.7,4575.3,4600.1,4587.700000000001,4585.700000000001,4584.700000000001,4588.575000000001,8052,2021-12-01 21:00:00
6142,SPX500_m_i,4581.4,4512.2,4509.9,4584.9,4547.4,4535.666666666667,4529.8,4547.1,9281,2021-12-01 22:00:00
6143,SPX500_m_i,4515.6,4529.9,4515.6,4531.2,4523.4,4525.566666666667,4526.65,4523.075,809,2021-12-02 01:00:00
6144,SPX500_m_i,4529.9,4526.3,4521.2,4535.7,4528.45,4527.733333333334,4527.375,4528.275,1652,2021-12-02 02:00:00
6145,SPX500_m_i,4526.3,4538.5,4522.7,4539.4,4531.049999999999,4533.533333333333,4534.775,4531.724999999999,3330,2021-12-02 03:00:00
6146,SPX500_m_i,4538.4,4545.8,4530.9,4546.4,4538.65,4541.033333333333,4542.224999999999,4540.375,2195,2021-12-02 04:00:00
6147,SPX500_m_i,4545.7,4539.9,4535.1,4545.9,4540.5,4540.3,4540.2,4541.65,1553,2021-12-02 05:00:00
6148,SPX500_m_i,4540.2,4537.9,4536.4,4544.9,4540.65,4539.733333333333,4539.275,4539.849999999999,1388,2021-12-02 06:00:00
6149,SPX500_m_i,4538.1,4541.3,4534.9,4542.5,4538.7,4539.566666666667,4540.0,4539.200000000001,1284,2021-12-02 07:00:00
6150,SPX500_m_i,4541.4,4551.4,4536.8,4552.4,4544.6,4546.866666666667,4548.0,4545.5,1462,2021-12-02 08:00:00
6151,SPX500_m_i,4551.7,4540.1,4535.5,4555.5,4545.5,4543.7,4542.8,4545.7,2753,2021-12-02 09:00:00
6152,SPX500_m_i,4539.9,4539.9,4528.3,4544.4,4536.35,4537.533333333334,4538.125,4538.125,4419,2021-12-02 10:00:00
6153,SPX500_m_i,4539.9,4546.3,4537.3,4552.7,4545.0,4545.433333333333,4545.65,4544.049999999999,2690,2021-12-02 11:00:00
6154,SPX500_m_i,4546.3,4544.1,4530.2,4548.1,4539.15,4540.8,4541.625,4542.175,3514,2021-12-02 12:00:00
6155,SPX500_m_i,4544.7,4540.7,4536.2,4544.8,4540.5,4540.566666666667,4540.6,4541.6,2556,2021-12-02 13:00:00
6156,SPX500_m_i,4540.7,4527.2,4513.0,4543.8,4528.4,4528.0,4527.8,4531.175,3509,2021-12-02 14:00:00
6157,SPX500_m_i,4527.0,4520.8,4516.8,4536.5,4526.65,4524.7,4523.724999999999,4525.275,4016,2021-12-02 15:00:00
6158,SPX500_m_i,4520.6,4563.6,4509.1,4563.9,4536.5,4545.533333333334,4550.05,4539.3,8839,2021-12-02 16:00:00
6159,SPX500_m_i,4563.9,4554.9,4525.7,4568.5,4547.1,4549.7,4551.0,4553.25,10795,2021-12-02 17:00:00
6160,SPX500_m_i,4553.9,4572.3,4547.6,4575.6,4561.6,4565.166666666667,4566.95,4562.35,9587,2021-12-02 18:00:00
6161,SPX500_m_i,4572.2,4581.2,4568.4,4588.6,4578.5,4579.400000000001,4579.85,4577.6,5907,2021-12-02 19:00:00
6162,SPX500_m_i,4581.9,4588.1,4566.9,4588.9,4577.9,4581.3,4583.0,4581.45,6979,2021-12-02 20:00:00
6163,SPX500_m_i,4588.2,4583.0,4576.7,4592.7,4584.7,4584.133333333333,4583.85,4585.15,5453,2021-12-02 21:00:00
6164,SPX500_m_i,4583.3,4580.3,4568.3,4595.8,4582.05,4581.466666666667,4581.175,4581.925,7006,2021-12-02 22:00:00
6165,SPX500_m_i,4573.1,4564.1,4562.1,4575.3,4568.700000000001,4567.166666666667,4566.400000000001,4568.650000000001,832,2021-12-03 01:00:00
6166,SPX500_m_i,4563.9,4568.4,4559.1,4572.9,4566.0,4566.8,4567.2,4566.075,1832,2021-12-03 02:00:00
6167,SPX500_m_i,4568.4,4557.7,4547.2,4574.9,4561.049999999999,4559.933333333333,4559.375,4562.049999999999,1662,2021-12-03 03:00:00
6168,SPX500_m_i,4557.3,4560.7,4554.3,4561.1,4557.700000000001,4558.700000000001,4559.200000000001,4558.35,1112,2021-12-03 04:00:00
6169,SPX500_m_i,4560.7,4571.3,4559.8,4573.5,4566.65,4568.2,4568.974999999999,4566.325,804,2021-12-03 05:00:00
6170,SPX500_m_i,4571.5,4578.3,4571.5,4581.5,4576.5,4577.099999999999,4577.4,4575.7,808,2021-12-03 06:00:00
6171,SPX500_m_i,4578.2,4582.2,4575.5,4584.2,4579.85,4580.633333333334,4581.025000000001,4580.025000000001,938,2021-12-03 07:00:00
6172,SPX500_m_i,4582.5,4581.7,4579.3,4586.7,4583.0,4582.566666666667,4582.35,4582.55,892,2021-12-03 08:00:00
6173,SPX500_m_i,4581.8,4585.3,4574.3,4586.2,4580.25,4581.933333333333,4582.775,4581.9,1379,2021-12-03 09:00:00
6174,SPX500_m_i,4585.7,4576.0,4571.3,4586.8,4579.05,4578.033333333334,4577.525,4579.95,3732,2021-12-03 10:00:00
6175,SPX500_m_i,4575.8,4574.5,4571.6,4582.2,4576.9,4576.099999999999,4575.7,4576.025,2662,2021-12-03 11:00:00
6176,SPX500_m_i,4574.6,4565.4,4560.9,4577.0,4568.95,4567.766666666666,4567.174999999999,4569.475,2299,2021-12-03 12:00:00
6177,SPX500_m_i,4565.4,4576.9,4563.7,4577.6,4570.65,4572.733333333333,4573.775,4570.9,1924,2021-12-03 13:00:00
6178,SPX500_m_i,4577.1,4583.0,4574.6,4585.1,4579.85,4580.900000000001,4581.425,4579.950000000001,2208,2021-12-03 14:00:00
6179,SPX500_m_i,4583.0,4595.0,4581.8,4604.2,4593.0,4593.666666666667,4594.0,4591.0,4384,2021-12-03 15:00:00
6180,SPX500_m_i,4595.1,4560.2,4556.7,4608.4,4582.549999999999,4575.099999999999,4571.375,4580.1,7515,2021-12-03 16:00:00
6181,SPX500_m_i,4560.1,4525.7,4521.7,4567.3,4544.5,4538.233333333334,4535.1,4543.700000000001,11959,2021-12-03 17:00:00
6182,SPX500_m_i,4526.0,4511.1,4510.1,4541.5,4525.8,4520.900000000001,4518.450000000001,4522.175,10073,2021-12-03 18:00:00
6183,SPX500_m_i,4511.6,4523.7,4507.3,4537.5,4522.4,4522.833333333333,4523.05,4520.025,7736,2021-12-03 19:00:00
6184,SPX500_m_i,4523.5,4511.6,4509.5,4536.4,4522.95,4519.166666666667,4517.275,4520.25,6941,2021-12-03 20:00:00
6185,SPX500_m_i,4511.5,4502.9,4500.9,4521.2,4511.049999999999,4508.333333333333,4506.974999999999,4509.125,7693,2021-12-03 21:00:00
6186,SPX500_m_i,4503.0,4539.7,4495.7,4542.0,4518.85,4525.8,4529.275000000001,4520.1,7972,2021-12-03 22:00:00
6187,SPX500_m_i,4552.2,4559.4,4551.0,4561.4,4556.2,4557.266666666666,4557.799999999999,4556.0,880,2021-12-06 01:00:00
6188,SPX500_m_i,4559.4,4557.6,4542.7,4560.6,4551.65,4553.633333333333,4554.625,4555.075,2636,2021-12-06 02:00:00
