,USDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4887,USDCHF_i,0.92441,0.92412,0.92406,0.92492,0.92449,0.9243666666666668,0.9243050000000002,0.9243775000000001,813,2021-10-04 22:00:00
4888,USDCHF_i,0.92413,0.92458,0.92401,0.92469,0.92435,0.9244266666666666,0.9244649999999999,0.9243524999999999,586,2021-10-04 23:00:00
4889,USDCHF_i,0.92439,0.92373,0.92368,0.92519,0.9244349999999999,0.9241999999999999,0.9240824999999999,0.9242474999999999,281,2021-10-05 00:00:00
4890,USDCHF_i,0.9238,0.92449,0.92372,0.92451,0.924115,0.9242400000000001,0.9243025,0.92413,531,2021-10-05 01:00:00
4891,USDCHF_i,0.92449,0.9249,0.9244,0.9249,0.92465,0.9247333333333333,0.924775,0.9246725,379,2021-10-05 02:00:00
4892,USDCHF_i,0.9249,0.92534,0.92448,0.92544,0.92496,0.9250866666666667,0.9251500000000001,0.9250400000000001,873,2021-10-05 03:00:00
4893,USDCHF_i,0.92534,0.92576,0.92529,0.92578,0.925535,0.9256099999999999,0.9256475,0.9255424999999999,682,2021-10-05 04:00:00
4894,USDCHF_i,0.92575,0.92554,0.92522,0.92579,0.925505,0.9255166666666668,0.9255225,0.925575,570,2021-10-05 05:00:00
4895,USDCHF_i,0.92554,0.92623,0.92551,0.92633,0.9259200000000001,0.9260233333333333,0.926075,0.9259025000000001,630,2021-10-05 06:00:00
4896,USDCHF_i,0.92622,0.92652,0.92618,0.92654,0.9263600000000001,0.9264133333333334,0.92644,0.9263650000000001,462,2021-10-05 07:00:00
4897,USDCHF_i,0.92652,0.92651,0.92624,0.92693,0.926585,0.9265599999999999,0.9265475,0.92655,895,2021-10-05 08:00:00
4898,USDCHF_i,0.92652,0.92621,0.92595,0.92683,0.92639,0.9263300000000001,0.9263000000000001,0.9263775000000001,1834,2021-10-05 09:00:00
4899,USDCHF_i,0.92621,0.92632,0.92611,0.92696,0.926535,0.9264633333333334,0.9264275000000001,0.9264000000000001,2797,2021-10-05 10:00:00
4900,USDCHF_i,0.92632,0.92637,0.92575,0.92665,0.9261999999999999,0.9262566666666666,0.9262849999999999,0.9262724999999999,2261,2021-10-05 11:00:00
4901,USDCHF_i,0.92637,0.92646,0.92595,0.9269,0.926425,0.9264366666666667,0.9264425000000001,0.92642,1238,2021-10-05 12:00:00
4902,USDCHF_i,0.92646,0.92714,0.92622,0.92737,0.926795,0.92691,0.9269675,0.9267975,1117,2021-10-05 13:00:00
4903,USDCHF_i,0.92714,0.92664,0.92626,0.92726,0.92676,0.92672,0.9267,0.926825,1402,2021-10-05 14:00:00
4904,USDCHF_i,0.92664,0.92741,0.92601,0.92741,0.9267099999999999,0.9269433333333333,0.92706,0.9268675,1975,2021-10-05 15:00:00
4905,USDCHF_i,0.92741,0.92734,0.92697,0.92825,0.92761,0.92752,0.927475,0.9274925,3090,2021-10-05 16:00:00
4906,USDCHF_i,0.92738,0.92837,0.92738,0.92872,0.92805,0.9281566666666667,0.9282100000000001,0.9279625,3280,2021-10-05 17:00:00
4907,USDCHF_i,0.92834,0.92701,0.92604,0.92843,0.927235,0.9271600000000001,0.9271225000000001,0.927455,2513,2021-10-05 18:00:00
4908,USDCHF_i,0.92701,0.92757,0.92691,0.92759,0.92725,0.9273566666666667,0.9274100000000001,0.92727,1163,2021-10-05 19:00:00
4909,USDCHF_i,0.92757,0.92751,0.92729,0.92797,0.92763,0.9275899999999999,0.9275699999999999,0.9275849999999999,831,2021-10-05 20:00:00
4910,USDCHF_i,0.92751,0.92772,0.92723,0.92783,0.92753,0.9275933333333333,0.9276249999999999,0.9275724999999999,713,2021-10-05 21:00:00
4911,USDCHF_i,0.92773,0.92811,0.92772,0.92818,0.92795,0.9280033333333334,0.9280300000000001,0.9279350000000001,699,2021-10-05 22:00:00
4912,USDCHF_i,0.92811,0.9277,0.9277,0.92831,0.928005,0.9279033333333334,0.9278525,0.9279550000000001,663,2021-10-05 23:00:00
4913,USDCHF_i,0.92771,0.92759,0.92746,0.92811,0.927785,0.92772,0.9276875,0.9277175,446,2021-10-06 00:00:00
4914,USDCHF_i,0.92759,0.92812,0.92759,0.92824,0.927915,0.9279833333333333,0.9280174999999999,0.927885,315,2021-10-06 01:00:00
4915,USDCHF_i,0.92812,0.92834,0.92808,0.92837,0.9282250000000001,0.9282633333333333,0.9282825,0.9282275,455,2021-10-06 02:00:00
4916,USDCHF_i,0.92833,0.92877,0.92827,0.92902,0.9286449999999999,0.9286866666666667,0.9287075,0.9285975,673,2021-10-06 03:00:00
4917,USDCHF_i,0.92877,0.92866,0.92847,0.92897,0.92872,0.9287000000000001,0.92869,0.9287175000000001,671,2021-10-06 04:00:00
4918,USDCHF_i,0.92866,0.92859,0.92846,0.92888,0.92867,0.9286433333333334,0.9286300000000001,0.9286475000000001,314,2021-10-06 05:00:00
4919,USDCHF_i,0.92859,0.92869,0.92848,0.92886,0.92867,0.9286766666666667,0.9286800000000001,0.928655,302,2021-10-06 06:00:00
4920,USDCHF_i,0.92869,0.9295,0.92866,0.92965,0.929155,0.9292699999999999,0.9293275,0.929125,504,2021-10-06 07:00:00
