,AUDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
3945,AUDCHF_i,0.6773,0.67693,0.67645,0.67734,0.676895,0.6769066666666667,0.6769125,0.6770050000000001,3537,2021-08-10 16:00:00
3946,AUDCHF_i,0.67692,0.67747,0.67692,0.6782,0.6775599999999999,0.67753,0.677515,0.6773775,3248,2021-08-10 17:00:00
3947,AUDCHF_i,0.67745,0.67753,0.67686,0.67766,0.67726,0.67735,0.677395,0.677375,2206,2021-08-10 18:00:00
3948,AUDCHF_i,0.67753,0.67804,0.67745,0.67807,0.6777599999999999,0.6778533333333332,0.6779,0.6777724999999999,1266,2021-08-10 19:00:00
3949,AUDCHF_i,0.67804,0.67796,0.67785,0.67824,0.678045,0.6780166666666667,0.6780025000000001,0.6780225,1028,2021-08-10 20:00:00
3950,AUDCHF_i,0.67795,0.67804,0.67775,0.6781,0.677925,0.6779633333333334,0.6779824999999999,0.67796,1093,2021-08-10 21:00:00
3951,AUDCHF_i,0.67802,0.67808,0.67774,0.67815,0.677945,0.67799,0.6780125,0.6779975,1219,2021-08-10 22:00:00
3952,AUDCHF_i,0.67808,0.67798,0.67773,0.67809,0.67791,0.6779333333333334,0.677945,0.6779700000000001,794,2021-08-10 23:00:00
3953,AUDCHF_i,0.6774,0.67743,0.67699,0.67775,0.67737,0.6773899999999999,0.6774,0.6773925,404,2021-08-11 00:00:00
3954,AUDCHF_i,0.67739,0.6778,0.6771,0.67802,0.6775599999999999,0.6776399999999999,0.67768,0.6775774999999999,578,2021-08-11 01:00:00
3955,AUDCHF_i,0.6778,0.67758,0.67753,0.67796,0.677745,0.67769,0.6776625,0.6777175,351,2021-08-11 02:00:00
3956,AUDCHF_i,0.67763,0.67745,0.67729,0.67771,0.6775,0.6774833333333333,0.6774749999999999,0.6775199999999999,616,2021-08-11 03:00:00
3957,AUDCHF_i,0.67745,0.67724,0.67694,0.67745,0.677195,0.67721,0.6772174999999999,0.6772699999999999,907,2021-08-11 04:00:00
3958,AUDCHF_i,0.67725,0.67717,0.67687,0.67729,0.6770799999999999,0.6771099999999999,0.677125,0.6771449999999999,776,2021-08-11 05:00:00
3959,AUDCHF_i,0.67717,0.67699,0.67694,0.6773,0.6771199999999999,0.6770766666666667,0.677055,0.6771,623,2021-08-11 06:00:00
