,EURJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6123,EURJPY_i,128.152,128.193,128.138,128.206,128.172,128.179,128.1825,128.17225000000002,3006,2021-12-15 11:00:00
6124,EURJPY_i,128.192,128.236,128.159,128.262,128.2105,128.219,128.22325,128.21224999999998,2942,2021-12-15 12:00:00
6125,EURJPY_i,128.236,128.236,128.161,128.249,128.20499999999998,128.21533333333332,128.2205,128.2205,2413,2021-12-15 13:00:00
6126,EURJPY_i,128.236,128.256,128.213,128.315,128.264,128.26133333333334,128.26,128.255,3542,2021-12-15 14:00:00
6127,EURJPY_i,128.255,128.323,128.114,128.343,128.2285,128.26,128.27575,128.25875,4835,2021-12-15 15:00:00
6128,EURJPY_i,128.321,128.095,127.998,128.331,128.1645,128.14133333333334,128.12975,128.18625,5754,2021-12-15 16:00:00
6129,EURJPY_i,128.095,128.079,128.047,128.24,128.14350000000002,128.122,128.11125,128.11525,4909,2021-12-15 17:00:00
6130,EURJPY_i,128.079,128.161,128.038,128.192,128.115,128.13033333333334,128.138,128.1175,3725,2021-12-15 18:00:00
6131,EURJPY_i,128.159,128.25,128.143,128.286,128.2145,128.22633333333332,128.23225,128.2095,2815,2021-12-15 19:00:00
6132,EURJPY_i,128.251,128.15,128.143,128.29,128.2165,128.19433333333333,128.18325,128.2085,2593,2021-12-15 20:00:00
6133,EURJPY_i,128.156,128.521,128.097,128.584,128.34050000000002,128.40066666666667,128.43075,128.3395,13154,2021-12-15 21:00:00
6134,EURJPY_i,128.518,128.713,128.485,128.785,128.635,128.66099999999997,128.67399999999998,128.62525,7037,2021-12-15 22:00:00
6135,EURJPY_i,128.715,128.775,128.703,128.815,128.75900000000001,128.76433333333333,128.767,128.752,2398,2021-12-15 23:00:00
6136,EURJPY_i,128.714,128.712,128.635,128.806,128.72050000000002,128.71766666666667,128.71625,128.71675,489,2021-12-16 00:00:00
6137,EURJPY_i,128.72,128.859,128.72,128.933,128.8265,128.83733333333336,128.84275000000002,128.80800000000002,2741,2021-12-16 01:00:00
6138,EURJPY_i,128.859,128.809,128.784,128.914,128.849,128.83566666666664,128.82899999999998,128.8415,2941,2021-12-16 02:00:00
6139,EURJPY_i,128.809,128.772,128.696,128.849,128.77249999999998,128.7723333333333,128.77224999999999,128.7815,2994,2021-12-16 03:00:00
6140,EURJPY_i,128.771,128.821,128.716,128.829,128.7725,128.78866666666667,128.79675,128.78425,2727,2021-12-16 04:00:00
6141,EURJPY_i,128.822,128.794,128.782,128.836,128.80900000000003,128.804,128.8015,128.8085,1948,2021-12-16 05:00:00
6142,EURJPY_i,128.795,128.734,128.722,128.812,128.767,128.756,128.75050000000002,128.76575,2040,2021-12-16 06:00:00
6143,EURJPY_i,128.734,128.811,128.728,128.838,128.78300000000002,128.79233333333335,128.79700000000003,128.77775000000003,1773,2021-12-16 07:00:00
6144,EURJPY_i,128.811,128.899,128.8,128.907,128.8535,128.86866666666666,128.87625,128.85425,2187,2021-12-16 08:00:00
6145,EURJPY_i,128.9,128.999,128.869,129.074,128.9715,128.98066666666668,128.98525,128.9605,4238,2021-12-16 09:00:00
6146,EURJPY_i,128.998,129.105,128.963,129.143,129.053,129.07033333333334,129.079,129.05225000000002,5536,2021-12-16 10:00:00
6147,EURJPY_i,129.107,129.124,129.061,129.14,129.1005,129.10833333333335,129.11225000000002,129.108,3861,2021-12-16 11:00:00
6148,EURJPY_i,129.125,128.99,128.947,129.142,129.0445,129.02633333333333,129.01725,129.051,3251,2021-12-16 12:00:00
6149,EURJPY_i,128.989,128.958,128.897,128.992,128.9445,128.94899999999998,128.95125,128.959,3189,2021-12-16 13:00:00
6150,EURJPY_i,128.959,129.311,128.872,129.454,129.163,129.21233333333336,129.23700000000002,129.149,7661,2021-12-16 14:00:00
6151,EURJPY_i,129.312,129.623,129.291,129.626,129.45850000000002,129.51333333333335,129.54075,129.46300000000002,6946,2021-12-16 15:00:00
6152,EURJPY_i,129.623,128.749,128.698,129.623,129.1605,129.02333333333334,128.95475000000002,129.17325,8427,2021-12-16 16:00:00
6153,EURJPY_i,128.748,128.603,128.483,128.85,128.66649999999998,128.64533333333333,128.63475,128.671,7610,2021-12-16 17:00:00
6154,EURJPY_i,128.602,128.56,128.438,128.636,128.53699999999998,128.54466666666664,128.5485,128.559,4881,2021-12-16 18:00:00
6155,EURJPY_i,128.558,128.599,128.449,128.613,128.531,128.55366666666666,128.565,128.55475,3734,2021-12-16 19:00:00
6156,EURJPY_i,128.6,128.686,128.565,128.722,128.64350000000002,128.6576666666667,128.66475000000003,128.64325000000002,2507,2021-12-16 20:00:00
6157,EURJPY_i,128.686,128.637,128.578,128.701,128.6395,128.63866666666667,128.63825,128.6505,2968,2021-12-16 21:00:00
6158,EURJPY_i,128.637,128.78,128.551,128.826,128.68849999999998,128.71899999999997,128.73424999999997,128.69849999999997,3919,2021-12-16 22:00:00
6159,EURJPY_i,128.78,128.783,128.769,128.841,128.805,128.7976666666667,128.794,128.79325,1953,2021-12-16 23:00:00
6160,EURJPY_i,128.783,128.811,128.68,128.84,128.76,128.77700000000002,128.7855,128.7785,2255,2021-12-17 00:00:00
6161,EURJPY_i,128.811,128.811,128.689,128.854,128.7715,128.78466666666668,128.79125000000002,128.79125000000002,1979,2021-12-17 01:00:00
6162,EURJPY_i,128.811,128.922,128.759,128.966,128.8625,128.88233333333335,128.89225000000002,128.86450000000002,2274,2021-12-17 02:00:00
6163,EURJPY_i,128.922,128.683,128.629,128.951,128.79,128.75433333333334,128.73649999999998,128.79625,2910,2021-12-17 03:00:00
6164,EURJPY_i,128.683,128.644,128.612,128.741,128.6765,128.66566666666668,128.66025000000002,128.67000000000002,1869,2021-12-17 04:00:00
