,USDRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
7347,USDRUR,75.351,75.306,75.279,75.4,75.3395,75.32833333333333,75.32275,75.334,275,2022-02-07 23:00:00
7348,USDRUR,75.212,75.278,75.212,75.285,75.2485,75.25833333333334,75.26325000000001,75.24675,142,2022-02-08 00:00:00
7349,USDRUR,75.274,75.353,75.268,75.359,75.3135,75.32666666666667,75.33325,75.3135,59,2022-02-08 01:00:00
7350,USDRUR,75.353,75.352,75.344,75.359,75.35149999999999,75.35166666666666,75.35175,75.35199999999999,115,2022-02-08 02:00:00
7351,USDRUR,75.351,75.447,75.33,75.546,75.438,75.441,75.4425,75.4185,200,2022-02-08 03:00:00
7352,USDRUR,75.446,75.455,75.385,75.548,75.4665,75.46266666666666,75.46074999999999,75.45849999999999,258,2022-02-08 04:00:00
7353,USDRUR,75.456,75.456,75.389,75.501,75.445,75.44866666666667,75.4505,75.4505,269,2022-02-08 05:00:00
7354,USDRUR,75.405,75.188,75.178,75.483,75.3305,75.283,75.25925,75.3135,1685,2022-02-08 06:00:00
7355,USDRUR,75.187,75.207,75.12,75.243,75.1815,75.19,75.19425,75.18925,1736,2022-02-08 07:00:00
7356,USDRUR,75.208,75.179,75.125,75.314,75.2195,75.206,75.19925,75.2065,2118,2022-02-08 08:00:00
7357,USDRUR,75.178,75.21,75.045,75.35,75.19749999999999,75.20166666666665,75.20374999999999,75.19574999999999,1638,2022-02-08 09:00:00
7358,USDRUR,75.228,75.258,75.174,75.335,75.25450000000001,75.25566666666667,75.25625,75.24875,624,2022-02-08 10:00:00
7359,USDRUR,75.259,75.28,75.225,75.309,75.267,75.27133333333333,75.2735,75.26825,599,2022-02-08 11:00:00
7360,USDRUR,75.281,75.094,75.065,75.318,75.19149999999999,75.15899999999999,75.14274999999999,75.1895,615,2022-02-08 12:00:00
7361,USDRUR,75.096,74.946,74.894,75.118,75.006,74.986,74.976,75.0135,600,2022-02-08 13:00:00
7362,USDRUR,74.94,75.11,74.922,75.125,75.0235,75.05233333333332,75.06675,75.02425,583,2022-02-08 14:00:00
7363,USDRUR,75.118,75.243,75.07,75.267,75.1685,75.19333333333333,75.20575,75.1745,532,2022-02-08 15:00:00
7364,USDRUR,75.239,75.21,75.127,75.26,75.1935,75.199,75.20174999999999,75.209,545,2022-02-08 16:00:00
7365,USDRUR,75.224,75.014,74.962,75.248,75.105,75.07466666666666,75.0595,75.112,584,2022-02-08 17:00:00
7366,USDRUR,75.016,74.953,74.921,75.03,74.97550000000001,74.968,74.96425,74.98,1507,2022-02-08 18:00:00
7367,USDRUR,74.954,74.939,74.915,74.976,74.94550000000001,74.94333333333334,74.94225,74.946,1545,2022-02-08 19:00:00
7368,USDRUR,74.94,74.928,74.918,75.021,74.96950000000001,74.95566666666667,74.94875,74.95175,1410,2022-02-08 20:00:00
7369,USDRUR,74.929,74.93,74.908,74.953,74.9305,74.93033333333334,74.93025,74.93,1600,2022-02-08 21:00:00
7370,USDRUR,74.929,74.948,74.898,74.959,74.9285,74.935,74.93825,74.93350000000001,1385,2022-02-08 22:00:00
7371,USDRUR,74.946,74.938,74.915,75.125,75.02000000000001,74.99266666666666,74.979,74.981,305,2022-02-08 23:00:00
7372,USDRUR,74.945,74.981,74.945,74.981,74.963,74.969,74.972,74.963,8,2022-02-09 00:00:00
7373,USDRUR,74.981,74.97,74.97,75.006,74.988,74.982,74.979,74.98175,15,2022-02-09 01:00:00
7374,USDRUR,75.02,74.995,74.995,75.078,75.0365,75.02266666666667,75.01575,75.022,12,2022-02-09 02:00:00
7375,USDRUR,74.995,75.024,74.995,75.028,75.01150000000001,75.01566666666668,75.01775,75.01050000000001,13,2022-02-09 03:00:00
7376,USDRUR,75.025,75.023,75.016,75.04,75.028,75.02633333333334,75.0255,75.02600000000001,14,2022-02-09 04:00:00
7377,USDRUR,75.027,74.992,74.988,75.039,75.0135,75.00633333333333,75.00275,75.0115,34,2022-02-09 05:00:00
7378,USDRUR,74.967,74.89,74.852,74.994,74.923,74.91199999999999,74.9065,74.92575,1303,2022-02-09 06:00:00
7379,USDRUR,74.891,74.788,74.752,74.892,74.822,74.81066666666668,74.805,74.83075000000001,1735,2022-02-09 07:00:00
7380,USDRUR,74.785,74.818,74.736,74.905,74.82050000000001,74.81966666666666,74.81925,74.811,1826,2022-02-09 08:00:00
7381,USDRUR,74.805,74.683,74.634,74.831,74.7325,74.71600000000001,74.70775,74.73825000000001,1592,2022-02-09 09:00:00
7382,USDRUR,74.711,74.675,74.56,74.711,74.63550000000001,74.64866666666667,74.65525000000001,74.66425000000001,619,2022-02-09 10:00:00
7383,USDRUR,74.673,74.672,74.64,74.735,74.6875,74.68233333333333,74.67975,74.68,578,2022-02-09 11:00:00
7384,USDRUR,74.675,74.584,74.582,74.698,74.63999999999999,74.62133333333333,74.612,74.63475,500,2022-02-09 12:00:00
7385,USDRUR,74.586,74.643,74.553,74.654,74.6035,74.61666666666666,74.62325,74.609,549,2022-02-09 13:00:00
7386,USDRUR,74.641,74.645,74.594,74.718,74.656,74.65233333333333,74.6505,74.6495,589,2022-02-09 14:00:00
7387,USDRUR,74.654,74.628,74.618,74.709,74.6635,74.65166666666666,74.64574999999999,74.65225,486,2022-02-09 15:00:00
7388,USDRUR,74.624,74.671,74.602,74.7,74.65100000000001,74.65766666666667,74.661,74.64925,491,2022-02-09 16:00:00
7389,USDRUR,74.675,74.566,74.543,74.691,74.617,74.60000000000001,74.5915,74.61875,560,2022-02-09 17:00:00
7390,USDRUR,74.568,74.498,74.436,74.584,74.51,74.50600000000001,74.504,74.5215,1739,2022-02-09 18:00:00
7391,USDRUR,74.497,74.438,74.396,74.508,74.452,74.44733333333333,74.445,74.45975,1843,2022-02-09 19:00:00
7392,USDRUR,74.441,74.41,74.393,74.458,74.4255,74.42033333333333,74.41775,74.4255,1673,2022-02-09 20:00:00
7393,USDRUR,74.413,74.543,74.399,74.543,74.471,74.495,74.507,74.4745,1421,2022-02-09 21:00:00
7394,USDRUR,74.537,74.623,74.528,74.646,74.587,74.599,74.605,74.58350000000002,1283,2022-02-09 22:00:00
7395,USDRUR,74.624,74.725,74.62,74.743,74.6815,74.696,74.70325,74.678,288,2022-02-09 23:00:00
7396,USDRUR,74.593,74.645,74.593,74.646,74.6195,74.628,74.63225,74.61925000000001,18,2022-02-10 00:00:00
7397,USDRUR,74.626,74.645,74.626,74.665,74.6455,74.64533333333333,74.64524999999999,74.6405,86,2022-02-10 01:00:00
7398,USDRUR,74.644,74.748,74.639,74.798,74.7185,74.72833333333334,74.73325,74.70725,529,2022-02-10 02:00:00
7399,USDRUR,74.749,74.778,74.7,74.831,74.7655,74.76966666666668,74.77175000000001,74.7645,478,2022-02-10 03:00:00
7400,USDRUR,74.779,74.848,74.7,74.908,74.804,74.81866666666667,74.82600000000001,74.80875,365,2022-02-10 04:00:00
7401,USDRUR,74.847,74.656,74.656,74.876,74.766,74.72933333333334,74.71100000000001,74.75875,188,2022-02-10 05:00:00
7402,USDRUR,74.653,74.654,74.627,74.688,74.6575,74.65633333333334,74.65575,74.6555,1499,2022-02-10 06:00:00
7403,USDRUR,74.66,74.645,74.613,74.678,74.6455,74.64533333333333,74.64524999999999,74.649,1400,2022-02-10 07:00:00
7404,USDRUR,74.644,74.562,74.56,74.69,74.625,74.604,74.5935,74.614,1875,2022-02-10 08:00:00
7405,USDRUR,74.559,74.672,74.549,74.715,74.632,74.64533333333334,74.652,74.62375,1735,2022-02-10 09:00:00
7406,USDRUR,74.678,74.613,74.568,74.743,74.65549999999999,74.64133333333332,74.63425,74.6505,841,2022-02-10 10:00:00
7407,USDRUR,74.614,74.628,74.56,74.63,74.595,74.606,74.61149999999999,74.608,677,2022-02-10 11:00:00
7408,USDRUR,74.623,74.665,74.605,74.775,74.69,74.68166666666667,74.67750000000001,74.667,821,2022-02-10 12:00:00
7409,USDRUR,74.663,74.588,74.581,74.705,74.643,74.62466666666667,74.6155,74.63425,822,2022-02-10 13:00:00
7410,USDRUR,74.586,74.262,74.243,74.599,74.42099999999999,74.368,74.3415,74.4225,821,2022-02-10 14:00:00
7411,USDRUR,74.25,74.468,74.16,74.65,74.405,74.426,74.43650000000001,74.382,1033,2022-02-10 15:00:00
7412,USDRUR,74.488,74.485,74.443,74.723,74.583,74.55033333333334,74.534,74.53475,1018,2022-02-10 16:00:00
7413,USDRUR,74.483,74.478,74.316,74.51,74.41300000000001,74.43466666666667,74.44550000000001,74.44675000000001,940,2022-02-10 17:00:00
7414,USDRUR,74.48,74.48,74.419,74.639,74.529,74.51266666666668,74.50450000000001,74.50450000000001,2562,2022-02-10 18:00:00
7415,USDRUR,74.481,74.668,74.478,74.705,74.5915,74.617,74.62975,74.583,2328,2022-02-10 19:00:00
7416,USDRUR,74.667,74.753,74.62,74.766,74.69300000000001,74.71300000000001,74.723,74.70150000000001,2464,2022-02-10 20:00:00
7417,USDRUR,74.75,74.896,74.75,74.911,74.8305,74.85233333333333,74.86325000000001,74.82675,2606,2022-02-10 21:00:00
7418,USDRUR,74.893,74.982,74.813,74.998,74.9055,74.931,74.94375,74.92150000000001,2248,2022-02-10 22:00:00
7419,USDRUR,74.981,74.922,74.893,75.03,74.9615,74.94833333333334,74.94175,74.9565,550,2022-02-10 23:00:00
7420,USDRUR,74.854,74.93,74.854,74.93,74.892,74.90466666666667,74.911,74.892,4,2022-02-11 00:00:00
7421,USDRUR,74.962,74.964,74.891,74.968,74.9295,74.941,74.94675000000001,74.94625,181,2022-02-11 01:00:00
7422,USDRUR,74.927,75.004,74.921,75.01,74.9655,74.97833333333334,74.98475,74.9655,504,2022-02-11 02:00:00
7423,USDRUR,75.005,74.969,74.956,75.01,74.983,74.97833333333334,74.976,74.985,325,2022-02-11 03:00:00
7424,USDRUR,74.968,74.97,74.901,74.972,74.9365,74.94766666666666,74.95325,74.95275,239,2022-02-11 04:00:00
7425,USDRUR,74.971,75.035,74.93,75.048,74.989,75.00433333333334,75.012,74.99600000000001,557,2022-02-11 05:00:00
7426,USDRUR,74.991,75.174,74.969,75.192,75.0805,75.11166666666666,75.12725,75.0815,2093,2022-02-11 06:00:00
7427,USDRUR,75.178,75.153,75.13,75.234,75.18199999999999,75.17233333333333,75.1675,75.17375,2190,2022-02-11 07:00:00
7428,USDRUR,75.155,75.13,75.072,75.24,75.156,75.14733333333334,75.143,75.14925,2227,2022-02-11 08:00:00
7429,USDRUR,75.122,74.825,74.805,75.129,74.96700000000001,74.91966666666667,74.896,74.97025000000001,2147,2022-02-11 09:00:00
7430,USDRUR,74.83,74.94,74.718,74.973,74.8455,74.877,74.89275,74.86525,976,2022-02-11 10:00:00
7431,USDRUR,74.945,74.942,74.914,75.166,75.03999999999999,75.00733333333334,74.991,74.99175,1005,2022-02-11 11:00:00
7432,USDRUR,74.935,74.95,74.84,75.028,74.934,74.93933333333332,74.942,74.93825,984,2022-02-11 12:00:00
7433,USDRUR,74.893,74.963,74.86,75.035,74.94749999999999,74.95266666666666,74.95524999999999,74.93775,874,2022-02-11 13:00:00
7434,USDRUR,74.962,75.1,74.915,75.17,75.0425,75.06166666666667,75.07124999999999,75.03675,960,2022-02-11 14:00:00
7435,USDRUR,75.105,75.558,75.066,75.568,75.31700000000001,75.39733333333334,75.4375,75.32425,1004,2022-02-11 15:00:00
7436,USDRUR,75.569,75.845,75.561,75.863,75.712,75.75633333333333,75.77850000000001,75.7095,1107,2022-02-11 16:00:00
7437,USDRUR,75.841,75.984,75.74,76.071,75.90549999999999,75.93166666666666,75.94474999999998,75.90899999999999,1038,2022-02-11 17:00:00
7438,USDRUR,75.975,75.951,75.766,76.037,75.9015,75.91799999999999,75.92625,75.93225,3136,2022-02-11 18:00:00
7439,USDRUR,75.948,76.243,75.948,76.322,76.13499999999999,76.17099999999999,76.189,76.11524999999999,3165,2022-02-11 19:00:00
7440,USDRUR,76.253,77.428,76.23,77.497,76.8635,77.05166666666666,77.14574999999999,76.852,3575,2022-02-11 20:00:00
7441,USDRUR,77.429,77.212,76.64,77.529,77.08449999999999,77.127,77.14824999999999,77.20249999999999,3891,2022-02-11 21:00:00
7442,USDRUR,77.235,77.037,76.975,77.393,77.184,77.135,77.1105,77.16,3179,2022-02-11 22:00:00
7443,USDRUR,77.067,77.187,77.013,77.232,77.1225,77.144,77.15475,77.12475,187,2022-02-11 23:00:00
7444,USDRUR,77.187,77.324,77.187,77.398,77.29249999999999,77.303,77.30825,77.274,10,2022-02-14 00:00:00
7445,USDRUR,77.372,77.373,77.192,77.389,77.2905,77.318,77.33175,77.3315,40,2022-02-14 02:00:00
7446,USDRUR,77.435,77.389,77.376,77.435,77.4055,77.39999999999999,77.39725,77.40875,12,2022-02-14 05:00:00
7447,USDRUR,77.492,77.384,77.348,78.071,77.70949999999999,77.601,77.54675,77.57375,1881,2022-02-14 06:00:00
7448,USDRUR,77.389,76.964,76.798,77.476,77.137,77.07933333333334,77.0505,77.15675,2257,2022-02-14 07:00:00
7449,USDRUR,76.947,76.854,76.617,77.045,76.831,76.83866666666667,76.8425,76.86575,2901,2022-02-14 08:00:00
7450,USDRUR,76.855,76.425,76.258,76.877,76.5675,76.52,76.49625,76.60375,2040,2022-02-14 09:00:00
7451,USDRUR,76.427,76.992,76.289,76.993,76.64099999999999,76.758,76.8165,76.67525,720,2022-02-14 10:00:00
7452,USDRUR,76.998,77.165,76.898,77.208,77.053,77.09033333333333,77.10900000000001,77.06725,714,2022-02-14 11:00:00
7453,USDRUR,77.15,76.87,76.338,77.273,76.8055,76.827,76.83775,76.90775,611,2022-02-14 12:00:00
7454,USDRUR,76.878,77.028,76.798,77.09,76.944,76.972,76.986,76.9485,679,2022-02-14 13:00:00
7455,USDRUR,77.033,76.233,75.877,77.093,76.485,76.401,76.35900000000001,76.559,618,2022-02-14 14:00:00
7456,USDRUR,76.197,76.441,75.996,76.49,76.243,76.309,76.342,76.281,614,2022-02-14 15:00:00
7457,USDRUR,76.44,76.577,76.259,76.619,76.439,76.485,76.508,76.47375,649,2022-02-14 16:00:00
7458,USDRUR,76.577,76.857,76.518,76.988,76.753,76.78766666666667,76.805,76.735,607,2022-02-14 17:00:00
7459,USDRUR,76.861,76.407,76.398,76.903,76.6505,76.56933333333332,76.52874999999999,76.64224999999999,2593,2022-02-14 18:00:00
7460,USDRUR,76.405,76.477,76.404,76.655,76.5295,76.512,76.50325000000001,76.48525000000001,2401,2022-02-14 19:00:00
7461,USDRUR,76.473,77.212,76.456,77.291,76.8735,76.98633333333333,77.04275,76.858,2315,2022-02-14 20:00:00
7462,USDRUR,77.213,76.8,76.586,77.311,76.9485,76.899,76.87425,76.97749999999999,2876,2022-02-14 21:00:00
7463,USDRUR,76.799,76.543,76.543,76.885,76.714,76.657,76.6285,76.6925,1922,2022-02-14 22:00:00
7464,USDRUR,76.542,76.405,76.353,76.547,76.44999999999999,76.43499999999999,76.4275,76.46175,663,2022-02-14 23:00:00
7465,USDRUR,76.391,76.479,76.391,76.509,76.45,76.45966666666668,76.4645,76.44250000000001,67,2022-02-15 00:00:00
7466,USDRUR,76.48,76.421,76.408,76.48,76.444,76.43633333333334,76.4325,76.44725000000001,85,2022-02-15 01:00:00
7467,USDRUR,76.423,76.478,76.421,76.483,76.452,76.46066666666667,76.465,76.45125,8,2022-02-15 02:00:00
7468,USDRUR,76.383,76.383,76.383,76.383,76.383,76.383,76.383,76.383,1,2022-02-15 03:00:00
7469,USDRUR,76.343,76.334,76.334,76.343,76.33850000000001,76.337,76.33625,76.33850000000001,2,2022-02-15 04:00:00
7470,USDRUR,76.232,76.244,76.128,76.339,76.23349999999999,76.237,76.23875,76.23575,47,2022-02-15 05:00:00
7471,USDRUR,76.328,76.185,76.129,76.421,76.275,76.245,76.23,76.26575,1813,2022-02-15 06:00:00
7472,USDRUR,76.183,76.374,76.161,76.376,76.2685,76.30366666666667,76.32124999999999,76.2735,1938,2022-02-15 07:00:00
7473,USDRUR,76.372,76.179,76.1,76.46,76.28,76.24633333333334,76.2295,76.27775,2166,2022-02-15 08:00:00
7474,USDRUR,76.181,76.584,76.169,76.694,76.4315,76.48233333333333,76.50775,76.407,1604,2022-02-15 09:00:00
7475,USDRUR,76.574,75.48,75.401,76.602,76.0015,75.82766666666667,75.74075,76.01425,442,2022-02-15 10:00:00
7476,USDRUR,75.473,75.508,75.2,75.515,75.3575,75.40766666666667,75.43275,75.424,633,2022-02-15 11:00:00
7477,USDRUR,75.512,75.66,75.274,75.703,75.4885,75.54566666666666,75.57425,75.53725,647,2022-02-15 12:00:00
7478,USDRUR,75.657,75.333,75.31,75.733,75.5215,75.45866666666667,75.42725,75.50825,642,2022-02-15 13:00:00
7479,USDRUR,75.317,75.25,75.018,75.473,75.24549999999999,75.247,75.24775,75.2645,651,2022-02-15 14:00:00
7480,USDRUR,75.248,75.516,75.155,75.616,75.38550000000001,75.42900000000002,75.45075000000001,75.38375,634,2022-02-15 15:00:00
7481,USDRUR,75.55,75.811,75.435,75.884,75.65950000000001,75.71000000000001,75.73525000000001,75.67,666,2022-02-15 16:00:00
7482,USDRUR,75.834,75.526,75.45,75.868,75.65899999999999,75.61466666666666,75.5925,75.6695,627,2022-02-15 17:00:00
7483,USDRUR,75.546,75.551,75.418,75.713,75.5655,75.56066666666668,75.55825,75.557,2489,2022-02-15 18:00:00
7484,USDRUR,75.545,75.573,75.516,75.739,75.6275,75.60933333333332,75.60024999999999,75.59325,2161,2022-02-15 19:00:00
7485,USDRUR,75.57,75.554,75.544,75.65,75.59700000000001,75.58266666666667,75.5755,75.5795,1893,2022-02-15 20:00:00
7486,USDRUR,75.553,75.366,75.354,75.6,75.477,75.44,75.4215,75.46825,1872,2022-02-15 21:00:00
7487,USDRUR,75.363,75.275,75.243,75.43,75.3365,75.316,75.30575,75.32775000000001,1122,2022-02-15 22:00:00
7488,USDRUR,75.473,75.356,75.356,75.491,75.42349999999999,75.401,75.38974999999999,75.419,76,2022-02-15 23:00:00
7489,USDRUR,75.372,75.372,75.372,75.372,75.372,75.372,75.372,75.372,1,2022-02-16 00:00:00
7490,USDRUR,75.407,75.408,75.313,75.416,75.36449999999999,75.379,75.38625,75.386,12,2022-02-16 01:00:00
7491,USDRUR,75.408,75.264,75.264,75.422,75.34299999999999,75.31666666666666,75.3035,75.3395,14,2022-02-16 02:00:00
