,USDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
5059,USDCAD_i,1.24395,1.24375,1.24375,1.24443,1.24409,1.2439766666666665,1.24392,1.24397,615,2021-10-14 02:00:00
5060,USDCAD_i,1.24378,1.24245,1.24226,1.24379,1.2430249999999998,1.2428333333333332,1.2427374999999998,1.24307,1946,2021-10-14 03:00:00
5061,USDCAD_i,1.24245,1.24354,1.2423,1.24367,1.242985,1.24317,1.2432625000000002,1.24299,672,2021-10-14 04:00:00
5062,USDCAD_i,1.24354,1.24277,1.24269,1.2436,1.2431450000000002,1.2430200000000002,1.2429575000000002,1.2431500000000002,657,2021-10-14 05:00:00
5063,USDCAD_i,1.24277,1.24278,1.24224,1.24286,1.24255,1.2426266666666665,1.242665,1.2426625,635,2021-10-14 06:00:00
5064,USDCAD_i,1.24278,1.2424,1.2423899999999999,1.24289,1.24264,1.2425599999999999,1.2425199999999998,1.242615,915,2021-10-14 07:00:00
5065,USDCAD_i,1.2424,1.24213,1.2420499999999999,1.2426300000000001,1.24234,1.24227,1.242235,1.2423025,757,2021-10-14 08:00:00
5066,USDCAD_i,1.2421,1.24005,1.24003,1.24241,1.24122,1.24083,1.2406350000000002,1.2411475,1826,2021-10-14 09:00:00
5067,USDCAD_i,1.24003,1.23986,1.23936,1.24035,1.239855,1.2398566666666666,1.2398575,1.2399,2553,2021-10-14 10:00:00
5068,USDCAD_i,1.23986,1.23866,1.23831,1.23996,1.239135,1.2389766666666668,1.2388975000000002,1.2391975000000002,2885,2021-10-14 11:00:00
5069,USDCAD_i,1.23867,1.23782,1.23765,1.23869,1.23817,1.2380533333333332,1.237995,1.2382075,1937,2021-10-14 12:00:00
5070,USDCAD_i,1.23783,1.23763,1.23726,1.23866,1.2379600000000002,1.2378500000000001,1.2377950000000002,1.237845,1979,2021-10-14 13:00:00
5071,USDCAD_i,1.23762,1.23818,1.2372,1.23874,1.23797,1.23804,1.238075,1.237935,2555,2021-10-14 14:00:00
5072,USDCAD_i,1.23818,1.23809,1.23714,1.23874,1.23794,1.23799,1.2380149999999999,1.2380375,3517,2021-10-14 15:00:00
