,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4617,GER40_m_i,14012.3,14039.6,13973.3,14046.0,14009.65,14019.633333333333,14024.625,14017.8,10830,2021-03-03 20:00:00
4618,GER40_m_i,14039.5,14063.5,14033.5,14077.5,14055.5,14058.166666666666,14059.5,14053.5,6554,2021-03-03 21:00:00
4619,GER40_m_i,14063.5,14042.5,14042.5,14066.5,14054.5,14050.5,14048.5,14053.75,3750,2021-03-03 22:00:00
4620,GER40_m_i,14042.5,14039.5,14036.5,14067.5,14052.0,14047.833333333334,14045.75,14046.5,3950,2021-03-03 23:00:00
4621,GER40_m_i,14038.5,14049.5,14000.5,14055.5,14028.0,14035.166666666666,14038.75,14036.0,4884,2021-03-04 00:00:00
4622,GER40_m_i,14049.5,14025.5,14017.5,14050.5,14034.0,14031.166666666666,14029.75,14035.75,2590,2021-03-04 01:00:00
4623,GER40_m_i,13992.6,13995.6,13987.6,14007.6,13997.6,13996.933333333334,13996.6,13995.85,2360,2021-03-04 12:00:00
4624,GER40_m_i,13994.6,14027.9,13971.9,14056.9,14014.4,14018.9,14021.15,14012.824999999999,10200,2021-03-04 13:00:00
4625,GER40_m_i,14028.9,14017.9,13988.9,14036.9,14012.9,14014.566666666666,14015.4,14018.15,6571,2021-03-04 14:00:00
4626,GER40_m_i,14018.9,13998.9,13954.9,14025.9,13990.4,13993.233333333332,13994.65,13999.65,7023,2021-03-04 15:00:00
4627,GER40_m_i,13999.9,14008.9,13965.9,14017.9,13991.9,13997.566666666666,14000.4,13998.15,5686,2021-03-04 16:00:00
4628,GER40_m_i,14008.9,14029.9,13997.9,14035.9,14016.9,14021.233333333332,14023.4,14018.15,4789,2021-03-04 17:00:00
4629,GER40_m_i,14029.9,14060.9,14025.9,14066.9,14046.4,14051.233333333332,14053.65,14045.9,4758,2021-03-04 18:00:00
4630,GER40_m_i,14061.9,14037.9,14023.9,14094.9,14059.4,14052.233333333332,14048.65,14054.65,7030,2021-03-04 19:00:00
4631,GER40_m_i,14037.9,14052.9,13996.9,14064.9,14030.9,14038.233333333332,14041.9,14038.15,8462,2021-03-04 20:00:00
4632,GER40_m_i,14053.9,14077.9,14028.9,14094.9,14061.9,14067.233333333332,14069.9,14063.9,7218,2021-03-04 21:00:00
4633,GER40_m_i,14078.9,13996.9,13983.9,14093.9,14038.9,14024.9,14017.9,14038.4,9634,2021-03-04 22:00:00
4634,GER40_m_i,13996.9,13934.9,13920.9,14021.9,13971.4,13959.233333333332,13953.15,13968.65,9392,2021-03-04 23:00:00
4635,GER40_m_i,13934.9,13988.9,13932.9,13999.9,13966.4,13973.9,13977.65,13964.15,8990,2021-03-05 00:00:00
4636,GER40_m_i,13988.9,13978.9,13952.9,13993.9,13973.4,13975.233333333332,13976.15,13978.65,3970,2021-03-05 01:00:00
4637,GER40_m_i,13981.5,13992.5,13971.5,13998.5,13985.0,13987.5,13988.75,13986.0,2968,2021-03-05 12:00:00
4638,GER40_m_i,13994.4,13941.7,13862.7,13995.4,13929.05,13933.266666666668,13935.375,13948.550000000001,13161,2021-03-05 13:00:00
4639,GER40_m_i,13940.7,13939.7,13887.7,13965.7,13926.7,13931.033333333335,13933.2,13933.45,9214,2021-03-05 14:00:00
4640,GER40_m_i,13939.7,13947.7,13916.7,13958.7,13937.7,13941.033333333335,13942.7,13940.7,6292,2021-03-05 15:00:00
4641,GER40_m_i,13947.7,13966.7,13943.7,13990.7,13967.2,13967.033333333335,13966.95,13962.2,4629,2021-03-05 16:00:00
4642,GER40_m_i,13966.7,13980.7,13957.7,13994.7,13976.2,13977.700000000003,13978.45,13974.95,4651,2021-03-05 17:00:00
4643,GER40_m_i,13981.7,14018.7,13933.7,14042.7,13988.2,13998.366666666669,14003.45,13994.2,8598,2021-03-05 18:00:00
4644,GER40_m_i,14019.7,14006.7,13988.7,14067.7,14028.2,14021.033333333335,14017.45,14020.7,9337,2021-03-05 19:00:00
4645,GER40_m_i,14006.7,13961.7,13948.7,14038.7,13993.7,13983.033333333335,13977.7,13988.95,12416,2021-03-05 20:00:00
4646,GER40_m_i,13962.7,13960.7,13906.7,13971.7,13939.2,13946.366666666669,13949.95,13950.45,11230,2021-03-05 21:00:00
4647,GER40_m_i,13959.7,13994.7,13949.7,14012.7,13981.2,13985.700000000003,13987.95,13979.2,6790,2021-03-05 22:00:00
4648,GER40_m_i,13994.7,14006.7,13976.7,14020.7,13998.7,14001.366666666669,14002.7,13999.7,5870,2021-03-05 23:00:00
4649,GER40_m_i,14004.9,14016.8,13999.9,14018.9,14009.4,14011.866666666667,14013.099999999999,14010.125,2183,2021-03-08 12:00:00
4650,GER40_m_i,14014.9,14042.1,13971.1,14048.1,14009.6,14020.433333333334,14025.85,14019.050000000001,12010,2021-03-08 13:00:00
4651,GER40_m_i,14043.1,14033.1,13993.1,14049.1,14021.1,14025.1,14027.1,14029.6,7600,2021-03-08 14:00:00
4652,GER40_m_i,14033.1,14089.1,14032.1,14108.1,14070.1,14076.433333333334,14079.6,14065.6,5972,2021-03-08 15:00:00
4653,GER40_m_i,14090.1,14106.1,14072.1,14107.1,14089.6,14095.1,14097.85,14093.85,6088,2021-03-08 16:00:00
4654,GER40_m_i,14105.1,14104.1,14089.1,14120.1,14104.6,14104.433333333334,14104.35,14104.6,4920,2021-03-08 17:00:00
4655,GER40_m_i,14104.1,14140.1,14096.1,14141.1,14118.6,14125.766666666668,14129.35,14120.35,5700,2021-03-08 18:00:00
4656,GER40_m_i,14140.1,14246.1,14137.1,14283.1,14210.1,14222.1,14228.1,14201.6,9768,2021-03-08 19:00:00
4657,GER40_m_i,14247.1,14379.1,14238.1,14403.1,14320.6,14340.1,14349.85,14316.85,13021,2021-03-08 20:00:00
4658,GER40_m_i,14379.1,14359.1,14356.1,14403.1,14379.6,14372.766666666668,14369.35,14374.35,8599,2021-03-08 21:00:00
4659,GER40_m_i,14359.1,14389.1,14357.1,14407.1,14382.1,14384.433333333334,14385.6,14378.1,5130,2021-03-08 22:00:00
4660,GER40_m_i,14389.1,14362.1,14360.1,14410.1,14385.1,14377.433333333334,14373.6,14380.35,4472,2021-03-08 23:00:00
4661,GER40_m_i,14362.1,14375.1,14356.3,14402.1,14379.2,14377.833333333334,14377.15,14373.9,4601,2021-03-09 00:00:00
4662,GER40_m_i,14374.1,14348.1,14338.1,14374.1,14356.1,14353.433333333334,14352.1,14358.6,3194,2021-03-09 01:00:00
