,CAC40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6538,CAC40_i,7109.2,7109.2,7104.2,7113.7,7108.95,7109.033333333333,7109.075,7109.075,125,2021-12-24 12:00:00
6539,CAC40_i,7108.2,7096.2,7096.2,7108.2,7102.2,7100.2,7099.2,7102.2,117,2021-12-24 13:00:00
6540,CAC40_i,7096.2,7094.2,7091.7,7098.2,7094.95,7094.7,7094.575,7095.075,166,2021-12-24 14:00:00
6541,CAC40_i,7085.8,7072.7,7060.2,7094.7,7077.45,7075.866666666666,7075.075,7078.349999999999,478,2021-12-27 09:00:00
6542,CAC40_i,7072.7,7089.4,7061.9,7091.1,7076.5,7080.8,7082.950000000001,7078.775000000001,979,2021-12-27 10:00:00
6543,CAC40_i,7089.9,7093.4,7079.4,7098.4,7088.9,7090.399999999999,7091.15,7090.275,690,2021-12-27 11:00:00
6544,CAC40_i,7093.4,7091.9,7089.9,7100.9,7095.4,7094.233333333333,7093.65,7094.025,533,2021-12-27 12:00:00
6545,CAC40_i,7091.9,7092.9,7086.4,7093.9,7090.15,7091.066666666666,7091.525,7091.275,358,2021-12-27 13:00:00
6546,CAC40_i,7092.9,7107.4,7092.9,7107.9,7100.4,7102.733333333333,7103.9,7100.275,380,2021-12-27 14:00:00
6547,CAC40_i,7107.4,7116.4,7103.4,7118.9,7111.15,7112.899999999999,7113.775,7111.525,358,2021-12-27 15:00:00
6548,CAC40_i,7116.4,7121.4,7115.9,7127.9,7121.9,7121.733333333333,7121.65,7120.4,638,2021-12-27 16:00:00
6549,CAC40_i,7121.4,7141.9,7119.9,7141.9,7130.9,7134.566666666666,7136.4,7131.275,708,2021-12-27 17:00:00
6550,CAC40_i,7141.9,7142.9,7137.4,7149.4,7143.4,7143.233333333333,7143.15,7142.9,718,2021-12-27 18:00:00
6551,CAC40_i,7142.9,7147.9,7142.4,7149.4,7145.9,7146.566666666666,7146.9,7145.65,308,2021-12-27 19:00:00
6552,CAC40_i,7147.9,7152.9,7145.9,7153.6,7149.75,7150.8,7151.325000000001,7150.075000000001,277,2021-12-27 20:00:00
6553,CAC40_i,7152.9,7154.9,7149.9,7159.9,7154.9,7154.899999999999,7154.9,7154.4,271,2021-12-27 21:00:00
6554,CAC40_i,7154.9,7166.8,7151.4,7166.9,7159.15,7161.7,7162.974999999999,7160.0,451,2021-12-27 22:00:00
6555,CAC40_i,7157.7,7157.7,7156.7,7159.7,7158.2,7158.033333333333,7157.95,7157.95,130,2021-12-28 01:00:00
6556,CAC40_i,7158.2,7164.7,7150.7,7166.7,7158.7,7160.7,7161.7,7160.075,414,2021-12-28 02:00:00
6557,CAC40_i,7164.7,7154.7,7149.2,7165.2,7157.2,7156.366666666666,7155.95,7158.45,332,2021-12-28 03:00:00
6558,CAC40_i,7154.2,7149.7,7148.2,7155.2,7151.7,7151.033333333333,7150.7,7151.825,262,2021-12-28 04:00:00
6559,CAC40_i,7150.2,7152.2,7148.1,7153.2,7150.65,7151.166666666667,7151.425,7150.925,231,2021-12-28 05:00:00
6560,CAC40_i,7152.2,7151.7,7151.2,7155.2,7153.2,7152.7,7152.45,7152.575,134,2021-12-28 06:00:00
6561,CAC40_i,7151.7,7161.3,7150.7,7161.8,7156.25,7157.933333333333,7158.775,7156.375,175,2021-12-28 07:00:00
6562,CAC40_i,7160.8,7158.7,7154.7,7161.3,7158.0,7158.233333333334,7158.35,7158.875,186,2021-12-28 08:00:00
6563,CAC40_i,7157.7,7139.1,7138.6,7158.7,7148.65,7145.466666666667,7143.875,7148.525000000001,401,2021-12-28 09:00:00
6564,CAC40_i,7142.1,7178.8,7139.6,7179.1,7159.35,7165.833333333333,7169.075,7159.9,854,2021-12-28 10:00:00
6565,CAC40_i,7178.8,7175.8,7169.8,7182.8,7176.3,7176.133333333334,7176.05,7176.8,594,2021-12-28 11:00:00
6566,CAC40_i,7175.8,7169.8,7167.3,7183.8,7175.55,7173.633333333334,7172.675,7174.175,419,2021-12-28 12:00:00
6567,CAC40_i,7169.8,7171.8,7164.3,7175.3,7169.8,7170.466666666667,7170.8,7170.3,384,2021-12-28 13:00:00
6568,CAC40_i,7171.8,7183.3,7170.8,7184.3,7177.55,7179.466666666667,7180.425,7177.55,343,2021-12-28 14:00:00
6569,CAC40_i,7183.3,7169.3,7168.8,7188.8,7178.8,7175.633333333334,7174.05,7177.55,440,2021-12-28 15:00:00
6570,CAC40_i,7169.3,7182.3,7163.3,7185.8,7174.55,7177.133333333334,7178.425,7175.175,849,2021-12-28 16:00:00
6571,CAC40_i,7181.8,7177.3,7173.8,7183.8,7178.8,7178.3,7178.05,7179.175,785,2021-12-28 17:00:00
6572,CAC40_i,7177.3,7185.8,7176.3,7188.8,7182.55,7183.633333333334,7184.175,7182.05,669,2021-12-28 18:00:00
6573,CAC40_i,7185.3,7173.8,7167.8,7185.8,7176.8,7175.8,7175.3,7178.175,525,2021-12-28 19:00:00
6574,CAC40_i,7173.8,7178.3,7171.8,7179.8,7175.8,7176.633333333334,7177.05,7175.925,492,2021-12-28 20:00:00
6575,CAC40_i,7178.8,7179.3,7171.3,7179.3,7175.3,7176.633333333334,7177.3,7177.175,566,2021-12-28 21:00:00
6576,CAC40_i,7179.3,7168.2,7168.2,7187.3,7177.75,7174.566666666667,7172.975,7175.75,666,2021-12-28 22:00:00
6577,CAC40_i,7179.6,7181.6,7178.6,7183.6,7181.1,7181.266666666667,7181.35,7180.85,138,2021-12-29 01:00:00
6578,CAC40_i,7181.6,7180.1,7171.6,7184.1,7177.85,7178.600000000001,7178.975,7179.35,336,2021-12-29 02:00:00
6579,CAC40_i,7180.1,7166.0,7165.0,7185.6,7175.3,7172.2,7170.65,7174.174999999999,537,2021-12-29 03:00:00
