,CHFJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6556,CHFJPY_i,124.331,124.423,124.243,124.473,124.358,124.37966666666667,124.3905,124.3675,5937,2022-01-10 18:00:00
6557,CHFJPY_i,124.424,124.232,124.232,124.464,124.348,124.30933333333333,124.28999999999999,124.338,3809,2022-01-10 19:00:00
6558,CHFJPY_i,124.234,124.23,124.192,124.275,124.23349999999999,124.23233333333333,124.23175,124.23275,3412,2022-01-10 20:00:00
6559,CHFJPY_i,124.233,124.23,124.197,124.291,124.244,124.23933333333333,124.23700000000001,124.23775,3360,2022-01-10 21:00:00
6560,CHFJPY_i,124.228,124.265,124.221,124.297,124.259,124.26100000000001,124.262,124.25275,3934,2022-01-10 22:00:00
6561,CHFJPY_i,124.264,124.183,124.183,124.299,124.24100000000001,124.22166666666668,124.212,124.23225000000001,1807,2022-01-10 23:00:00
6562,CHFJPY_i,124.183,124.268,124.101,124.28,124.1905,124.21633333333334,124.22925000000001,124.208,1812,2022-01-11 00:00:00
6563,CHFJPY_i,124.283,124.295,124.221,124.32,124.2705,124.27866666666667,124.28275000000001,124.27975,1657,2022-01-11 01:00:00
6564,CHFJPY_i,124.295,124.396,124.23,124.423,124.32650000000001,124.34966666666668,124.36125000000001,124.33600000000001,2335,2022-01-11 02:00:00
6565,CHFJPY_i,124.396,124.4,124.335,124.433,124.384,124.38933333333334,124.392,124.391,2698,2022-01-11 03:00:00
6566,CHFJPY_i,124.391,124.481,124.386,124.512,124.449,124.45966666666668,124.465,124.44250000000001,1526,2022-01-11 04:00:00
6567,CHFJPY_i,124.48,124.496,124.473,124.528,124.5005,124.49900000000001,124.49825,124.49425000000001,1192,2022-01-11 05:00:00
6568,CHFJPY_i,124.496,124.377,124.372,124.5,124.436,124.41633333333334,124.40650000000001,124.43625,1135,2022-01-11 06:00:00
6569,CHFJPY_i,124.375,124.423,124.372,124.445,124.4085,124.41333333333334,124.41575,124.40375,1394,2022-01-11 07:00:00
6570,CHFJPY_i,124.422,124.4,124.317,124.445,124.381,124.38733333333334,124.3905,124.39600000000002,1382,2022-01-11 08:00:00
6571,CHFJPY_i,124.403,124.531,124.339,124.543,124.441,124.471,124.486,124.45400000000001,4805,2022-01-11 09:00:00
6572,CHFJPY_i,124.53,124.652,124.414,124.666,124.53999999999999,124.57733333333333,124.59599999999999,124.56549999999999,5659,2022-01-11 10:00:00
6573,CHFJPY_i,124.653,124.542,124.516,124.775,124.6455,124.61099999999999,124.59375,124.6215,5018,2022-01-11 11:00:00
6574,CHFJPY_i,124.54,124.561,124.497,124.645,124.571,124.56766666666665,124.566,124.56075,4275,2022-01-11 12:00:00
6575,CHFJPY_i,124.561,124.531,124.501,124.589,124.545,124.54033333333332,124.538,124.5455,3131,2022-01-11 13:00:00
6576,CHFJPY_i,124.531,124.619,124.521,124.643,124.582,124.59433333333334,124.60050000000001,124.5785,3475,2022-01-11 14:00:00
6577,CHFJPY_i,124.619,124.667,124.609,124.735,124.672,124.67033333333332,124.6695,124.6575,4607,2022-01-11 15:00:00
6578,CHFJPY_i,124.666,124.611,124.574,124.76,124.667,124.64833333333333,124.639,124.65275,7176,2022-01-11 16:00:00
6579,CHFJPY_i,124.613,124.763,124.612,124.806,124.709,124.72700000000002,124.73600000000002,124.69850000000001,7849,2022-01-11 17:00:00
6580,CHFJPY_i,124.762,124.879,124.761,124.939,124.85,124.85966666666667,124.8645,124.83525,6262,2022-01-11 18:00:00
6581,CHFJPY_i,124.879,124.822,124.797,124.905,124.851,124.84133333333334,124.8365,124.85075,2772,2022-01-11 19:00:00
6582,CHFJPY_i,124.822,124.842,124.767,124.873,124.82,124.82733333333333,124.83099999999999,124.826,2115,2022-01-11 20:00:00
6583,CHFJPY_i,124.842,124.855,124.815,124.919,124.86699999999999,124.863,124.861,124.85775,2408,2022-01-11 21:00:00
6584,CHFJPY_i,124.853,124.79,124.778,124.876,124.827,124.81466666666667,124.80850000000001,124.82425,2274,2022-01-11 22:00:00
6585,CHFJPY_i,124.79,124.781,124.771,124.829,124.8,124.79366666666665,124.7905,124.79275,1512,2022-01-11 23:00:00
6586,CHFJPY_i,124.781,124.773,124.716,124.826,124.77099999999999,124.77166666666665,124.77199999999999,124.77399999999999,832,2022-01-12 00:00:00
6587,CHFJPY_i,124.775,124.851,124.769,124.912,124.8405,124.84400000000001,124.84575000000001,124.82675,1031,2022-01-12 01:00:00
6588,CHFJPY_i,124.851,124.799,124.799,124.902,124.85050000000001,124.83333333333333,124.82475,124.83775,1556,2022-01-12 02:00:00
6589,CHFJPY_i,124.801,124.82,124.748,124.849,124.7985,124.80566666666668,124.80925,124.8045,1346,2022-01-12 03:00:00
6590,CHFJPY_i,124.825,124.893,124.799,124.944,124.8715,124.87866666666666,124.88225,124.86524999999999,1086,2022-01-12 04:00:00
6591,CHFJPY_i,124.895,124.939,124.872,124.942,124.907,124.91766666666666,124.923,124.91199999999999,1140,2022-01-12 05:00:00
6592,CHFJPY_i,124.938,124.933,124.91,124.954,124.93199999999999,124.93233333333332,124.93249999999999,124.93374999999999,680,2022-01-12 06:00:00
6593,CHFJPY_i,124.933,124.903,124.87,124.936,124.903,124.903,124.903,124.9105,853,2022-01-12 07:00:00
6594,CHFJPY_i,124.908,124.792,124.77,124.911,124.84049999999999,124.82433333333331,124.81625,124.84525,910,2022-01-12 08:00:00
6595,CHFJPY_i,124.796,124.857,124.778,124.897,124.8375,124.84400000000001,124.84725,124.83200000000001,2682,2022-01-12 09:00:00
6596,CHFJPY_i,124.856,124.878,124.81,124.923,124.8665,124.87033333333333,124.87225,124.86675,4325,2022-01-12 10:00:00
6597,CHFJPY_i,124.878,124.927,124.797,124.946,124.8715,124.89,124.89925000000001,124.887,3415,2022-01-12 11:00:00
6598,CHFJPY_i,124.926,124.981,124.889,125.029,124.959,124.96633333333334,124.97,124.95625,2819,2022-01-12 12:00:00
6599,CHFJPY_i,124.98,124.94,124.916,125.0,124.958,124.952,124.949,124.959,2871,2022-01-12 13:00:00
6600,CHFJPY_i,124.941,125.08,124.918,125.085,125.0015,125.02766666666666,125.04074999999999,125.006,3238,2022-01-12 14:00:00
6601,CHFJPY_i,125.081,125.306,124.974,125.318,125.146,125.19933333333334,125.226,125.16975000000001,9376,2022-01-12 15:00:00
6602,CHFJPY_i,125.309,125.278,125.117,125.322,125.21950000000001,125.23900000000002,125.24875000000002,125.25650000000002,7732,2022-01-12 16:00:00
6603,CHFJPY_i,125.278,125.451,125.231,125.582,125.4065,125.42133333333334,125.42875000000001,125.38550000000001,8671,2022-01-12 17:00:00
6604,CHFJPY_i,125.452,125.589,125.283,125.6,125.44149999999999,125.49066666666666,125.51525,125.481,6771,2022-01-12 18:00:00
6605,CHFJPY_i,125.591,125.368,125.352,125.599,125.47550000000001,125.43966666666667,125.42175,125.4775,3269,2022-01-12 19:00:00
6606,CHFJPY_i,125.368,125.318,125.305,125.414,125.3595,125.34566666666666,125.33874999999999,125.35125,2945,2022-01-12 20:00:00
6607,CHFJPY_i,125.318,125.214,125.15,125.36,125.255,125.24133333333333,125.2345,125.2605,4295,2022-01-12 21:00:00
6608,CHFJPY_i,125.213,125.31,125.159,125.313,125.236,125.26066666666668,125.27300000000001,125.24875,3441,2022-01-12 22:00:00
