,EURGBP_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
3995,EURGBP_i,0.84776,0.84822,0.84775,0.84831,0.8480300000000001,0.8480933333333334,0.848125,0.84801,1459,2021-08-12 18:00:00
3996,EURGBP_i,0.84822,0.84941,0.84814,0.84946,0.8488,0.8490033333333334,0.849105,0.8488075,1351,2021-08-12 19:00:00
3997,EURGBP_i,0.8494,0.84955,0.84925,0.84986,0.849555,0.8495533333333333,0.8495524999999999,0.849515,1464,2021-08-12 20:00:00
3998,EURGBP_i,0.84955,0.84988,0.84947,0.85032,0.849895,0.8498899999999999,0.8498874999999999,0.8498049999999999,1191,2021-08-12 21:00:00
3999,EURGBP_i,0.84989,0.84984,0.84981,0.85013,0.84997,0.8499266666666667,0.849905,0.8499175000000001,1537,2021-08-12 22:00:00
4000,EURGBP_i,0.84984,0.84915,0.84898,0.85,0.84949,0.8493766666666667,0.84932,0.8494925,1372,2021-08-12 23:00:00
4001,EURGBP_i,0.84914,0.84909,0.84881,0.84939,0.8491,0.8490966666666666,0.8490949999999999,0.8491074999999999,357,2021-08-13 00:00:00
4002,EURGBP_i,0.84909,0.8496,0.84897,0.84965,0.84931,0.8494066666666668,0.8494550000000001,0.8493275,688,2021-08-13 01:00:00
4003,EURGBP_i,0.84959,0.84958,0.84954,0.84981,0.849675,0.8496433333333333,0.8496275,0.84963,561,2021-08-13 02:00:00
4004,EURGBP_i,0.84959,0.84967,0.84947,0.84969,0.84958,0.8496100000000001,0.8496250000000001,0.849605,707,2021-08-13 03:00:00
4005,EURGBP_i,0.84967,0.84994,0.84966,0.85009,0.8498749999999999,0.8498966666666666,0.8499075,0.84984,974,2021-08-13 04:00:00
4006,EURGBP_i,0.84994,0.84986,0.84952,0.84994,0.8497300000000001,0.8497733333333334,0.8497950000000001,0.8498150000000001,941,2021-08-13 05:00:00
4007,EURGBP_i,0.84986,0.84971,0.8497,0.84994,0.84982,0.8497833333333333,0.849765,0.8498025,712,2021-08-13 06:00:00
4008,EURGBP_i,0.84971,0.84963,0.84954,0.84978,0.84966,0.84965,0.849645,0.849665,581,2021-08-13 07:00:00
4009,EURGBP_i,0.84963,0.84975,0.84959,0.84986,0.849725,0.8497333333333333,0.8497375,0.8497075,481,2021-08-13 08:00:00
4010,EURGBP_i,0.84972,0.84985,0.84962,0.85061,0.850115,0.8500266666666666,0.8499825,0.84995,1311,2021-08-13 09:00:00
4011,EURGBP_i,0.84985,0.84968,0.84966,0.85049,0.8500749999999999,0.8499433333333334,0.8498775000000001,0.84992,1842,2021-08-13 10:00:00
4012,EURGBP_i,0.8497,0.85075,0.84967,0.85106,0.850365,0.8504933333333334,0.8505575000000001,0.850295,1502,2021-08-13 11:00:00
4013,EURGBP_i,0.85074,0.85105,0.85028,0.85111,0.850695,0.8508133333333333,0.8508724999999999,0.850795,1555,2021-08-13 12:00:00
4014,EURGBP_i,0.85105,0.85125,0.851,0.85168,0.85134,0.8513099999999999,0.8512949999999999,0.8512449999999999,1200,2021-08-13 13:00:00
4015,EURGBP_i,0.85126,0.85088,0.85071,0.85131,0.85101,0.8509666666666668,0.8509450000000001,0.85104,1793,2021-08-13 14:00:00
4016,EURGBP_i,0.85083,0.85061,0.85029,0.851,0.850645,0.8506333333333332,0.8506275,0.8506825,1837,2021-08-13 15:00:00
4017,EURGBP_i,0.85061,0.85007,0.84997,0.85078,0.850375,0.8502733333333333,0.8502225,0.8503575,2379,2021-08-13 16:00:00
4018,EURGBP_i,0.85007,0.85109,0.84994,0.8514,0.85067,0.8508100000000001,0.8508800000000001,0.8506250000000001,3489,2021-08-13 17:00:00
4019,EURGBP_i,0.8511,0.85116,0.85091,0.85128,0.851095,0.8511166666666666,0.8511275,0.8511124999999999,1730,2021-08-13 18:00:00
4020,EURGBP_i,0.85117,0.85082,0.85075,0.85125,0.851,0.85094,0.85091,0.8509975000000001,1680,2021-08-13 19:00:00
4021,EURGBP_i,0.85082,0.85027,0.85024,0.85088,0.85056,0.8504633333333333,0.850415,0.8505525,1291,2021-08-13 20:00:00
4022,EURGBP_i,0.85028,0.85039,0.85028,0.8506,0.8504400000000001,0.8504233333333334,0.850415,0.8503875000000001,1137,2021-08-13 21:00:00
4023,EURGBP_i,0.85038,0.85045,0.85022,0.85063,0.850425,0.8504333333333333,0.8504375,0.85042,661,2021-08-13 22:00:00
4024,EURGBP_i,0.85045,0.85032,0.85024,0.85059,0.8504149999999999,0.8503833333333333,0.8503674999999999,0.8503999999999999,871,2021-08-13 23:00:00
4025,EURGBP_i,0.85061,0.84998,0.84932,0.85061,0.849965,0.8499699999999999,0.8499724999999999,0.8501299999999999,272,2021-08-16 00:00:00
4026,EURGBP_i,0.85008,0.85033,0.85005,0.85069,0.85037,0.8503566666666668,0.85035,0.8502875000000001,805,2021-08-16 01:00:00
4027,EURGBP_i,0.85033,0.85059,0.85025,0.85059,0.85042,0.8504766666666667,0.850505,0.85044,444,2021-08-16 02:00:00
4028,EURGBP_i,0.85056,0.85103,0.85048,0.85103,0.8507549999999999,0.8508466666666665,0.8508924999999998,0.8507749999999998,1041,2021-08-16 03:00:00
4029,EURGBP_i,0.85103,0.85086,0.85078,0.85106,0.85092,0.8508999999999999,0.8508899999999999,0.8509324999999999,528,2021-08-16 04:00:00
4030,EURGBP_i,0.85084,0.85067,0.85057,0.85097,0.85077,0.8507366666666667,0.85072,0.8507625000000001,711,2021-08-16 05:00:00
4031,EURGBP_i,0.85067,0.85093,0.85066,0.85112,0.8508899999999999,0.8509033333333332,0.8509099999999999,0.850845,730,2021-08-16 06:00:00
4032,EURGBP_i,0.85093,0.85104,0.85079,0.85104,0.8509150000000001,0.8509566666666668,0.8509775000000002,0.8509500000000001,433,2021-08-16 07:00:00
4033,EURGBP_i,0.85104,0.85107,0.85103,0.85137,0.8512,0.8511566666666667,0.851135,0.8511275,503,2021-08-16 08:00:00
4034,EURGBP_i,0.85111,0.85112,0.85084,0.85133,0.8510850000000001,0.8510966666666667,0.8511025,0.8511,1454,2021-08-16 09:00:00
4035,EURGBP_i,0.85112,0.85018,0.85008,0.8514,0.85074,0.8505533333333334,0.85046,0.850695,1880,2021-08-16 10:00:00
4036,EURGBP_i,0.85019,0.85022,0.84974,0.8505,0.85012,0.8501533333333334,0.8501700000000001,0.8501625,2157,2021-08-16 11:00:00
4037,EURGBP_i,0.85022,0.85011,0.84994,0.85057,0.850255,0.8502066666666667,0.8501825,0.8502099999999999,1359,2021-08-16 12:00:00
