,WSt30_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
4051,WSt30_m_i,34553.0,34419.0,34389.0,34562.0,34475.5,34456.666666666664,34447.25,34480.75,1486,2021-07-19 13:00:00
4052,WSt30_m_i,34419.0,34345.0,34322.0,34504.0,34413.0,34390.333333333336,34379.0,34397.5,1364,2021-07-19 14:00:00
4053,WSt30_m_i,34344.0,34382.0,34325.0,34397.0,34361.0,34368.0,34371.5,34362.0,1040,2021-07-19 15:00:00
4054,WSt30_m_i,34382.0,34316.0,34297.0,34392.0,34344.5,34335.0,34330.25,34346.75,1029,2021-07-19 16:00:00
4055,WSt30_m_i,34319.0,34248.0,34184.0,34344.0,34264.0,34258.666666666664,34256.0,34273.75,1371,2021-07-19 17:00:00
4056,WSt30_m_i,34248.0,34198.0,34158.0,34252.0,34205.0,34202.666666666664,34201.5,34214.0,1306,2021-07-19 18:00:00
4057,WSt30_m_i,34196.0,34023.0,34014.0,34268.0,34141.0,34101.666666666664,34082.0,34125.25,2402,2021-07-19 19:00:00
4058,WSt30_m_i,34026.0,33908.0,33863.0,34029.0,33946.0,33933.333333333336,33927.0,33956.5,2463,2021-07-19 20:00:00
4059,WSt30_m_i,33908.0,33960.0,33845.0,34003.0,33924.0,33936.0,33942.0,33929.0,1981,2021-07-19 21:00:00
4060,WSt30_m_i,33957.0,33818.0,33754.0,33957.0,33855.5,33843.0,33836.75,33871.5,1640,2021-07-19 22:00:00
4061,WSt30_m_i,33816.0,33758.0,33743.0,33863.0,33803.0,33788.0,33780.5,33795.0,1748,2021-07-19 23:00:00
4062,WSt30_m_i,33757.0,33788.0,33756.0,33854.0,33805.0,33799.333333333336,33796.5,33788.75,1774,2021-07-20 00:00:00
4063,WSt30_m_i,33791.0,33988.0,33772.0,33993.0,33882.5,33917.666666666664,33935.25,33886.0,2044,2021-07-20 01:00:00
4064,WSt30_m_i,34018.0,34038.0,34013.0,34038.0,34025.5,34029.666666666664,34031.75,34026.75,115,2021-07-20 04:00:00
4065,WSt30_m_i,34038.0,34054.0,34026.0,34070.0,34048.0,34050.0,34051.0,34047.0,470,2021-07-20 05:00:00
4066,WSt30_m_i,34052.0,34102.0,34052.0,34110.0,34081.0,34088.0,34091.5,34079.0,555,2021-07-20 06:00:00
4067,WSt30_m_i,34102.0,34143.0,34081.0,34145.0,34113.0,34123.0,34128.0,34117.75,523,2021-07-20 07:00:00
4068,WSt30_m_i,34143.0,34115.0,34115.0,34154.0,34134.5,34128.0,34124.75,34131.75,510,2021-07-20 08:00:00
4069,WSt30_m_i,34117.0,34017.0,33989.0,34139.0,34064.0,34048.333333333336,34040.5,34065.5,761,2021-07-20 09:00:00
4070,WSt30_m_i,34017.0,34024.0,33964.0,34033.0,33998.5,34007.0,34011.25,34009.5,574,2021-07-20 10:00:00
4071,WSt30_m_i,34024.0,34059.0,33997.0,34063.0,34030.0,34039.666666666664,34044.5,34035.75,725,2021-07-20 11:00:00
4072,WSt30_m_i,34058.0,34112.0,34049.0,34116.0,34082.5,34092.333333333336,34097.25,34083.75,811,2021-07-20 12:00:00
4073,WSt30_m_i,34115.0,34170.0,34085.0,34258.0,34171.5,34171.0,34170.75,34157.0,1307,2021-07-20 13:00:00
4074,WSt30_m_i,34170.0,34173.0,34153.0,34238.0,34195.5,34188.0,34184.25,34183.5,1070,2021-07-20 14:00:00
4075,WSt30_m_i,34173.0,34097.0,34072.0,34203.0,34137.5,34124.0,34117.25,34136.25,1127,2021-07-20 15:00:00
4076,WSt30_m_i,34098.0,34130.0,34060.0,34178.0,34119.0,34122.666666666664,34124.5,34116.5,1234,2021-07-20 16:00:00
4077,WSt30_m_i,34132.0,34180.0,34093.0,34202.0,34147.5,34158.333333333336,34163.75,34151.75,1182,2021-07-20 17:00:00
4078,WSt30_m_i,34181.0,34089.0,34071.0,34212.0,34141.5,34124.0,34115.25,34138.25,1006,2021-07-20 18:00:00
4079,WSt30_m_i,34088.0,34379.0,33989.0,34398.0,34193.5,34255.333333333336,34286.25,34213.5,2146,2021-07-20 19:00:00
4080,WSt30_m_i,34379.0,34514.0,34369.0,34520.0,34444.5,34467.666666666664,34479.25,34445.5,1783,2021-07-20 20:00:00
4081,WSt30_m_i,34515.0,34573.0,34458.0,34574.0,34516.0,34535.0,34544.5,34530.0,1141,2021-07-20 21:00:00
4082,WSt30_m_i,34574.0,34612.0,34545.0,34623.0,34584.0,34593.333333333336,34598.0,34588.5,857,2021-07-20 22:00:00
