,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
138,high,6,52,20,macds,35,16,3,9,0.14,1073,801,98,16,734,5,37,604,14,47,377,53,40,28,881,753,338,242,862,625,394,42,921,243,359,200,431,519,28,376,96,286,303,18,674,24,98,3,11,259,18,12,0.26,0.23,0.5,0.83,0.6,0.94,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5.678411413,TRUE,FALSE,0.285670313,0.159584085,0.163406089
139,high,31,297,25,macd,28,81,5,3,0.39,1632,277,97,81,594,19,48,844,44,54,442,15,65,443,918,556,303,105,984,522,338,45,757,935,632,201,178,56,806,978,26,139,606,15,393,29,45,188,3,71,2,9,0.17,0.39,0.4,0.52,0.91,1.0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31.89330567,TRUE,FALSE,0.076896917,0.034434328,0.035307224
140,HLCC/4,21,107,4,macd,61,76,5,15,0.05,1401,630,77,8,175,75,62,817,5,23,162,100,84,846,775,538,312,247,908,852,408,260,223,404,765,409,722,116,400,368,26,180,530,17,873,2,109,137,3,144,23,12,0.36,0.09,0.25,0.27,0.7,0.72,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,44.09470094,TRUE,FALSE,0.16178786,0.086681306,0.091148086
141,HLCC/4,79,80,24,macdh,76,87,4,17,0.2,426,412,64,60,173,60,18,249,17,87,493,41,35,783,497,478,361,293,583,444,180,22,170,945,867,597,162,522,195,940,78,284,36,5,181,16,70,112,15,186,13,3,0.15,0.02,0.473500322,0.989293726,0.642177207,1.198922345,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,14.26724233,TRUE,FALSE,0.145182244,0.071306269,0.075822198
142,HLC/3,9,204,4,macdh,94,58,3,20,0.23,1935,248,10,95,773,67,69,386,86,17,257,94,99,482,951,371,327,190,510,687,457,98,254,490,715,410,909,25,123,228,81,171,586,17,492,5,6,124,7,850,2,22,0.25,0.21,0.53,0.65,0.79,0.9,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,23.52481516,TRUE,FALSE,0.204428272,0.103474979,0.113100537
143,open,66,294,29,macds,89,85,5,3,0.34,2342,512,96,34,221,26,87,127,43,53,650,20,65,643,655,450,427,170,913,414,239,154,860,885,180,245,164,136,471,172,70,200,509,14,273,26,66,109,6,109,4,7,0.19,0.02,0.82,0.83,0.91,0.95,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,9.336902655,TRUE,FALSE,0.006459291,0.003235647,0.000253933
144,high,131,168,12,macdh,3,19,2,19,0.21,1658,434,40,90,267,46,32,568,11,49,399,7,31,954,884,575,253,43,799,396,168,86,657,703,765,460,42,649,708,269,20,148,249,6,264,24,80,113,19,74,11,15,0.36,0.03,0.3,0.32,0.67,0.7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,12.20153817,TRUE,FALSE,0.075790732,0.02526216,0.030340971
145,low,46,67,14,macds,41,42,3,16,0.19,1779,218,90,27,764,100,94,897,20,21,890,67,96,850,209,841,404,90,766,535,299,215,204,758,384,573,219,89,402,176,47,272,529,11,697,2,48,156,16,556,12,15,0.3,0.17,0.6,0.97,0.93,0.83,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2.414077914,TRUE,FALSE,0.136818311,0.074104415,0.074165628
146,OHLC/4,109,206,37,macdh,54,87,3,16,0.26,2740,586,90,18,754,43,19,258,10,21,619,4,13,812,776,536,375,314,929,167,357,217,353,790,447,441,355,588,158,482,25,44,316,18,737,22,105,130,11,181,12,6,0.21,0.4,0.5,0.61,0.87,0.95,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,35.7737937,TRUE,FALSE,0.036942253,0.009964599,0.013899812
147,low,97,181,23,macdh,41,69,2,17,0.22,1690,735,3,23,691,17,75,311,31,26,753,83,14,482,600,536,281,241,537,819,492,266,264,433,604,847,528,454,116,286,64,66,350,2,239,6,93,117,7,234,2,20,0.03,0.39,0.97,0.92,0.9,1.0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,28.48478369,TRUE,FALSE,0.096457659,0.052717873,0.055998796
