,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
10,close,40.0,1119.0,25.0,macdh,81.0,180.0,5.0,17.0,0.7,2559.0,967.0,51.0,194.0,609.0,148.0,90.0,866.0,90.0,234.0,107.0,20.0,33.0,392.0,872.0,225.0,199.0,13.0,736.0,546.0,288.0,103.0,1000.0,313.0,778.0,510.0,414.0,150.0,251.0,293.0,295.0,669.0,2232.0,23.0,62.0,347.0,939.0,98.0,14.0,525.0,9.0,16.0,0.29,0.11,5.73,10.53,12.17,15.6,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,0.001783647514939,True,False
11,close,366.0,630.0,42.0,macd,54.0,137.0,3.0,30.0,0.44,1818.0,743.0,216.0,173.0,283.0,205.0,134.0,988.0,194.0,149.0,457.0,172.0,107.0,622.0,506.0,919.0,492.0,131.0,143.0,592.0,142.0,76.0,469.0,105.0,927.0,407.0,540.0,884.0,205.0,182.0,245.0,506.0,592.0,50.0,493.0,471.0,734.0,180.0,6.0,85.0,14.0,16.0,0.12,0.97,11.44390118771124,18.6732782257861,10.076686373222053,17.974726357172546,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False,True,1.0,True,False
12,open,192.0,269.0,4.0,macdh,167.0,46.0,3.0,18.0,0.91,2038.0,962.0,136.0,152.0,163.0,215.0,188.0,429.0,21.0,143.0,571.0,132.0,221.0,681.0,756.0,701.0,189.0,180.0,199.0,100.0,57.0,41.0,687.0,169.0,455.0,964.0,883.0,945.0,81.0,233.0,55.0,377.0,1047.0,35.0,201.0,6.0,50.0,176.0,13.0,441.0,21.0,13.0,0.8,0.16,0.82,0.92,0.86,0.82,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,6.419168698250137,True,False
13,high,782.0,800.0,29.0,macds,84.0,178.0,5.0,44.0,0.87,1585.0,488.0,155.0,180.0,356.0,28.0,13.0,376.0,161.0,9.0,800.0,29.0,124.0,416.0,405.0,148.0,433.0,207.0,246.0,218.0,114.0,72.0,478.0,675.0,628.0,747.0,420.0,314.0,979.0,358.0,442.0,822.0,1356.0,31.0,553.0,38.0,104.0,123.0,45.0,411.0,21.0,31.0,0.94,0.48,9.78431168680788,26.38722422508255,16.46818820880436,19.47608772252121,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,0.0077705801628046,True,False
14,low,152.0,552.0,6.0,macd,48.0,96.0,5.0,5.0,0.57,2075.0,361.0,2.0,157.0,187.0,67.0,160.0,498.0,59.0,173.0,156.0,124.0,24.0,317.0,984.0,599.0,169.0,160.0,227.0,483.0,241.0,166.0,531.0,443.0,711.0,93.0,756.0,411.0,12.0,180.0,314.0,910.0,8.0,48.0,515.0,9.0,108.0,56.0,6.0,755.0,37.0,43.0,0.54,0.78,0.84,0.89,0.97,0.92,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,15.737419391145105,True,False
15,HLCC/4,36.0,1419.0,13.0,macdh,158.0,161.0,3.0,43.0,0.11,1932.0,714.0,13.0,9.0,435.0,123.0,2.0,753.0,123.0,44.0,185.0,51.0,82.0,594.0,306.0,477.0,441.0,23.0,198.0,554.0,429.0,230.0,329.0,809.0,601.0,289.0,102.0,568.0,630.0,18.0,38.0,44.0,845.0,26.0,946.0,31.0,34.0,158.0,10.0,859.0,10.0,5.0,0.69,0.22,8.73,10.34,13.17,14.46,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,0.6688722412224786,True,False
16,HL/2,619.0,624.0,36.0,macdh,28.0,8.0,4.0,19.0,0.6,2706.0,575.0,99.0,105.0,168.0,238.0,105.0,67.0,19.0,128.0,629.0,59.0,200.0,948.0,710.0,636.0,237.0,189.0,664.0,572.0,109.0,29.0,4.0,772.0,495.0,708.0,908.0,986.0,881.0,926.0,454.0,524.0,218.0,26.0,717.0,5.0,10.0,190.0,9.0,748.0,7.0,14.0,0.8,0.49,0.81,0.82,0.95,0.97,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,0.0005697546638223,True,False
17,HL/2,128.0,1294.0,32.0,macd,227.0,85.0,3.0,11.0,0.9,2700.0,612.0,30.0,2.0,546.0,143.0,31.0,185.0,141.0,31.0,456.0,137.0,75.0,184.0,704.0,519.0,385.0,97.0,378.0,31.0,215.0,118.0,209.0,185.0,352.0,7.0,356.0,209.0,935.0,915.0,376.0,914.0,2388.0,48.0,841.0,16.0,27.0,36.0,14.0,13.0,4.0,13.0,0.37,0.54,-11.75,28.92,-2.87,27.88,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,True,0.0979882848323352,True,False
18,high,130.0,682.0,45.0,macd,240.0,24.0,3.0,24.0,0.15,1473.0,872.0,211.0,170.0,473.0,163.0,66.0,150.0,183.0,55.0,216.0,121.0,134.0,286.0,513.0,454.0,216.0,159.0,946.0,500.0,190.0,161.0,147.0,888.0,277.0,642.0,399.0,742.0,703.0,182.0,66.0,217.0,296.0,19.0,984.0,38.0,83.0,166.0,26.0,108.0,9.0,32.0,0.89,0.96,0.81,0.85,0.86,0.85,True,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,2.5028620927462635,True,False
19,OHLC/4,11.0,134.0,33.0,macd,89.0,198.0,2.0,24.0,0.75,1935.0,303.0,9.0,192.0,334.0,161.0,228.0,866.0,17.0,122.0,29.0,83.0,106.0,582.0,856.0,729.0,496.0,270.0,88.0,79.0,239.0,43.0,443.0,123.0,522.0,347.0,784.0,176.0,153.0,843.0,208.0,1057.0,1334.0,29.0,31.0,18.0,64.0,59.0,43.0,640.0,17.0,13.0,0.79,0.82,3.23,10.41,12.05,18.6,True,True,True,False,False,False,True,True,True,True,False,True,True,False,True,False,True,0.5799024082971642,True,False
20,close,799.0,1085.0,6.0,macd,45.0,185.0,3.0,49.0,0.85,2048.0,814.0,40.0,10.0,271.0,85.0,39.0,963.0,246.0,189.0,384.0,168.0,68.0,325.0,660.0,519.0,488.0,25.0,128.0,536.0,444.0,10.0,902.0,147.0,98.0,265.0,60.0,436.0,316.0,392.0,375.0,1080.0,465.0,10.0,499.0,23.0,75.0,205.0,43.0,106.0,2.0,6.0,0.04,0.47,8.722975188705842,19.385393983870905,13.711136703995807,20.919763874529668,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,0.1285930957387767,True,False
21,HL/2,48.0,714.0,44.0,macds,46.0,116.0,5.0,3.0,0.34,1786.0,389.0,35.0,164.0,400.0,198.0,33.0,850.0,172.0,55.0,533.0,205.0,55.0,994.0,239.0,983.0,275.0,25.0,50.0,384.0,47.0,20.0,370.0,169.0,30.0,931.0,459.0,877.0,757.0,620.0,121.0,716.0,508.0,45.0,859.0,19.0,55.0,207.0,17.0,253.0,38.0,3.0,0.46,0.31,0.91,0.86,0.99,0.99,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,False,True,0.0226805747694571,True,False
22,low,255.0,898.0,14.0,macds,55.0,100.0,3.0,24.0,0.5,2226.0,995.0,166.0,221.0,597.0,217.0,46.0,200.0,134.0,32.0,429.0,153.0,55.0,497.0,967.0,46.0,346.0,149.0,457.0,413.0,220.0,134.0,710.0,268.0,821.0,641.0,267.0,607.0,860.0,495.0,284.0,1032.0,269.0,2.0,242.0,32.0,55.0,78.0,38.0,163.0,20.0,26.0,0.97,0.63,2.3788752312472483,10.55228223376246,15.7836711974663,16.18332407695113,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,0.002982563426137,True,False
23,open,477.0,1110.0,37.0,macds,69.0,10.0,4.0,28.0,0.4,1411.0,785.0,17.0,79.0,888.0,176.0,143.0,575.0,167.0,104.0,95.0,186.0,52.0,926.0,545.0,259.0,454.0,422.0,886.0,386.0,77.0,44.0,884.0,818.0,455.0,748.0,524.0,423.0,402.0,770.0,68.0,618.0,1281.0,43.0,312.0,96.0,852.0,59.0,16.0,99.0,18.0,3.0,0.06,0.6,3.593969159944168,5.622610390584002,9.159998008802466,12.321622132690024,False,False,True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,0.0001024377381591,True,False
24,low,390.0,1333.0,21.0,macdh,174.0,149.0,5.0,31.0,0.73,1401.0,430.0,210.0,242.0,956.0,4.0,198.0,826.0,97.0,172.0,963.0,104.0,211.0,210.0,802.0,648.0,307.0,282.0,191.0,145.0,429.0,244.0,513.0,466.0,397.0,357.0,532.0,118.0,459.0,465.0,8.0,11.0,386.0,11.0,217.0,4.0,77.0,150.0,47.0,514.0,34.0,11.0,0.47,0.18,12.560729810398238,17.88443967141131,8.389366817195276,17.341309045007677,True,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,True,0.0808070009328407,True,False
25,open,96.0,1163.0,29.0,macdh,239.0,113.0,2.0,9.0,0.71,1543.0,655.0,193.0,12.0,853.0,97.0,53.0,166.0,179.0,2.0,150.0,154.0,134.0,675.0,922.0,912.0,225.0,157.0,180.0,86.0,368.0,187.0,880.0,405.0,742.0,834.0,555.0,953.0,306.0,361.0,205.0,1330.0,554.0,39.0,51.0,9.0,63.0,130.0,4.0,231.0,41.0,37.0,0.99,0.82,-1.0,18.17,8.77,22.97,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,True,0.0001339101927564,True,False
26,low,211.0,887.0,45.0,macdh,39.0,96.0,2.0,47.0,0.65,2815.0,765.0,36.0,243.0,601.0,51.0,229.0,23.0,184.0,172.0,356.0,90.0,241.0,341.0,675.0,415.0,297.0,112.0,521.0,245.0,185.0,29.0,709.0,409.0,214.0,978.0,538.0,631.0,11.0,114.0,22.0,512.0,1147.0,8.0,876.0,19.0,89.0,188.0,40.0,747.0,8.0,43.0,0.65,0.56,0.9,7.67,3.72,14.33,True,True,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,0.029376264960944552,True,False
