,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
21,low,375,826,11,macdh,30,114,3,50,0.01,1985,966,37,53,699,29,245,352,208,92,655,192,144,911,663,401,329,267,750,217,136,128,859,781,328,23,880,931,288,606,226,1216,1535,49,710,16,50,2,41,76,20,24,0.34,0.8,13.334087486485602,18.08822125820128,6.706977438915772,19.77248816328356,True,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,16.628662915551402,True,False
22,low,295,548,6,macds,193,119,4,9,0.16,1162,524,156,142,133,234,151,673,47,35,453,57,223,312,449,438,324,275,953,561,464,291,537,195,775,369,154,592,806,366,196,436,962,14,750,11,51,155,29,379,2,4,0.42,0.27,5.305425066334572,6.636677813038099,7.964332187089783,16.76591291467112,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,23.125804789864745,True,False
23,high,444,1093,15,macdh,65,141,3,24,0.2,2518,302,187,58,501,238,4,244,43,136,62,176,178,55,528,944,316,74,718,274,220,201,362,173,342,619,326,427,430,428,43,1399,334,26,603,8,87,93,20,314,8,32,0.66,0.37,0.8,0.8,0.86,0.93,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,22.86063024090738,True,False
24,HL/2,49,600,8,macdh,228,221,4,34,0.08,2825,341,31,165,69,225,218,729,6,164,658,46,88,100,755,636,228,43,722,587,223,56,435,478,723,908,755,396,261,752,217,360,2138,1,204,30,73,125,28,35,20,14,0.26,0.94,11.448103551707083,17.311336770396636,13.496585473028718,19.44329850564945,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False,13.31916496163582,True,False
25,HLCC/4,609,1190,5,macdh,76,208,5,7,0.48,1211,702,38,196,924,55,164,25,182,56,135,182,98,230,756,749,465,142,708,696,150,22,178,763,957,385,596,930,657,116,181,1011,122,7,888,31,59,155,49,252,9,39,0.94,0.95,0.93,0.98,0.95,1.0,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,True,29.872732541623183,True,False
26,close,269,1339,16,macds,198,200,2,40,0.2,885,709,177,43,483,188,33,485,79,25,71,227,71,917,593,482,175,51,723,764,417,274,592,523,835,287,799,339,316,256,278,1213,841,35,833,3,53,15,42,385,27,7,0.23,0.8,8.47669879988343,19.617248551829768,12.419515731434664,19.04853850986164,False,False,True,False,True,False,True,False,True,True,True,False,False,True,False,True,True,28.783174730853045,True,False
27,HL/2,62,886,16,macds,34,84,6,20,0.57,2664,829,117,60,597,19,37,457,130,116,899,161,166,804,883,144,403,379,890,598,383,133,555,208,69,331,331,642,635,729,174,389,2333,46,576,11,30,132,29,98,25,16,0.25,0.78,0.49,0.97,0.89,0.84,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,10.262635659148016,True,False
28,HLC/3,785,1477,48,macd,21,238,3,20,0.13,1110,460,4,77,438,174,95,754,129,250,652,24,165,180,891,394,364,319,970,392,118,60,500,139,568,424,489,258,24,46,63,935,638,11,451,26,43,207,3,234,28,24,0.08,0.58,0.83,0.84,0.89,0.85,True,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,False,25.661586342674195,True,False
29,OHLC/4,175,1054,35,macd,83,221,6,6,0.69,1481,205,216,140,791,46,118,683,94,194,893,104,7,437,820,769,174,38,805,621,388,149,445,970,463,271,426,131,614,405,11,996,993,26,152,17,50,145,17,598,27,3,0.55,0.76,0.82,0.84,0.92,0.82,False,True,True,True,False,True,False,True,True,False,False,False,True,False,True,True,True,29.33148765672389,True,False
30,OHLC/4,510,1371,8,macds,19,232,4,50,0.28,2021,641,85,9,508,136,190,606,178,100,200,31,159,868,955,387,385,266,999,791,412,410,430,52,82,341,177,931,296,751,378,1066,792,21,76,10,66,114,2,521,36,28,0.9,0.52,7.74267238880784,16.60540897598118,9.823185182971928,15.00395229019559,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,4.701235048660363,True,False
31,HLCC/4,13,812,21,macds,6,187,4,22,0.98,2007,831,39,161,301,4,224,643,163,216,412,164,142,864,663,273,224,26,764,671,297,87,478,387,169,379,117,485,271,348,18,987,641,25,830,5,75,14,6,711,41,8,0.21,0.67,9.5,12.4,8.95,22.39,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,False,False,2.49841288531424,True,False
32,open,53,761,28,macd,23,236,5,27,0.65,1380,960,177,20,386,31,34,902,106,34,164,101,6,795,406,348,258,76,725,566,499,165,429,174,700,920,421,449,659,884,278,1061,269,33,380,7,98,65,14,342,26,34,0.98,0.9,15.810921437784902,15.810921437784902,0.9676995651879146,0.9676995651879146,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,31.62277660168379,True,False
