,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
72,close,301,304,45,macdh,101,160,5,2,0.05,1039,613,253,327,410,375,238,861,121,338,650,171,285,135,946,618,432,381,889,762,487,355,16,570,915,263,440,924,551,690,5,20,44,13,556,9,26,81,7,240,16,15,0.03,0.1,0.38,0.64,0.82,0.98,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,37.43014807466201,True,False,-0.107099900977402,-0.0621171976955651,-0.0610394121713229
73,close,206,249,38,macdh,267,335,5,3,0.38,1345,255,5,195,141,284,72,993,239,294,68,274,202,162,909,904,310,252,869,651,465,253,798,700,475,421,382,489,599,586,23,48,7,13,819,3,34,48,4,90,21,6,0.17,0.03,0.48,0.99,0.82,0.85,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,False,False,8.34176394223034,True,False,,-0.002604214035279,0.0012840184132483
74,HLC/3,76,386,50,macdh,203,30,5,11,0.17,2014,993,132,167,911,142,191,996,65,79,212,378,130,526,722,562,300,294,600,553,407,344,421,915,817,607,234,685,125,489,2,53,71,3,925,13,45,29,1,118,5,20,0.01,0.09,0.85,1.0,0.84,0.92,True,True,False,True,True,True,False,True,True,True,False,True,True,False,False,False,False,16.883672347770805,True,False,-0.1048770089646687,-0.0358280093108598,-0.0345463595141327
75,HLCC/4,32,216,14,macds,379,151,5,9,0.28,1109,930,304,171,516,217,242,567,8,194,793,98,349,495,959,710,500,264,938,842,311,280,864,342,924,683,449,71,295,652,26,56,56,1,676,2,33,97,14,726,9,21,0.16,0.1,0.45,0.59,0.82,0.91,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,31.008371882642145,True,False,-0.0978296146001726,-0.0577451618192661,-0.0551503273724898
76,low,217,352,39,macdh,396,291,2,18,0.3,2027,560,38,224,568,360,325,796,201,338,745,322,169,91,619,593,398,356,930,877,315,267,538,326,806,169,39,255,225,52,12,17,2,16,294,11,15,9,12,974,23,25,0.31,0.39,0.4,0.7,0.78,1.01,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,13.499686387462694,True,False,-0.0636195949918967,-0.0525443846430595,-0.0500057924580464
77,HL/2,101,118,41,macdh,156,206,2,8,0.15,570,579,296,300,834,335,372,467,350,70,349,311,309,806,707,697,431,277,860,734,348,309,914,393,131,862,273,47,256,290,5,23,68,17,243,16,51,58,20,727,17,13,0.16,0.34,0.52,0.6,0.93,0.98,True,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,True,14.228812541179211,True,False,,-0.0014480749802563,0.0039998830466422
78,HL/2,276,361,10,macds,81,332,4,13,0.37,445,604,150,332,532,361,159,1000,137,47,547,152,79,361,709,501,456,276,793,613,375,277,434,139,653,57,638,168,661,52,13,37,28,4,993,12,22,4,5,435,24,5,0.39,0.28,0.43,0.48,1.0,1.03,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,26.9269125712131,True,False,-0.0805394614402289,-0.0782695031175896,-0.0794610502223222
79,high,32,164,23,macd,338,151,5,17,0.25,506,484,296,199,817,28,288,391,116,320,903,11,301,11,981,510,409,374,610,556,385,319,968,977,393,35,72,640,817,360,30,40,42,19,114,2,18,49,20,342,14,19,0.33,0.14,0.51,0.52,0.95,0.95,False,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,True,31.8651687341465,True,False,-0.0829601317572378,-0.0440380213562077,-0.0440994498145898
80,open,210,472,16,macdh,370,141,6,20,0.32,2741,570,283,12,141,170,249,90,263,283,647,8,303,650,815,697,440,256,867,842,386,383,200,119,467,291,757,407,933,487,2,58,19,16,620,12,33,98,5,42,19,21,0.08,0.04,0.29,0.68,0.8,1.06,False,True,False,True,True,True,False,False,True,False,False,False,True,False,True,True,True,58.50518550989352,True,False,-0.1476546256712555,-0.0870087780999444,-0.0856434895360216
81,open,109,170,34,macd,315,96,5,5,0.11,1230,934,345,150,887,285,141,491,202,375,211,312,89,682,739,528,346,264,896,662,335,283,838,267,353,819,918,17,77,183,11,50,12,5,767,6,37,65,18,238,10,24,0.11,0.12,0.51,0.68,0.82,0.92,True,True,True,False,False,True,False,False,True,True,True,False,False,True,False,False,True,22.546272520619443,True,False,-0.1155294605731803,-0.0667197952975055,-0.0687834973506635
82,HLCC/4,20,180,34,macd,78,155,5,9,0.03,866,922,139,58,104,364,383,535,299,85,310,31,80,937,549,541,492,421,797,504,474,348,225,446,589,375,438,408,452,976,2,18,43,3,861,11,14,63,20,637,2,5,0.16,0.24,0.41,0.57,0.91,0.99,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,True,44.529942795604384,True,False,-0.0611569657858358,-0.0293780649926772,-0.0261275290808655
83,OHLC/4,96,435,39,macd,308,97,5,9,0.3,2762,629,250,24,769,142,41,866,227,334,892,248,351,215,856,842,480,415,735,645,366,338,335,532,291,49,478,474,558,386,8,23,96,10,611,8,31,32,2,798,14,4,0.22,0.23,0.4,0.71,0.85,1.07,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,False,22.875594286227315,True,False,-0.0952574475159125,-0.0552082209694942,-0.0584195589312312
84,HL/2,120,143,46,macdh,133,201,5,6,0.38,357,267,358,385,957,24,159,206,312,67,765,204,127,794,729,505,320,264,807,769,267,251,358,46,624,207,256,856,598,571,29,39,53,10,603,5,43,74,16,710,2,21,0.37,0.27,0.9,1.0,0.95,0.9,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,13.266011900289175,True,False,-0.1190722325001658,-0.0754462998939574,-0.0721824883827415
85,HL/2,141,283,16,macdh,81,400,6,8,0.04,2220,945,340,26,109,227,157,136,165,99,153,283,358,603,832,520,403,339,733,596,470,418,499,517,738,653,300,673,167,696,11,12,16,3,295,7,25,90,13,760,1,23,0.35,0.3,0.45,0.8,0.94,0.8,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,9.209552542191778,True,False,-0.1524221859075785,-0.1505320170696866,-0.1470265251405979
86,high,22,270,20,macd,68,158,5,13,0.19,2131,383,24,237,390,152,129,565,93,253,796,130,398,188,684,627,432,420,874,763,382,328,888,526,851,745,589,680,180,510,16,17,68,20,230,8,11,79,3,690,9,13,0.03,0.03,0.31,0.6,0.91,1.06,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,39.95223154034422,True,False,-0.1052676611129793,-0.0661056521325922,-0.0648750078047113
87,OHLC/4,337,467,41,macdh,21,88,5,10,0.3,1386,577,115,63,674,125,282,546,114,290,191,334,167,350,840,578,469,377,869,728,346,275,952,769,859,605,625,662,342,170,15,21,85,1,308,13,26,84,3,28,14,23,0.26,0.32,0.39,0.73,0.72,0.97,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,27.73692022666905,True,False,-0.0624991427902611,-0.023841273485424,-0.023924835687813
88,HLC/3,271,376,10,macd,116,95,5,8,0.12,2752,320,245,243,759,91,181,525,69,181,49,218,152,330,835,659,473,370,916,585,378,283,763,950,203,444,194,175,919,701,28,47,58,20,690,13,33,38,19,282,11,19,0.11,0.35,0.65,0.98,0.85,0.85,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,14.058847559922972,True,False,-0.0919182626631313,-0.0606550817210908,-0.0627636312260334
89,OHLC/4,416,462,28,macdh,75,125,5,15,0.32,1819,935,374,101,898,223,396,709,307,32,640,320,101,40,687,631,391,260,859,659,486,317,570,703,901,465,646,213,239,12,10,16,65,7,432,10,14,44,13,414,4,7,0.08,0.34,0.46,0.52,0.93,0.97,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,True,True,33.06353614347324,True,False,-0.1013280927475735,-0.0555063223812549,-0.0548051088706673
90,HLC/3,420,432,16,macdh,215,337,3,7,0.34,568,223,322,117,292,255,93,275,225,93,953,131,375,226,935,562,402,310,704,586,357,304,135,648,744,499,685,749,300,367,19,47,32,13,998,7,24,51,5,588,18,3,0.22,0.4,0.46,0.49,0.97,0.98,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,11.766264868922034,True,False,-0.0644272310357842,-0.0510801188314824,-0.0484766662079674
91,HLC/3,210,351,40,macdh,345,138,6,19,0.25,2876,231,115,219,124,86,144,794,239,144,725,45,208,827,967,698,452,331,797,754,461,417,633,174,626,159,642,293,131,235,3,4,47,13,309,15,46,34,15,610,19,5,0.18,0.1,0.35,0.75,0.82,1.1,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,False,False,45.26810821911403,True,False,-0.0782042202278179,-0.0347097525794427,-0.0328087558595531
92,high,258,274,42,macdh,245,351,3,11,0.19,503,267,213,272,84,146,224,299,370,172,611,337,115,616,761,626,475,256,958,569,497,269,640,723,580,594,868,225,864,358,2,15,4,11,584,17,32,34,18,932,23,3,0.26,0.4,0.53,0.81,0.88,0.88,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,7.712676075647248,True,False,-0.0919249117236244,-0.0783196700282008,-0.0762931353535305
93,OHLC/4,153,488,35,macdh,96,155,3,15,0.38,1458,671,62,61,949,138,305,66,351,124,562,360,28,751,773,595,358,355,995,944,324,306,138,544,584,615,554,650,189,680,28,55,37,6,48,17,45,86,18,392,9,17,0.09,0.26,0.3,0.72,0.76,1.04,False,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,43.0428282796462,True,False,-0.0883499009504559,-0.0558280554597468,-0.0532448630966153
94,open,364,371,11,macdh,315,187,3,7,0.16,1906,348,285,109,554,232,373,735,225,136,266,91,93,206,940,562,459,279,717,512,470,322,186,279,799,252,444,982,417,834,17,51,36,1,518,15,38,27,10,217,6,7,0.28,0.39,0.35,0.58,0.85,0.98,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True,False,False,25.070711423977112,True,False,-0.0670166707204589,-0.0419958029717618,-0.0389515580904203
95,OHLC/4,387,454,24,macd,8,364,4,8,0.27,2392,491,91,228,94,2,217,785,304,31,362,262,316,664,804,569,440,391,999,631,349,319,462,493,771,209,624,732,907,72,7,40,10,10,440,17,36,67,5,103,25,3,0.06,0.36,0.1,0.44,1.0,1.14,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,34.162932462307324,True,False,-0.0756620442489213,-0.0807391814852185,-0.0838242924993588
96,HLCC/4,149,216,17,macdh,186,251,4,20,0.15,984,462,38,178,212,261,70,393,259,367,497,321,360,257,787,691,450,289,885,501,402,393,153,736,70,211,81,844,205,458,19,50,32,13,204,4,46,64,5,646,17,24,0.39,0.19,0.46,0.5,0.91,0.94,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,True,True,29.36832791338951,True,False,-0.0770853940063165,-0.0492897288072559,-0.0451120580705717
97,close,203,332,44,macdh,238,117,5,20,0.04,806,398,43,172,914,239,54,756,31,374,695,307,324,820,979,970,497,427,919,532,326,309,33,918,560,311,300,995,655,923,27,39,2,7,335,6,44,16,11,383,4,1,0.05,0.37,0.44,0.88,0.88,0.83,True,False,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,14.124154792166006,True,False,-0.097369231415553,-0.049177183592728,-0.0466955526644311
98,close,231,247,32,macdh,275,225,5,6,0.28,2182,680,166,61,464,152,5,181,58,393,662,354,385,248,990,657,491,459,994,734,468,312,265,294,459,216,664,332,112,290,28,41,45,20,310,18,46,93,11,94,13,19,0.18,0.26,0.48,0.49,0.91,0.92,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,34.33998109553137,True,False,-0.0631721834990135,-0.03210799559041,-0.0309122597016418
99,HLCC/4,391,448,13,macd,296,387,5,3,0.3,2921,643,311,83,756,11,337,887,163,335,449,213,378,634,928,695,389,384,929,551,468,423,914,111,672,815,333,745,147,653,8,46,60,1,785,10,23,9,6,355,13,9,0.08,0.08,0.2,0.39,1.03,1.12,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,True,False,33.82045659150901,True,False,,0.001935644474213,-0.0010793825994102
100,HL/2,116,134,47,macdh,147,170,5,6,0.32,1516,374,38,369,365,320,280,135,80,117,235,9,46,986,719,538,493,445,922,612,467,344,218,127,628,236,201,900,292,785,9,50,27,2,556,6,22,46,15,871,3,22,0.29,0.33,0.53,0.6,0.9,0.95,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,True,19.041763921953944,True,False,-0.0714849915108221,-0.0346383341501913,-0.0304797579323904
101,HLC/3,87,407,43,macdh,372,291,6,14,0.33,787,967,38,348,421,179,216,166,195,134,412,234,199,964,708,614,492,253,907,830,426,328,862,421,436,12,825,597,856,711,6,54,25,19,780,3,30,80,11,876,3,10,0.1,0.32,0.82,0.97,0.9,0.94,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,False,16.347777005683415,True,False,-0.072564384850702,-0.0439459266887095,-0.0410124832581429
102,HLC/3,175,499,21,macdh,127,135,5,9,0.2,2244,886,7,372,720,24,205,418,283,377,10,235,388,679,831,570,445,308,921,610,460,258,611,99,955,289,576,40,309,112,25,39,20,19,60,11,33,35,3,679,18,16,0.11,0.39,0.47,0.65,0.9,1.02,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,46.770948921095936,True,False,,-0.003976600847308,5.8903051123719104e-05
