,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
986,HLC/3,9,59,7,macd,33,23,5,7,0.16,1684,408,13,89,420,5,10,882,84,66,495,6,88,708,686,545,187,47,511,313,196,37,363,651,352,391,390,833,594,691,8,37,92,17,678,5,8,32,15,299,14,25,0.15,0.14,0.54,0.66,0.7,0.79,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,32.46764667,TRUE,FALSE
987,HL/2,15,27,31,macds,13,73,4,7,0.05,767,419,82,40,246,56,47,218,94,50,171,82,61,213,593,578,153,19,790,486,275,73,595,82,510,271,31,607,407,212,13,54,11,19,590,7,50,12,11,912,6,7,0.33,0.3,0.94,0.91,0.84,0.98,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,6.045357662,TRUE,FALSE
988,HLCC/4,12,17,33,macds,52,62,5,5,0.06,1638,460,58,8,71,43,82,843,57,66,556,53,13,845,965,765,241,201,773,732,396,236,353,258,433,466,861,708,638,15,21,27,38,17,647,4,42,46,6,159,11,14,0.38,0.34,0.52,0.55,0.79,0.82,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,15.40744882,TRUE,FALSE
989,low,25,27,5,macdh,32,44,5,5,0.38,1138,735,92,43,790,53,56,892,82,47,34,81,16,670,834,270,233,220,861,851,370,222,77,2,509,139,690,521,973,572,7,53,23,11,36,2,23,69,13,37,12,24,0.31,0.24,0.37,0.4,0.52,0.57,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,12.23433833,TRUE,FALSE
990,HLC/3,13,44,35,macd,21,59,2,13,0.31,1303,236,100,7,390,51,89,164,2,65,859,43,82,740,243,220,146,83,730,406,495,254,193,83,769,263,837,211,856,544,14,16,79,17,818,13,14,33,10,953,3,16,0.08,0.28,0.46,0.57,0.96,1.05,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,19.39399922,TRUE,FALSE
991,OHLC/4,22,61,44,macdh,18,83,5,4,0.07,1005,988,70,4,227,95,38,105,92,49,801,98,6,322,983,574,499,443,435,748,385,19,95,498,356,248,7,382,465,612,14,36,70,4,68,15,49,80,18,420,15,10,0.38,0.04,0.79,0.82,0.81,0.88,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,15.07395635,TRUE,FALSE
992,HLCC/4,24,35,49,macd,72,85,3,15,0.2,2674,725,6,13,111,75,2,478,58,55,899,85,10,881,440,519,242,187,996,427,117,75,85,561,193,68,571,675,531,321,15,33,73,17,810,9,34,23,10,685,10,17,0.19,0.15,0.43,0.87,0.86,0.85,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,8.189118936,TRUE,FALSE
993,open,5,49,37,macdh,58,33,3,10,0.02,2802,289,17,83,466,34,79,147,65,24,386,78,87,714,823,142,394,60,892,657,346,184,873,61,387,404,616,871,407,87,15,39,4,14,354,8,21,35,1,924,5,4,0.37,0.26,0.47,0.71,0.7,0.92,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,15.0297585,TRUE,FALSE
994,OHLC/4,13,20,5,macd,61,95,5,3,0.13,655,236,73,99,303,59,20,670,50,5,193,88,43,178,757,690,479,421,813,189,496,136,540,992,803,198,24,142,804,743,29,51,86,17,752,14,44,91,1,798,5,10,0.03,0.21,0.75,0.87,0.88,0.8,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.424934008,TRUE,FALSE
995,OHLC/4,12,31,43,macd,53,28,6,15,0.13,1278,207,3,29,914,44,9,136,39,78,855,86,22,829,586,415,183,109,278,66,64,5,193,398,594,126,214,382,6,955,24,36,71,20,934,3,20,60,15,157,4,21,0.01,0.07,0.51,0.57,0.97,0.54,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,12.07979592,TRUE,FALSE
