,BTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25443,BTCUSD_i,37858.4,37873.4,37811.4,37920.4,37865.9,37868.4,37869.65,37865.9,779,2022-01-29 21:15:00
25444,BTCUSD_i,37873.4,37868.4,37845.4,37940.4,37892.9,37884.73333333334,37880.65,37881.9,1039,2022-01-29 21:30:00
25445,BTCUSD_i,37868.4,37847.4,37825.4,37906.4,37865.9,37859.73333333334,37856.65,37861.9,690,2022-01-29 21:45:00
25446,BTCUSD_i,37847.4,37869.4,37815.4,37891.4,37853.4,37858.73333333334,37861.4,37855.9,538,2022-01-29 22:00:00
25447,BTCUSD_i,37868.4,38007.4,37825.4,38066.4,37945.9,37966.4,37976.65,37941.9,790,2022-01-29 22:15:00
25448,BTCUSD_i,38005.4,38502.4,38005.4,38627.4,38316.4,38378.4,38409.4,38285.15,3234,2022-01-29 22:30:00
25449,BTCUSD_i,38502.4,38321.4,38119.4,38507.4,38313.4,38316.06666666667,38317.4,38362.65,2259,2022-01-29 22:45:00
25450,BTCUSD_i,38320.4,38539.4,38268.4,38685.4,38476.9,38497.73333333334,38508.15,38453.4,2250,2022-01-29 23:00:00
25451,BTCUSD_i,38539.4,38532.4,38464.4,38622.4,38543.4,38539.73333333334,38537.9,38539.65,1517,2022-01-29 23:15:00
25452,BTCUSD_i,38532.4,38378.4,38373.4,38595.4,38484.4,38449.06666666667,38431.4,38469.9,1335,2022-01-29 23:30:00
25453,BTCUSD_i,38378.4,38333.4,38333.4,38456.4,38394.9,38374.4,38364.15,38375.4,1041,2022-01-29 23:45:00
25454,BTCUSD_i,38334.4,38163.4,38162.4,38383.4,38272.9,38236.4,38218.15,38260.9,1189,2022-01-30 00:00:00
25455,BTCUSD_i,38163.4,38064.4,38051.4,38203.4,38127.4,38106.4,38095.9,38120.65,1297,2022-01-30 00:15:00
25456,BTCUSD_i,38064.4,38157.4,38028.4,38169.4,38098.9,38118.4,38128.15,38104.9,915,2022-01-30 00:30:00
25457,BTCUSD_i,38156.4,38123.4,38072.4,38158.4,38115.4,38118.06666666667,38119.4,38127.65,1020,2022-01-30 00:45:00
25458,BTCUSD_i,38123.4,38066.4,37977.4,38123.4,38050.4,38055.73333333334,38058.4,38072.65,1000,2022-01-30 01:00:00
25459,BTCUSD_i,38066.4,37926.4,37889.4,38069.4,37979.4,37961.73333333334,37952.9,37987.9,469,2022-01-30 01:15:00
25460,BTCUSD_i,37926.4,38019.4,37910.4,38051.4,37980.9,37993.73333333334,38000.15,37976.9,697,2022-01-30 01:30:00
25461,BTCUSD_i,38019.4,38152.4,38017.4,38168.4,38092.9,38112.73333333334,38122.65,38089.4,932,2022-01-30 01:45:00
25462,BTCUSD_i,38152.4,38228.4,38095.4,38261.4,38178.4,38195.06666666667,38203.4,38184.4,1043,2022-01-30 02:00:00
25463,BTCUSD_i,38228.4,38062.4,38054.4,38231.4,38142.9,38116.06666666667,38102.65,38144.15,923,2022-01-30 02:15:00
25464,BTCUSD_i,38062.4,37804.4,37730.4,38079.4,37904.9,37871.4,37854.65,37919.15,1299,2022-01-30 02:30:00
25465,BTCUSD_i,37804.4,37805.4,37759.4,37909.4,37834.4,37824.73333333334,37819.9,37819.65,1119,2022-01-30 02:45:00
25466,BTCUSD_i,37805.4,37863.4,37778.4,37863.4,37820.9,37835.06666666667,37842.15,37827.65,881,2022-01-30 03:00:00
25467,BTCUSD_i,37863.4,37932.4,37833.4,37932.4,37882.9,37899.4,37907.65,37890.4,815,2022-01-30 03:15:00
25468,BTCUSD_i,37935.4,37846.4,37810.4,37964.4,37887.4,37873.73333333334,37866.9,37889.15,648,2022-01-30 03:30:00
25469,BTCUSD_i,37847.4,37914.4,37841.4,37941.4,37891.4,37899.06666666667,37902.9,37886.15,380,2022-01-30 03:45:00
25470,BTCUSD_i,37913.4,37910.4,37853.4,37965.4,37909.4,37909.73333333334,37909.9,37910.65,654,2022-01-30 04:00:00
25471,BTCUSD_i,37911.4,38004.4,37910.4,38008.4,37959.4,37974.4,37981.9,37958.65,566,2022-01-30 04:15:00
25472,BTCUSD_i,38004.4,38021.4,37996.4,38044.4,38020.4,38020.73333333334,38020.9,38016.65,544,2022-01-30 04:30:00
25473,BTCUSD_i,38017.4,37950.4,37906.4,38017.4,37961.9,37958.06666666667,37956.15,37972.9,694,2022-01-30 04:45:00
25474,BTCUSD_i,37953.4,37965.4,37953.4,38005.4,37979.4,37974.73333333334,37972.4,37969.4,413,2022-01-30 05:00:00
25475,BTCUSD_i,37964.4,38023.4,37963.4,38050.4,38006.9,38012.4,38015.15,38000.4,344,2022-01-30 05:15:00
25476,BTCUSD_i,38023.4,37977.4,37977.4,38044.4,38010.9,37999.73333333334,37994.15,38005.65,593,2022-01-30 05:30:00
25477,BTCUSD_i,37977.4,37911.4,37868.4,37977.4,37922.9,37919.06666666667,37917.15,37933.65,705,2022-01-30 05:45:00
25478,BTCUSD_i,37911.4,37896.4,37896.4,37944.4,37920.4,37912.4,37908.4,37912.15,258,2022-01-30 06:00:00
25479,BTCUSD_i,37896.4,37964.4,37896.4,37975.4,37935.9,37945.4,37950.15,37933.15,572,2022-01-30 06:15:00
25480,BTCUSD_i,37964.4,38028.4,37964.4,38050.4,38007.4,38014.4,38017.9,38001.9,612,2022-01-30 06:30:00
25481,BTCUSD_i,38028.4,38086.4,37995.4,38156.4,38075.9,38079.4,38081.15,38066.65,1155,2022-01-30 06:45:00
25482,BTCUSD_i,38087.4,38272.4,38075.4,38290.4,38182.9,38212.73333333334,38227.65,38181.4,1887,2022-01-30 07:00:00
25483,BTCUSD_i,38272.4,38167.4,38151.4,38275.4,38213.4,38198.06666666667,38190.4,38216.65,1045,2022-01-30 07:15:00
25484,BTCUSD_i,38170.4,38161.4,38096.4,38174.4,38135.4,38144.06666666667,38148.4,38150.65,523,2022-01-30 07:30:00
25485,BTCUSD_i,38161.4,38120.4,38116.4,38205.4,38160.9,38147.4,38140.65,38150.9,450,2022-01-30 07:45:00
25486,BTCUSD_i,38120.4,38103.4,38087.4,38130.4,38108.9,38107.06666666667,38106.15,38110.4,372,2022-01-30 08:00:00
25487,BTCUSD_i,38103.4,38104.4,38084.4,38127.4,38105.9,38105.4,38105.15,38104.9,585,2022-01-30 08:15:00
25488,BTCUSD_i,38104.4,38086.4,38084.4,38125.4,38104.9,38098.73333333334,38095.65,38100.15,419,2022-01-30 08:30:00
25489,BTCUSD_i,38086.4,38085.4,38026.4,38104.4,38065.4,38072.06666666667,38075.4,38075.65,606,2022-01-30 08:45:00
25490,BTCUSD_i,38085.4,38205.4,38085.4,38232.4,38158.9,38174.4,38182.15,38152.15,1008,2022-01-30 09:00:00
25491,BTCUSD_i,38205.4,38146.4,38134.4,38207.4,38170.9,38162.73333333334,38158.65,38173.4,547,2022-01-30 09:15:00
25492,BTCUSD_i,38146.4,38103.4,38103.4,38222.4,38162.9,38143.06666666667,38133.15,38143.9,522,2022-01-30 09:30:00
25493,BTCUSD_i,38103.4,38226.4,38103.4,38255.4,38179.4,38195.06666666667,38202.9,38172.15,362,2022-01-30 09:45:00
25494,BTCUSD_i,38226.4,38179.4,38144.4,38353.4,38248.9,38225.73333333334,38214.15,38225.9,1188,2022-01-30 10:00:00
25495,BTCUSD_i,38179.4,38092.4,38090.4,38217.4,38153.9,38133.4,38123.15,38144.9,514,2022-01-30 10:15:00
25496,BTCUSD_i,38092.4,37974.4,37962.4,38101.4,38031.9,38012.73333333334,38003.15,38032.65,849,2022-01-30 10:30:00
25497,BTCUSD_i,37974.4,37989.4,37974.4,38065.4,38019.9,38009.73333333334,38004.65,38000.9,617,2022-01-30 10:45:00
25498,BTCUSD_i,37989.4,38042.4,37983.4,38050.4,38016.9,38025.4,38029.65,38016.4,726,2022-01-30 11:00:00
25499,BTCUSD_i,38043.4,37864.4,37820.4,38069.4,37944.9,37918.06666666667,37904.65,37949.4,586,2022-01-30 11:15:00
25500,BTCUSD_i,37864.4,37937.4,37842.4,37957.4,37899.9,37912.4,37918.65,37900.4,917,2022-01-30 11:30:00
25501,BTCUSD_i,37937.4,37878.4,37875.4,37941.4,37908.4,37898.4,37893.4,37908.15,958,2022-01-30 11:45:00
25502,BTCUSD_i,37878.4,37914.4,37847.4,37931.4,37889.4,37897.73333333334,37901.9,37892.9,1006,2022-01-30 12:00:00
25503,BTCUSD_i,37914.4,38055.4,37914.4,38110.4,38012.4,38026.73333333334,38033.9,37998.65,1283,2022-01-30 12:15:00
25504,BTCUSD_i,38054.4,38123.4,38049.4,38154.4,38101.9,38109.06666666667,38112.65,38095.4,1070,2022-01-30 12:30:00
25505,BTCUSD_i,38123.4,38168.4,38084.4,38173.4,38128.9,38142.06666666667,38148.65,38137.4,1121,2022-01-30 12:45:00
25506,BTCUSD_i,38168.4,38108.4,38098.4,38168.4,38133.4,38125.06666666667,38120.9,38135.9,614,2022-01-30 13:00:00
25507,BTCUSD_i,38107.4,38048.4,38032.4,38238.4,38135.4,38106.4,38091.9,38106.65,996,2022-01-30 13:15:00
25508,BTCUSD_i,38049.4,38015.4,37972.4,38086.4,38029.4,38024.73333333334,38022.4,38030.9,691,2022-01-30 13:30:00
25509,BTCUSD_i,38018.4,38097.4,37941.4,38106.4,38023.9,38048.4,38060.65,38040.9,875,2022-01-30 13:45:00
25510,BTCUSD_i,38092.4,37940.4,37897.4,38096.4,37996.9,37978.06666666667,37968.65,38006.65,1041,2022-01-30 14:00:00
25511,BTCUSD_i,37940.4,38007.4,37940.4,38016.4,37978.4,37988.06666666667,37992.9,37976.15,905,2022-01-30 14:15:00
25512,BTCUSD_i,38007.4,37952.4,37929.4,38123.4,38026.4,38001.73333333334,37989.4,38003.15,689,2022-01-30 14:30:00
25513,BTCUSD_i,37952.4,37915.4,37828.4,37966.4,37897.4,37903.4,37906.4,37915.65,646,2022-01-30 14:45:00
25514,BTCUSD_i,37913.4,37895.4,37819.4,37917.4,37868.4,37877.4,37881.9,37886.4,709,2022-01-30 15:00:00
25515,BTCUSD_i,37891.4,37946.4,37865.4,37947.4,37906.4,37919.73333333334,37926.4,37912.65,1077,2022-01-30 15:15:00
25516,BTCUSD_i,37946.4,37918.4,37855.4,37973.4,37914.4,37915.73333333334,37916.4,37923.4,945,2022-01-30 15:30:00
25517,BTCUSD_i,37916.4,37947.4,37913.4,37972.4,37942.9,37944.4,37945.15,37937.4,777,2022-01-30 15:45:00
25518,BTCUSD_i,37947.4,37875.4,37875.4,37985.4,37930.4,37912.06666666667,37902.9,37920.9,972,2022-01-30 16:00:00
