,NQ100_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
31274,NQ100_m_i,14394.5,14408.3,14374.0,14426.9,14400.45,14403.066666666666,14404.375,14400.925,2654,2022-03-18 21:30:00
31275,NQ100_m_i,14409.0,14411.5,14384.5,14423.3,14403.9,14406.433333333334,14407.7,14407.075,3306,2022-03-18 21:45:00
31276,NQ100_m_i,14412.7,14412.9,14407.2,14419.2,14413.2,14413.1,14413.050000000001,14413.0,683,2022-03-21 00:30:00
31277,NQ100_m_i,14412.9,14418.2,14407.7,14422.9,14415.3,14416.266666666668,14416.75,14415.425000000001,521,2022-03-21 00:45:00
31278,NQ100_m_i,14418.5,14408.1,14406.9,14419.1,14413.0,14411.366666666667,14410.55,14413.15,497,2022-03-21 01:00:00
31279,NQ100_m_i,14407.7,14413.4,14407.7,14417.4,14412.55,14412.833333333334,14412.975,14411.55,463,2022-03-21 01:15:00
31280,NQ100_m_i,14413.4,14411.4,14404.4,14416.4,14410.4,14410.733333333332,14410.9,14411.4,559,2022-03-21 01:30:00
31281,NQ100_m_i,14411.7,14406.2,14404.7,14411.7,14408.2,14407.533333333335,14407.2,14408.575,427,2022-03-21 01:45:00
31282,NQ100_m_i,14406.2,14393.4,14390.4,14407.9,14399.15,14397.233333333332,14396.275,14399.474999999999,737,2022-03-21 02:00:00
31283,NQ100_m_i,14393.7,14379.7,14374.1,14393.7,14383.900000000001,14382.5,14381.8,14385.3,824,2022-03-21 02:15:00
31284,NQ100_m_i,14379.7,14386.7,14374.2,14389.4,14381.8,14383.433333333334,14384.25,14382.5,699,2022-03-21 02:30:00
31285,NQ100_m_i,14386.7,14393.2,14384.9,14396.9,14390.9,14391.666666666666,14392.05,14390.425,792,2022-03-21 02:45:00
31286,NQ100_m_i,14393.7,14386.7,14382.2,14396.4,14389.3,14388.433333333334,14388.0,14389.75,743,2022-03-21 03:00:00
31287,NQ100_m_i,14386.7,14377.4,14370.9,14388.7,14379.8,14379.0,14378.6,14380.925,1350,2022-03-21 03:15:00
31288,NQ100_m_i,14377.7,14359.7,14359.2,14378.7,14368.95,14365.866666666669,14364.325,14368.825,1300,2022-03-21 03:30:00
31289,NQ100_m_i,14359.9,14350.5,14350.2,14363.9,14357.05,14354.866666666667,14353.775,14356.125,973,2022-03-21 03:45:00
31290,NQ100_m_i,14350.5,14368.4,14343.2,14369.2,14356.2,14360.266666666668,14362.300000000001,14357.825,1123,2022-03-21 04:00:00
31291,NQ100_m_i,14368.7,14372.7,14361.2,14380.4,14370.8,14371.433333333334,14371.75,14370.75,1096,2022-03-21 04:15:00
31292,NQ100_m_i,14372.2,14380.4,14364.9,14380.4,14372.65,14375.233333333332,14376.525,14374.474999999999,902,2022-03-21 04:30:00
31293,NQ100_m_i,14380.4,14365.2,14361.2,14380.7,14370.95,14369.033333333335,14368.075,14371.875000000002,867,2022-03-21 04:45:00
31294,NQ100_m_i,14364.9,14370.9,14361.9,14372.2,14367.05,14368.333333333334,14368.975,14367.475,682,2022-03-21 05:00:00
31295,NQ100_m_i,14370.7,14364.2,14364.2,14372.2,14368.2,14366.866666666669,14366.2,14367.825,647,2022-03-21 05:15:00
31296,NQ100_m_i,14364.2,14372.9,14363.9,14376.2,14370.05,14371.0,14371.475,14369.3,609,2022-03-21 05:30:00
31297,NQ100_m_i,14372.9,14372.9,14370.4,14376.4,14373.4,14373.233333333332,14373.15,14373.15,448,2022-03-21 05:45:00
31298,NQ100_m_i,14372.9,14365.3,14364.5,14375.2,14369.85,14368.333333333334,14367.575,14369.475,371,2022-03-21 06:00:00
31299,NQ100_m_i,14365.3,14365.2,14353.2,14367.9,14360.55,14362.1,14362.875,14362.900000000001,571,2022-03-21 06:15:00
31300,NQ100_m_i,14365.2,14365.9,14359.1,14366.2,14362.650000000001,14363.733333333335,14364.275000000001,14364.100000000002,380,2022-03-21 06:30:00
31301,NQ100_m_i,14365.9,14360.9,14354.9,14366.5,14360.7,14360.766666666668,14360.800000000001,14362.050000000001,404,2022-03-21 06:45:00
31302,NQ100_m_i,14361.2,14350.4,14345.7,14362.4,14354.05,14352.833333333334,14352.225,14354.925,953,2022-03-21 07:00:00
31303,NQ100_m_i,14349.9,14345.7,14333.7,14349.9,14341.8,14343.1,14343.75,14344.800000000001,1083,2022-03-21 07:15:00
31304,NQ100_m_i,14344.4,14314.9,14309.2,14345.2,14327.2,14323.1,14321.050000000001,14328.425000000001,989,2022-03-21 07:30:00
31305,NQ100_m_i,14315.2,14330.9,14312.2,14330.9,14321.55,14324.666666666666,14326.225,14322.3,957,2022-03-21 07:45:00
31306,NQ100_m_i,14331.7,14337.4,14331.7,14344.9,14338.3,14338.0,14337.85,14336.425,1019,2022-03-21 08:00:00
31307,NQ100_m_i,14337.2,14329.7,14323.2,14337.9,14330.55,14330.266666666668,14330.125,14332.0,751,2022-03-21 08:15:00
31308,NQ100_m_i,14329.4,14348.9,14327.9,14359.7,14343.8,14345.5,14346.35,14341.475,982,2022-03-21 08:30:00
31309,NQ100_m_i,14348.9,14348.2,14339.4,14350.7,14345.05,14346.1,14346.625,14346.800000000001,796,2022-03-21 08:45:00
31310,NQ100_m_i,14348.9,14350.7,14328.2,14357.7,14342.95,14345.533333333335,14346.825,14346.375000000002,1187,2022-03-21 09:00:00
31311,NQ100_m_i,14352.0,14325.4,14324.1,14353.2,14338.650000000001,14334.233333333335,14332.025000000001,14338.675000000001,884,2022-03-21 09:15:00
31312,NQ100_m_i,14325.7,14351.6,14314.9,14352.1,14333.5,14339.533333333333,14342.55,14336.075,983,2022-03-21 09:30:00
31313,NQ100_m_i,14351.6,14350.4,14344.4,14368.9,14356.65,14354.566666666666,14353.525,14353.824999999999,1020,2022-03-21 09:45:00
31314,NQ100_m_i,14350.6,14351.6,14348.1,14369.7,14358.900000000001,14356.466666666667,14355.25,14355.0,1905,2022-03-21 10:00:00
31315,NQ100_m_i,14351.9,14353.4,14350.1,14374.9,14362.5,14359.466666666667,14357.95,14357.575,1330,2022-03-21 10:15:00
31316,NQ100_m_i,14353.4,14365.9,14352.4,14379.6,14366.0,14365.966666666667,14365.95,14362.825,1284,2022-03-21 10:30:00
31317,NQ100_m_i,14366.4,14351.9,14341.7,14370.9,14356.3,14354.833333333334,14354.1,14357.725,1037,2022-03-21 10:45:00
31318,NQ100_m_i,14351.6,14352.4,14325.9,14358.4,14342.15,14345.566666666666,14347.275,14347.074999999999,1328,2022-03-21 11:00:00
31319,NQ100_m_i,14352.6,14370.5,14348.4,14373.7,14361.05,14364.199999999999,14365.775,14361.3,1050,2022-03-21 11:15:00
31320,NQ100_m_i,14370.6,14369.9,14367.1,14386.9,14377.0,14374.633333333333,14373.45,14373.625,909,2022-03-21 11:30:00
31321,NQ100_m_i,14370.1,14370.1,14359.9,14371.9,14365.9,14367.300000000001,14368.0,14368.0,901,2022-03-21 11:45:00
31322,NQ100_m_i,14369.4,14374.4,14358.6,14380.6,14369.6,14371.199999999999,14372.0,14370.75,881,2022-03-21 12:00:00
31323,NQ100_m_i,14374.4,14356.9,14353.4,14374.9,14364.15,14361.733333333332,14360.525,14364.9,910,2022-03-21 12:15:00
31324,NQ100_m_i,14356.9,14363.6,14351.1,14364.4,14357.75,14359.699999999999,14360.675,14359.0,793,2022-03-21 12:30:00
31325,NQ100_m_i,14363.6,14367.4,14355.4,14369.6,14362.5,14364.133333333333,14364.95,14364.0,707,2022-03-21 12:45:00
31326,NQ100_m_i,14367.6,14404.9,14366.4,14405.4,14385.9,14392.233333333332,14395.4,14386.074999999999,1149,2022-03-21 13:00:00
31327,NQ100_m_i,14404.6,14418.6,14398.1,14425.4,14411.75,14414.033333333333,14415.175,14411.675,1140,2022-03-21 13:15:00
31328,NQ100_m_i,14417.9,14413.7,14409.4,14430.6,14420.0,14417.9,14416.849999999999,14417.9,1118,2022-03-21 13:30:00
31329,NQ100_m_i,14413.4,14404.1,14398.1,14417.4,14407.75,14406.533333333333,14405.925,14408.25,1012,2022-03-21 13:45:00
31330,NQ100_m_i,14404.6,14404.9,14394.6,14408.9,14401.75,14402.800000000001,14403.325,14403.25,906,2022-03-21 14:00:00
31331,NQ100_m_i,14404.9,14380.6,14378.1,14404.9,14391.5,14387.866666666667,14386.05,14392.125,1210,2022-03-21 14:15:00
31332,NQ100_m_i,14379.9,14375.4,14368.4,14382.9,14375.65,14375.566666666666,14375.525,14376.65,991,2022-03-21 14:30:00
31333,NQ100_m_i,14375.1,14370.1,14364.1,14387.6,14375.85,14373.933333333334,14372.975,14374.225,1041,2022-03-21 14:45:00
31334,NQ100_m_i,14369.4,14378.4,14360.6,14381.9,14371.25,14373.633333333333,14374.825,14372.575,1088,2022-03-21 15:00:00
31335,NQ100_m_i,14377.1,14373.9,14362.4,14388.4,14375.4,14374.9,14374.65,14375.449999999999,1406,2022-03-21 15:15:00
31336,NQ100_m_i,14374.1,14442.6,14361.6,14469.4,14415.5,14424.533333333333,14429.05,14411.925,5391,2022-03-21 15:30:00
31337,NQ100_m_i,14444.4,14305.6,14295.9,14448.1,14372.0,14349.866666666667,14338.8,14373.5,5204,2022-03-21 15:45:00
31338,NQ100_m_i,14305.4,14270.8,14258.3,14321.9,14290.099999999999,14283.666666666666,14280.45,14289.1,4755,2022-03-21 16:00:00
31339,NQ100_m_i,14271.5,14236.8,14232.3,14280.5,14256.4,14249.866666666667,14246.599999999999,14255.275,4432,2022-03-21 16:15:00
31340,NQ100_m_i,14236.8,14282.5,14233.3,14300.5,14266.9,14272.1,14274.7,14263.275000000001,4199,2022-03-21 16:30:00
31341,NQ100_m_i,14281.7,14347.7,14276.7,14362.0,14319.35,14328.800000000001,14333.525000000001,14317.025000000001,3725,2022-03-21 16:45:00
31342,NQ100_m_i,14348.7,14365.7,14327.2,14374.5,14350.85,14355.800000000001,14358.275000000001,14354.025000000001,3572,2022-03-21 17:00:00
31343,NQ100_m_i,14366.5,14435.7,14356.5,14446.7,14401.6,14412.966666666667,14418.650000000001,14401.35,3751,2022-03-21 17:15:00
31344,NQ100_m_i,14436.1,14414.0,14394.5,14447.5,14421.0,14418.666666666666,14417.5,14423.025,3705,2022-03-21 17:30:00
31345,NQ100_m_i,14414.5,14444.5,14399.5,14458.5,14429.0,14434.166666666666,14436.75,14429.25,3676,2022-03-21 17:45:00
31346,NQ100_m_i,14446.0,14413.1,14389.7,14453.0,14421.35,14418.6,14417.225,14425.45,4015,2022-03-21 18:00:00
31347,NQ100_m_i,14413.1,14409.1,14379.3,14434.7,14407.0,14407.699999999999,14408.05,14409.05,3472,2022-03-21 18:15:00
31348,NQ100_m_i,14411.1,14339.3,14276.7,14411.1,14343.900000000001,14342.366666666669,14341.600000000002,14359.550000000001,4772,2022-03-21 18:30:00
31349,NQ100_m_i,14340.2,14256.9,14249.9,14352.2,14301.05,14286.333333333334,14278.975,14299.8,4261,2022-03-21 18:45:00
31350,NQ100_m_i,14258.9,14239.4,14225.3,14273.7,14249.5,14246.133333333333,14244.45,14249.325,3625,2022-03-21 19:00:00
31351,NQ100_m_i,14239.3,14217.4,14188.1,14241.7,14214.900000000001,14215.733333333335,14216.150000000001,14221.625,3355,2022-03-21 19:15:00
