,USDRUB_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
31379,USDRUB_i,76.971,77.025,76.87,77.139,77.00450000000001,77.01133333333334,77.01475,77.00125,1662,2022-02-14 11:30:00
31380,USDRUB_i,77.025,77.129,76.897,77.167,77.03200000000001,77.06433333333335,77.08050000000001,77.05450000000002,1852,2022-02-14 11:45:00
31381,USDRUB_i,77.129,77.069,77.039,77.26,77.1495,77.12266666666666,77.10925,77.12425,1816,2022-02-14 12:00:00
31382,USDRUB_i,77.074,77.035,77.027,77.197,77.112,77.08633333333333,77.0735,77.08324999999999,1276,2022-02-14 12:15:00
31383,USDRUB_i,77.034,76.584,76.107,77.086,76.59649999999999,76.59233333333333,76.59025,76.70275,2192,2022-02-14 12:30:00
31384,USDRUB_i,76.584,76.846,76.412,76.855,76.6335,76.70433333333334,76.73975,76.67425,1911,2022-02-14 12:45:00
31385,USDRUB_i,76.846,76.794,76.765,76.996,76.8805,76.85166666666667,76.83725,76.85025,1410,2022-02-14 13:00:00
31386,USDRUB_i,76.791,76.972,76.761,77.056,76.9085,76.92966666666666,76.94024999999999,76.895,1553,2022-02-14 13:15:00
31387,USDRUB_i,76.969,76.874,76.81,77.069,76.93950000000001,76.91766666666668,76.90675,76.9305,1504,2022-02-14 13:30:00
31388,USDRUB_i,76.874,77.0,76.765,77.027,76.896,76.93066666666667,76.94800000000001,76.9165,1533,2022-02-14 13:45:00
31389,USDRUB_i,77.0,76.943,76.904,77.048,76.976,76.96499999999999,76.95949999999999,76.97375,1243,2022-02-14 14:00:00
31390,USDRUB_i,76.943,77.03,76.94,77.07,77.005,77.01333333333334,77.0175,76.99575,1115,2022-02-14 14:15:00
31391,USDRUB_i,77.026,76.068,75.799,77.031,76.415,76.29933333333334,76.2415,76.48100000000001,2870,2022-02-14 14:30:00
31392,USDRUB_i,76.068,76.194,75.91,76.318,76.114,76.14066666666668,76.15400000000001,76.1225,2355,2022-02-14 14:45:00
31393,USDRUB_i,76.194,76.177,75.951,76.219,76.085,76.11566666666666,76.131,76.13525,1616,2022-02-14 15:00:00
31394,USDRUB_i,76.177,76.094,76.033,76.183,76.108,76.10333333333334,76.101,76.12175,1052,2022-02-14 15:15:00
31395,USDRUB_i,76.088,76.408,76.084,76.416,76.25,76.30266666666667,76.32900000000001,76.249,1650,2022-02-14 15:30:00
