,ETHUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
28130,ETHUSD_i,2706.37,2701.57,2689.57,2713.27,2701.42,2701.47,2701.495,2702.6949999999997,1521,2022-02-27 04:15:00
28131,ETHUSD_i,2701.57,2705.37,2700.57,2708.27,2704.42,2704.7366666666667,2704.895,2703.945,1154,2022-02-27 04:30:00
28132,ETHUSD_i,2705.37,2708.67,2701.47,2711.07,2706.27,2707.07,2707.4700000000003,2706.645,739,2022-02-27 04:45:00
28133,ETHUSD_i,2708.67,2714.97,2707.07,2720.77,2713.92,2714.27,2714.4449999999997,2712.87,1278,2022-02-27 05:00:00
28134,ETHUSD_i,2714.97,2722.77,2712.07,2726.97,2719.52,2720.603333333333,2721.145,2719.1949999999997,1512,2022-02-27 05:15:00
28135,ETHUSD_i,2722.77,2717.07,2715.67,2724.27,2719.9700000000003,2719.0033333333336,2718.52,2719.945,781,2022-02-27 05:30:00
28136,ETHUSD_i,2716.97,2715.27,2713.27,2719.97,2716.62,2716.17,2715.945,2716.37,590,2022-02-27 05:45:00
28137,ETHUSD_i,2715.27,2709.57,2705.97,2715.47,2710.72,2710.3366666666666,2710.145,2711.57,527,2022-02-27 06:00:00
28138,ETHUSD_i,2709.57,2717.27,2704.97,2719.77,2712.37,2714.0033333333336,2714.82,2712.895,399,2022-02-27 06:15:00
28139,ETHUSD_i,2717.27,2709.87,2707.27,2718.47,2712.87,2711.87,2711.37,2713.22,510,2022-02-27 06:30:00
28140,ETHUSD_i,2709.87,2705.97,2699.47,2712.67,2706.0699999999997,2706.0366666666664,2706.0199999999995,2706.995,430,2022-02-27 06:45:00
28141,ETHUSD_i,2705.97,2712.37,2696.17,2715.77,2705.9700000000003,2708.1033333333335,2709.17,2707.57,797,2022-02-27 07:00:00
28142,ETHUSD_i,2712.37,2712.97,2710.87,2718.17,2714.52,2714.0033333333336,2713.745,2713.5950000000003,1090,2022-02-27 07:15:00
28143,ETHUSD_i,2712.97,2721.07,2710.77,2722.47,2716.62,2718.103333333333,2718.845,2716.8199999999997,1026,2022-02-27 07:30:00
28144,ETHUSD_i,2721.07,2708.37,2707.77,2723.37,2715.5699999999997,2713.1699999999996,2711.97,2715.145,1186,2022-02-27 07:45:00
28145,ETHUSD_i,2708.37,2720.87,2707.57,2721.47,2714.52,2716.6366666666668,2717.6949999999997,2714.5699999999997,1426,2022-02-27 08:00:00
28146,ETHUSD_i,2720.87,2730.07,2717.67,2733.97,2725.8199999999997,2727.236666666666,2727.9449999999997,2725.6449999999995,1071,2022-02-27 08:15:00
28147,ETHUSD_i,2730.07,2729.77,2729.07,2734.97,2732.02,2731.27,2730.895,2730.97,1088,2022-02-27 08:30:00
28148,ETHUSD_i,2729.77,2732.27,2726.27,2736.17,2731.2200000000003,2731.57,2731.7450000000003,2731.1200000000003,1391,2022-02-27 08:45:00
28149,ETHUSD_i,2732.27,2737.87,2732.27,2739.37,2735.8199999999997,2736.5033333333326,2736.8449999999993,2735.4449999999997,1049,2022-02-27 09:00:00
28150,ETHUSD_i,2737.87,2740.87,2736.97,2743.67,2740.3199999999997,2740.5033333333326,2740.5949999999993,2739.8449999999993,1450,2022-02-27 09:15:00
28151,ETHUSD_i,2740.97,2741.17,2737.17,2743.57,2740.37,2740.6366666666668,2740.77,2740.72,779,2022-02-27 09:30:00
28152,ETHUSD_i,2741.17,2736.27,2735.27,2741.17,2738.2200000000003,2737.57,2737.2450000000003,2738.4700000000003,709,2022-02-27 09:45:00
28153,ETHUSD_i,2736.27,2730.37,2725.67,2738.57,2732.12,2731.536666666667,2731.245,2732.7200000000003,546,2022-02-27 10:00:00
28154,ETHUSD_i,2730.37,2735.47,2722.57,2738.07,2730.32,2732.036666666667,2732.895,2731.62,631,2022-02-27 10:15:00
28155,ETHUSD_i,2735.37,2726.77,2723.37,2744.87,2734.12,2731.67,2730.445,2732.5950000000003,1056,2022-02-27 10:30:00
28156,ETHUSD_i,2726.77,2742.37,2724.87,2746.17,2735.52,2737.8033333333333,2738.9449999999997,2735.045,1173,2022-02-27 10:45:00
28157,ETHUSD_i,2742.37,2755.27,2734.47,2756.87,2745.67,2748.8700000000003,2750.4700000000003,2747.245,880,2022-02-27 11:00:00
28158,ETHUSD_i,2755.27,2754.47,2750.97,2764.27,2757.62,2756.5699999999997,2756.0449999999996,2756.245,1391,2022-02-27 11:15:00
28159,ETHUSD_i,2754.47,2754.27,2747.37,2758.57,2752.9700000000003,2753.4033333333336,2753.6200000000003,2753.67,1243,2022-02-27 11:30:00
28160,ETHUSD_i,2754.27,2768.37,2751.77,2771.17,2761.4700000000003,2763.7700000000004,2764.92,2761.3950000000004,1611,2022-02-27 11:45:00
28161,ETHUSD_i,2768.37,2761.67,2760.37,2769.57,2764.9700000000003,2763.8700000000003,2763.32,2764.995,1677,2022-02-27 12:00:00
28162,ETHUSD_i,2761.67,2775.47,2757.47,2777.07,2767.27,2770.0033333333336,2771.37,2767.92,887,2022-02-27 12:15:00
28163,ETHUSD_i,2775.47,2797.67,2770.17,2801.77,2785.9700000000003,2789.8700000000003,2791.82,2786.27,1606,2022-02-27 12:30:00
28164,ETHUSD_i,2797.67,2810.67,2791.57,2816.67,2804.12,2806.3033333333333,2807.395,2804.145,1618,2022-02-27 12:45:00
28165,ETHUSD_i,2810.67,2803.87,2802.17,2817.77,2809.9700000000003,2807.936666666667,2806.92,2808.6200000000003,1179,2022-02-27 13:00:00
28166,ETHUSD_i,2803.87,2825.47,2785.67,2831.07,2808.37,2814.0699999999997,2816.9199999999996,2811.5199999999995,1819,2022-02-27 13:15:00
28167,ETHUSD_i,2825.47,2815.67,2814.17,2828.17,2821.17,2819.3366666666666,2818.42,2820.87,1195,2022-02-27 13:30:00
28168,ETHUSD_i,2815.67,2821.07,2815.67,2824.37,2820.02,2820.3700000000003,2820.545,2819.195,887,2022-02-27 13:45:00
28169,ETHUSD_i,2821.07,2812.37,2809.67,2829.37,2819.52,2817.1366666666668,2815.9449999999997,2818.12,810,2022-02-27 14:00:00
28170,ETHUSD_i,2812.27,2809.97,2802.07,2815.17,2808.62,2809.0699999999997,2809.2949999999996,2809.87,973,2022-02-27 14:15:00
28171,ETHUSD_i,2809.87,2819.57,2808.07,2821.57,2814.82,2816.4033333333336,2817.195,2814.7700000000004,743,2022-02-27 14:30:00
28172,ETHUSD_i,2819.67,2830.07,2819.47,2836.27,2827.87,2828.603333333333,2828.97,2826.37,1367,2022-02-27 14:45:00
28173,ETHUSD_i,2830.07,2827.87,2817.07,2832.17,2824.62,2825.7033333333334,2826.245,2826.795,1042,2022-02-27 15:00:00
28174,ETHUSD_i,2828.07,2803.27,2802.17,2828.27,2815.2200000000003,2811.236666666667,2809.2450000000003,2815.445,1202,2022-02-27 15:15:00
28175,ETHUSD_i,2803.17,2749.47,2749.47,2807.37,2778.42,2768.77,2763.9449999999997,2777.37,2361,2022-02-27 15:30:00
28176,ETHUSD_i,2749.47,2779.37,2713.67,2785.87,2749.77,2759.6366666666668,2764.5699999999997,2757.095,2833,2022-02-27 15:45:00
28177,ETHUSD_i,2779.37,2765.07,2752.37,2787.97,2770.17,2768.47,2767.62,2771.1949999999997,2394,2022-02-27 16:00:00
28178,ETHUSD_i,2765.07,2763.47,2763.47,2778.57,2771.02,2768.5033333333336,2767.245,2767.645,1337,2022-02-27 16:15:00
28179,ETHUSD_i,2764.07,2770.37,2753.47,2773.37,2763.42,2765.736666666666,2766.8949999999995,2765.3199999999997,1611,2022-02-27 16:30:00
28180,ETHUSD_i,2770.17,2761.17,2746.87,2772.07,2759.4700000000003,2760.036666666667,2760.32,2762.57,1497,2022-02-27 16:45:00
28181,ETHUSD_i,2761.17,2762.17,2756.37,2767.37,2761.87,2761.97,2762.02,2761.77,1166,2022-02-27 17:00:00
28182,ETHUSD_i,2762.17,2811.27,2762.17,2820.47,2791.3199999999997,2797.97,2801.295,2789.02,1644,2022-02-27 17:15:00
28183,ETHUSD_i,2811.27,2791.57,2785.37,2814.17,2799.77,2797.036666666667,2795.67,2800.5950000000003,1366,2022-02-27 17:30:00
28184,ETHUSD_i,2791.57,2809.87,2787.77,2810.87,2799.3199999999997,2802.836666666666,2804.5949999999993,2800.0199999999995,944,2022-02-27 17:45:00
28185,ETHUSD_i,2809.87,2783.97,2781.27,2809.87,2795.5699999999997,2791.703333333333,2789.7699999999995,2796.245,1106,2022-02-27 18:00:00
28186,ETHUSD_i,2783.97,2768.67,2767.57,2787.77,2777.67,2774.67,2773.17,2776.995,1124,2022-02-27 18:15:00
28187,ETHUSD_i,2768.57,2767.57,2767.47,2776.47,2771.97,2770.5033333333336,2769.77,2770.02,1169,2022-02-27 18:30:00
28188,ETHUSD_i,2767.57,2776.57,2763.97,2776.77,2770.37,2772.4366666666665,2773.47,2771.22,1029,2022-02-27 18:45:00
28189,ETHUSD_i,2776.57,2768.67,2765.87,2779.47,2772.67,2771.3366666666666,2770.67,2772.645,1285,2022-02-27 19:00:00
28190,ETHUSD_i,2768.67,2769.47,2763.67,2772.17,2767.92,2768.4366666666665,2768.6949999999997,2768.495,900,2022-02-27 19:15:00
