,AUDCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
6559,AUDCAD_i,0.96248,0.96349,0.96248,0.96354,0.9630099999999999,0.9631699999999999,0.9632499999999999,0.9629975,451,2021-03-29 14:45:00
6560,AUDCAD_i,0.9635,0.96316,0.96301,0.96355,0.96328,0.96324,0.96322,0.9633050000000001,491,2021-03-29 15:00:00
6561,AUDCAD_i,0.96318,0.9629,0.96271,0.96347,0.96309,0.9630266666666666,0.9629949999999999,0.963065,600,2021-03-29 15:15:00
6562,AUDCAD_i,0.9629,0.9625,0.96249,0.96324,0.962865,0.9627433333333334,0.9626825,0.9627825,595,2021-03-29 15:30:00
6563,AUDCAD_i,0.96246,0.96247,0.96205,0.96281,0.96243,0.9624433333333333,0.96245,0.9624475,482,2021-03-29 15:45:00
6564,AUDCAD_i,0.96247,0.96235,0.96215,0.96274,0.962445,0.9624133333333335,0.9623975,0.9624275000000001,702,2021-03-29 16:00:00
6565,AUDCAD_i,0.96234,0.96198,0.96194,0.96271,0.962325,0.9622099999999999,0.9621525,0.9622424999999999,773,2021-03-29 16:15:00
6566,AUDCAD_i,0.96197,0.96191,0.96161,0.96217,0.9618899999999999,0.9618966666666666,0.9619,0.961915,1155,2021-03-29 16:30:00
6567,AUDCAD_i,0.9619,0.96167,0.96136,0.9622,0.9617800000000001,0.9617433333333333,0.9617249999999999,0.9617825,1218,2021-03-29 16:45:00
6568,AUDCAD_i,0.96167,0.96209,0.96131,0.96212,0.961715,0.96184,0.9619025,0.9617975000000001,1280,2021-03-29 17:00:00
6569,AUDCAD_i,0.96207,0.9616,0.96144,0.96207,0.9617549999999999,0.9617033333333334,0.9616775,0.961795,1151,2021-03-29 17:15:00
6570,AUDCAD_i,0.9616,0.96193,0.96129,0.9621,0.961695,0.9617733333333334,0.9618125,0.96173,1039,2021-03-29 17:30:00
6571,AUDCAD_i,0.96193,0.96218,0.96124,0.96244,0.96184,0.9619533333333333,0.96201,0.9619475,1336,2021-03-29 17:45:00
6572,AUDCAD_i,0.96218,0.96214,0.96177,0.96263,0.9621999999999999,0.96218,0.96217,0.96218,1265,2021-03-29 18:00:00
6573,AUDCAD_i,0.96215,0.96287,0.96207,0.96303,0.96255,0.9626566666666667,0.9627100000000001,0.96253,896,2021-03-29 18:15:00
6574,AUDCAD_i,0.9629,0.96248,0.96239,0.96317,0.96278,0.9626800000000001,0.9626300000000001,0.962735,749,2021-03-29 18:30:00
6575,AUDCAD_i,0.96247,0.96225,0.96216,0.96269,0.9624250000000001,0.9623666666666667,0.9623375000000001,0.9623925000000001,624,2021-03-29 18:45:00
6576,AUDCAD_i,0.96224,0.96173,0.96168,0.96227,0.961975,0.9618933333333333,0.9618525,0.96198,460,2021-03-29 19:00:00
6577,AUDCAD_i,0.9617,0.96148,0.96126,0.9618,0.96153,0.9615133333333333,0.9615049999999999,0.96156,398,2021-03-29 19:15:00
6578,AUDCAD_i,0.96148,0.96167,0.96132,0.96169,0.961505,0.9615600000000001,0.9615875,0.9615400000000001,568,2021-03-29 19:30:00
6579,AUDCAD_i,0.96167,0.96164,0.96125,0.96187,0.96156,0.9615866666666667,0.9616,0.9616075,709,2021-03-29 19:45:00
6580,AUDCAD_i,0.96165,0.96135,0.96129,0.96204,0.961665,0.96156,0.9615075,0.9615825,459,2021-03-29 20:00:00
6581,AUDCAD_i,0.96133,0.96166,0.96133,0.96177,0.96155,0.9615866666666667,0.961605,0.9615225000000001,438,2021-03-29 20:15:00
6582,AUDCAD_i,0.96166,0.96158,0.96153,0.96192,0.9617249999999999,0.9616766666666666,0.9616525,0.9616724999999999,433,2021-03-29 20:30:00
6583,AUDCAD_i,0.96157,0.96166,0.96147,0.96182,0.9616450000000001,0.96165,0.9616525,0.96163,510,2021-03-29 20:45:00
6584,AUDCAD_i,0.96163,0.9615,0.9614,0.96182,0.9616100000000001,0.9615733333333334,0.961555,0.9615875,644,2021-03-29 21:00:00
6585,AUDCAD_i,0.9615,0.96119,0.96114,0.9615,0.96132,0.9612766666666666,0.961255,0.9613324999999999,461,2021-03-29 21:15:00
6586,AUDCAD_i,0.96118,0.96108,0.96107,0.9615,0.961285,0.9612166666666666,0.9611824999999999,0.9612075,368,2021-03-29 21:30:00
6587,AUDCAD_i,0.96107,0.96093,0.96084,0.96138,0.96111,0.9610500000000001,0.96102,0.961055,582,2021-03-29 21:45:00
6588,AUDCAD_i,0.96094,0.96127,0.96086,0.96142,0.9611400000000001,0.9611833333333334,0.961205,0.9611225,530,2021-03-29 22:00:00
6589,AUDCAD_i,0.96127,0.96085,0.96079,0.96141,0.9611000000000001,0.9610166666666666,0.9609749999999999,0.9610799999999999,468,2021-03-29 22:15:00
6590,AUDCAD_i,0.96087,0.96106,0.96079,0.96107,0.9609300000000001,0.9609733333333335,0.960995,0.9609475000000001,379,2021-03-29 22:30:00
6591,AUDCAD_i,0.96104,0.96119,0.96091,0.96136,0.9611350000000001,0.9611533333333334,0.9611625000000001,0.9611250000000001,527,2021-03-29 22:45:00
6592,AUDCAD_i,0.96119,0.96092,0.96073,0.96123,0.96098,0.96096,0.96095,0.9610175000000001,289,2021-03-29 23:00:00
6593,AUDCAD_i,0.96092,0.96115,0.96089,0.96123,0.96106,0.96109,0.961105,0.9610475,113,2021-03-29 23:15:00
6594,AUDCAD_i,0.96114,0.96096,0.96085,0.96114,0.960995,0.9609833333333334,0.9609775,0.9610225,188,2021-03-29 23:30:00
6595,AUDCAD_i,0.96099,0.96059,0.96043,0.96117,0.9608,0.96073,0.9606950000000001,0.9607950000000001,370,2021-03-29 23:45:00
6596,AUDCAD_i,0.96059,0.96051,0.96039,0.96082,0.9606049999999999,0.9605733333333332,0.9605575,0.9605774999999999,67,2021-03-30 00:00:00
6597,AUDCAD_i,0.96052,0.9608,0.96048,0.96115,0.960815,0.9608099999999999,0.9608074999999999,0.9607375,102,2021-03-30 00:15:00
6598,AUDCAD_i,0.96058,0.96044,0.96019,0.96089,0.96054,0.9605066666666667,0.9604900000000001,0.9605250000000001,153,2021-03-30 00:30:00
6599,AUDCAD_i,0.96043,0.96071,0.96043,0.96075,0.96059,0.9606300000000001,0.96065,0.9605800000000001,102,2021-03-30 00:45:00
6600,AUDCAD_i,0.96072,0.96099,0.96064,0.96109,0.9608650000000001,0.9609066666666667,0.9609274999999999,0.96086,227,2021-03-30 01:00:00
6601,AUDCAD_i,0.96101,0.96087,0.96084,0.96104,0.96094,0.9609166666666668,0.960905,0.96094,105,2021-03-30 01:15:00
6602,AUDCAD_i,0.9609,0.96072,0.96065,0.96093,0.96079,0.9607666666666667,0.960755,0.9608,132,2021-03-30 01:30:00
6603,AUDCAD_i,0.96072,0.96102,0.96062,0.96107,0.960845,0.9609033333333333,0.9609325,0.9608574999999999,115,2021-03-30 01:45:00
6604,AUDCAD_i,0.96102,0.96092,0.96078,0.96118,0.96098,0.96096,0.96095,0.960975,157,2021-03-30 02:00:00
6605,AUDCAD_i,0.96091,0.96138,0.96077,0.96145,0.96111,0.9611999999999999,0.961245,0.9611275,178,2021-03-30 02:15:00
6606,AUDCAD_i,0.96138,0.96144,0.96123,0.96163,0.96143,0.9614333333333334,0.961435,0.96142,182,2021-03-30 02:30:00
6607,AUDCAD_i,0.96146,0.96152,0.96136,0.96166,0.96151,0.9615133333333333,0.961515,0.9615,205,2021-03-30 02:45:00
6608,AUDCAD_i,0.96152,0.96119,0.96119,0.9617,0.961445,0.96136,0.9613175,0.9614,449,2021-03-30 03:00:00
6609,AUDCAD_i,0.96124,0.96126,0.96114,0.96149,0.9613149999999999,0.9612966666666667,0.9612875000000001,0.9612825,445,2021-03-30 03:15:00
6610,AUDCAD_i,0.96125,0.96121,0.96103,0.96168,0.961355,0.9613066666666666,0.9612824999999999,0.9612925,314,2021-03-30 03:30:00
6611,AUDCAD_i,0.9612,0.96105,0.96064,0.96123,0.9609350000000001,0.9609733333333335,0.9609925000000001,0.96103,376,2021-03-30 03:45:00
6612,AUDCAD_i,0.96106,0.96132,0.96079,0.9614,0.961095,0.9611700000000001,0.9612075,0.9611425,312,2021-03-30 04:00:00
6613,AUDCAD_i,0.96128,0.96149,0.96123,0.96163,0.96143,0.96145,0.96146,0.9614075,357,2021-03-30 04:15:00
6614,AUDCAD_i,0.96146,0.96196,0.96131,0.96196,0.961635,0.9617433333333333,0.9617975,0.9616724999999999,361,2021-03-30 04:30:00
6615,AUDCAD_i,0.96193,0.9622,0.96183,0.96251,0.96217,0.96218,0.9621850000000001,0.9621175,511,2021-03-30 04:45:00
6616,AUDCAD_i,0.96219,0.96252,0.96199,0.96253,0.96226,0.9623466666666666,0.96239,0.9623075,346,2021-03-30 05:00:00
6617,AUDCAD_i,0.96254,0.96286,0.96246,0.9629,0.96268,0.96274,0.96277,0.96269,412,2021-03-30 05:15:00
6618,AUDCAD_i,0.9628,0.96289,0.96277,0.96307,0.96292,0.9629099999999999,0.9629049999999999,0.9628825,257,2021-03-30 05:30:00
6619,AUDCAD_i,0.96291,0.96251,0.96248,0.96303,0.962755,0.9626733333333334,0.9626325,0.9627325,281,2021-03-30 05:45:00
6620,AUDCAD_i,0.96254,0.96309,0.96252,0.96317,0.962845,0.9629266666666666,0.9629675,0.9628299999999999,235,2021-03-30 06:00:00
6621,AUDCAD_i,0.96311,0.96356,0.96309,0.96416,0.963625,0.9636033333333334,0.9635925000000001,0.96348,562,2021-03-30 06:15:00
6622,AUDCAD_i,0.96358,0.96349,0.96336,0.96375,0.9635549999999999,0.9635333333333334,0.9635225000000001,0.963545,400,2021-03-30 06:30:00
6623,AUDCAD_i,0.96352,0.96349,0.96337,0.96364,0.9635050000000001,0.9635000000000001,0.9634975000000001,0.9635050000000001,211,2021-03-30 06:45:00
6624,AUDCAD_i,0.96344,0.96322,0.96313,0.96358,0.963355,0.9633099999999999,0.9632874999999999,0.9633424999999999,169,2021-03-30 07:00:00
6625,AUDCAD_i,0.9632,0.96331,0.96316,0.96356,0.96336,0.9633433333333333,0.9633349999999999,0.9633075,246,2021-03-30 07:15:00
6626,AUDCAD_i,0.96332,0.96338,0.96306,0.96348,0.9632700000000001,0.9633066666666666,0.963325,0.96331,273,2021-03-30 07:30:00
6627,AUDCAD_i,0.96338,0.96314,0.96307,0.96339,0.96323,0.9632000000000001,0.9631850000000001,0.963245,256,2021-03-30 07:45:00
