,EURCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
25296,EURCHF_i,1.03899,1.03893,1.03889,1.0391,1.038995,1.038973333333333,1.0389624999999998,1.0389774999999999,180,2021-12-27 23:00:00
25297,EURCHF_i,1.03893,1.0392,1.03892,1.03921,1.039065,1.03911,1.0391325,1.039065,153,2021-12-27 23:15:00
25298,EURCHF_i,1.03924,1.03923,1.03917,1.03926,1.039215,1.03922,1.0392225,1.039225,78,2021-12-27 23:30:00
25299,EURCHF_i,1.03923,1.03871,1.03871,1.03923,1.03897,1.0388833333333334,1.03884,1.03897,92,2021-12-27 23:45:00
25300,EURCHF_i,1.03871,1.03873,1.03851,1.03907,1.03879,1.0387700000000002,1.0387600000000001,1.038755,96,2021-12-28 00:00:00
25301,EURCHF_i,1.03875,1.03874,1.03868,1.03911,1.0388950000000001,1.0388433333333333,1.0388175,1.03882,68,2021-12-28 00:15:00
25302,EURCHF_i,1.03888,1.03907,1.03883,1.0391,1.038965,1.039,1.0390175,1.03897,177,2021-12-28 00:30:00
25303,EURCHF_i,1.03907,1.03904,1.03889,1.03914,1.039015,1.0390233333333334,1.0390275,1.039035,85,2021-12-28 00:45:00
25304,EURCHF_i,1.03906,1.03899,1.0388,1.03924,1.0390199999999998,1.03901,1.039005,1.0390225,202,2021-12-28 01:00:00
25305,EURCHF_i,1.03899,1.039,1.0388,1.03916,1.03898,1.0389866666666665,1.0389899999999999,1.0389875,124,2021-12-28 01:15:00
25306,EURCHF_i,1.039,1.03902,1.03895,1.03911,1.03903,1.0390266666666665,1.0390249999999999,1.0390199999999998,81,2021-12-28 01:30:00
25307,EURCHF_i,1.03893,1.03897,1.0389,1.03914,1.0390199999999998,1.0390033333333333,1.038995,1.0389849999999998,92,2021-12-28 01:45:00
25308,EURCHF_i,1.03897,1.03897,1.03895,1.0391,1.039025,1.0390066666666666,1.0389975,1.0389975,155,2021-12-28 02:00:00
25309,EURCHF_i,1.03897,1.03912,1.03894,1.03915,1.039045,1.03907,1.0390825000000001,1.039045,106,2021-12-28 02:15:00
25310,EURCHF_i,1.03911,1.03909,1.03892,1.03918,1.03905,1.0390633333333332,1.03907,1.039075,118,2021-12-28 02:30:00
25311,EURCHF_i,1.03909,1.03879,1.03876,1.03922,1.03899,1.0389233333333334,1.03889,1.0389650000000001,197,2021-12-28 02:45:00
25312,EURCHF_i,1.03879,1.0387,1.03864,1.03881,1.038725,1.0387166666666665,1.0387125,1.038735,223,2021-12-28 03:00:00
25313,EURCHF_i,1.03869,1.03883,1.03866,1.03886,1.03876,1.0387833333333332,1.038795,1.03876,218,2021-12-28 03:15:00
25314,EURCHF_i,1.03883,1.03878,1.03874,1.03886,1.0388,1.0387933333333332,1.03879,1.0388025,220,2021-12-28 03:30:00
25315,EURCHF_i,1.03878,1.03878,1.03874,1.03892,1.03883,1.0388133333333334,1.038805,1.038805,176,2021-12-28 03:45:00
25316,EURCHF_i,1.03878,1.03869,1.03863,1.03879,1.03871,1.0387033333333333,1.0387,1.0387225,110,2021-12-28 04:00:00
25317,EURCHF_i,1.03869,1.03856,1.03854,1.03871,1.0386250000000001,1.0386033333333333,1.0385925,1.0386250000000001,116,2021-12-28 04:15:00
25318,EURCHF_i,1.03855,1.03864,1.03855,1.03865,1.0386000000000002,1.0386133333333334,1.03862,1.0385975,65,2021-12-28 04:30:00
25319,EURCHF_i,1.03864,1.03872,1.03861,1.03892,1.0387650000000002,1.03875,1.0387425000000001,1.0387225,196,2021-12-28 04:45:00
25320,EURCHF_i,1.03871,1.0387,1.03865,1.03875,1.0387,1.0387,1.0387,1.0387024999999999,122,2021-12-28 05:00:00
25321,EURCHF_i,1.0387,1.03868,1.03861,1.03873,1.03867,1.0386733333333333,1.038675,1.0386799999999998,72,2021-12-28 05:15:00
25322,EURCHF_i,1.03868,1.03866,1.03866,1.03876,1.03871,1.0386933333333335,1.038685,1.0386900000000001,67,2021-12-28 05:30:00
25323,EURCHF_i,1.03866,1.03883,1.03857,1.03891,1.03874,1.03877,1.0387849999999998,1.0387425,108,2021-12-28 05:45:00
25324,EURCHF_i,1.03883,1.03876,1.03876,1.0389,1.03883,1.0388066666666667,1.038795,1.0388125,52,2021-12-28 06:00:00
25325,EURCHF_i,1.03877,1.03887,1.03876,1.03892,1.03884,1.03885,1.038855,1.03883,75,2021-12-28 06:15:00
25326,EURCHF_i,1.03887,1.03882,1.0388,1.03896,1.03888,1.03886,1.03885,1.0388625,68,2021-12-28 06:30:00
25327,EURCHF_i,1.03882,1.03887,1.0388,1.03899,1.0388950000000001,1.0388866666666667,1.0388825000000002,1.0388700000000002,69,2021-12-28 06:45:00
25328,EURCHF_i,1.03887,1.03886,1.03879,1.0389,1.038845,1.03885,1.0388525,1.038855,85,2021-12-28 07:00:00
25329,EURCHF_i,1.03886,1.03905,1.03884,1.03906,1.03895,1.0389833333333334,1.0390000000000001,1.0389525,85,2021-12-28 07:15:00
25330,EURCHF_i,1.03905,1.03916,1.03901,1.03917,1.0390899999999998,1.0391133333333331,1.0391249999999999,1.0390975,97,2021-12-28 07:30:00
25331,EURCHF_i,1.03917,1.03916,1.03903,1.03917,1.0391,1.0391199999999998,1.0391299999999999,1.0391325,101,2021-12-28 07:45:00
25332,EURCHF_i,1.03916,1.0389,1.0389,1.03916,1.03903,1.0389866666666665,1.038965,1.03903,92,2021-12-28 08:00:00
25333,EURCHF_i,1.0389,1.03893,1.03888,1.03895,1.038915,1.03892,1.0389225,1.038915,75,2021-12-28 08:15:00
25334,EURCHF_i,1.03893,1.03907,1.03893,1.03912,1.039025,1.03904,1.0390475,1.0390125,73,2021-12-28 08:30:00
25335,EURCHF_i,1.03907,1.0391,1.03905,1.03927,1.0391599999999999,1.03914,1.0391299999999999,1.0391225,104,2021-12-28 08:45:00
25336,EURCHF_i,1.0391,1.03909,1.03885,1.03912,1.038985,1.03902,1.0390375,1.03904,100,2021-12-28 09:00:00
25337,EURCHF_i,1.03908,1.03905,1.03891,1.03909,1.0390000000000001,1.0390166666666667,1.039025,1.0390325,111,2021-12-28 09:15:00
25338,EURCHF_i,1.03907,1.03899,1.03884,1.03918,1.03901,1.0390033333333333,1.0390000000000001,1.03902,208,2021-12-28 09:30:00
25339,EURCHF_i,1.03899,1.03886,1.03885,1.0391,1.038975,1.0389366666666666,1.0389175,1.03895,326,2021-12-28 09:45:00
25340,EURCHF_i,1.03887,1.03868,1.03855,1.03905,1.0388000000000002,1.0387600000000001,1.0387400000000002,1.0387875000000002,534,2021-12-28 10:00:00
25341,EURCHF_i,1.0387,1.03873,1.03862,1.03913,1.038875,1.0388266666666668,1.0388025,1.038795,508,2021-12-28 10:15:00
25342,EURCHF_i,1.03873,1.03848,1.03844,1.0388,1.0386199999999999,1.0385733333333331,1.0385499999999999,1.0386125,384,2021-12-28 10:30:00
25343,EURCHF_i,1.03848,1.03839,1.03837,1.03855,1.0384600000000002,1.0384366666666667,1.038425,1.0384475,306,2021-12-28 10:45:00
25344,EURCHF_i,1.03839,1.03842,1.03826,1.03851,1.038385,1.0383966666666666,1.0384025,1.038395,360,2021-12-28 11:00:00
25345,EURCHF_i,1.03842,1.03817,1.03811,1.03842,1.038265,1.0382333333333333,1.0382175,1.0382799999999999,325,2021-12-28 11:15:00
25346,EURCHF_i,1.03816,1.03817,1.0381,1.03829,1.038195,1.0381866666666666,1.0381825,1.03818,275,2021-12-28 11:30:00
25347,EURCHF_i,1.03817,1.03821,1.03811,1.03828,1.038195,1.0382,1.0382025000000001,1.0381925,208,2021-12-28 11:45:00
25348,EURCHF_i,1.0382,1.03799,1.03794,1.03822,1.03808,1.03805,1.0380349999999998,1.0380874999999998,415,2021-12-28 12:00:00
25349,EURCHF_i,1.03798,1.03806,1.03784,1.03808,1.03796,1.0379933333333333,1.0380099999999999,1.03799,317,2021-12-28 12:15:00
25350,EURCHF_i,1.03807,1.03819,1.03806,1.03833,1.038195,1.0381933333333333,1.0381925,1.0381625,343,2021-12-28 12:30:00
25351,EURCHF_i,1.03819,1.03789,1.03786,1.03819,1.038025,1.03798,1.0379575,1.0380325,250,2021-12-28 12:45:00
25352,EURCHF_i,1.03789,1.03808,1.03786,1.0381,1.0379800000000001,1.0380133333333335,1.03803,1.0379825,248,2021-12-28 13:00:00
25353,EURCHF_i,1.03809,1.03843,1.03807,1.03848,1.038275,1.0383266666666666,1.0383525,1.0382675,329,2021-12-28 13:15:00
25354,EURCHF_i,1.03844,1.03842,1.03826,1.03847,1.038365,1.0383833333333332,1.0383925,1.0383974999999999,242,2021-12-28 13:30:00
25355,EURCHF_i,1.03842,1.03807,1.03795,1.03842,1.038185,1.0381466666666668,1.0381275,1.038215,205,2021-12-28 13:45:00
25356,EURCHF_i,1.03807,1.03827,1.03798,1.03849,1.0382349999999998,1.0382466666666665,1.0382524999999998,1.0382025,353,2021-12-28 14:00:00
25357,EURCHF_i,1.03827,1.03835,1.03823,1.03843,1.03833,1.0383366666666667,1.03834,1.03832,407,2021-12-28 14:15:00
25358,EURCHF_i,1.03835,1.0383,1.03822,1.03841,1.0383149999999999,1.0383099999999998,1.0383075,1.03832,192,2021-12-28 14:30:00
25359,EURCHF_i,1.03828,1.03792,1.0379,1.0383,1.0381,1.0380399999999999,1.0380099999999999,1.0381,366,2021-12-28 14:45:00
25360,EURCHF_i,1.03794,1.0379,1.03787,1.03821,1.03804,1.0379933333333333,1.03797,1.0379800000000001,524,2021-12-28 15:00:00
25361,EURCHF_i,1.03793,1.03786,1.03771,1.038,1.037855,1.0378566666666666,1.0378575,1.037875,314,2021-12-28 15:15:00
25362,EURCHF_i,1.03787,1.03778,1.03752,1.03787,1.037695,1.0377233333333333,1.0377375,1.03776,465,2021-12-28 15:30:00
25363,EURCHF_i,1.03779,1.03751,1.03742,1.03793,1.0376750000000001,1.0376200000000002,1.0375925000000001,1.0376625000000002,466,2021-12-28 15:45:00
25364,EURCHF_i,1.03749,1.03753,1.03743,1.03762,1.037525,1.0375266666666667,1.0375275000000002,1.0375175,554,2021-12-28 16:00:00
25365,EURCHF_i,1.03753,1.0375,1.03741,1.03775,1.03758,1.0375533333333333,1.03754,1.0375475,555,2021-12-28 16:15:00
25366,EURCHF_i,1.03751,1.03752,1.03742,1.03767,1.0375450000000002,1.0375366666666668,1.0375325,1.03753,610,2021-12-28 16:30:00
25367,EURCHF_i,1.03752,1.03755,1.03742,1.03766,1.03754,1.0375433333333333,1.037545,1.0375375,718,2021-12-28 16:45:00
25368,EURCHF_i,1.03757,1.03733,1.03731,1.03757,1.0374400000000001,1.0374033333333335,1.037385,1.037445,575,2021-12-28 17:00:00
25369,EURCHF_i,1.03733,1.03716,1.03708,1.03739,1.037235,1.03721,1.0371975,1.03724,357,2021-12-28 17:15:00
25370,EURCHF_i,1.03716,1.03704,1.03704,1.0373,1.0371700000000001,1.0371266666666668,1.0371050000000002,1.0371350000000001,486,2021-12-28 17:30:00
25371,EURCHF_i,1.03703,1.03719,1.03703,1.03757,1.0373,1.0372633333333334,1.037245,1.037205,434,2021-12-28 17:45:00
25372,EURCHF_i,1.03719,1.03716,1.03704,1.0374,1.03722,1.0372000000000001,1.03719,1.0371975,437,2021-12-28 18:00:00
25373,EURCHF_i,1.03715,1.0374,1.03714,1.03752,1.0373299999999999,1.0373533333333331,1.0373649999999999,1.0373025,291,2021-12-28 18:15:00
25374,EURCHF_i,1.0374,1.03695,1.03691,1.03745,1.03718,1.0371033333333333,1.0370650000000001,1.0371775,224,2021-12-28 18:30:00
25375,EURCHF_i,1.03695,1.03704,1.03684,1.03717,1.037005,1.0370166666666665,1.0370225,1.037,233,2021-12-28 18:45:00
