,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16714,GER40_i,13759.3,13772.3,13746.3,13778.3,13762.3,13765.633333333331,13767.3,13764.05,1545,2021-01-22 13:30:00
16715,GER40_i,13772.3,13786.3,13766.3,13792.3,13779.3,13781.633333333331,13782.8,13779.3,1255,2021-01-22 13:45:00
16716,GER40_i,13786.3,13794.3,13782.3,13801.3,13791.8,13792.633333333331,13793.05,13791.05,1395,2021-01-22 14:00:00
16717,GER40_i,13795.3,13788.3,13775.3,13797.3,13786.3,13786.966666666665,13787.3,13789.05,1135,2021-01-22 14:15:00
16718,GER40_i,13788.3,13798.3,13781.3,13799.3,13790.3,13792.966666666665,13794.3,13791.8,1245,2021-01-22 14:30:00
16719,GER40_i,13798.3,13814.3,13791.3,13819.3,13805.3,13808.299999999997,13809.8,13805.8,1055,2021-01-22 14:45:00
16720,GER40_i,13813.3,13817.3,13806.3,13822.3,13814.3,13815.299999999997,13815.8,13814.8,1164,2021-01-22 15:00:00
16721,GER40_i,13817.3,13817.3,13804.3,13817.3,13810.8,13812.966666666665,13814.05,13814.05,975,2021-01-22 15:15:00
16722,GER40_i,13817.3,13836.3,13812.3,13838.3,13825.3,13828.966666666665,13830.8,13826.05,1055,2021-01-22 15:30:00
16723,GER40_i,13836.3,13842.3,13830.3,13854.3,13842.3,13842.299999999997,13842.3,13840.8,1253,2021-01-22 15:45:00
16724,GER40_i,13842.3,13852.3,13840.3,13875.3,13857.8,13855.966666666665,13855.05,13852.55,1505,2021-01-22 16:00:00
16725,GER40_i,13853.3,13868.3,13847.3,13869.3,13858.3,13861.633333333331,13863.3,13859.55,897,2021-01-22 16:15:00
16726,GER40_i,13867.3,13872.3,13864.3,13884.3,13874.3,13873.633333333331,13873.3,13872.05,1605,2021-01-22 16:30:00
16727,GER40_i,13877.3,13888.3,13876.3,13901.3,13888.8,13888.633333333331,13888.55,13885.8,1555,2021-01-22 16:45:00
16728,GER40_i,13889.3,13880.3,13875.3,13899.3,13887.3,13884.966666666665,13883.8,13886.05,1555,2021-01-22 17:00:00
16729,GER40_i,13881.3,13863.3,13856.3,13889.3,13872.8,13869.633333333331,13868.05,13872.55,1305,2021-01-22 17:15:00
16730,GER40_i,13862.3,13873.3,13853.3,13876.3,13864.8,13867.633333333331,13869.05,13866.3,1675,2021-01-22 17:30:00
16731,GER40_i,13873.3,13870.3,13866.3,13882.3,13874.3,13872.966666666665,13872.3,13873.05,1325,2021-01-22 17:45:00
16732,GER40_i,13869.3,13863.3,13860.3,13882.3,13871.3,13868.633333333331,13867.3,13868.8,1095,2021-01-22 18:00:00
16733,GER40_i,13863.3,13855.3,13850.3,13868.3,13859.3,13857.966666666665,13857.3,13859.3,1295,2021-01-22 18:15:00
16734,GER40_i,13857.3,13877.3,13850.3,13881.3,13865.8,13869.633333333331,13871.55,13866.55,1115,2021-01-22 18:30:00
16735,GER40_i,13877.3,13903.3,13875.3,13904.3,13889.8,13894.299999999997,13896.55,13890.05,875,2021-01-22 18:45:00
16736,GER40_i,13903.3,13897.3,13894.3,13910.5,13902.4,13900.699999999999,13899.849999999999,13901.349999999999,869,2021-01-22 19:00:00
16737,GER40_i,13897.3,13893.3,13893.3,13905.3,13899.3,13897.299999999997,13896.3,13897.3,735,2021-01-22 19:15:00
16738,GER40_i,13893.3,13895.3,13885.3,13898.3,13891.8,13892.966666666665,13893.55,13893.05,734,2021-01-22 19:30:00
16739,GER40_i,13895.3,13887.3,13887.3,13896.3,13891.8,13890.299999999997,13889.55,13891.55,545,2021-01-22 19:45:00
16740,GER40_i,13887.3,13882.3,13875.3,13889.3,13882.3,13882.299999999997,13882.3,13883.55,435,2021-01-22 20:00:00
16741,GER40_i,13882.3,13891.3,13882.3,13894.3,13888.3,13889.299999999997,13889.8,13887.55,435,2021-01-22 20:15:00
16742,GER40_i,13891.3,13902.3,13890.3,13906.3,13898.3,13899.633333333331,13900.3,13897.55,447,2021-01-22 20:30:00
16743,GER40_i,13902.3,13890.3,13890.3,13903.3,13896.8,13894.633333333331,13893.55,13896.55,425,2021-01-22 20:45:00
16744,GER40_i,13890.3,13896.3,13889.3,13898.3,13893.8,13894.633333333331,13895.05,13893.55,578,2021-01-22 21:00:00
16745,GER40_i,13896.3,13883.3,13882.3,13898.3,13890.3,13887.966666666665,13886.8,13890.05,675,2021-01-22 21:15:00
16746,GER40_i,13883.3,13878.3,13878.3,13888.3,13883.3,13881.633333333331,13880.8,13882.05,565,2021-01-22 21:30:00
16747,GER40_i,13878.3,13878.3,13875.3,13881.3,13878.3,13878.299999999997,13878.3,13878.3,621,2021-01-22 21:45:00
16748,GER40_i,13878.3,13869.3,13868.3,13882.3,13875.3,13873.299999999997,13872.3,13874.55,625,2021-01-22 22:00:00
16749,GER40_i,13869.3,13880.3,13861.3,13880.3,13870.8,13873.966666666665,13875.55,13872.8,725,2021-01-22 22:15:00
16750,GER40_i,13944.1,13937.1,13925.1,13946.1,13935.6,13936.1,13936.35,13938.1,1001,2021-01-25 09:30:00
16751,GER40_i,13936.1,13950.1,13926.5,13954.0,13940.25,13943.533333333333,13945.175,13941.675,1353,2021-01-25 09:45:00
