,USDHKD,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
24953,USDHKD,7.79941,7.79937,7.79931,7.79956,7.799435,7.799413333333334,7.7994025,7.799412500000001,65,2021-12-22 09:15:00
24954,USDHKD,7.79937,7.7997499999999995,7.7993500000000004,7.7998899999999995,7.79962,7.799663333333332,7.799684999999999,7.799589999999999,65,2021-12-22 09:30:00
24955,USDHKD,7.7997499999999995,7.80016,7.7997499999999995,7.80037,7.80006,7.800093333333334,7.80011,7.8000075,82,2021-12-22 09:45:00
24956,USDHKD,7.80005,7.80013,7.80003,7.80039,7.80021,7.800183333333333,7.80017,7.8001499999999995,62,2021-12-22 10:00:00
24957,USDHKD,7.80013,7.7996,7.79942,7.80032,7.79987,7.799780000000001,7.799735,7.7998675,89,2021-12-22 10:15:00
24958,USDHKD,7.7996,7.79963,7.7996,7.79983,7.799715,7.799686666666666,7.7996725,7.799664999999999,60,2021-12-22 10:30:00
24959,USDHKD,7.79963,7.79965,7.79941,7.79981,7.7996099999999995,7.799623333333333,7.79963,7.799625,88,2021-12-22 10:45:00
24960,USDHKD,7.79965,7.79976,7.79961,7.79997,7.79979,7.799779999999999,7.7997749999999995,7.7997475,74,2021-12-22 11:00:00
24961,USDHKD,7.79988,7.79983,7.79976,7.79993,7.7998449999999995,7.79984,7.7998375,7.799849999999999,45,2021-12-22 11:15:00
24962,USDHKD,7.79984,7.79955,7.79938,7.7999600000000004,7.799670000000001,7.7996300000000005,7.79961,7.7996825,59,2021-12-22 11:30:00
24963,USDHKD,7.79953,7.80023,7.79952,7.80033,7.799925,7.800026666666667,7.8000774999999996,7.7999025,79,2021-12-22 11:45:00
24964,USDHKD,7.80022,7.79978,7.79973,7.80035,7.80004,7.799953333333334,7.799910000000001,7.80002,66,2021-12-22 12:00:00
24965,USDHKD,7.79978,7.7997499999999995,7.79972,7.80032,7.80002,7.79993,7.799885,7.7998925,53,2021-12-22 12:15:00
24966,USDHKD,7.79973,7.7997,7.7997,7.79988,7.79979,7.799759999999999,7.799745,7.799752499999999,50,2021-12-22 12:30:00
24967,USDHKD,7.79971,7.7997499999999995,7.79971,7.79993,7.79982,7.7997966666666665,7.799785,7.799775,81,2021-12-22 12:45:00
24968,USDHKD,7.7997499999999995,7.79972,7.7997,7.79993,7.799815,7.799783333333333,7.7997675,7.7997749999999995,58,2021-12-22 13:00:00
24969,USDHKD,7.79972,7.79952,7.79942,7.7999,7.799659999999999,7.799613333333333,7.79959,7.79964,48,2021-12-22 13:15:00
24970,USDHKD,7.79952,7.79951,7.79951,7.79974,7.799625,7.7995866666666664,7.7995675,7.79957,39,2021-12-22 13:30:00
24971,USDHKD,7.79951,7.79951,7.79951,7.79972,7.799614999999999,7.799579999999999,7.799562499999999,7.799562499999999,35,2021-12-22 13:45:00
24972,USDHKD,7.79951,7.79947,7.79945,7.79969,7.79957,7.7995366666666675,7.79952,7.799530000000001,42,2021-12-22 14:00:00
24973,USDHKD,7.79947,7.7994900000000005,7.79931,7.79951,7.79941,7.799436666666668,7.79945,7.799445,71,2021-12-22 14:15:00
24974,USDHKD,7.7994900000000005,7.79973,7.79948,7.80007,7.799775,7.79976,7.7997525,7.799692500000001,77,2021-12-22 14:30:00
24975,USDHKD,7.79973,7.80045,7.79968,7.80072,7.8002,7.800283333333333,7.800324999999999,7.800145,92,2021-12-22 14:45:00
24976,USDHKD,7.80041,7.80034,7.80019,7.80064,7.800414999999999,7.80039,7.8003775,7.800395,83,2021-12-22 15:00:00
24977,USDHKD,7.80034,7.80063,7.80032,7.80077,7.800545,7.8005733333333325,7.800587499999999,7.800514999999999,63,2021-12-22 15:15:00
24978,USDHKD,7.80063,7.80066,7.80063,7.80075,7.8006899999999995,7.80068,7.800675,7.800667499999999,66,2021-12-22 15:30:00
24979,USDHKD,7.80066,7.80009,7.8,7.80072,7.8003599999999995,7.80027,7.800225,7.8003675,96,2021-12-22 15:45:00
24980,USDHKD,7.8001000000000005,7.80009,7.80008,7.80026,7.80017,7.800143333333334,7.80013,7.8001325,47,2021-12-22 16:00:00
24981,USDHKD,7.80009,7.7994900000000005,7.79925,7.80025,7.7997499999999995,7.799663333333332,7.799619999999999,7.79977,162,2021-12-22 16:15:00
24982,USDHKD,7.7994900000000005,7.79924,7.79918,7.79958,7.799379999999999,7.799333333333333,7.79931,7.7993725000000005,61,2021-12-22 16:30:00
24983,USDHKD,7.79924,7.79873,7.79873,7.79943,7.79908,7.798963333333333,7.7989049999999995,7.7990325,74,2021-12-22 16:45:00
24984,USDHKD,7.79873,7.79901,7.79873,7.79908,7.7989049999999995,7.798939999999999,7.798957499999999,7.798887499999999,73,2021-12-22 17:00:00
24985,USDHKD,7.79901,7.79905,7.79901,7.79941,7.79921,7.799156666666668,7.799130000000001,7.79912,58,2021-12-22 17:15:00
24986,USDHKD,7.79905,7.79945,7.79905,7.79961,7.79933,7.799370000000001,7.799390000000001,7.799290000000001,53,2021-12-22 17:30:00
24987,USDHKD,7.79945,7.80044,7.79945,7.80065,7.800050000000001,7.80018,7.800245,7.7999975,163,2021-12-22 17:45:00
24988,USDHKD,7.80043,7.80052,7.79974,7.80088,7.80031,7.80038,7.800414999999999,7.800392499999999,126,2021-12-22 18:00:00
24989,USDHKD,7.80052,7.80055,7.80052,7.80086,7.8006899999999995,7.800643333333333,7.80062,7.8006125,70,2021-12-22 18:15:00
24990,USDHKD,7.80052,7.80056,7.8004999999999995,7.80082,7.80066,7.800626666666666,7.80061,7.800599999999999,73,2021-12-22 18:30:00
24991,USDHKD,7.8007,7.80056,7.80056,7.80082,7.8006899999999995,7.800646666666666,7.800625,7.80066,51,2021-12-22 18:45:00
24992,USDHKD,7.8007,7.80023,7.80018,7.80082,7.8004999999999995,7.800409999999999,7.800364999999999,7.800482499999999,50,2021-12-22 19:00:00
24993,USDHKD,7.8003,7.80051,7.80023,7.80095,7.80059,7.800563333333333,7.800549999999999,7.8004975,60,2021-12-22 19:15:00
24994,USDHKD,7.80051,7.80053,7.8004999999999995,7.8007,7.800599999999999,7.800576666666667,7.800565000000001,7.80056,47,2021-12-22 19:30:00
24995,USDHKD,7.8004999999999995,7.80051,7.80049,7.80072,7.800605,7.800573333333333,7.8005575,7.800555,53,2021-12-22 19:45:00
24996,USDHKD,7.80051,7.80077,7.8004999999999995,7.80081,7.800655,7.800693333333332,7.8007124999999995,7.800647499999999,61,2021-12-22 20:00:00
24997,USDHKD,7.80087,7.80054,7.80053,7.80087,7.8007,7.800646666666666,7.80062,7.8007025,69,2021-12-22 20:15:00
24998,USDHKD,7.80069,7.80067,7.80055,7.80081,7.80068,7.800676666666667,7.800675,7.80068,40,2021-12-22 20:30:00
24999,USDHKD,7.80067,7.80081,7.80065,7.80083,7.80074,7.800763333333333,7.800775,7.80074,43,2021-12-22 20:45:00
25000,USDHKD,7.80073,7.80112,7.80073,7.80123,7.80098,7.801026666666666,7.80105,7.800952499999999,48,2021-12-22 21:00:00
25001,USDHKD,7.80112,7.80112,7.80103,7.80123,7.801130000000001,7.801126666666668,7.801125000000001,7.801125000000001,48,2021-12-22 21:15:00
25002,USDHKD,7.80112,7.80112,7.80105,7.80125,7.80115,7.80114,7.801135,7.801135,24,2021-12-22 21:30:00
25003,USDHKD,7.80112,7.80046,7.80044,7.80123,7.800835,7.80071,7.8006475,7.8008125,59,2021-12-22 21:45:00
25004,USDHKD,7.80046,7.80027,7.80009,7.80046,7.800275,7.800273333333333,7.8002725,7.80032,73,2021-12-22 22:00:00
25005,USDHKD,7.80035,7.80062,7.8003,7.80078,7.80054,7.800566666666666,7.80058,7.8005125,63,2021-12-22 22:15:00
25006,USDHKD,7.80064,7.80084,7.80046,7.80107,7.800765,7.80079,7.8008025000000005,7.8007525,103,2021-12-22 22:30:00
25007,USDHKD,7.80084,7.80086,7.80077,7.80112,7.8009450000000005,7.800916666666667,7.8009025,7.8008975000000005,65,2021-12-22 22:45:00
25008,USDHKD,7.80084,7.7998,7.79976,7.80109,7.800425000000001,7.8002166666666675,7.800112500000001,7.800372500000001,77,2021-12-22 23:00:00
25009,USDHKD,7.79998,7.7998,7.79978,7.79998,7.79988,7.799853333333334,7.7998400000000006,7.799885,49,2021-12-22 23:15:00
25010,USDHKD,7.7998,7.7998,7.79978,7.8,7.7998899999999995,7.79986,7.799845,7.799845,43,2021-12-22 23:30:00
25011,USDHKD,7.79968,7.79976,7.7996,7.79988,7.79974,7.799746666666667,7.7997499999999995,7.79973,79,2021-12-22 23:45:00
25012,USDHKD,7.79976,7.79829,7.79829,7.79976,7.799025,7.798780000000001,7.798657500000001,7.799025,19,2021-12-23 00:00:00
25013,USDHKD,7.79881,7.79829,7.79829,7.79881,7.79855,7.798463333333333,7.79842,7.79855,11,2021-12-23 00:15:00
25014,USDHKD,7.79877,7.79835,7.79835,7.79936,7.798855,7.798686666666666,7.798602499999999,7.7987075,19,2021-12-23 00:30:00
25015,USDHKD,7.79934,7.79933,7.79835,7.79936,7.798855,7.799013333333334,7.7990925,7.799095,22,2021-12-23 00:45:00
25016,USDHKD,7.79828,7.79895,7.79825,7.7991399999999995,7.798695,7.798780000000001,7.7988225,7.798655,44,2021-12-23 01:00:00
25017,USDHKD,7.799,7.7988,7.79878,7.79906,7.79892,7.79888,7.7988599999999995,7.798909999999999,27,2021-12-23 01:15:00
25018,USDHKD,7.79898,7.799,7.79883,7.79913,7.79898,7.798986666666667,7.79899,7.798985,30,2021-12-23 01:30:00
25019,USDHKD,7.799,7.7992,7.7987400000000004,7.79954,7.79914,7.7991600000000005,7.79917,7.79912,42,2021-12-23 01:45:00
25020,USDHKD,7.79931,7.79919,7.79913,7.79942,7.799275,7.799246666666666,7.7992325,7.799262499999999,52,2021-12-23 02:00:00
25021,USDHKD,7.79919,7.79944,7.79919,7.7994900000000005,7.799340000000001,7.799373333333334,7.799390000000001,7.7993275,62,2021-12-23 02:15:00
25022,USDHKD,7.79944,7.79943,7.79921,7.79946,7.799335,7.799366666666667,7.7993825,7.799385,60,2021-12-23 02:30:00
25023,USDHKD,7.79943,7.79947,7.7993500000000004,7.79948,7.799415,7.799433333333333,7.7994425,7.7994325,43,2021-12-23 02:45:00
25024,USDHKD,7.79947,7.7995,7.79921,7.79964,7.799425,7.79945,7.799462500000001,7.799455,59,2021-12-23 03:00:00
25025,USDHKD,7.7995,7.80001,7.79943,7.80029,7.799860000000001,7.799910000000001,7.7999350000000005,7.7998075,71,2021-12-23 03:15:00
25026,USDHKD,7.80001,7.7993500000000004,7.7993500000000004,7.80012,7.799735,7.799606666666667,7.7995425,7.7997075,58,2021-12-23 03:30:00
25027,USDHKD,7.7993500000000004,7.7998,7.79903,7.79987,7.79945,7.799566666666667,7.799625000000001,7.7995125000000005,74,2021-12-23 03:45:00
25028,USDHKD,7.79995,7.79994,7.79885,7.8001000000000005,7.799475,7.7996300000000005,7.7997075,7.79971,75,2021-12-23 04:00:00
25029,USDHKD,7.79994,7.80009,7.79994,7.80012,7.80003,7.80005,7.80006,7.8000225,49,2021-12-23 04:15:00
25030,USDHKD,7.80002,7.79926,7.79926,7.80009,7.799675000000001,7.7995366666666675,7.7994675,7.7996575,64,2021-12-23 04:30:00
25031,USDHKD,7.79926,7.79963,7.79926,7.79976,7.79951,7.79955,7.79957,7.7994775,48,2021-12-23 04:45:00
25032,USDHKD,7.79963,7.79963,7.79963,7.79979,7.799709999999999,7.799683333333333,7.79967,7.79967,57,2021-12-23 05:00:00
25033,USDHKD,7.79973,7.79944,7.7994,7.79973,7.799565,7.799523333333333,7.7995025,7.799575,47,2021-12-23 05:15:00
25034,USDHKD,7.79941,7.79871,7.79865,7.79946,7.799055,7.798939999999999,7.7988824999999995,7.7990575,73,2021-12-23 05:30:00
