,AUDNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
29334,AUDNZD_i,1.06782,1.06823,1.06778,1.06861,1.068195,1.0682066666666667,1.0682125,1.0681100000000001,1086,2022-02-24 03:30:00
29335,AUDNZD_i,1.06821,1.06851,1.06784,1.06857,1.0682049999999998,1.0683066666666665,1.0683574999999998,1.0682825,1186,2022-02-24 03:45:00
29336,AUDNZD_i,1.0685,1.06892,1.06816,1.06917,1.068665,1.0687499999999999,1.0687925,1.0686875,1038,2022-02-24 04:00:00
29337,AUDNZD_i,1.06895,1.06835,1.06825,1.06915,1.0687,1.0685833333333334,1.068525,1.068675,943,2022-02-24 04:15:00
29338,AUDNZD_i,1.06835,1.06831,1.06825,1.06873,1.06849,1.06843,1.0684,1.0684099999999999,898,2022-02-24 04:30:00
29339,AUDNZD_i,1.06829,1.0679,1.06726,1.06862,1.0679400000000001,1.0679266666666667,1.06792,1.0680175,1646,2022-02-24 04:45:00
29340,AUDNZD_i,1.06791,1.06804,1.06773,1.0683799999999999,1.068055,1.0680500000000002,1.0680475,1.068015,1823,2022-02-24 05:00:00
29341,AUDNZD_i,1.06804,1.06864,1.06771,1.0688,1.068255,1.0683833333333332,1.0684475,1.0682975,1672,2022-02-24 05:15:00
29342,AUDNZD_i,1.06864,1.06903,1.06822,1.06917,1.068695,1.0688066666666665,1.0688624999999998,1.068765,1880,2022-02-24 05:30:00
29343,AUDNZD_i,1.06902,1.06909,1.06853,1.06924,1.0688849999999999,1.0689533333333332,1.0689875,1.06897,1550,2022-02-24 05:45:00
29344,AUDNZD_i,1.06909,1.06896,1.06872,1.06918,1.06895,1.0689533333333332,1.0689549999999999,1.0689875,1462,2022-02-24 06:00:00
29345,AUDNZD_i,1.06896,1.06876,1.0686,1.06965,1.069125,1.0690033333333335,1.0689425000000001,1.0689925,1359,2022-02-24 06:15:00
29346,AUDNZD_i,1.06875,1.06796,1.06793,1.0688,1.068365,1.06823,1.0681625000000001,1.0683600000000002,1222,2022-02-24 06:30:00
29347,AUDNZD_i,1.0679400000000001,1.06883,1.06768,1.06902,1.0683500000000001,1.06851,1.0685900000000002,1.0683675000000001,1618,2022-02-24 06:45:00
29348,AUDNZD_i,1.06883,1.06841,1.0681,1.06949,1.0687950000000002,1.0686666666666669,1.0686025000000001,1.0687075000000001,1561,2022-02-24 07:00:00
29349,AUDNZD_i,1.06841,1.06846,1.06839,1.06884,1.0686149999999999,1.0685633333333333,1.0685375,1.068525,1106,2022-02-24 07:15:00
29350,AUDNZD_i,1.06845,1.06907,1.06842,1.0692,1.06881,1.0688966666666666,1.06894,1.068785,1301,2022-02-24 07:30:00
