,NQ100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1042,NQ100_i,11979.0,11954.3,11948.3,11986.0,11967.15,11962.866666666667,11960.724999999999,11966.9,1642,2020-11-05 08:00:00
1043,NQ100_i,11952.4,11925.3,11916.8,11957.3,11937.05,11933.133333333331,11931.175,11937.949999999999,1649,2020-11-05 08:15:00
1044,NQ100_i,11925.5,11959.1,11921.8,11960.5,11941.15,11947.133333333333,11950.125,11941.725,1661,2020-11-05 08:30:00
1045,NQ100_i,11959.0,11940.3,11935.3,11965.8,11950.55,11947.133333333331,11945.425,11950.099999999999,1275,2020-11-05 08:45:00
1046,NQ100_i,11940.5,11965.8,11932.0,11970.5,11951.25,11956.1,11958.525000000001,11952.2,2435,2020-11-05 09:00:00
1047,NQ100_i,11966.3,12017.9,11959.3,12024.0,11991.65,12000.4,12004.775,11991.875,2051,2020-11-05 09:15:00
1048,NQ100_i,12018.0,12014.4,11996.5,12029.4,12012.95,12013.433333333334,12013.675000000001,12014.575,2158,2020-11-05 09:30:00
1049,NQ100_i,12016.5,12012.4,12006.5,12028.6,12017.55,12015.833333333334,12014.975,12016.0,1989,2020-11-05 09:45:00
1050,NQ100_i,12011.0,12023.9,11992.0,12032.3,12012.15,12016.066666666666,12018.025,12014.8,2393,2020-11-05 10:00:00
1051,NQ100_i,12023.6,12030.5,12016.6,12052.0,12034.3,12033.033333333333,12032.4,12030.675,1744,2020-11-05 10:15:00
1052,NQ100_i,12030.6,12044.9,12019.3,12058.6,12038.95,12040.933333333334,12041.925000000001,12038.35,1676,2020-11-05 10:30:00
1053,NQ100_i,12044.9,12042.8,12031.8,12059.0,12045.4,12044.533333333333,12044.099999999999,12044.625,1686,2020-11-05 10:45:00
1054,NQ100_i,12041.4,12033.4,12024.4,12045.5,12034.95,12034.433333333334,12034.175000000001,12036.175000000001,1759,2020-11-05 11:00:00
1055,NQ100_i,12033.6,12044.1,12033.3,12054.9,12044.099999999999,12044.099999999999,12044.099999999999,12041.474999999999,1364,2020-11-05 11:15:00
1056,NQ100_i,12044.1,12062.3,12026.9,12074.0,12050.45,12054.4,12056.375,12051.824999999999,1535,2020-11-05 11:30:00
1057,NQ100_i,12063.3,12081.6,12060.5,12086.1,12073.3,12076.066666666666,12077.449999999999,12072.875,1477,2020-11-05 11:45:00
1058,NQ100_i,12081.4,12096.9,12079.3,12103.0,12091.15,12093.066666666666,12094.025,12090.15,1301,2020-11-05 12:00:00
1059,NQ100_i,12097.5,12099.4,12093.6,12124.9,12109.25,12105.966666666667,12104.325,12103.85,1596,2020-11-05 12:15:00
1060,NQ100_i,12099.5,12100.4,12091.9,12115.4,12103.65,12102.566666666666,12102.025,12101.8,1472,2020-11-05 12:30:00
1061,NQ100_i,12100.4,12118.3,12088.5,12118.3,12103.4,12108.366666666667,12110.849999999999,12106.375,1653,2020-11-05 12:45:00
1062,NQ100_i,12117.9,12108.4,12099.4,12121.8,12110.599999999999,12109.866666666667,12109.5,12111.875,1523,2020-11-05 13:00:00
1063,NQ100_i,12107.3,12109.1,12103.6,12130.6,12117.1,12114.433333333334,12113.1,12112.650000000001,1793,2020-11-05 13:15:00
1064,NQ100_i,12109.1,12101.5,12090.6,12113.9,12102.25,12102.0,12101.875,12103.775,1308,2020-11-05 13:30:00
1065,NQ100_i,12100.6,12079.3,12079.3,12109.1,12094.2,12089.233333333332,12086.75,12092.074999999999,1742,2020-11-05 13:45:00
1066,NQ100_i,12079.3,12069.8,12061.4,12081.1,12071.25,12070.766666666668,12070.525000000001,12072.900000000001,1732,2020-11-05 14:00:00
1067,NQ100_i,12070.1,12075.6,12065.5,12090.5,12078.0,12077.199999999999,12076.8,12075.425,1641,2020-11-05 14:15:00
1068,NQ100_i,12075.9,12077.3,12068.5,12082.1,12075.3,12075.966666666665,12076.3,12075.949999999999,1138,2020-11-05 14:30:00
1069,NQ100_i,12077.4,12090.6,12057.5,12094.5,12076.0,12080.866666666667,12083.3,12080.0,1557,2020-11-05 14:45:00
1070,NQ100_i,12090.6,12086.8,12072.6,12095.3,12083.95,12084.9,12085.375,12086.324999999999,1623,2020-11-05 15:00:00
1071,NQ100_i,12086.8,12075.9,12071.4,12090.3,12080.849999999999,12079.199999999999,12078.375,12081.099999999999,1419,2020-11-05 15:15:00
1072,NQ100_i,12075.9,12074.9,12066.9,12086.1,12076.5,12075.966666666667,12075.7,12075.95,1140,2020-11-05 15:30:00
1073,NQ100_i,12074.5,12068.9,12068.5,12087.1,12077.8,12074.833333333334,12073.35,12074.75,1185,2020-11-05 15:45:00
1074,NQ100_i,12068.6,12036.1,12033.4,12073.5,12053.45,12047.666666666666,12044.775,12052.9,1789,2020-11-05 16:00:00
1075,NQ100_i,12036.1,12043.5,12031.4,12051.3,12041.349999999999,12042.066666666666,12042.425,12040.574999999999,1479,2020-11-05 16:15:00
1076,NQ100_i,12042.8,12046.1,11986.1,12067.6,12026.85,12033.266666666668,12036.475,12035.650000000001,4117,2020-11-05 16:30:00
1077,NQ100_i,12046.3,12078.4,12041.4,12100.4,12070.9,12073.4,12074.65,12066.625,3159,2020-11-05 16:45:00
1078,NQ100_i,12078.4,12080.9,12077.4,12120.4,12098.9,12092.9,12089.9,12089.275,2655,2020-11-05 17:00:00
1079,NQ100_i,12081.1,12033.6,12032.4,12111.6,12072.0,12059.199999999999,12052.8,12064.675,3222,2020-11-05 17:15:00
1080,NQ100_i,12034.1,12048.4,12027.0,12073.6,12050.3,12049.666666666666,12049.35,12045.775,3117,2020-11-05 17:30:00
1081,NQ100_i,12048.6,12083.5,12018.4,12084.7,12051.55,12062.199999999999,12067.525,12058.8,3122,2020-11-05 17:45:00
1082,NQ100_i,12083.2,12059.0,12034.9,12093.5,12064.2,12062.466666666667,12061.6,12067.650000000001,2689,2020-11-05 18:00:00
1083,NQ100_i,12058.6,12070.6,12045.5,12075.7,12060.6,12063.933333333334,12065.6,12062.6,2905,2020-11-05 18:15:00
1084,NQ100_i,12071.7,12045.4,12037.2,12083.7,12060.45,12055.433333333334,12052.925000000001,12059.5,2516,2020-11-05 18:30:00
1085,NQ100_i,12045.9,12032.6,12029.9,12061.0,12045.45,12041.166666666666,12039.025,12042.35,2200,2020-11-05 18:45:00
1086,NQ100_i,12032.9,12059.6,12027.7,12069.0,12048.35,12052.1,12053.975,12047.300000000001,2509,2020-11-05 19:00:00
1087,NQ100_i,12060.1,12007.0,11997.6,12062.5,12030.05,12022.366666666667,12018.525,12031.8,2390,2020-11-05 19:15:00
1088,NQ100_i,12009.4,12024.2,11987.9,12028.2,12008.05,12013.433333333334,12016.125,12012.425000000001,2160,2020-11-05 19:30:00
1089,NQ100_i,12024.4,12045.1,12024.4,12048.2,12036.3,12039.233333333332,12040.699999999999,12035.525,1356,2020-11-05 19:45:00
1090,NQ100_i,12046.6,12058.1,12040.9,12066.7,12053.8,12055.233333333332,12055.949999999999,12053.074999999999,1651,2020-11-05 20:00:00
1091,NQ100_i,12058.1,12060.5,12048.4,12071.4,12059.9,12060.1,12060.2,12059.6,1478,2020-11-05 20:15:00
1092,NQ100_i,12061.1,12070.2,12045.4,12071.7,12058.55,12062.433333333334,12064.375,12062.1,1542,2020-11-05 20:30:00
1093,NQ100_i,12070.0,12070.6,12062.6,12080.5,12071.55,12071.233333333332,12071.074999999999,12070.925,1371,2020-11-05 20:45:00
1094,NQ100_i,12070.6,12072.7,12061.4,12088.4,12074.9,12074.166666666666,12073.8,12073.275,2485,2020-11-05 21:00:00
1095,NQ100_i,12072.5,12092.1,12071.2,12095.7,12083.45,12086.333333333334,12087.775,12082.875,1475,2020-11-05 21:15:00
1096,NQ100_i,12092.9,12121.2,12075.9,12122.7,12099.3,12106.6,12110.25,12103.175000000001,1909,2020-11-05 21:30:00
1097,NQ100_i,12120.1,12115.0,12087.4,12124.9,12106.15,12109.1,12110.575,12111.85,2300,2020-11-05 21:45:00
1098,NQ100_i,12114.4,12082.7,12079.0,12119.4,12099.2,12093.700000000003,12090.95,12098.875000000002,2112,2020-11-05 22:00:00
1099,NQ100_i,12083.2,12096.1,12074.6,12099.6,12087.1,12090.1,12091.6,12088.375,2082,2020-11-05 22:15:00
1100,NQ100_i,12096.4,12056.7,12047.5,12097.4,12072.45,12067.200000000003,12064.575,12074.500000000002,2611,2020-11-05 22:30:00
1101,NQ100_i,12057.0,12077.9,12033.4,12096.9,12065.15,12069.4,12071.525,12066.3,2781,2020-11-05 22:45:00
1102,NQ100_i,12078.4,12066.0,12052.6,12080.6,12066.6,12066.4,12066.3,12069.4,1290,2020-11-06 01:30:00
1103,NQ100_i,12066.1,12078.1,12040.9,12087.1,12064.0,12068.699999999999,12071.05,12068.05,2157,2020-11-06 01:45:00
1104,NQ100_i,12076.1,12076.7,12055.9,12091.4,12073.65,12074.666666666666,12075.175,12075.025,1833,2020-11-06 02:00:00
1105,NQ100_i,12077.0,12057.7,12054.7,12077.6,12066.150000000001,12063.333333333334,12061.925,12066.75,1396,2020-11-06 02:15:00
1106,NQ100_i,12057.4,12048.5,12043.0,12063.7,12053.35,12051.733333333332,12050.925,12053.15,1025,2020-11-06 02:30:00
1107,NQ100_i,12048.5,12031.7,12030.9,12056.0,12043.45,12039.533333333335,12037.575,12041.775000000001,1435,2020-11-06 02:45:00
1108,NQ100_i,12032.9,12009.2,11993.6,12039.0,12016.3,12013.933333333334,12012.75,12018.675000000001,1836,2020-11-06 03:00:00
1109,NQ100_i,12009.2,12021.0,11989.4,12022.9,12006.15,12011.1,12013.575,12010.625,1601,2020-11-06 03:15:00
1110,NQ100_i,12021.7,12028.2,12006.0,12033.1,12019.55,12022.433333333334,12023.875,12022.25,1621,2020-11-06 03:30:00
1111,NQ100_i,12028.5,12044.9,12023.4,12051.7,12037.55,12040.0,12041.225,12037.125,1241,2020-11-06 03:45:00
1112,NQ100_i,12045.4,12030.7,12027.4,12047.7,12037.55,12035.266666666668,12034.125,12037.800000000001,1420,2020-11-06 04:00:00
1113,NQ100_i,12030.1,12036.5,12028.9,12046.7,12037.8,12037.366666666667,12037.15,12035.55,1269,2020-11-06 04:15:00
1114,NQ100_i,12036.7,12026.9,12025.0,12037.0,12031.0,12029.633333333333,12028.95,12031.400000000001,1010,2020-11-06 04:30:00
1115,NQ100_i,12027.5,12032.2,12017.5,12035.7,12026.6,12028.466666666667,12029.400000000001,12028.225,1044,2020-11-06 04:45:00
1116,NQ100_i,12032.5,12015.7,12015.7,12034.0,12024.85,12021.800000000001,12020.275000000001,12024.475,874,2020-11-06 05:00:00
1117,NQ100_i,12016.4,12017.2,12014.0,12024.0,12019.0,12018.4,12018.099999999999,12017.9,904,2020-11-06 05:15:00
1118,NQ100_i,12016.9,12018.7,12011.2,12021.6,12016.400000000001,12017.166666666666,12017.55,12017.1,961,2020-11-06 05:30:00
1119,NQ100_i,12018.4,11965.9,11957.9,12022.0,11989.95,11981.933333333334,11977.925000000001,11991.050000000001,1592,2020-11-06 05:45:00
1120,NQ100_i,11965.6,11947.4,11922.1,11978.5,11950.3,11949.333333333334,11948.85,11953.4,2368,2020-11-06 06:00:00
1121,NQ100_i,11947.0,11953.0,11944.0,11967.7,11955.85,11954.9,11954.425,11952.925,1274,2020-11-06 06:15:00
1122,NQ100_i,11953.5,11943.7,11937.7,11962.2,11949.95,11947.866666666669,11946.825,11949.275000000001,1132,2020-11-06 06:30:00
