,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
16925,NZDCHF_i,0.6374,0.63758,0.63735,0.63781,0.63758,0.63758,0.63758,0.637535,237,2021-08-26 14:15:00
16926,NZDCHF_i,0.63758,0.63816,0.63757,0.6383,0.6379349999999999,0.63801,0.6380475,0.6379025,429,2021-08-26 14:30:00
16927,NZDCHF_i,0.63818,0.63875,0.63815,0.6389,0.638525,0.6386,0.6386375,0.638495,355,2021-08-26 14:45:00
16928,NZDCHF_i,0.63876,0.63881,0.63858,0.63885,0.638715,0.6387466666666667,0.6387625,0.63875,435,2021-08-26 15:00:00
16929,NZDCHF_i,0.6388,0.63871,0.63866,0.63908,0.63887,0.6388166666666667,0.6387900000000001,0.6388125,471,2021-08-26 15:15:00
16930,NZDCHF_i,0.63873,0.6386,0.6382,0.63892,0.63856,0.6385733333333333,0.6385799999999999,0.6386125,862,2021-08-26 15:30:00
16931,NZDCHF_i,0.6386,0.6387,0.6385,0.63925,0.638875,0.6388166666666667,0.6387875000000001,0.6387625,625,2021-08-26 15:45:00
16932,NZDCHF_i,0.63869,0.6391,0.63862,0.63929,0.6389549999999999,0.6390033333333333,0.6390275,0.638925,718,2021-08-26 16:00:00
16933,NZDCHF_i,0.6391,0.6393,0.63907,0.63943,0.6392500000000001,0.6392666666666668,0.639275,0.639225,676,2021-08-26 16:15:00
16934,NZDCHF_i,0.63928,0.6394,0.639,0.63987,0.639435,0.6394233333333333,0.6394175,0.6393875,708,2021-08-26 16:30:00
16935,NZDCHF_i,0.63941,0.6392,0.6391,0.63965,0.639375,0.6393166666666666,0.6392875,0.63934,573,2021-08-26 16:45:00
16936,NZDCHF_i,0.63919,0.63935,0.63915,0.63968,0.6394150000000001,0.6393933333333334,0.6393825,0.6393425,630,2021-08-26 17:00:00
16937,NZDCHF_i,0.6393,0.6385,0.63825,0.6394,0.638825,0.6387166666666667,0.6386625,0.6388625,654,2021-08-26 17:15:00
16938,NZDCHF_i,0.63853,0.63851,0.63818,0.63891,0.6385449999999999,0.6385333333333333,0.6385275,0.6385325,937,2021-08-26 17:30:00
