,XBNUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
21366,XBNUSD_i,556.96,554.49,550.02,557.56,553.79,554.0233333333333,554.14,554.7574999999999,2133,2021-10-28 09:00:00
21367,XBNUSD_i,554.5,561.35,550.02,564.37,557.1949999999999,558.5799999999999,559.2724999999999,557.56,3033,2021-10-28 09:15:00
21368,XBNUSD_i,561.36,559.09,557.2,561.36,559.28,559.2166666666667,559.1850000000001,559.7525,1974,2021-10-28 09:30:00
21369,XBNUSD_i,559.09,561.36,558.48,562.31,560.395,560.7166666666667,560.8775,560.3100000000001,1063,2021-10-28 09:45:00
21370,XBNUSD_i,561.37,559.5,558.86,562.71,560.7850000000001,560.3566666666667,560.1425,560.61,1028,2021-10-28 10:00:00
21371,XBNUSD_i,559.54,559.55,557.24,559.91,558.575,558.9,559.0625,559.06,714,2021-10-28 10:15:00
21372,XBNUSD_i,559.55,559.07,558.24,560.69,559.465,559.3333333333334,559.2675,559.3875,1977,2021-10-28 10:30:00
21373,XBNUSD_i,559.09,561.46,558.98,564.34,561.6600000000001,561.5933333333334,561.5600000000001,560.9675000000001,1614,2021-10-28 10:45:00
21374,XBNUSD_i,562.29,567.23,562.29,567.31,564.8,565.61,566.015,564.78,1611,2021-10-28 11:00:00
21375,XBNUSD_i,567.23,569.92,566.08,570.36,568.22,568.7866666666667,569.07,568.3975,2603,2021-10-28 11:15:00
21376,XBNUSD_i,569.92,572.01,568.75,572.23,570.49,570.9966666666667,571.25,570.7275,2407,2021-10-28 11:30:00
21377,XBNUSD_i,572.0,574.25,569.71,574.48,572.095,572.8133333333334,573.1725,572.61,3383,2021-10-28 11:45:00
21378,XBNUSD_i,574.29,574.93,571.98,575.19,573.585,574.0333333333333,574.2574999999999,574.0975,1918,2021-10-28 12:00:00
21379,XBNUSD_i,574.97,571.26,568.29,575.08,571.685,571.5433333333333,571.4725,572.4,2361,2021-10-28 12:15:00
21380,XBNUSD_i,571.26,572.27,569.55,572.34,570.9449999999999,571.3866666666667,571.6075,571.355,1078,2021-10-28 12:30:00
21381,XBNUSD_i,572.26,576.69,570.06,577.08,573.5699999999999,574.61,575.13,574.0225,3006,2021-10-28 12:45:00
21382,XBNUSD_i,576.69,573.75,572.72,577.25,574.985,574.5733333333334,574.3675000000001,575.1025,1761,2021-10-28 13:00:00
21383,XBNUSD_i,573.01,571.91,569.9,573.92,571.91,571.91,571.91,572.185,1219,2021-10-28 13:15:00
21384,XBNUSD_i,571.93,572.38,570.74,573.24,571.99,572.12,572.1850000000001,572.0725,1224,2021-10-28 13:30:00
21385,XBNUSD_i,572.38,569.94,569.21,573.82,571.5150000000001,570.9900000000001,570.7275000000001,571.3375000000001,1127,2021-10-28 13:45:00
21386,XBNUSD_i,569.95,568.47,568.27,571.46,569.865,569.4,569.1675,569.5375,1122,2021-10-28 14:00:00
21387,XBNUSD_i,568.5,567.62,566.77,570.64,568.7049999999999,568.3433333333332,568.1624999999999,568.3824999999999,1067,2021-10-28 14:15:00
21388,XBNUSD_i,567.62,566.58,565.47,568.91,567.19,566.9866666666667,566.885,567.145,1034,2021-10-28 14:30:00
21389,XBNUSD_i,566.59,567.82,566.4,568.57,567.485,567.5966666666667,567.6525,567.345,698,2021-10-28 14:45:00
21390,XBNUSD_i,567.75,568.08,566.41,568.68,567.545,567.7233333333334,567.8125,567.73,982,2021-10-28 15:00:00
21391,XBNUSD_i,568.07,568.17,567.4,568.57,567.985,568.0466666666666,568.0775,568.0525,599,2021-10-28 15:15:00
21392,XBNUSD_i,568.17,567.95,567.44,568.58,568.01,567.99,567.98,568.035,889,2021-10-28 15:30:00
21393,XBNUSD_i,567.98,567.84,566.95,568.75,567.85,567.8466666666667,567.845,567.88,1127,2021-10-28 15:45:00
21394,XBNUSD_i,567.84,568.96,565.9,569.09,567.495,567.9833333333333,568.2275,567.9475,940,2021-10-28 16:00:00
21395,XBNUSD_i,568.96,570.99,567.87,571.11,569.49,569.99,570.24,569.7325000000001,1084,2021-10-28 16:15:00
