,RUBRUR,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
13979,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 10:45:00
13980,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 11:00:00
13981,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 11:15:00
13982,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 11:30:00
13983,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 11:45:00
13984,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 12:00:00
13985,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 12:15:00
13986,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 12:30:00
13987,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 12:45:00
13988,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 13:00:00
13989,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 13:15:00
13990,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 13:30:00
13991,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 13:45:00
13992,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 14:00:00
13993,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 14:15:00
13994,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 14:30:00
13995,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 14:45:00
13996,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 15:00:00
13997,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 15:15:00
13998,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 15:30:00
13999,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 15:45:00
14000,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 16:00:00
14001,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 16:15:00
14002,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 16:30:00
14003,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 16:45:00
14004,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 17:00:00
14005,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 17:15:00
14006,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 17:30:00
14007,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 17:45:00
14008,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 18:00:00
14009,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 18:15:00
14010,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 18:30:00
14011,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 18:45:00
14012,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 19:00:00
14013,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 19:15:00
14014,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 19:30:00
14015,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 19:45:00
14016,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 20:00:00
14017,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 20:15:00
14018,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 20:30:00
14019,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 20:45:00
14020,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 21:00:00
14021,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 21:15:00
14022,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 21:30:00
14023,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 21:45:00
14024,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 22:00:00
14025,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 22:15:00
14026,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 22:30:00
14027,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 22:45:00
14028,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 23:00:00
14029,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 23:15:00
14030,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-14 23:30:00
14031,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-14 23:45:00
14032,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 00:00:00
14033,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 00:15:00
14034,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 00:30:00
14035,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 00:45:00
14036,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 01:00:00
14037,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 01:15:00
14038,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 01:30:00
14039,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 01:45:00
14040,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 02:00:00
14041,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 02:15:00
14042,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 02:30:00
14043,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 02:45:00
14044,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 03:00:00
14045,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 03:15:00
14046,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 03:30:00
14047,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 03:45:00
14048,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 04:00:00
14049,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 04:15:00
14050,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 04:30:00
14051,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 04:45:00
14052,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 05:00:00
14053,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 05:15:00
14054,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 05:30:00
14055,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 05:45:00
14056,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 06:00:00
14057,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 06:15:00
14058,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 06:30:00
14059,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 06:45:00
14060,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 07:00:00
14061,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 07:15:00
14062,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 07:30:00
14063,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 07:45:00
14064,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 08:00:00
14065,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 08:15:00
14066,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2021-07-15 08:30:00
14067,RUBRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2021-07-15 08:45:00
