,GER40_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
30090,GER40_m_i,15120.0,15098.0,15092.8,15157.4,15125.099999999999,15116.066666666666,15111.55,15117.05,1365,2022-01-24 16:30:00
30091,GER40_m_i,15097.1,15063.0,15060.0,15101.2,15080.6,15074.733333333332,15071.8,15080.324999999999,1249,2022-01-24 16:45:00
30092,GER40_m_i,15062.1,14995.0,14940.0,15080.9,15010.45,15005.300000000001,15002.725,15019.5,1230,2022-01-24 17:00:00
30093,GER40_m_i,14993.0,15033.1,14964.1,15058.7,15011.400000000001,15018.633333333333,15022.25,15012.225,1235,2022-01-24 17:15:00
30094,GER40_m_i,15034.0,15102.1,15033.4,15104.0,15068.7,15079.833333333334,15085.4,15068.375,1288,2022-01-24 17:30:00
30095,GER40_m_i,15101.4,15062.2,15046.1,15102.6,15074.35,15070.300000000001,15068.275000000001,15078.075,1151,2022-01-24 17:45:00
30096,GER40_m_i,15061.0,15034.1,15029.4,15082.5,15055.95,15048.666666666666,15045.025,15051.75,1176,2022-01-24 18:00:00
30097,GER40_m_i,15032.9,15043.0,15024.7,15059.4,15042.05,15042.366666666667,15042.525,15040.0,1067,2022-01-24 18:15:00
30098,GER40_m_i,15045.0,14960.8,14955.1,15059.1,15007.1,14991.666666666666,14983.95,15005.0,1191,2022-01-24 18:30:00
30099,GER40_m_i,14963.2,14964.6,14886.1,14968.5,14927.3,14939.733333333332,14945.949999999999,14945.599999999999,1078,2022-01-24 18:45:00
30100,GER40_m_i,14963.6,14888.0,14875.5,14963.6,14919.55,14909.033333333333,14903.775,14922.675,1046,2022-01-24 19:00:00
30101,GER40_m_i,14888.0,14892.3,14836.4,14905.5,14870.95,14878.066666666666,14881.625,14880.55,1106,2022-01-24 19:15:00
30102,GER40_m_i,14891.3,14915.0,14864.7,14922.0,14893.35,14900.566666666666,14904.175,14898.25,1090,2022-01-24 19:30:00
30103,GER40_m_i,14915.6,14967.1,14907.1,14990.3,14948.7,14954.833333333334,14957.9,14945.025,1083,2022-01-24 19:45:00
30104,GER40_m_i,14964.5,15013.7,14956.1,15018.7,14987.400000000001,14996.166666666666,15000.55,14988.25,1040,2022-01-24 20:00:00
30105,GER40_m_i,15015.0,14979.1,14975.1,15045.8,15010.45,15000.0,14994.775,15003.75,1037,2022-01-24 20:15:00
30106,GER40_m_i,14978.7,15001.6,14975.7,15021.8,14998.75,14999.699999999999,15000.175,14994.45,1082,2022-01-24 20:30:00
30107,GER40_m_i,15001.7,15097.0,15001.7,15098.6,15050.150000000001,15065.766666666668,15073.575,15049.75,979,2022-01-24 20:45:00
30108,GER40_m_i,15097.5,15094.6,15084.0,15134.3,15109.15,15104.300000000001,15101.875,15102.6,1114,2022-01-24 21:00:00
30109,GER40_m_i,15096.0,15066.5,15052.0,15106.0,15079.0,15074.833333333334,15072.75,15080.125,1043,2022-01-24 21:15:00
30110,GER40_m_i,15065.4,15045.5,15031.1,15092.7,15061.900000000001,15056.433333333334,15053.7,15058.675000000001,1092,2022-01-24 21:30:00
30111,GER40_m_i,15042.9,15097.1,15023.7,15100.7,15062.2,15073.833333333334,15079.65,15066.1,1073,2022-01-24 21:45:00
30112,GER40_m_i,15099.0,15140.0,15088.0,15140.6,15114.3,15122.866666666667,15127.15,15116.9,957,2022-01-24 22:00:00
30113,GER40_m_i,15139.2,15152.1,15123.0,15167.4,15145.2,15147.5,15148.65,15145.425,992,2022-01-24 22:15:00
30114,GER40_m_i,15140.5,15142.4,15113.5,15161.4,15137.45,15139.1,15139.925000000001,15139.45,662,2022-01-25 09:30:00
30115,GER40_m_i,15144.3,15171.4,15137.3,15183.4,15160.349999999999,15164.033333333333,15165.875,15159.099999999999,594,2022-01-25 09:45:00
30116,GER40_m_i,15173.3,15135.7,15043.6,15183.3,15113.45,15120.866666666669,15124.575,15133.975000000002,1299,2022-01-25 10:00:00
30117,GER40_m_i,15133.7,15017.7,14995.6,15140.7,15068.150000000001,15051.333333333334,15042.925,15071.925,1229,2022-01-25 10:15:00
30118,GER40_m_i,15018.6,15122.7,15014.7,15122.7,15068.7,15086.700000000003,15095.7,15069.675000000001,1010,2022-01-25 10:30:00
30119,GER40_m_i,15122.0,15075.7,15074.6,15152.8,15113.7,15101.033333333335,15094.7,15106.275000000001,988,2022-01-25 10:45:00
30120,GER40_m_i,15077.6,15067.9,15055.6,15091.7,15073.650000000001,15071.733333333335,15070.775000000001,15073.2,1040,2022-01-25 11:00:00
30121,GER40_m_i,15066.6,15161.9,15062.7,15163.7,15113.2,15129.433333333334,15137.550000000001,15113.725,884,2022-01-25 11:15:00
30122,GER40_m_i,15164.3,15153.0,15123.6,15166.7,15145.150000000001,15147.766666666668,15149.075,15151.900000000001,797,2022-01-25 11:30:00
30123,GER40_m_i,15155.6,15160.6,15145.7,15174.6,15160.150000000001,15160.300000000001,15160.375,15159.125,776,2022-01-25 11:45:00
30124,GER40_m_i,15158.6,15177.6,15133.6,15177.7,15155.650000000001,15162.966666666667,15166.625,15161.875,691,2022-01-25 12:00:00
30125,GER40_m_i,15176.2,15177.7,15165.7,15203.7,15184.7,15182.366666666669,15181.2,15180.825,737,2022-01-25 12:15:00
30126,GER40_m_i,15179.6,15125.6,15120.0,15185.1,15152.55,15143.566666666666,15139.074999999999,15152.574999999999,650,2022-01-25 12:30:00
30127,GER40_m_i,15124.0,15089.5,15080.4,15129.0,15104.7,15099.633333333333,15097.1,15105.725,746,2022-01-25 12:45:00
30128,GER40_m_i,15089.3,15140.3,15077.2,15140.3,15108.75,15119.266666666668,15124.525000000001,15111.775000000001,744,2022-01-25 13:00:00
30129,GER40_m_i,15140.3,15122.5,15106.3,15150.2,15128.25,15126.333333333334,15125.375,15129.825,644,2022-01-25 13:15:00
30130,GER40_m_i,15124.2,15086.5,15079.3,15129.3,15104.3,15098.366666666667,15095.4,15104.825,703,2022-01-25 13:30:00
30131,GER40_m_i,15086.6,15097.2,15074.2,15113.3,15093.75,15094.9,15095.474999999999,15092.824999999999,612,2022-01-25 13:45:00
30132,GER40_m_i,15099.2,15094.3,15058.3,15101.8,15080.05,15084.799999999997,15087.175,15088.399999999998,633,2022-01-25 14:00:00
30133,GER40_m_i,15093.3,15105.9,15072.4,15107.8,15090.099999999999,15095.366666666667,15098.0,15094.849999999999,549,2022-01-25 14:15:00
30134,GER40_m_i,15104.4,15118.1,15081.8,15119.2,15100.5,15106.366666666667,15109.3,15105.875,669,2022-01-25 14:30:00
30135,GER40_m_i,15118.2,15103.4,15099.5,15124.7,15112.1,15109.199999999999,15107.75,15111.45,556,2022-01-25 14:45:00
30136,GER40_m_i,15105.2,15087.7,15050.8,15110.6,15080.7,15083.033333333335,15084.2,15088.575,761,2022-01-25 15:00:00
