,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
24,HLCC/4,414,588,23,macd,138,98,4,39,0.6,1677,639,149,203,123,249,19,914,98,23,915,248,68,80,864,720,40,19,238,380,252,173,359,921,441,787,630,729,95,366,43,629,198,43,69,23,34,38,23,501,9,17,0.22,0.09,4.06,13.28,8.76,18.36,True,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,47.80927361792736,True,False
25,OHLC/4,24,994,25,macd,25,200,3,22,0.81,2935,80,18,192,973,179,133,884,151,132,383,54,130,999,917,542,268,32,737,457,348,225,262,525,681,428,28,540,464,712,376,1239,2486,10,146,226,867,199,50,832,50,30,0.54,0.12,0.65,5.24,4.14,10.1,True,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,True,-1.0,True,False
26,close,583,617,38,macd,90,179,6,3,0.81,2567,230,92,133,696,165,146,210,201,216,600,8,208,615,479,172,416,80,489,118,497,83,444,585,699,780,99,912,30,138,185,548,297,18,723,35,81,12,46,55,14,42,0.66,0.31,18.24,18.07,15.79,16.97,False,True,False,True,True,False,True,False,True,True,False,True,True,False,False,False,True,-1.0,True,False
27,open,754,1296,32,macdh,161,197,6,47,0.41,331,882,140,82,747,68,186,623,36,83,750,95,244,292,837,563,281,229,206,63,333,248,584,3,654,508,196,41,285,670,155,999,1723,33,120,35,40,35,39,886,2,2,0.57,0.79,19.07,18.41,17.68,18.52,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,-1.0,True,False
28,HLCC/4,583,1098,21,macdh,204,18,6,21,0.84,2386,891,74,108,16,149,25,961,139,150,714,193,207,300,679,328,423,414,776,771,498,353,938,177,236,885,435,814,319,184,22,470,1904,34,855,17,80,151,2,491,2,20,0.69,0.92,15.4,17.86,15.64,17.01,False,False,False,True,True,False,True,False,True,True,False,False,True,True,False,False,True,-1.0,True,False
29,high,699,720,46,macds,201,112,6,20,0.6,2819,81,129,51,450,230,117,941,192,182,174,18,8,852,683,458,256,232,854,153,72,36,179,774,996,474,807,310,115,358,11,947,312,22,401,5,477,138,41,35,5,23,0.04,0.01,19.72,16.52,19.6,17.61,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,-1.0,True,False
30,low,125,1178,19,macdh,152,229,6,1,0.4,1435,692,17,182,978,208,38,655,182,173,839,142,55,352,901,775,271,233,981,280,207,203,701,281,162,341,764,214,992,12,127,326,1238,23,2,2,4,153,8,996,17,24,0.55,0.36,16.44,19.71,19.33,18.9,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,False,True,-1.0,True,False
31,open,352,722,11,macd,230,236,6,30,0.51,2863,107,16,176,623,117,100,202,68,190,148,165,4,571,736,388,444,388,304,243,200,135,480,713,459,858,34,375,905,583,96,819,1317,37,213,19,98,106,14,568,25,29,0.66,0.79,19.07,19.32,15.59,16.72,True,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,False,-1.0,True,False
32,HLC/3,6,670,13,macd,112,34,6,50,0.32,2824,664,167,143,610,165,169,532,121,124,614,231,93,247,575,316,200,143,120,105,400,185,593,919,686,957,100,589,269,388,331,648,793,47,649,12,28,107,19,590,25,5,0.31,0.13,19.32,16.01,18.79,16.73,True,False,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,-1.0,True,False
33,close,210,391,24,macdh,198,127,6,44,0.04,524,194,208,210,956,197,21,217,139,126,164,37,197,14,940,297,185,183,618,295,166,99,216,726,508,729,378,981,69,971,116,1202,2289,22,136,16,89,23,18,101,4,50,0.55,0.44,17.16,17.7,17.18,15.4,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,-1.0,True,False
