,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
60,OHLC/4,51,211,37,macd,8,65,5,3,0.22,2196,801,42,31,744,15,76,234,62,3,528,20,80,11,688,679,456,312,627,482,474,248,996,207,875,461,132,868,100,253,69,251,187,13,542,49,104,136,4,247,6,4,0.17,0.12,0.35,0.5,0.38,0.74,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,-1.0,True,False
61,high,89,102,42,macd,34,84,6,8,0.28,225,274,4,11,614,44,92,136,32,36,913,45,86,206,912,726,478,470,584,269,252,157,374,219,792,843,892,320,657,243,45,298,440,3,514,13,20,122,15,282,11,11,0.3,0.01,0.97,1.07,1.08,1.16,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,-1.0,True,False
62,high,51,101,14,macd,88,30,6,19,0.1,331,640,28,79,236,10,25,17,9,30,560,75,70,422,837,444,446,7,805,372,368,95,537,199,782,514,832,313,354,425,22,160,195,7,795,43,109,14,20,316,23,15,0.1,0.06,1.07,1.08,1.16,0.93,True,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,-1.0,True,False
63,OHLC/4,61,66,7,macdh,23,50,6,19,0.38,1264,884,47,51,1000,55,54,412,3,32,946,45,20,634,818,501,452,434,641,516,427,362,294,657,298,989,752,898,537,999,20,48,74,2,734,29,54,39,11,358,15,24,0.32,0.27,0.97,1.01,0.91,1.1,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,-1.0,True,False
64,OHLC/4,96,205,41,macd,43,96,2,17,0.1,2616,332,87,74,752,55,91,382,76,89,566,69,71,801,941,728,469,366,564,962,232,227,291,117,662,115,176,719,432,327,42,254,449,9,562,41,98,165,8,402,11,5,0.03,0.38,0.33,0.45,0.35,0.63,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,-1.0,True,False
65,HLCC/4,45,293,11,macdh,67,72,5,8,0.12,1640,295,35,38,907,86,14,845,93,89,13,90,85,353,506,443,383,149,812,328,246,125,228,948,549,237,446,562,97,611,37,206,446,16,75,27,62,114,20,726,16,24,0.23,0.24,0.24,0.42,0.37,0.87,True,True,True,False,True,False,False,True,False,True,True,False,True,True,False,False,True,5.844800357687755,True,False
66,OHLC/4,64,229,19,macd,87,40,3,13,0.21,2738,736,26,64,925,30,59,215,8,25,165,83,61,511,832,528,340,44,717,619,184,107,340,467,122,613,651,394,9,316,95,189,82,4,457,30,59,29,11,788,24,7,0.2,0.25,0.32,0.33,0.16,0.5,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,False,True,-1.0,True,False
67,high,83,188,27,macd,74,92,4,17,0.38,825,371,68,11,576,52,38,266,27,77,131,93,36,235,494,408,349,117,512,507,482,362,232,407,623,350,785,29,497,163,40,254,115,16,845,14,21,204,2,82,13,13,0.37,0.21,0.28,0.38,0.43,0.75,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,True,True,-1.0,True,False
68,high,23,299,37,macds,80,58,6,3,0.22,709,772,50,48,324,34,90,151,83,54,980,75,26,321,471,352,473,317,555,306,45,12,929,994,59,926,778,574,755,684,57,94,114,6,581,28,46,29,2,185,21,16,0.07,0.22,1.08,1.09,0.91,1.1,False,True,True,True,True,False,False,False,True,True,True,False,False,False,True,False,True,-1.0,True,False
69,HLC/3,143,256,12,macds,16,79,6,14,0.05,2133,954,12,52,635,36,49,73,37,3,785,25,31,729,187,637,298,128,205,284,242,46,795,682,396,866,876,638,428,106,7,131,547,15,473,48,89,85,10,739,15,19,0.11,0.06,1.04,0.96,1.14,1.02,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,-1.0,True,False
