,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
211,open,168,435,36,macd,186,88,6,30,0.76,1209,934,28,109,114,184,35,256,6,71,310,101,210,152,448,63,403,319,767,576,312,266,70,643,110,379,861,304,760,514,180,1196,279,5,3,18,96,180,41,61,25,13,0.76,0.31,40,29,0.8,0.84,0.99,0.98,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,-1,True,False
212,HLC/3,210,988,8,macd,146,238,6,46,0.86,783,559,250,132,400,197,135,977,83,141,53,224,168,552,674,551,407,398,248,144,491,109,896,381,978,50,329,276,616,271,222,1326,470,17,889,222,516,120,10,910,30,21,0.45,0.92,3,27,0.86,0.9,0.85,0.94,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,False,-1,True,False
213,OHLC/4,143,1348,18,macds,214,92,6,19,0.54,693,669,47,172,19,224,21,723,190,67,764,35,231,126,993,756,458,62,63,228,79,8,481,504,892,77,309,517,483,779,296,418,1048,32,371,25,60,83,19,854,6,2,0.42,0.02,32,35,0.94,0.82,0.8,0.95,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,-1,True,False
214,OHLC/4,356,936,47,macd,112,180,6,20,0.93,2753,769,178,232,58,214,233,550,103,209,164,26,245,852,825,806,339,307,239,250,226,118,417,962,291,520,562,931,923,595,10,967,523,17,206,95,789,210,43,971,11,45,0.45,0.76,47,44,0.84,0.99,0.84,0.83,False,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,False,-1,True,False
215,OHLC/4,280,609,21,macds,218,74,6,50,0.42,1311,763,225,126,93,184,141,955,71,111,476,237,55,257,698,292,411,261,701,229,126,108,110,274,395,138,608,891,122,733,147,1026,390,21,832,43,81,17,17,807,42,13,0.59,0.64,23,20,0.87,0.91,0.94,0.8,True,False,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,-1,True,False
216,high,384,1224,12,macds,68,134,6,14,0.92,2219,498,124,72,574,125,192,598,42,227,45,168,45,608,709,563,93,46,93,456,319,216,539,656,917,423,17,918,398,926,471,720,487,12,101,137,1155,48,26,566,35,4,0.96,0.19,30,19,0.81,0.99,0.95,0.92,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,True,-1,True,False
217,HLCC/4,388,533,16,macds,120,166,6,22,0.75,331,815,67,190,975,11,48,231,223,30,106,141,156,807,687,476,271,52,478,282,253,191,292,781,796,709,533,57,725,773,456,872,857,39,993,38,85,96,38,260,15,25,0.5,0.75,2,47,0.88,0.85,0.92,0.82,True,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,-1,True,False
218,OHLC/4,568,699,13,macdh,212,107,6,43,0.9,1327,723,88,219,660,113,109,47,194,55,507,165,103,778,700,624,352,338,561,519,131,53,39,410,455,216,47,413,438,355,321,934,1150,6,166,17,79,164,4,638,42,22,0.24,0.08,9,45,0.96,0.94,0.92,0.89,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,-1,True,False
219,OHLC/4,538,1462,26,macd,96,153,6,49,0.52,1388,142,2,43,904,91,26,872,129,186,140,186,217,832,431,274,217,55,231,157,205,137,998,182,529,551,980,122,954,800,119,142,1369,22,950,17,71,75,5,580,47,26,0.11,0.93,18,5,0.98,0.95,0.93,0.84,False,True,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,-1,True,False
220,low,256,1025,7,macd,67,136,6,9,0.79,694,552,224,186,316,116,215,540,147,18,551,70,135,175,939,602,286,15,701,298,473,63,603,866,220,363,697,991,223,732,54,247,1947,28,927,21,101,123,45,64,36,26,0.68,0.5,37,3,0.86,0.84,0.88,0.87,False,False,False,True,False,True,True,False,False,False,True,True,True,False,True,True,False,-1,True,False
221,HL/2,173,1420,41,macd,232,145,6,37,0.43,698,285,181,52,627,206,161,719,203,199,344,13,46,547,519,279,491,393,335,267,266,143,542,344,803,491,937,654,484,622,270,430,461,2,934,48,49,2,27,23,13,16,0.14,0.65,17,2,0.95,0.98,0.84,0.8,True,False,False,True,True,True,True,True,False,True,False,False,False,True,True,False,True,-1,True,False
222,low,192,1051,31,macdh,226,223,6,29,0.3,83,889,114,245,926,66,238,290,95,22,357,121,104,388,438,305,237,51,245,233,231,123,233,161,905,63,589,441,410,887,371,1290,719,32,453,106,320,72,33,350,19,3,0.57,0.07,16,29,0.95,0.92,0.96,0.95,True,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,-1,True,False
223,high,339,616,46,macdh,7,64,6,24,0.67,1143,821,244,229,752,210,220,105,62,25,147,185,43,894,354,891,375,361,57,370,247,10,591,898,473,863,104,670,253,247,28,59,459,32,108,40,81,53,20,115,48,49,0.66,0.58,2,42,0.87,0.95,0.95,0.81,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,-1,True,False
224,HLCC/4,380,1368,39,macd,185,135,6,19,0.9,2143,521,233,130,306,102,73,500,24,105,219,120,206,24,700,531,319,60,651,416,338,121,604,924,527,415,178,816,461,739,444,461,306,21,15,4,16,142,34,280,46,10,0.31,0.1,26,49,0.99,0.88,0.87,0.85,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,-1,True,False
225,low,228,1451,12,macd,173,221,6,47,0.76,2639,130,202,113,946,247,191,504,70,222,931,26,51,650,740,639,395,357,769,123,488,358,15,879,847,952,119,475,454,922,477,1311,921,35,967,25,94,79,7,199,33,31,0.14,0.52,4,28,0.86,0.99,0.84,0.93,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,-1,True,False
