,HSI50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
702,HSI50_i,24369.0,24475.5,24334.5,24502.5,24418.5,24437.5,24447.0,24420.375,25425,2020-09-09 12:00:00
703,HSI50_i,24475.5,24581.5,24469.5,24585.5,24527.5,24545.5,24554.5,24528.0,27570,2020-09-09 16:00:00
704,HSI50_i,24445.0,24262.0,24232.5,24515.5,24374.0,24336.666666666668,24318.0,24363.75,46535,2020-09-10 08:00:00
705,HSI50_i,24263.0,24359.5,24232.0,24379.5,24305.75,24323.666666666668,24332.625,24308.5,24750,2020-09-10 12:00:00
706,HSI50_i,24360.5,24306.5,24298.5,24442.5,24370.5,24349.166666666668,24338.5,24352.0,32460,2020-09-10 16:00:00
707,HSI50_i,24388.0,24442.5,24366.0,24550.0,24458.0,24452.833333333332,24450.25,24436.625,44710,2020-09-11 08:00:00
708,HSI50_i,24443.5,24447.0,24432.5,24513.0,24472.75,24464.166666666668,24459.875,24459.0,21440,2020-09-11 12:00:00
709,HSI50_i,24446.0,24396.0,24377.0,24497.0,24437.0,24423.333333333332,24416.5,24429.0,30170,2020-09-11 16:00:00
710,HSI50_i,24636.0,24526.5,24524.5,24673.0,24598.75,24574.666666666668,24562.625,24590.0,36285,2020-09-14 08:00:00
711,HSI50_i,24525.5,24530.0,24486.0,24558.0,24522.0,24524.666666666668,24526.0,24524.875,18240,2020-09-14 12:00:00
712,HSI50_i,24529.0,24514.0,24498.0,24553.0,24525.5,24521.666666666668,24519.75,24523.5,19910,2020-09-14 16:00:00
713,HSI50_i,24761.5,24783.0,24650.5,24833.0,24741.75,24755.5,24762.375,24757.0,36870,2020-09-15 08:00:00
714,HSI50_i,24782.0,24903.5,24777.5,24913.5,24845.5,24864.833333333332,24874.5,24844.125,16460,2020-09-15 12:00:00
715,HSI50_i,24902.5,24841.5,24817.5,24905.5,24861.5,24854.833333333332,24851.5,24866.75,21680,2020-09-15 16:00:00
716,HSI50_i,24621.5,24689.5,24598.0,24743.0,24670.5,24676.833333333332,24680.0,24663.0,32599,2020-09-16 08:00:00
717,HSI50_i,24690.5,24667.0,24649.0,24730.0,24689.5,24682.0,24678.25,24684.125,13879,2020-09-16 12:00:00
718,HSI50_i,24667.0,24671.0,24600.0,24696.0,24648.0,24655.666666666668,24659.5,24658.5,21360,2020-09-16 16:00:00
719,HSI50_i,24257.0,24313.5,24205.0,24354.0,24279.5,24290.833333333332,24296.5,24282.375,40790,2020-09-17 08:00:00
720,HSI50_i,24313.5,24285.0,24278.0,24348.0,24313.0,24303.666666666668,24299.0,24306.125,18320,2020-09-17 12:00:00
721,HSI50_i,24285.0,24334.0,24248.0,24399.0,24323.5,24327.0,24328.75,24316.5,27945,2020-09-17 16:00:00
722,HSI50_i,24380.0,24409.0,24344.5,24453.5,24399.0,24402.333333333332,24404.0,24396.75,33935,2020-09-18 08:00:00
723,HSI50_i,24409.0,24395.5,24360.5,24483.5,24422.0,24413.166666666668,24408.75,24412.125,19670,2020-09-18 12:00:00
724,HSI50_i,24396.5,24371.5,24329.5,24415.5,24372.5,24372.166666666668,24372.0,24378.25,23320,2020-09-18 16:00:00
725,HSI50_i,24147.0,23737.0,23678.5,24175.0,23926.75,23863.5,23831.875,23934.375,52975,2020-09-21 08:00:00
726,HSI50_i,23738.0,23732.5,23704.5,23914.0,23809.25,23783.666666666668,23770.875,23772.25,34235,2020-09-21 12:00:00
