,USDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
152,USDJPY_i,104.068,104.28,104.034,104.34,104.18700000000001,104.218,104.23349999999999,104.1805,6010,2021-01-28 00:00:00
153,USDJPY_i,104.28,104.231,104.208,104.362,104.285,104.267,104.258,104.27025,4234,2021-01-28 04:00:00
154,USDJPY_i,104.231,104.287,104.229,104.368,104.29849999999999,104.29466666666667,104.29275000000001,104.27875,5836,2021-01-28 08:00:00
155,USDJPY_i,104.287,104.279,104.209,104.455,104.332,104.31433333333332,104.3055,104.3075,6271,2021-01-28 12:00:00
156,USDJPY_i,104.278,104.264,104.242,104.389,104.3155,104.29833333333333,104.28975,104.29325,8267,2021-01-28 16:00:00
157,USDJPY_i,104.264,104.224,104.166,104.266,104.21600000000001,104.21866666666666,104.22,104.23,3644,2021-01-28 20:00:00
158,USDJPY_i,104.224,104.476,104.181,104.563,104.372,104.40666666666668,104.424,104.361,6844,2021-01-29 00:00:00
159,USDJPY_i,104.476,104.468,104.427,104.529,104.47800000000001,104.47466666666668,104.47300000000001,104.47500000000001,4262,2021-01-29 04:00:00
160,USDJPY_i,104.468,104.858,104.457,104.932,104.6945,104.74900000000001,104.77625,104.67875000000001,6772,2021-01-29 08:00:00
161,USDJPY_i,104.858,104.667,104.605,104.893,104.749,104.72166666666665,104.708,104.75574999999999,8017,2021-01-29 12:00:00
162,USDJPY_i,104.667,104.695,104.618,104.843,104.7305,104.71866666666666,104.71275,104.70575,10142,2021-01-29 16:00:00
163,USDJPY_i,104.695,104.724,104.679,104.757,104.718,104.72000000000001,104.721,104.71375,4966,2021-01-29 20:00:00
164,USDJPY_i,104.765,104.684,104.6,104.808,104.70400000000001,104.69733333333333,104.69399999999999,104.71424999999999,4372,2021-02-01 00:00:00
165,USDJPY_i,104.684,104.652,104.634,104.721,104.67750000000001,104.669,104.66475,104.67275000000001,3011,2021-02-01 04:00:00
166,USDJPY_i,104.652,104.868,104.642,104.892,104.767,104.80066666666666,104.8175,104.7635,5818,2021-02-01 08:00:00
167,USDJPY_i,104.868,104.933,104.827,104.97,104.8985,104.91000000000001,104.91575,104.8995,5941,2021-02-01 12:00:00
168,USDJPY_i,104.933,104.989,104.872,104.992,104.932,104.95100000000001,104.9605,104.9465,6138,2021-02-01 16:00:00
169,USDJPY_i,104.989,104.917,104.894,105.028,104.96100000000001,104.94633333333336,104.93900000000002,104.95700000000002,3387,2021-02-01 20:00:00
170,USDJPY_i,104.923,104.867,104.822,104.947,104.8845,104.87866666666667,104.87575000000001,104.88975,4098,2021-02-02 00:00:00
171,USDJPY_i,104.867,104.962,104.852,105.021,104.9365,104.945,104.94924999999999,104.9255,3421,2021-02-02 04:00:00
172,USDJPY_i,104.962,104.917,104.846,105.02,104.93299999999999,104.92766666666667,104.92500000000001,104.93625,5137,2021-02-02 08:00:00
173,USDJPY_i,104.916,104.974,104.9,105.058,104.97900000000001,104.97733333333333,104.9765,104.962,6025,2021-02-02 12:00:00
174,USDJPY_i,104.976,105.092,104.957,105.166,105.0615,105.07166666666666,105.07674999999999,105.04775,7622,2021-02-02 16:00:00
175,USDJPY_i,105.092,104.963,104.949,105.098,105.0235,105.00333333333333,104.99324999999999,105.0255,3227,2021-02-02 20:00:00
176,USDJPY_i,104.965,104.946,104.922,105.064,104.993,104.97733333333333,104.96950000000001,104.97425000000001,3652,2021-02-03 00:00:00
177,USDJPY_i,104.946,104.998,104.915,105.025,104.97,104.97933333333333,104.984,104.971,2695,2021-02-03 04:00:00
178,USDJPY_i,104.998,105.065,104.988,105.098,105.043,105.05033333333334,105.054,105.03725,4557,2021-02-03 08:00:00
179,USDJPY_i,105.065,105.031,104.993,105.094,105.0435,105.03933333333333,105.03725,105.04575,4315,2021-02-03 12:00:00
180,USDJPY_i,105.031,105.001,104.963,105.093,105.02799999999999,105.019,105.0145,105.022,5856,2021-02-03 16:00:00
181,USDJPY_i,105.001,105.024,104.996,105.06,105.02799999999999,105.02666666666666,105.026,105.02025,2590,2021-02-03 20:00:00
182,USDJPY_i,105.02,105.063,104.968,105.07,105.019,105.03366666666666,105.041,105.03025,3249,2021-02-04 00:00:00
183,USDJPY_i,105.063,105.137,105.019,105.185,105.102,105.11366666666667,105.1195,105.101,3777,2021-02-04 04:00:00
184,USDJPY_i,105.137,105.224,105.137,105.272,105.2045,105.211,105.21424999999999,105.1925,5621,2021-02-04 08:00:00
185,USDJPY_i,105.224,105.3,105.198,105.331,105.2645,105.27633333333334,105.28225,105.26325,5084,2021-02-04 12:00:00
186,USDJPY_i,105.3,105.442,105.287,105.486,105.38650000000001,105.40500000000002,105.41425000000001,105.37875000000001,6553,2021-02-04 16:00:00
187,USDJPY_i,105.442,105.515,105.423,105.558,105.4905,105.49866666666667,105.50274999999999,105.4845,3190,2021-02-04 20:00:00
188,USDJPY_i,105.509,105.504,105.455,105.632,105.5435,105.53033333333333,105.52375,105.525,4650,2021-02-05 00:00:00
189,USDJPY_i,105.504,105.503,105.492,105.574,105.533,105.52300000000001,105.518,105.51825000000001,3037,2021-02-05 04:00:00
190,USDJPY_i,105.503,105.463,105.328,105.537,105.4325,105.44266666666665,105.44774999999998,105.45774999999999,4626,2021-02-05 08:00:00
191,USDJPY_i,105.463,105.676,105.452,105.761,105.6065,105.62966666666667,105.64125,105.588,7624,2021-02-05 12:00:00
192,USDJPY_i,105.677,105.339,105.336,105.7,105.518,105.45833333333333,105.4285,105.513,8842,2021-02-05 16:00:00
193,USDJPY_i,105.338,105.381,105.338,105.441,105.3895,105.38666666666666,105.38524999999998,105.37449999999998,2870,2021-02-05 20:00:00
194,USDJPY_i,105.309,105.475,105.309,105.538,105.42349999999999,105.44066666666667,105.44925,105.40775,4255,2021-02-08 00:00:00
195,USDJPY_i,105.475,105.495,105.423,105.517,105.47,105.47833333333334,105.4825,105.47749999999999,2871,2021-02-08 04:00:00
196,USDJPY_i,105.495,105.598,105.444,105.664,105.554,105.56866666666667,105.57600000000001,105.55025,4868,2021-02-08 08:00:00
