,USDDKK_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1643,USDDKK_i,6.5625,6.56852,6.55284,6.5700199999999995,6.56143,6.563793333333333,6.564975,6.56347,5586,2022-01-11 12:00:00
1644,USDDKK_i,6.56831,6.55354,6.54466,6.57602,6.56034,6.558073333333333,6.556939999999999,6.5606325,6924,2022-01-11 16:00:00
1645,USDDKK_i,6.55358,6.54459,6.54193,6.55467,6.548299999999999,6.547063333333333,6.546444999999999,6.5486925,2965,2022-01-11 20:00:00
1646,USDDKK_i,6.54459,6.5446,6.54116,6.54774,6.544449999999999,6.544499999999999,6.544524999999999,6.544522499999999,1184,2022-01-12 00:00:00
1647,USDDKK_i,6.54471,6.54202,6.5379000000000005,6.54585,6.541875,6.541923333333333,6.5419475,6.542619999999999,1328,2022-01-12 04:00:00
1648,USDDKK_i,6.54211,6.54491,6.54091,6.55266,6.546785,6.54616,6.545847500000001,6.545147500000001,4219,2022-01-12 08:00:00
1649,USDDKK_i,6.54475,6.52092,6.51786,6.55283,6.5353449999999995,6.530536666666666,6.5281325,6.53409,6308,2022-01-12 12:00:00
1650,USDDKK_i,6.52067,6.50085,6.50023,6.52953,6.51488,6.510203333333333,6.507865,6.51282,8130,2022-01-12 16:00:00
1651,USDDKK_i,6.50063,6.5016300000000005,6.49647,6.50449,6.50048,6.500863333333332,6.501054999999999,6.500805,2896,2022-01-12 20:00:00
1652,USDDKK_i,6.5017,6.50399,6.49856,6.50574,6.50215,6.502763333333334,6.503070000000001,6.5024975000000005,1647,2022-01-13 00:00:00
1653,USDDKK_i,6.50391,6.50274,6.49911,6.50577,6.50244,6.50254,6.50259,6.5028825,1789,2022-01-13 04:00:00
1654,USDDKK_i,6.50272,6.48443,6.48089,6.50409,6.49249,6.489803333333334,6.48846,6.4930325,5015,2022-01-13 08:00:00
1655,USDDKK_i,6.48453,6.4855599999999995,6.48185,6.49568,6.488765,6.487696666666667,6.4871625,6.486905,6519,2022-01-13 12:00:00
1656,USDDKK_i,6.48537,6.49049,6.48005,6.49955,6.489800000000001,6.490030000000001,6.490145000000001,6.4888650000000005,7355,2022-01-13 16:00:00
1657,USDDKK_i,6.49018,6.49432,6.48839,6.49788,6.4931350000000005,6.49353,6.4937275,6.4926924999999995,2648,2022-01-13 20:00:00
1658,USDDKK_i,6.49172,6.48878,6.48792,6.49721,6.492565,6.491303333333334,6.4906725000000005,6.4914075,1423,2022-01-14 00:00:00
1659,USDDKK_i,6.48902,6.48217,6.48001,6.49107,6.48554,6.484416666666667,6.483855,6.4855675,1792,2022-01-14 04:00:00
1660,USDDKK_i,6.48212,6.49317,6.48017,6.49419,6.48718,6.489176666666666,6.490175,6.4874125,5498,2022-01-14 08:00:00
1661,USDDKK_i,6.49317,6.50443,6.49214,6.50758,6.49986,6.501383333333333,6.502145,6.49933,6294,2022-01-14 12:00:00
1662,USDDKK_i,6.50454,6.5255,6.49788,6.52744,6.51266,6.516940000000001,6.519080000000001,6.51384,8352,2022-01-14 16:00:00
1663,USDDKK_i,6.52537,6.51863,6.51655,6.52583,6.52119,6.520336666666666,6.519909999999999,6.521595,2357,2022-01-14 20:00:00
1664,USDDKK_i,6.51671,6.52455,6.5163,6.52714,6.52172,6.522663333333334,6.523135,6.521175,1970,2022-01-17 00:00:00
1665,USDDKK_i,6.52451,6.51637,6.51386,6.52506,6.5194600000000005,6.5184299999999995,6.517915,6.51995,1861,2022-01-17 04:00:00
1666,USDDKK_i,6.51637,6.5134,6.50705,6.52026,6.513655,6.5135700000000005,6.5135275,6.51427,4004,2022-01-17 08:00:00
1667,USDDKK_i,6.51348,6.52623,6.5118,6.53165,6.521725,6.523226666666666,6.523977499999999,6.52079,4852,2022-01-17 12:00:00
1668,USDDKK_i,6.52616,6.52062,6.51829,6.5296,6.523945,6.522836666666667,6.5222825,6.5236675,4514,2022-01-17 16:00:00
1669,USDDKK_i,6.52051,6.52358,6.51953,6.52457,6.52205,6.5225599999999995,6.522815,6.522047499999999,796,2022-01-17 20:00:00
1670,USDDKK_i,6.52358,6.51603,6.51435,6.52395,6.51915,6.51811,6.51759,6.5194775,1503,2022-01-18 00:00:00
1671,USDDKK_i,6.516,6.52864,6.51445,6.53545,6.5249500000000005,6.52618,6.526795,6.5236350000000005,2879,2022-01-18 04:00:00
1672,USDDKK_i,6.52864,6.52942,6.52377,6.5355,6.529635,6.529563333333333,6.5295275,6.5293325,6135,2022-01-18 08:00:00
1673,USDDKK_i,6.52956,6.54016,6.52703,6.54897,6.538,6.5387200000000005,6.53908,6.53643,6402,2022-01-18 12:00:00
1674,USDDKK_i,6.54033,6.57248,6.53988,6.5734200000000005,6.55665,6.561926666666667,6.564565,6.5565275000000005,8018,2022-01-18 16:00:00
1675,USDDKK_i,6.57232,6.57112,6.56539,6.57688,6.571135,6.57113,6.5711275,6.5714275,3444,2022-01-18 20:00:00
1676,USDDKK_i,6.5707,6.57217,6.56569,6.574,6.569845,6.570620000000001,6.5710075,6.570640000000001,1856,2022-01-19 00:00:00
1677,USDDKK_i,6.572,6.56767,6.56465,6.57344,6.569045,6.568586666666666,6.568357499999999,6.569439999999999,1765,2022-01-19 04:00:00
1678,USDDKK_i,6.56781,6.56129,6.55757,6.5694099999999995,6.56349,6.562756666666666,6.56239,6.564019999999999,5406,2022-01-19 08:00:00
1679,USDDKK_i,6.56124,6.55942,6.55523,6.5657499999999995,6.56049,6.560133333333333,6.5599549999999995,6.560409999999999,5490,2022-01-19 12:00:00
1680,USDDKK_i,6.55942,6.56075,6.55228,6.56463,6.558455,6.55922,6.5596025,6.55927,7430,2022-01-19 16:00:00
1681,USDDKK_i,6.56045,6.5608,6.55194,6.56168,6.5568100000000005,6.558140000000001,6.558805,6.5587175,3068,2022-01-19 20:00:00
1682,USDDKK_i,6.55475,6.55069,6.54576,6.56154,6.553649999999999,6.552663333333332,6.552169999999999,6.553184999999999,1449,2022-01-20 00:00:00
1683,USDDKK_i,6.5506,6.55654,6.55027,6.55897,6.55462,6.55526,6.555579999999999,6.554094999999999,1903,2022-01-20 04:00:00
1684,USDDKK_i,6.55678,6.55584,6.54441,6.55976,6.552085,6.553336666666667,6.5539625,6.5541975,4913,2022-01-20 08:00:00
