,GBPCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
716,GBPCHF_i,1.26925,1.26947,1.26731,1.26951,1.2684099999999998,1.2687633333333332,1.26894,1.268885,2187,2021-06-09 00:00:00
717,GBPCHF_i,1.26947,1.2684199999999999,1.26841,1.26979,1.2691,1.2688733333333333,1.2687599999999999,1.2690225,3373,2021-06-09 04:00:00
718,GBPCHF_i,1.26844,1.27097,1.2683499999999999,1.27156,1.269955,1.2702933333333333,1.2704625,1.26983,7532,2021-06-09 08:00:00
719,GBPCHF_i,1.27096,1.26428,1.2641,1.27108,1.26759,1.2664866666666665,1.265935,1.267605,8817,2021-06-09 12:00:00
720,GBPCHF_i,1.26431,1.26494,1.26236,1.26545,1.2639049999999998,1.2642499999999999,1.2644225,1.264265,12199,2021-06-09 16:00:00
721,GBPCHF_i,1.26494,1.26397,1.26361,1.26524,1.264425,1.2642733333333334,1.2641974999999999,1.26444,5073,2021-06-09 20:00:00
722,GBPCHF_i,1.26335,1.26429,1.26288,1.26449,1.263685,1.2638866666666666,1.2639874999999998,1.2637524999999998,2003,2021-06-10 00:00:00
723,GBPCHF_i,1.26428,1.26353,1.26343,1.2649599999999999,1.264195,1.2639733333333334,1.2638625,1.2640500000000001,3355,2021-06-10 04:00:00
724,GBPCHF_i,1.2634,1.26231,1.26101,1.2641200000000001,1.262565,1.26248,1.2624375,1.26271,8303,2021-06-10 08:00:00
725,GBPCHF_i,1.2623,1.26715,1.26155,1.2674400000000001,1.2644950000000001,1.2653800000000002,1.2658225,1.26461,16439,2021-06-10 12:00:00
726,GBPCHF_i,1.26715,1.26726,1.26538,1.2696,1.26749,1.2674133333333335,1.2673750000000001,1.2673475,19991,2021-06-10 16:00:00
727,GBPCHF_i,1.26725,1.26773,1.26722,1.2683,1.26776,1.2677500000000002,1.2677450000000001,1.267625,5285,2021-06-10 20:00:00
728,GBPCHF_i,1.26647,1.26715,1.2659,1.26824,1.26707,1.2670966666666665,1.26711,1.26694,2445,2021-06-11 00:00:00
729,GBPCHF_i,1.26715,1.26714,1.26636,1.26746,1.26691,1.2669866666666667,1.2670249999999998,1.2670275,3205,2021-06-11 04:00:00
730,GBPCHF_i,1.26711,1.26754,1.26519,1.26833,1.26676,1.26702,1.26715,1.2670425,9762,2021-06-11 08:00:00
731,GBPCHF_i,1.26759,1.26867,1.26746,1.26977,1.268615,1.2686333333333335,1.2686425000000001,1.2683725000000001,10724,2021-06-11 12:00:00
732,GBPCHF_i,1.26864,1.26799,1.26757,1.27,1.268785,1.2685199999999999,1.2683875,1.2685499999999998,15203,2021-06-11 16:00:00
733,GBPCHF_i,1.26797,1.2671700000000001,1.26711,1.26821,1.26766,1.2674966666666667,1.2674150000000002,1.2676150000000002,4815,2021-06-11 20:00:00
734,GBPCHF_i,1.26614,1.26775,1.26529,1.26792,1.266605,1.2669866666666667,1.2671774999999998,1.266775,2947,2021-06-14 00:00:00
735,GBPCHF_i,1.26776,1.26809,1.26768,1.26833,1.268005,1.2680333333333333,1.2680475,1.267965,3210,2021-06-14 04:00:00
736,GBPCHF_i,1.2681,1.26583,1.26434,1.26872,1.26653,1.2662966666666666,1.26618,1.2667475000000001,8662,2021-06-14 08:00:00
737,GBPCHF_i,1.26582,1.26765,1.26518,1.26843,1.266805,1.2670866666666667,1.2672275,1.26677,9144,2021-06-14 12:00:00
738,GBPCHF_i,1.26765,1.26898,1.26736,1.2695,1.26843,1.2686133333333334,1.268705,1.2683725,10947,2021-06-14 16:00:00
739,GBPCHF_i,1.2689599999999999,1.26836,1.26819,1.26972,1.268955,1.2687566666666668,1.2686575,1.2688074999999999,4597,2021-06-14 20:00:00
740,GBPCHF_i,1.26889,1.26889,1.26757,1.26942,1.2684950000000002,1.2686266666666668,1.2686925,1.2686925,2409,2021-06-15 00:00:00
741,GBPCHF_i,1.26888,1.2690299999999999,1.26829,1.26936,1.268825,1.2688933333333334,1.2689275,1.26889,3545,2021-06-15 04:00:00
742,GBPCHF_i,1.26911,1.26431,1.26424,1.2702499999999999,1.267245,1.2662666666666667,1.2657775,1.2669774999999999,8361,2021-06-15 08:00:00
743,GBPCHF_i,1.2643,1.26571,1.2628,1.26627,1.264535,1.2649266666666665,1.2651225,1.26477,10936,2021-06-15 12:00:00
