,SPX500_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
59,SPX500_i,3737.0,3738.7,3733.4,3738.7,3736.05,3736.933333333333,3737.375,3736.95,853,2020-12-31 00:00:00
60,SPX500_i,3738.5,3735.7,3731.2,3739.2,3735.2,3735.3666666666663,3735.45,3736.1499999999996,1363,2020-12-31 04:00:00
61,SPX500_i,3735.6,3728.0,3725.0,3736.2,3730.6,3729.7333333333336,3729.3,3731.2000000000003,1815,2020-12-31 08:00:00
62,SPX500_i,3728.0,3732.1,3726.4,3738.2,3732.3,3732.2333333333336,3732.2000000000003,3731.175,1596,2020-12-31 12:00:00
63,SPX500_i,3731.9,3734.4,3727.4,3737.1,3732.25,3732.9666666666667,3733.325,3732.7,3154,2020-12-31 16:00:00
64,SPX500_i,3734.6,3732.9,3731.6,3735.1,3733.35,3733.2000000000003,3733.125,3733.55,477,2020-12-31 20:00:00
65,SPX500_i,3760.8,3757.3,3748.0,3762.3,3755.15,3755.866666666667,3756.2250000000004,3757.1000000000004,2468,2021-01-04 00:00:00
66,SPX500_i,3757.3,3759.1,3755.0,3760.9,3757.95,3758.3333333333335,3758.525,3758.075,1968,2021-01-04 04:00:00
67,SPX500_i,3759.0,3780.6,3758.4,3783.0,3770.7,3774.0,3775.65,3770.25,3225,2021-01-04 08:00:00
68,SPX500_i,3780.4,3771.9,3770.8,3782.4,3776.6000000000004,3775.0333333333333,3774.25,3776.375,2148,2021-01-04 12:00:00
69,SPX500_i,3772.0,3676.6,3662.4,3773.4,3717.9,3704.133333333333,3697.25,3721.1,10004,2021-01-04 16:00:00
70,SPX500_i,3676.5,3703.0,3674.4,3708.5,3691.45,3695.2999999999997,3697.225,3690.6,6288,2021-01-04 20:00:00
71,SPX500_i,3697.9,3710.1,3697.9,3714.1,3706.0,3707.366666666667,3708.05,3705.0,2354,2021-01-05 00:00:00
72,SPX500_i,3709.9,3703.1,3695.0,3714.2,3704.6,3704.1,3703.85,3705.5499999999997,3498,2021-01-05 04:00:00
73,SPX500_i,3702.9,3707.7,3687.2,3712.9,3700.05,3702.6,3703.875,3702.6749999999997,5135,2021-01-05 08:00:00
74,SPX500_i,3708.2,3683.9,3683.9,3713.2,3698.55,3693.6666666666665,3691.225,3697.3,4461,2021-01-05 12:00:00
75,SPX500_i,3684.1,3718.5,3682.6,3722.9,3702.75,3708.0,3710.625,3702.025,7202,2021-01-05 16:00:00
76,SPX500_i,3718.6,3726.6,3717.2,3739.0,3728.1,3727.6,3727.35,3725.35,3823,2021-01-05 20:00:00
77,SPX500_i,3723.4,3716.4,3704.4,3743.5,3723.95,3721.433333333333,3720.1749999999997,3721.9249999999997,5258,2021-01-06 00:00:00
78,SPX500_i,3716.6,3706.0,3696.0,3722.4,3709.2,3708.133333333333,3707.6,3710.25,7355,2021-01-06 04:00:00
79,SPX500_i,3706.2,3718.1,3695.2,3728.5,3711.85,3713.933333333333,3714.975,3712.0,7045,2021-01-06 08:00:00
80,SPX500_i,3717.8,3708.8,3705.6,3727.7,3716.6499999999996,3714.033333333333,3712.7249999999995,3714.9749999999995,5821,2021-01-06 12:00:00
81,SPX500_i,3708.6,3778.6,3705.3,3779.8,3742.55,3754.566666666667,3760.5750000000003,3743.0750000000003,7325,2021-01-06 16:00:00
82,SPX500_i,3778.8,3750.6,3742.8,3784.1,3763.45,3759.1666666666665,3757.025,3764.075,8417,2021-01-06 20:00:00
83,SPX500_i,3759.0,3772.6,3750.9,3773.7,3762.3,3765.7333333333336,3767.4500000000003,3764.05,2717,2021-01-07 00:00:00
84,SPX500_i,3772.7,3770.0,3764.0,3776.5,3770.25,3770.1666666666665,3770.125,3770.8,3028,2021-01-07 04:00:00
85,SPX500_i,3770.4,3766.7,3762.2,3782.0,3772.1,3770.2999999999997,3769.3999999999996,3770.325,4649,2021-01-07 08:00:00
86,SPX500_i,3766.7,3767.4,3756.1,3772.4,3764.25,3765.2999999999997,3765.825,3765.6499999999996,4130,2021-01-07 12:00:00
87,SPX500_i,3767.4,3802.6,3767.1,3811.9,3789.5,3793.866666666667,3796.05,3787.25,5287,2021-01-07 16:00:00
88,SPX500_i,3802.7,3803.9,3798.0,3812.6,3805.3,3804.8333333333335,3804.6,3804.3,3626,2021-01-07 20:00:00
89,SPX500_i,3802.6,3817.8,3801.6,3819.4,3810.5,3812.933333333333,3814.1499999999996,3810.35,2115,2021-01-08 00:00:00
90,SPX500_i,3817.8,3820.8,3815.1,3823.6,3819.35,3819.8333333333335,3820.075,3819.325,2694,2021-01-08 04:00:00
91,SPX500_i,3821.1,3815.7,3807.2,3826.1,3816.6499999999996,3816.3333333333335,3816.175,3817.525,3693,2021-01-08 08:00:00
92,SPX500_i,3815.8,3813.9,3809.9,3820.7,3815.3,3814.8333333333335,3814.6,3815.075,2958,2021-01-08 12:00:00
93,SPX500_i,3813.9,3810.7,3801.6,3824.9,3813.25,3812.4,3811.9750000000004,3812.775,6375,2021-01-08 16:00:00
94,SPX500_i,3810.7,3825.3,3783.8,3827.3,3805.55,3812.1333333333337,3815.425,3811.7750000000005,5799,2021-01-08 20:00:00
95,SPX500_i,3822.4,3808.3,3807.2,3822.7,3814.95,3812.7333333333336,3811.625,3815.15,2539,2021-01-11 00:00:00
96,SPX500_i,3808.3,3802.5,3799.2,3809.5,3804.35,3803.7333333333336,3803.425,3804.875,3837,2021-01-11 04:00:00
97,SPX500_i,3802.5,3801.5,3798.4,3813.0,3805.7,3804.2999999999997,3803.6,3803.85,4092,2021-01-11 08:00:00
