,XAGUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
551,XAGUSD_i,26.323,26.253,26.246,26.377,26.3115,26.292,26.28225,26.299750000000003,3157,2021-04-27 20:00:00
552,XAGUSD_i,26.237,26.148,26.112,26.244,26.177999999999997,26.167999999999996,26.162999999999997,26.185249999999996,1493,2021-04-28 00:00:00
553,XAGUSD_i,26.147,26.021,25.928,26.147,26.0375,26.032,26.02925,26.06075,4282,2021-04-28 04:00:00
554,XAGUSD_i,26.021,26.044,25.89,26.054,25.972,25.996,26.008,26.00225,5363,2021-04-28 08:00:00
555,XAGUSD_i,26.044,25.998,25.823,26.049,25.936,25.956666666666667,25.967000000000002,25.9785,6622,2021-04-28 12:00:00
556,XAGUSD_i,25.999,26.072,25.831,26.104,25.9675,26.002333333333336,26.019750000000002,26.0015,8196,2021-04-28 16:00:00
557,XAGUSD_i,26.072,26.175,25.89,26.286,26.088,26.117,26.1315,26.10575,6910,2021-04-28 20:00:00
558,XAGUSD_i,26.221,26.317,26.193,26.355,26.274,26.288333333333338,26.295500000000004,26.271500000000003,1539,2021-04-29 00:00:00
559,XAGUSD_i,26.318,26.346,26.287,26.466,26.3765,26.366333333333333,26.361250000000002,26.35425,4545,2021-04-29 04:00:00
560,XAGUSD_i,26.346,26.315,26.253,26.428,26.3405,26.331999999999997,26.327749999999998,26.3355,5278,2021-04-29 08:00:00
561,XAGUSD_i,26.314,26.369,26.193,26.405,26.299,26.322333333333333,26.334,26.32025,6419,2021-04-29 12:00:00
562,XAGUSD_i,26.367,26.001,25.696,26.376,26.036,26.024333333333335,26.018500000000003,26.110000000000003,9576,2021-04-29 16:00:00
563,XAGUSD_i,26.004,26.084,25.982,26.141,26.0615,26.069,26.07275,26.05275,2377,2021-04-29 20:00:00
564,XAGUSD_i,26.102,26.045,26.01,26.103,26.0565,26.052666666666667,26.05075,26.065,1541,2021-04-30 00:00:00
565,XAGUSD_i,26.044,25.931,25.862,26.046,25.954,25.94633333333333,25.9425,25.97075,4790,2021-04-30 04:00:00
566,XAGUSD_i,25.932,25.96,25.856,25.994,25.925,25.936666666666667,25.942500000000003,25.9355,5547,2021-04-30 08:00:00
567,XAGUSD_i,25.96,26.142,25.871,26.142,26.0065,26.051666666666666,26.07425,26.028750000000002,5617,2021-04-30 12:00:00
568,XAGUSD_i,26.142,25.896,25.853,26.188,26.0205,25.979,25.95825,26.01975,8771,2021-04-30 16:00:00
569,XAGUSD_i,25.896,25.876,25.79,25.907,25.8485,25.85766666666667,25.862250000000003,25.867250000000002,2985,2021-04-30 20:00:00
570,XAGUSD_i,25.845,25.917,25.79,25.922,25.856,25.876333333333335,25.8865,25.8685,1515,2021-05-03 00:00:00
571,XAGUSD_i,25.919,25.968,25.867,26.012,25.939500000000002,25.949,25.953750000000003,25.9415,2282,2021-05-03 04:00:00
572,XAGUSD_i,25.968,26.081,25.88,26.133,26.0065,26.031333333333333,26.04375,26.0155,3951,2021-05-03 08:00:00
573,XAGUSD_i,26.079,26.372,26.073,26.503,26.288,26.316000000000003,26.330000000000002,26.256750000000004,5185,2021-05-03 12:00:00
574,XAGUSD_i,26.372,26.901,26.367,26.984,26.6755,26.750666666666664,26.788249999999998,26.656,7681,2021-05-03 16:00:00
575,XAGUSD_i,26.904,26.876,26.802,26.953,26.877499999999998,26.877,26.87675,26.88375,3395,2021-05-03 20:00:00
576,XAGUSD_i,26.876,26.832,26.81,26.921,26.865499999999997,26.85433333333333,26.848749999999995,26.85975,1723,2021-05-04 00:00:00
577,XAGUSD_i,26.829,26.739,26.727,26.842,26.7845,26.769333333333336,26.761750000000003,26.78425,2310,2021-05-04 04:00:00
578,XAGUSD_i,26.737,26.81,26.683,26.948,26.8155,26.813666666666666,26.81275,26.7945,4734,2021-05-04 08:00:00
579,XAGUSD_i,26.808,26.903,26.691,26.907,26.799,26.83366666666667,26.851,26.82725,6849,2021-05-04 12:00:00
580,XAGUSD_i,26.904,26.339,26.077,27.106,26.591500000000003,26.507333333333335,26.46525,26.6065,11400,2021-05-04 16:00:00
581,XAGUSD_i,26.336,26.495,26.325,26.52,26.4225,26.44666666666667,26.458750000000002,26.419,3528,2021-05-04 20:00:00
582,XAGUSD_i,26.449,26.487,26.405,26.501,26.453000000000003,26.464333333333332,26.47,26.4605,1602,2021-05-05 00:00:00
583,XAGUSD_i,26.487,26.488,26.478,26.615,26.5465,26.527,26.51725,26.517,2201,2021-05-05 04:00:00
584,XAGUSD_i,26.488,26.338,26.252,26.496,26.374,26.362,26.356,26.3935,4928,2021-05-05 08:00:00
585,XAGUSD_i,26.338,26.46,26.093,26.495,26.294,26.349333333333334,26.377000000000002,26.3465,5833,2021-05-05 12:00:00
586,XAGUSD_i,26.462,26.379,26.316,26.51,26.413,26.401666666666667,26.396,26.41675,8514,2021-05-05 16:00:00
587,XAGUSD_i,26.379,26.491,26.379,26.514,26.4465,26.461333333333332,26.46875,26.44075,3260,2021-05-05 20:00:00
588,XAGUSD_i,26.486,26.317,26.302,26.499,26.4005,26.372666666666664,26.35875,26.401,1358,2021-05-06 00:00:00
589,XAGUSD_i,26.312,26.476,26.158,26.579,26.3685,26.40433333333333,26.42225,26.381249999999998,5811,2021-05-06 04:00:00
590,XAGUSD_i,26.476,26.72,26.473,26.797,26.634999999999998,26.66333333333333,26.6775,26.6165,6254,2021-05-06 08:00:00
591,XAGUSD_i,26.72,26.774,26.583,26.833,26.708,26.73,26.741,26.7275,6638,2021-05-06 12:00:00
592,XAGUSD_i,26.775,27.41,26.747,27.452,27.0995,27.203,27.254749999999998,27.095999999999997,9810,2021-05-06 16:00:00
593,XAGUSD_i,27.41,27.293,27.276,27.424,27.35,27.331,27.3215,27.350749999999998,3430,2021-05-06 20:00:00
594,XAGUSD_i,27.267,27.239,27.212,27.325,27.2685,27.258666666666667,27.25375,27.260749999999998,1625,2021-05-07 00:00:00
595,XAGUSD_i,27.239,27.405,27.231,27.539,27.385,27.39166666666667,27.395000000000003,27.353500000000004,5967,2021-05-07 04:00:00
596,XAGUSD_i,27.403,27.322,27.221,27.515,27.368000000000002,27.352666666666668,27.345000000000002,27.365250000000003,7496,2021-05-07 08:00:00
597,XAGUSD_i,27.319,27.465,27.169,27.662,27.4155,27.432000000000002,27.440250000000002,27.403750000000002,7582,2021-05-07 12:00:00
598,XAGUSD_i,27.466,27.394,27.127,27.538,27.3325,27.352999999999998,27.36325,27.38125,11761,2021-05-07 16:00:00
599,XAGUSD_i,27.393,27.438,27.342,27.448,27.395,27.409333333333333,27.4165,27.40525,3494,2021-05-07 20:00:00
600,XAGUSD_i,27.494,27.535,27.466,27.654,27.560000000000002,27.551666666666666,27.5475,27.53725,2560,2021-05-10 00:00:00
601,XAGUSD_i,27.537,27.69,27.5,27.758,27.628999999999998,27.64933333333333,27.659499999999998,27.621249999999996,6268,2021-05-10 04:00:00
602,XAGUSD_i,27.69,27.68,27.605,27.818,27.7115,27.701000000000004,27.695750000000004,27.69825,5941,2021-05-10 08:00:00
603,XAGUSD_i,27.675,27.768,27.628,27.82,27.724,27.73866666666667,27.746000000000002,27.72275,6374,2021-05-10 12:00:00
604,XAGUSD_i,27.76,27.448,27.318,27.865,27.5915,27.543666666666667,27.519750000000002,27.59775,11318,2021-05-10 16:00:00
605,XAGUSD_i,27.45,27.28,27.225,27.451,27.338,27.31866666666667,27.309,27.3515,4386,2021-05-10 20:00:00
606,XAGUSD_i,27.301,27.241,27.212,27.333,27.2725,27.262,27.25675,27.27175,1790,2021-05-11 00:00:00
607,XAGUSD_i,27.246,27.36,27.115,27.386,27.2505,27.286999999999995,27.305249999999997,27.276749999999996,5908,2021-05-11 04:00:00
608,XAGUSD_i,27.364,27.401,27.27,27.463,27.366500000000002,27.378,27.38375,27.3745,6978,2021-05-11 08:00:00
609,XAGUSD_i,27.401,27.196,27.19,27.52,27.355,27.302000000000003,27.2755,27.32675,6616,2021-05-11 12:00:00
610,XAGUSD_i,27.207,27.525,27.092,27.571,27.3315,27.395999999999997,27.42825,27.348749999999995,10901,2021-05-11 16:00:00
611,XAGUSD_i,27.523,27.591,27.513,27.658,27.585500000000003,27.587333333333333,27.588250000000002,27.57125,4276,2021-05-11 20:00:00
612,XAGUSD_i,27.609,27.495,27.469,27.619,27.544,27.527666666666665,27.5195,27.548000000000002,1901,2021-05-12 00:00:00
613,XAGUSD_i,27.494,27.37,27.277,27.5,27.3885,27.382333333333335,27.379250000000003,27.41025,6356,2021-05-12 04:00:00
614,XAGUSD_i,27.367,27.364,27.29,27.498,27.394,27.384,27.379,27.37975,7330,2021-05-12 08:00:00
615,XAGUSD_i,27.364,27.486,27.12,27.537,27.3285,27.381,27.40725,27.37675,6628,2021-05-12 12:00:00
616,XAGUSD_i,27.494,27.132,27.115,27.686,27.4005,27.311000000000003,27.266250000000003,27.35675,13756,2021-05-12 16:00:00
617,XAGUSD_i,27.131,26.991,26.94,27.257,27.0985,27.06266666666667,27.04475,27.07975,6705,2021-05-12 20:00:00
618,XAGUSD_i,27.018,27.163,26.999,27.168,27.0835,27.11,27.12325,27.087,2105,2021-05-13 00:00:00
619,XAGUSD_i,27.163,27.045,26.958,27.227,27.0925,27.076666666666668,27.06875,27.09825,6395,2021-05-13 04:00:00
620,XAGUSD_i,27.045,26.899,26.788,27.091,26.939500000000002,26.926000000000002,26.91925,26.955750000000002,8624,2021-05-13 08:00:00
621,XAGUSD_i,26.899,26.88,26.708,27.02,26.863999999999997,26.86933333333333,26.871999999999996,26.876749999999998,9420,2021-05-13 12:00:00
622,XAGUSD_i,26.877,27.069,26.771,27.097,26.934,26.979,27.0015,26.9535,12272,2021-05-13 16:00:00
623,XAGUSD_i,27.071,27.075,26.917,27.142,27.0295,27.044666666666668,27.05225,27.05125,6021,2021-05-13 20:00:00
624,XAGUSD_i,27.09,27.062,26.997,27.09,27.0435,27.049666666666667,27.05275,27.05975,1453,2021-05-14 00:00:00
625,XAGUSD_i,27.062,26.95,26.882,27.105,26.9935,26.979,26.97175,26.99975,6110,2021-05-14 04:00:00
626,XAGUSD_i,26.95,27.21,26.806,27.297,27.0515,27.104333333333333,27.13075,27.06575,7956,2021-05-14 08:00:00
627,XAGUSD_i,27.21,27.254,27.113,27.318,27.2155,27.228333333333335,27.234750000000002,27.223750000000003,6886,2021-05-14 12:00:00
628,XAGUSD_i,27.256,27.33,27.243,27.473,27.357999999999997,27.348666666666663,27.343999999999998,27.325499999999998,9560,2021-05-14 16:00:00
629,XAGUSD_i,27.328,27.389,27.24,27.423,27.3315,27.350666666666665,27.360249999999997,27.345,3127,2021-05-14 20:00:00
630,XAGUSD_i,27.407,27.357,27.335,27.502,27.4185,27.398,27.38775,27.40025,1856,2021-05-17 00:00:00
631,XAGUSD_i,27.357,27.624,27.338,27.684,27.511000000000003,27.548666666666666,27.5675,27.50075,6104,2021-05-17 04:00:00
632,XAGUSD_i,27.623,27.718,27.574,27.764,27.669,27.685333333333332,27.6935,27.66975,5646,2021-05-17 08:00:00
633,XAGUSD_i,27.718,27.491,27.484,27.738,27.611,27.570999999999998,27.551,27.60775,5858,2021-05-17 12:00:00
634,XAGUSD_i,27.485,28.185,27.426,28.204,27.814999999999998,27.938333333333333,28.0,27.825,11225,2021-05-17 16:00:00
635,XAGUSD_i,28.185,28.163,28.081,28.279,28.18,28.174333333333333,28.171499999999998,28.177,3290,2021-05-17 20:00:00
636,XAGUSD_i,28.196,28.232,28.122,28.26,28.191000000000003,28.204666666666668,28.2115,28.2025,1347,2021-05-18 00:00:00
637,XAGUSD_i,28.257,28.475,28.224,28.736,28.48,28.478333333333335,28.4775,28.423000000000002,7356,2021-05-18 04:00:00
638,XAGUSD_i,28.474,28.496,28.424,28.587,28.505499999999998,28.50233333333333,28.500749999999996,28.49525,7191,2021-05-18 08:00:00
