,CADJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
113,CADJPY_i,81.657,81.595,81.57,81.739,81.6545,81.63466666666666,81.62475,81.64025,5345,2021-01-19 12:00:00
114,CADJPY_i,81.597,81.57,81.447,81.66,81.5535,81.559,81.56174999999999,81.5685,8610,2021-01-19 16:00:00
115,CADJPY_i,81.57,81.569,81.509,81.612,81.56049999999999,81.56333333333333,81.56475,81.565,3817,2021-01-19 20:00:00
116,CADJPY_i,81.56,81.579,81.477,81.66,81.5685,81.572,81.57375,81.569,4201,2021-01-20 00:00:00
117,CADJPY_i,81.581,81.627,81.537,81.644,81.5905,81.60266666666666,81.60875,81.59725,3056,2021-01-20 04:00:00
118,CADJPY_i,81.628,81.735,81.611,81.797,81.70400000000001,81.71433333333334,81.71950000000001,81.69275,5873,2021-01-20 08:00:00
119,CADJPY_i,81.735,81.696,81.615,81.769,81.69200000000001,81.69333333333334,81.694,81.70375,5940,2021-01-20 12:00:00
120,CADJPY_i,81.696,81.87,81.671,82.107,81.88900000000001,81.88266666666668,81.87950000000001,81.83600000000001,10681,2021-01-20 16:00:00
121,CADJPY_i,81.87,81.933,81.823,81.955,81.889,81.90366666666667,81.911,81.89525,3805,2021-01-20 20:00:00
122,CADJPY_i,81.905,82.029,81.872,82.095,81.98349999999999,81.99866666666667,82.00625,81.97524999999999,4173,2021-01-21 00:00:00
123,CADJPY_i,82.029,81.923,81.898,82.078,81.988,81.96633333333334,81.9555,81.982,3369,2021-01-21 04:00:00
124,CADJPY_i,81.926,81.957,81.856,82.01,81.93299999999999,81.94099999999999,81.945,81.93724999999999,5834,2021-01-21 08:00:00
125,CADJPY_i,81.956,82.084,81.866,82.192,82.029,82.04733333333333,82.0565,82.0245,7814,2021-01-21 12:00:00
126,CADJPY_i,82.085,81.89,81.866,82.146,82.006,81.96733333333333,81.948,81.99674999999999,8635,2021-01-21 16:00:00
127,CADJPY_i,81.896,81.879,81.838,81.983,81.9105,81.89999999999999,81.89475,81.899,3883,2021-01-21 20:00:00
128,CADJPY_i,81.877,81.805,81.77,81.91,81.84,81.82833333333333,81.8225,81.8405,4610,2021-01-22 00:00:00
129,CADJPY_i,81.804,81.72,81.688,81.804,81.74600000000001,81.73733333333334,81.733,81.754,3279,2021-01-22 04:00:00
130,CADJPY_i,81.718,81.622,81.604,81.756,81.68,81.66066666666667,81.65100000000001,81.67500000000001,5936,2021-01-22 08:00:00
131,CADJPY_i,81.622,81.753,81.555,81.778,81.66650000000001,81.69533333333334,81.70975,81.677,6799,2021-01-22 12:00:00
132,CADJPY_i,81.752,81.535,81.522,81.824,81.673,81.627,81.604,81.65825,8269,2021-01-22 16:00:00
133,CADJPY_i,81.537,81.473,81.463,81.604,81.5335,81.51333333333334,81.50325000000001,81.51925,3393,2021-01-22 20:00:00
134,CADJPY_i,81.583,81.605,81.47,81.641,81.5555,81.572,81.58025,81.57475,3446,2021-01-25 00:00:00
135,CADJPY_i,81.603,81.693,81.6,81.693,81.6465,81.66199999999999,81.66975,81.64725,2496,2021-01-25 04:00:00
136,CADJPY_i,81.693,81.619,81.597,81.725,81.661,81.647,81.64,81.6585,5700,2021-01-25 08:00:00
137,CADJPY_i,81.62,81.574,81.506,81.757,81.6315,81.61233333333332,81.60275,81.61425,6518,2021-01-25 12:00:00
138,CADJPY_i,81.574,81.439,81.223,81.623,81.423,81.42833333333333,81.431,81.46475,9365,2021-01-25 16:00:00
139,CADJPY_i,81.439,81.412,81.357,81.501,81.429,81.42333333333333,81.4205,81.42725,4205,2021-01-25 20:00:00
140,CADJPY_i,81.396,81.373,81.333,81.453,81.393,81.38633333333333,81.383,81.38875,2941,2021-01-26 00:00:00
141,CADJPY_i,81.373,81.25,81.229,81.392,81.31049999999999,81.29033333333332,81.28025,81.31099999999999,2562,2021-01-26 04:00:00
142,CADJPY_i,81.249,81.397,81.149,81.432,81.29050000000001,81.32600000000001,81.34375,81.30675,5906,2021-01-26 08:00:00
143,CADJPY_i,81.399,81.543,81.353,81.591,81.472,81.49566666666666,81.5075,81.47149999999999,6170,2021-01-26 12:00:00
144,CADJPY_i,81.545,81.625,81.459,81.64,81.5495,81.57466666666666,81.58725,81.56725,7071,2021-01-26 16:00:00
145,CADJPY_i,81.625,81.605,81.583,81.672,81.6275,81.62,81.61625000000001,81.62125,2813,2021-01-26 20:00:00
146,CADJPY_i,81.599,81.581,81.56,81.657,81.60849999999999,81.59933333333333,81.59475,81.59925,3562,2021-01-27 00:00:00
147,CADJPY_i,81.581,81.535,81.492,81.581,81.5365,81.536,81.53575000000001,81.54725,2990,2021-01-27 04:00:00
148,CADJPY_i,81.535,81.53,81.431,81.571,81.501,81.51066666666667,81.5155,81.51675,5519,2021-01-27 08:00:00
149,CADJPY_i,81.533,81.434,81.335,81.598,81.4665,81.45566666666666,81.45025,81.475,7115,2021-01-27 12:00:00
150,CADJPY_i,81.433,81.556,81.207,81.558,81.3825,81.44033333333333,81.46924999999999,81.43849999999999,12014,2021-01-27 16:00:00
151,CADJPY_i,81.556,81.267,81.231,81.603,81.417,81.367,81.342,81.41425,8159,2021-01-27 20:00:00
152,CADJPY_i,81.317,81.38,81.218,81.389,81.3035,81.329,81.34174999999999,81.326,5692,2021-01-28 00:00:00
153,CADJPY_i,81.38,81.257,81.229,81.422,81.3255,81.30266666666667,81.29125,81.322,4382,2021-01-28 04:00:00
154,CADJPY_i,81.257,81.056,80.968,81.267,81.1175,81.097,81.08675,81.137,7844,2021-01-28 08:00:00
155,CADJPY_i,81.06,81.255,81.017,81.303,81.16,81.19166666666666,81.2075,81.15875,7914,2021-01-28 12:00:00
156,CADJPY_i,81.257,81.419,81.248,81.543,81.3955,81.40333333333332,81.40724999999999,81.36675,11223,2021-01-28 16:00:00
157,CADJPY_i,81.42,81.222,81.209,81.481,81.345,81.30399999999999,81.28349999999999,81.333,5038,2021-01-28 20:00:00
158,CADJPY_i,81.214,81.339,81.196,81.474,81.33500000000001,81.33633333333334,81.337,81.30575,4828,2021-01-29 00:00:00
159,CADJPY_i,81.339,81.169,81.141,81.355,81.248,81.22166666666668,81.2085,81.251,4004,2021-01-29 04:00:00
160,CADJPY_i,81.169,81.585,81.131,81.611,81.37100000000001,81.44233333333334,81.478,81.374,8799,2021-01-29 08:00:00
161,CADJPY_i,81.585,81.97,81.514,82.081,81.7975,81.855,81.88374999999999,81.7875,10255,2021-01-29 12:00:00
162,CADJPY_i,81.971,81.766,81.763,82.173,81.968,81.90066666666667,81.867,81.91825,13559,2021-01-29 16:00:00
163,CADJPY_i,81.765,81.924,81.68,81.941,81.8105,81.84833333333334,81.86725000000001,81.8275,7827,2021-01-29 20:00:00
164,CADJPY_i,81.903,81.849,81.711,81.925,81.818,81.82833333333333,81.8335,81.84700000000001,5559,2021-02-01 00:00:00
165,CADJPY_i,81.848,81.969,81.845,81.982,81.9135,81.932,81.94125,81.911,4530,2021-02-01 04:00:00
166,CADJPY_i,81.967,81.971,81.856,82.033,81.9445,81.95333333333333,81.95775,81.95675,7623,2021-02-01 08:00:00
167,CADJPY_i,81.971,81.857,81.842,81.983,81.9125,81.89399999999999,81.88475,81.91325,7929,2021-02-01 12:00:00
168,CADJPY_i,81.856,81.824,81.73,82.02,81.875,81.858,81.8495,81.8575,9305,2021-02-01 16:00:00
169,CADJPY_i,81.823,81.631,81.562,81.853,81.7075,81.682,81.66925,81.71724999999999,4697,2021-02-01 20:00:00
170,CADJPY_i,81.622,81.734,81.557,81.743,81.65,81.678,81.692,81.664,3648,2021-02-02 00:00:00
171,CADJPY_i,81.735,81.831,81.684,81.86,81.77199999999999,81.79166666666667,81.8015,81.7775,3481,2021-02-02 04:00:00
172,CADJPY_i,81.83,82.003,81.795,82.024,81.90950000000001,81.94066666666667,81.95625,81.913,6286,2021-02-02 08:00:00
173,CADJPY_i,82.003,81.882,81.879,82.054,81.9665,81.93833333333333,81.92425,81.9545,7388,2021-02-02 12:00:00
174,CADJPY_i,81.878,81.991,81.68,82.004,81.84200000000001,81.89166666666667,81.9165,81.88825,9074,2021-02-02 16:00:00
175,CADJPY_i,81.992,82.115,81.97,82.132,82.051,82.07233333333333,82.083,82.05225,4349,2021-02-02 20:00:00
176,CADJPY_i,82.117,82.196,82.044,82.202,82.12299999999999,82.14733333333332,82.1595,82.13974999999999,3553,2021-02-03 00:00:00
177,CADJPY_i,82.196,82.135,82.123,82.22,82.17150000000001,82.15933333333334,82.15325,82.1685,3020,2021-02-03 04:00:00
178,CADJPY_i,82.135,82.105,82.104,82.264,82.184,82.15766666666667,82.14450000000001,82.152,5586,2021-02-03 08:00:00
179,CADJPY_i,82.105,82.055,82.035,82.16,82.0975,82.08333333333333,82.07625,82.08875,4843,2021-02-03 12:00:00
180,CADJPY_i,82.055,82.2,81.977,82.27,82.1235,82.149,82.16175,82.1255,7959,2021-02-03 16:00:00
181,CADJPY_i,82.2,82.132,82.108,82.215,82.1615,82.15166666666667,82.14675,82.16375000000001,3761,2021-02-03 20:00:00
182,CADJPY_i,82.131,82.159,82.068,82.165,82.1165,82.13066666666667,82.13775,82.13075,2630,2021-02-04 00:00:00
183,CADJPY_i,82.159,82.118,82.086,82.192,82.139,82.13199999999999,82.1285,82.13875,3321,2021-02-04 04:00:00
184,CADJPY_i,82.114,82.17,82.104,82.343,82.2235,82.20566666666667,82.19675000000001,82.18275,5065,2021-02-04 08:00:00
185,CADJPY_i,82.17,82.166,82.083,82.224,82.15350000000001,82.15766666666667,82.15975,82.16075000000001,4894,2021-02-04 12:00:00
186,CADJPY_i,82.166,82.147,82.068,82.213,82.1405,82.14266666666667,82.14375,82.1485,6488,2021-02-04 16:00:00
187,CADJPY_i,82.147,82.245,82.113,82.316,82.2145,82.22466666666666,82.22975,82.20525,3718,2021-02-04 20:00:00
188,CADJPY_i,82.232,82.294,82.203,82.368,82.2855,82.28833333333334,82.28975,82.27425,3156,2021-02-05 00:00:00
189,CADJPY_i,82.294,82.293,82.23,82.33,82.28,82.28433333333334,82.2865,82.28675,2999,2021-02-05 04:00:00
190,CADJPY_i,82.296,82.415,82.287,82.428,82.3575,82.37666666666667,82.38625,82.3565,5457,2021-02-05 08:00:00
191,CADJPY_i,82.415,82.528,82.327,82.613,82.47,82.48933333333333,82.49900000000001,82.47075000000001,7628,2021-02-05 12:00:00
192,CADJPY_i,82.528,82.506,82.429,82.597,82.513,82.51066666666667,82.5095,82.515,8779,2021-02-05 16:00:00
193,CADJPY_i,82.506,82.564,82.483,82.573,82.52799999999999,82.53999999999999,82.54599999999999,82.5315,3192,2021-02-05 20:00:00
194,CADJPY_i,82.493,82.644,82.482,82.662,82.572,82.596,82.608,82.57025,4775,2021-02-08 00:00:00
195,CADJPY_i,82.645,82.638,82.581,82.662,82.6215,82.627,82.62975,82.6315,2569,2021-02-08 04:00:00
196,CADJPY_i,82.638,82.667,82.589,82.694,82.64150000000001,82.65,82.65425,82.647,4655,2021-02-08 08:00:00
197,CADJPY_i,82.666,82.576,82.549,82.685,82.617,82.60333333333334,82.59649999999999,82.619,4829,2021-02-08 12:00:00
198,CADJPY_i,82.576,82.484,82.386,82.649,82.5175,82.50633333333333,82.50075,82.52375,8125,2021-02-08 16:00:00
199,CADJPY_i,82.485,82.577,82.47,82.611,82.54050000000001,82.55266666666667,82.55875,82.53575000000001,3345,2021-02-08 20:00:00
200,CADJPY_i,82.579,82.553,82.506,82.6,82.553,82.553,82.553,82.5595,4398,2021-02-09 00:00:00
201,CADJPY_i,82.553,82.421,82.355,82.567,82.461,82.44766666666668,82.441,82.474,3035,2021-02-09 04:00:00
202,CADJPY_i,82.421,82.206,82.204,82.43,82.31700000000001,82.28000000000002,82.26150000000001,82.31525,5140,2021-02-09 08:00:00
203,CADJPY_i,82.206,82.088,82.074,82.244,82.15899999999999,82.13533333333332,82.12349999999999,82.15299999999999,4258,2021-02-09 12:00:00
204,CADJPY_i,82.086,82.282,81.948,82.329,82.1385,82.18633333333332,82.21024999999999,82.16125,5929,2021-02-09 16:00:00
205,CADJPY_i,82.282,82.373,82.254,82.384,82.319,82.337,82.346,82.32325,3018,2021-02-09 20:00:00
206,CADJPY_i,82.317,82.371,82.218,82.405,82.3115,82.33133333333332,82.34124999999999,82.32775,2834,2021-02-10 00:00:00
207,CADJPY_i,82.371,82.343,82.299,82.4,82.3495,82.34733333333334,82.34625000000001,82.35325,2091,2021-02-10 04:00:00
208,CADJPY_i,82.343,82.428,82.287,82.505,82.396,82.40666666666667,82.412,82.39075,5579,2021-02-10 08:00:00
209,CADJPY_i,82.428,82.416,82.375,82.528,82.45150000000001,82.43966666666667,82.43375,82.43675,5755,2021-02-10 12:00:00
210,CADJPY_i,82.415,82.478,82.358,82.545,82.45150000000001,82.46033333333334,82.46475000000001,82.44900000000001,9476,2021-02-10 16:00:00
211,CADJPY_i,82.479,82.325,82.322,82.484,82.40299999999999,82.377,82.36399999999999,82.40249999999999,3393,2021-02-10 20:00:00
212,CADJPY_i,82.324,82.269,82.269,82.395,82.332,82.31099999999999,82.3005,82.31425,1996,2021-02-11 00:00:00
213,CADJPY_i,82.272,82.41,82.272,82.419,82.3455,82.367,82.37774999999999,82.34325,2177,2021-02-11 04:00:00
214,CADJPY_i,82.41,82.521,82.401,82.558,82.4795,82.49333333333334,82.50025000000001,82.4725,4674,2021-02-11 08:00:00
215,CADJPY_i,82.521,82.611,82.507,82.65,82.5785,82.58933333333334,82.59475,82.57225000000001,4520,2021-02-11 12:00:00
216,CADJPY_i,82.611,82.477,82.443,82.655,82.549,82.525,82.513,82.54650000000001,8477,2021-02-11 16:00:00
217,CADJPY_i,82.477,82.419,82.409,82.543,82.476,82.457,82.44749999999999,82.46199999999999,3874,2021-02-11 20:00:00
218,CADJPY_i,82.419,82.388,82.374,82.488,82.431,82.41666666666667,82.40950000000001,82.41725,2906,2021-02-12 00:00:00
219,CADJPY_i,82.388,82.437,82.325,82.448,82.3865,82.40333333333332,82.41175,82.39949999999999,2209,2021-02-12 04:00:00
220,CADJPY_i,82.438,82.397,82.318,82.467,82.3925,82.394,82.39475,82.405,4833,2021-02-12 08:00:00
221,CADJPY_i,82.397,82.395,82.362,82.504,82.43299999999999,82.42033333333332,82.41399999999999,82.41449999999999,4114,2021-02-12 12:00:00
222,CADJPY_i,82.395,82.666,82.33,82.755,82.54249999999999,82.58366666666666,82.60425,82.53649999999999,6621,2021-02-12 16:00:00
223,CADJPY_i,82.666,82.667,82.583,82.682,82.6325,82.64399999999999,82.64975,82.64949999999999,2724,2021-02-12 20:00:00
224,CADJPY_i,82.712,82.822,82.633,82.858,82.74549999999999,82.771,82.78375,82.75625,5115,2021-02-15 00:00:00
225,CADJPY_i,82.822,82.922,82.81,82.956,82.88300000000001,82.896,82.9025,82.8775,3390,2021-02-15 04:00:00
226,CADJPY_i,82.922,83.176,82.903,83.204,83.0535,83.09433333333334,83.11475,83.05125000000001,5383,2021-02-15 08:00:00
227,CADJPY_i,83.176,83.268,83.108,83.275,83.1915,83.217,83.22975,83.20675,4293,2021-02-15 12:00:00
228,CADJPY_i,83.266,83.314,83.232,83.383,83.3075,83.30966666666667,83.31075,83.29875,4181,2021-02-15 16:00:00
229,CADJPY_i,83.313,83.303,83.243,83.372,83.3075,83.306,83.30525,83.30775,4664,2021-02-15 20:00:00
230,CADJPY_i,83.335,83.594,83.241,83.622,83.4315,83.48566666666666,83.51275,83.448,5614,2021-02-16 00:00:00
231,CADJPY_i,83.595,83.473,83.418,83.731,83.5745,83.54066666666667,83.52375,83.55425,4941,2021-02-16 04:00:00
232,CADJPY_i,83.473,83.28,83.212,83.567,83.3895,83.353,83.33475,83.383,7913,2021-02-16 08:00:00
