,EURNZD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
618,EURNZD_i,1.68973,1.68367,1.68354,1.6899899999999999,1.6867649999999998,1.6857333333333333,1.6852175,1.6867325,17813,2021-05-17 16:00:00
619,EURNZD_i,1.68373,1.68422,1.68306,1.68708,1.68507,1.6847866666666667,1.684645,1.6845225,7273,2021-05-17 20:00:00
620,EURNZD_i,1.6841599999999999,1.68289,1.6821899999999999,1.68586,1.6840249999999999,1.6836466666666665,1.6834574999999998,1.6837749999999998,3963,2021-05-18 00:00:00
621,EURNZD_i,1.6829,1.68103,1.6798,1.6832799999999999,1.68154,1.68137,1.681285,1.6817525,8034,2021-05-18 04:00:00
622,EURNZD_i,1.68102,1.6841300000000001,1.67908,1.68493,1.682005,1.6827133333333333,1.6830675,1.68229,13902,2021-05-18 08:00:00
623,EURNZD_i,1.6841,1.68146,1.68032,1.68495,1.6826349999999999,1.6822433333333333,1.6820475,1.6827075,12943,2021-05-18 12:00:00
624,EURNZD_i,1.68145,1.68556,1.68129,1.68652,1.683905,1.6844566666666667,1.6847325,1.683705,16784,2021-05-18 16:00:00
625,EURNZD_i,1.68556,1.68828,1.68494,1.68849,1.686715,1.6872366666666665,1.6874974999999999,1.6868174999999999,6068,2021-05-18 20:00:00
626,EURNZD_i,1.6867999999999999,1.68761,1.6853,1.68885,1.687075,1.6872533333333335,1.6873425000000002,1.68714,4012,2021-05-19 00:00:00
627,EURNZD_i,1.68762,1.6910699999999999,1.6875200000000001,1.69149,1.689505,1.6900266666666666,1.6902875,1.689425,9840,2021-05-19 04:00:00
628,EURNZD_i,1.6910699999999999,1.6959300000000002,1.69099,1.69695,1.69397,1.6946233333333334,1.69495,1.693735,14872,2021-05-19 08:00:00
629,EURNZD_i,1.6959300000000002,1.7006999999999999,1.69424,1.70112,1.69768,1.6986866666666665,1.6991899999999998,1.6979975,17326,2021-05-19 12:00:00
630,EURNZD_i,1.7006999999999999,1.6969699999999999,1.69664,1.7034099999999999,1.700025,1.6990066666666666,1.6984974999999998,1.69943,23445,2021-05-19 16:00:00
631,EURNZD_i,1.6969699999999999,1.6974399999999998,1.6952500000000001,1.70168,1.6984650000000001,1.6981233333333332,1.6979525,1.697835,20113,2021-05-19 20:00:00
632,EURNZD_i,1.69644,1.69847,1.69536,1.69958,1.69747,1.6978033333333336,1.6979700000000002,1.6974625,5989,2021-05-20 00:00:00
633,EURNZD_i,1.6984599999999999,1.6958600000000001,1.69585,1.70057,1.69821,1.6974266666666669,1.697035,1.697685,8052,2021-05-20 04:00:00
634,EURNZD_i,1.69591,1.69809,1.6938900000000001,1.69896,1.696425,1.69698,1.6972575,1.6967124999999998,11764,2021-05-20 08:00:00
635,EURNZD_i,1.69809,1.69676,1.69634,1.69929,1.6978149999999999,1.6974633333333333,1.6972875,1.6976200000000001,11221,2021-05-20 12:00:00
636,EURNZD_i,1.6967400000000001,1.6971,1.69228,1.69804,1.69516,1.6958066666666667,1.69613,1.69604,16182,2021-05-20 16:00:00
637,EURNZD_i,1.6971,1.69696,1.69259,1.69875,1.69567,1.6961000000000002,1.696315,1.69635,6248,2021-05-20 20:00:00
638,EURNZD_i,1.6975,1.70149,1.69599,1.70181,1.6989,1.6997633333333333,1.700195,1.6991975,5610,2021-05-21 00:00:00
639,EURNZD_i,1.70149,1.7020300000000002,1.70105,1.70303,1.70204,1.7020366666666666,1.702035,1.7019,8568,2021-05-21 04:00:00
640,EURNZD_i,1.70204,1.70039,1.70018,1.7033800000000001,1.70178,1.7013166666666668,1.701085,1.7014975,12991,2021-05-21 08:00:00
641,EURNZD_i,1.70044,1.6915900000000001,1.69006,1.70045,1.695255,1.6940333333333335,1.6934225,1.6956350000000002,16578,2021-05-21 12:00:00
642,EURNZD_i,1.6916,1.6994099999999999,1.69088,1.70041,1.6956449999999998,1.6969,1.6975275,1.695575,18422,2021-05-21 16:00:00
643,EURNZD_i,1.6994,1.70014,1.69863,1.70034,1.6994850000000001,1.6997033333333336,1.6998125000000002,1.6996275,7156,2021-05-21 20:00:00
