,NIKK225_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
598,NIKK225_i,29364.0,29379.0,29324.0,29389.0,29356.5,29364.0,29367.75,29364.0,2286,2021-05-07 08:00:00
599,NIKK225_i,29383.0,29329.0,29276.0,29409.0,29342.5,29338.0,29335.75,29349.25,2269,2021-05-07 12:00:00
600,NIKK225_i,29329.0,29379.0,29259.0,29409.0,29334.0,29349.0,29356.5,29344.0,2788,2021-05-07 16:00:00
601,NIKK225_i,29379.0,29399.0,29328.0,29414.0,29371.0,29380.333333333332,29385.0,29380.0,1546,2021-05-07 20:00:00
602,NIKK225_i,29394.0,29609.0,29346.0,29642.0,29494.0,29532.333333333332,29551.5,29497.75,2231,2021-05-10 00:00:00
603,NIKK225_i,29613.0,29539.0,29501.0,29685.0,29593.0,29575.0,29566.0,29584.5,2173,2021-05-10 04:00:00
604,NIKK225_i,29539.0,29486.0,29479.0,29569.0,29524.0,29511.333333333332,29505.0,29518.25,2207,2021-05-10 08:00:00
605,NIKK225_i,29486.0,29534.0,29483.0,29554.0,29518.5,29523.666666666668,29526.25,29514.25,1276,2021-05-10 12:00:00
606,NIKK225_i,29534.0,29504.0,29469.0,29549.0,29509.0,29507.333333333332,29506.5,29514.0,2254,2021-05-10 16:00:00
607,NIKK225_i,29504.0,29261.0,29254.0,29509.0,29381.5,29341.333333333332,29321.25,29382.0,2412,2021-05-10 20:00:00
608,NIKK225_i,29249.0,28874.0,28823.0,29299.0,29061.0,28998.666666666668,28967.5,29061.25,3212,2021-05-11 00:00:00
609,NIKK225_i,28869.0,28529.0,28519.0,28915.0,28717.0,28654.333333333332,28623.0,28708.0,4917,2021-05-11 04:00:00
610,NIKK225_i,28529.0,28579.0,28499.0,28704.0,28601.5,28594.0,28590.25,28577.75,4655,2021-05-11 08:00:00
611,NIKK225_i,28579.0,28314.0,28306.0,28691.0,28498.5,28437.0,28406.25,28472.5,4279,2021-05-11 12:00:00
612,NIKK225_i,28312.0,28454.0,28245.0,28554.0,28399.5,28417.666666666668,28426.75,28391.25,7095,2021-05-11 16:00:00
613,NIKK225_i,28454.0,28604.0,28449.0,28649.0,28549.0,28567.333333333332,28576.5,28539.0,4083,2021-05-11 20:00:00
614,NIKK225_i,28549.0,28389.0,28318.0,28829.0,28573.5,28512.0,28481.25,28521.25,3736,2021-05-12 00:00:00
615,NIKK225_i,28388.0,28002.0,27869.0,28533.0,28201.0,28134.666666666668,28101.5,28198.0,8956,2021-05-12 04:00:00
616,NIKK225_i,28003.0,28209.0,27989.0,28319.0,28154.0,28172.333333333332,28181.5,28130.0,6257,2021-05-12 08:00:00
617,NIKK225_i,28209.0,28147.0,27999.0,28249.0,28124.0,28131.666666666668,28135.5,28151.0,5018,2021-05-12 12:00:00
618,NIKK225_i,28149.0,27944.0,27868.0,28189.0,28028.5,28000.333333333332,27986.25,28037.5,7632,2021-05-12 16:00:00
619,NIKK225_i,27944.0,27734.0,27649.0,28034.0,27841.5,27805.666666666668,27787.75,27840.25,5941,2021-05-12 20:00:00
620,NIKK225_i,27789.0,27684.0,27564.0,27804.0,27684.0,27684.0,27684.0,27710.25,3983,2021-05-13 00:00:00
621,NIKK225_i,27684.0,27586.0,27523.0,27753.0,27638.0,27620.666666666668,27612.0,27636.5,6558,2021-05-13 04:00:00
622,NIKK225_i,27588.0,27214.0,27124.0,27590.0,27357.0,27309.333333333332,27285.5,27379.0,7396,2021-05-13 08:00:00
623,NIKK225_i,27214.0,27444.0,27164.0,27479.0,27321.5,27362.333333333332,27382.75,27325.25,5432,2021-05-13 12:00:00
624,NIKK225_i,27444.0,27589.0,27434.0,27704.0,27569.0,27575.666666666668,27579.0,27542.75,5652,2021-05-13 16:00:00
625,NIKK225_i,27589.0,27689.0,27459.0,27745.0,27602.0,27631.0,27645.5,27620.5,4199,2021-05-13 20:00:00
626,NIKK225_i,27708.0,27885.0,27708.0,27945.0,27826.5,27846.0,27855.75,27811.5,3748,2021-05-14 00:00:00
627,NIKK225_i,27885.0,28055.0,27758.0,28090.0,27924.0,27967.666666666668,27989.5,27947.0,4599,2021-05-14 04:00:00
628,NIKK225_i,28055.0,28005.0,27930.0,28135.0,28032.5,28023.333333333332,28018.75,28031.25,4154,2021-05-14 08:00:00
629,NIKK225_i,28010.0,28045.0,27980.0,28065.0,28022.5,28030.0,28033.75,28025.0,2505,2021-05-14 12:00:00
630,NIKK225_i,28045.0,28252.0,28035.0,28270.0,28152.5,28185.666666666668,28202.25,28150.5,3606,2021-05-14 16:00:00
631,NIKK225_i,28252.0,28295.0,28234.0,28317.0,28275.5,28282.0,28285.25,28274.5,2047,2021-05-14 20:00:00
632,NIKK225_i,28300.0,27955.0,27867.0,28340.0,28103.5,28054.0,28029.25,28115.5,3583,2021-05-17 00:00:00
633,NIKK225_i,27955.0,27800.0,27616.0,28020.0,27818.0,27812.0,27809.0,27847.75,5661,2021-05-17 04:00:00
634,NIKK225_i,27800.0,27805.0,27660.0,27864.0,27762.0,27776.333333333332,27783.5,27782.25,4106,2021-05-17 08:00:00
635,NIKK225_i,27805.0,27702.0,27626.0,27810.0,27718.0,27712.666666666668,27710.0,27735.75,3124,2021-05-17 12:00:00
636,NIKK225_i,27701.0,27707.0,27656.0,27785.0,27720.5,27716.0,27713.75,27712.25,4396,2021-05-17 16:00:00
637,NIKK225_i,27705.0,27785.0,27645.0,27805.0,27725.0,27745.0,27755.0,27735.0,2617,2021-05-17 20:00:00
638,NIKK225_i,27790.0,28250.0,27755.0,28255.0,28005.0,28086.666666666668,28127.5,28012.5,3227,2021-05-18 00:00:00
639,NIKK225_i,28250.0,28465.0,28240.0,28477.0,28358.5,28394.0,28411.75,28358.0,4114,2021-05-18 04:00:00
640,NIKK225_i,28469.0,28323.0,28316.0,28484.0,28400.0,28374.333333333332,28361.5,28398.0,3219,2021-05-18 08:00:00
641,NIKK225_i,28323.0,28292.0,28255.0,28368.0,28311.5,28305.0,28301.75,28309.5,2483,2021-05-18 12:00:00
642,NIKK225_i,28290.0,28257.0,28189.0,28336.0,28262.5,28260.666666666668,28259.75,28268.0,3790,2021-05-18 16:00:00
643,NIKK225_i,28257.0,28124.0,28115.0,28294.0,28204.5,28177.666666666668,28164.25,28197.5,2568,2021-05-18 20:00:00
644,NIKK225_i,28060.0,28065.0,27830.0,28137.0,27983.5,28010.666666666668,28024.25,28023.0,4133,2021-05-19 00:00:00
645,NIKK225_i,28067.0,27892.0,27832.0,28212.0,28022.0,27978.666666666668,27957.0,28000.75,4877,2021-05-19 04:00:00
646,NIKK225_i,27892.0,27837.0,27785.0,28047.0,27916.0,27889.666666666668,27876.5,27890.25,5166,2021-05-19 08:00:00
647,NIKK225_i,27837.0,27723.0,27712.0,27944.0,27828.0,27793.0,27775.5,27804.0,3624,2021-05-19 12:00:00
648,NIKK225_i,27722.0,27881.0,27592.0,27902.0,27747.0,27791.666666666668,27814.0,27774.25,6699,2021-05-19 16:00:00
649,NIKK225_i,27875.0,27930.0,27780.0,28017.0,27898.5,27909.0,27914.25,27900.5,5148,2021-05-19 20:00:00
650,NIKK225_i,27935.0,28042.0,27781.0,28162.0,27971.5,27995.0,28006.75,27980.0,3622,2021-05-20 00:00:00
651,NIKK225_i,28047.0,28143.0,27876.0,28155.0,28015.5,28058.0,28079.25,28055.25,5016,2021-05-20 04:00:00
