,NZDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1593,NZDJPY_i,78.734,78.647,78.609,78.773,78.691,78.67633333333333,78.669,78.69075,3305,2021-12-30 04:00:00
1594,NZDJPY_i,78.647,78.565,78.481,78.657,78.56899999999999,78.56766666666665,78.567,78.58749999999999,6011,2021-12-30 08:00:00
1595,NZDJPY_i,78.565,78.694,78.544,78.888,78.71600000000001,78.70866666666667,78.70500000000001,78.67275000000001,6806,2021-12-30 12:00:00
1596,NZDJPY_i,78.694,78.642,78.588,78.923,78.7555,78.71766666666666,78.69874999999999,78.71175,7920,2021-12-30 16:00:00
1597,NZDJPY_i,78.642,78.556,78.522,78.697,78.6095,78.59166666666665,78.58274999999999,78.60425,3197,2021-12-30 20:00:00
1598,NZDJPY_i,78.559,78.605,78.431,78.654,78.54249999999999,78.56333333333333,78.57375,78.56225,3995,2021-12-31 00:00:00
1599,NZDJPY_i,78.605,78.585,78.469,78.636,78.5525,78.56333333333333,78.56875,78.57375,2528,2021-12-31 04:00:00
1600,NZDJPY_i,78.585,78.741,78.569,78.758,78.6635,78.68933333333332,78.70224999999999,78.66324999999999,4541,2021-12-31 08:00:00
1601,NZDJPY_i,78.74,78.682,78.564,78.799,78.6815,78.68166666666667,78.68175000000001,78.69625,6783,2021-12-31 12:00:00
1602,NZDJPY_i,78.68,78.79,78.583,78.873,78.72800000000001,78.74866666666668,78.75900000000001,78.73150000000001,11781,2021-12-31 16:00:00
1603,NZDJPY_i,78.79,78.787,78.75,78.807,78.77850000000001,78.78133333333334,78.78275000000001,78.7835,902,2021-12-31 20:00:00
1604,NZDJPY_i,78.703,78.771,78.516,79.005,78.76050000000001,78.76400000000001,78.76575000000001,78.74875,3151,2022-01-03 00:00:00
1605,NZDJPY_i,78.769,78.74,78.643,78.785,78.714,78.72266666666667,78.727,78.73425,3370,2022-01-03 04:00:00
1606,NZDJPY_i,78.74,78.674,78.642,78.903,78.77250000000001,78.73966666666668,78.72325000000001,78.73975,5648,2022-01-03 08:00:00
1607,NZDJPY_i,78.674,78.334,78.317,78.687,78.502,78.446,78.418,78.503,8405,2022-01-03 12:00:00
1608,NZDJPY_i,78.331,78.287,78.107,78.334,78.2205,78.24266666666666,78.25375,78.26475,11960,2022-01-03 16:00:00
1609,NZDJPY_i,78.287,78.224,78.185,78.353,78.269,78.254,78.2465,78.26225,4468,2022-01-03 20:00:00
1610,NZDJPY_i,78.19,78.348,78.131,78.49,78.31049999999999,78.323,78.32925,78.28975,5462,2022-01-04 00:00:00
1611,NZDJPY_i,78.349,78.655,78.303,78.704,78.5035,78.554,78.57925,78.50275,5583,2022-01-04 04:00:00
1612,NZDJPY_i,78.654,78.715,78.518,78.725,78.6215,78.65266666666666,78.66825,78.65299999999999,6491,2022-01-04 08:00:00
1613,NZDJPY_i,78.715,78.828,78.61,78.843,78.7265,78.76033333333334,78.77725000000001,78.749,9066,2022-01-04 12:00:00
1614,NZDJPY_i,78.831,79.097,78.816,79.216,79.01599999999999,79.04299999999999,79.05649999999999,78.99,11266,2022-01-04 16:00:00
1615,NZDJPY_i,79.031,79.023,78.963,79.114,79.0385,79.03333333333333,79.03075,79.03275,4823,2022-01-04 20:00:00
1616,NZDJPY_i,79.002,78.954,78.876,79.219,79.0475,79.01633333333332,79.00075,79.01275,7264,2022-01-05 00:00:00
1617,NZDJPY_i,78.957,78.896,78.788,78.998,78.893,78.894,78.89450000000001,78.90975,4765,2022-01-05 04:00:00
1618,NZDJPY_i,78.898,78.864,78.782,78.949,78.8655,78.865,78.86475,78.87325,6419,2022-01-05 08:00:00
1619,NZDJPY_i,78.864,78.985,78.775,79.061,78.918,78.94033333333334,78.95150000000001,78.92125000000001,8730,2022-01-05 12:00:00
1620,NZDJPY_i,78.985,79.206,78.926,79.225,79.0755,79.11900000000001,79.14075000000001,79.08550000000001,9684,2022-01-05 16:00:00
