,STOXX50_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1829,STOXX50_i,4057.8,3988.2,3953.7,4058.3,4006.0,4000.066666666667,3997.1000000000004,4014.5,9971,2022-02-21 12:00:00
1830,STOXX50_i,3987.6,3952.8,3952.7,4019.1,3985.8999999999996,3974.8666666666663,3969.3499999999995,3978.0499999999997,9295,2022-02-21 16:00:00
1831,STOXX50_i,3953.4,3921.8,3906.1,3968.6,3937.35,3932.1666666666665,3929.575,3937.475,5225,2022-02-21 20:00:00
1832,STOXX50_i,3899.1,3931.6,3899.1,3952.9,3926.0,3927.866666666667,3928.8,3920.675,4178,2022-02-22 00:00:00
1833,STOXX50_i,3931.4,3934.4,3907.3,3941.3,3924.3,3927.6666666666665,3929.35,3928.6,4997,2022-02-22 04:00:00
1834,STOXX50_i,3933.1,3936.5,3878.0,3970.7,3924.35,3928.4,3930.425,3929.5750000000003,11567,2022-02-22 08:00:00
1835,STOXX50_i,3937.0,3989.6,3936.0,4002.0,3969.0,3975.866666666667,3979.3,3966.15,8990,2022-02-22 12:00:00
1836,STOXX50_i,3989.3,3950.1,3949.1,4014.2,3981.6499999999996,3971.133333333333,3965.875,3975.675,11098,2022-02-22 16:00:00
1837,STOXX50_i,3950.2,3975.7,3932.1,3992.7,3962.3999999999996,3966.8333333333335,3969.05,3962.675,9764,2022-02-22 20:00:00
1838,STOXX50_i,3996.1,3995.4,3986.3,4000.2,3993.25,3993.9666666666667,3994.325,3994.5,1850,2022-02-23 00:00:00
1839,STOXX50_i,3995.6,4002.4,3985.9,4008.2,3997.05,3998.8333333333335,3999.725,3998.025,2951,2022-02-23 04:00:00
1840,STOXX50_i,4002.4,4031.6,3980.7,4052.0,4016.35,4021.433333333333,4023.975,4016.6749999999997,7202,2022-02-23 08:00:00
1841,STOXX50_i,4031.0,4034.1,4011.7,4038.7,4025.2,4028.1666666666665,4029.65,4028.875,6948,2022-02-23 12:00:00
1842,STOXX50_i,4034.2,3983.0,3959.7,4035.3,3997.5,3992.6666666666665,3990.25,4003.05,11246,2022-02-23 16:00:00
1843,STOXX50_i,3983.0,3941.3,3932.5,3983.0,3957.75,3952.2666666666664,3949.5249999999996,3959.95,8410,2022-02-23 20:00:00
1844,STOXX50_i,3933.1,3920.3,3896.7,3942.1,3919.3999999999996,3919.6999999999994,3919.8499999999995,3923.0499999999997,4004,2022-02-24 00:00:00
1845,STOXX50_i,3920.8,3823.0,3809.6,3923.5,3866.55,3852.0333333333333,3844.775,3869.2250000000004,9223,2022-02-24 04:00:00
1846,STOXX50_i,3822.5,3815.0,3752.8,3868.4,3810.6000000000004,3812.066666666667,3812.8,3814.675,16588,2022-02-24 08:00:00
1847,STOXX50_i,3815.5,3787.4,3762.3,3830.6,3796.45,3793.433333333333,3791.9249999999997,3798.95,13843,2022-02-24 12:00:00
1848,STOXX50_i,3787.1,3808.6,3782.1,3857.4,3819.75,3816.0333333333333,3814.175,3808.8,15692,2022-02-24 16:00:00
1849,STOXX50_i,3808.3,3907.1,3804.4,3919.7,3862.05,3877.066666666667,3884.5750000000003,3859.875,10302,2022-02-24 20:00:00
1850,STOXX50_i,3879.1,3889.8,3878.0,3902.6,3890.3,3890.1333333333337,3890.05,3887.3750000000005,3226,2022-02-25 00:00:00
1851,STOXX50_i,3889.9,3902.2,3884.4,3911.6,3898.0,3899.4,3900.1000000000004,3897.025,4751,2022-02-25 04:00:00
1852,STOXX50_i,3903.1,3859.9,3826.5,3912.7,3869.6,3866.366666666667,3864.75,3875.55,11019,2022-02-25 08:00:00
1853,STOXX50_i,3859.4,3946.5,3858.7,3956.0,3907.35,3920.4,3926.925,3905.15,11182,2022-02-25 12:00:00
1854,STOXX50_i,3946.0,3967.7,3927.4,3983.2,3955.3,3959.433333333333,3961.5,3956.075,11305,2022-02-25 16:00:00
1855,STOXX50_i,3967.9,3993.2,3957.8,3996.8,3977.3,3982.6,3985.25,3978.9249999999997,7526,2022-02-25 20:00:00
1856,STOXX50_i,3882.0,3812.8,3812.7,3905.5,3859.1,3843.6666666666665,3835.95,3853.25,4816,2022-02-28 00:00:00
1857,STOXX50_i,3813.5,3826.6,3784.1,3841.7,3812.8999999999996,3817.4666666666667,3819.75,3816.475,4638,2022-02-28 04:00:00
1858,STOXX50_i,3827.6,3853.5,3820.8,3886.8,3853.8,3853.7000000000003,3853.65,3847.175,12820,2022-02-28 08:00:00
1859,STOXX50_i,3853.2,3848.7,3821.9,3883.9,3852.9,3851.5,3850.8,3851.925,9969,2022-02-28 12:00:00
1860,STOXX50_i,3848.9,3866.2,3847.3,3936.7,3892.0,3883.4,3879.1000000000004,3874.775,12467,2022-02-28 16:00:00
1861,STOXX50_i,3865.9,3874.6,3844.6,3881.4,3863.0,3866.866666666667,3868.8,3866.625,8534,2022-02-28 20:00:00
1862,STOXX50_i,3880.0,3892.3,3879.5,3902.3,3890.9,3891.366666666667,3891.6000000000004,3888.525,2298,2022-03-01 00:00:00
1863,STOXX50_i,3892.4,3892.5,3885.0,3900.0,3892.5,3892.5,3892.5,3892.475,3267,2022-03-01 04:00:00
1864,STOXX50_i,3892.3,3841.2,3831.7,3924.8,3878.25,3865.9,3859.7250000000004,3872.5,9942,2022-03-01 08:00:00
1865,STOXX50_i,3840.3,3840.1,3795.7,3848.5,3822.1,3828.1,3831.1,3831.1499999999996,9893,2022-03-01 12:00:00
1866,STOXX50_i,3839.9,3750.5,3715.0,3856.0,3785.5,3773.8333333333335,3768.0,3790.35,13195,2022-03-01 16:00:00
1867,STOXX50_i,3750.1,3739.5,3707.5,3755.6,3731.55,3734.2000000000003,3735.525,3738.175,9258,2022-03-01 20:00:00
1868,STOXX50_i,3741.8,3767.4,3741.3,3784.4,3762.8500000000004,3764.366666666667,3765.125,3758.7250000000004,2691,2022-03-02 00:00:00
1869,STOXX50_i,3767.4,3762.7,3752.5,3771.8,3762.15,3762.3333333333335,3762.425,3763.6,3632,2022-03-02 04:00:00
1870,STOXX50_i,3762.0,3781.6,3715.0,3787.1,3751.05,3761.2333333333336,3766.3250000000003,3761.425,11493,2022-03-02 08:00:00
1871,STOXX50_i,3780.6,3786.1,3769.8,3813.9,3791.8500000000004,3789.933333333334,3788.9750000000004,3787.6000000000004,9638,2022-03-02 12:00:00
1872,STOXX50_i,3785.9,3819.7,3783.3,3848.3,3815.8,3817.1,3817.75,3809.2999999999997,12313,2022-03-02 16:00:00
1873,STOXX50_i,3819.7,3819.8,3807.3,3838.1,3822.7,3821.7333333333336,3821.25,3821.2250000000004,5906,2022-03-02 20:00:00
1874,STOXX50_i,3809.8,3806.6,3806.0,3822.2,3814.1,3811.6,3810.35,3811.1499999999996,1968,2022-03-03 00:00:00
1875,STOXX50_i,3806.6,3833.1,3806.4,3835.8,3821.1000000000004,3825.1000000000004,3827.1000000000004,3820.4750000000004,2433,2022-03-03 04:00:00
1876,STOXX50_i,3832.8,3799.7,3789.1,3841.0,3815.05,3809.933333333333,3807.375,3815.6499999999996,8969,2022-03-03 08:00:00
1877,STOXX50_i,3799.7,3823.2,3780.4,3823.7,3802.05,3809.1,3812.625,3806.75,8097,2022-03-03 12:00:00
1878,STOXX50_i,3822.6,3749.8,3723.1,3836.7,3779.8999999999996,3769.8666666666663,3764.8499999999995,3783.0499999999997,12133,2022-03-03 16:00:00
1879,STOXX50_i,3749.2,3727.8,3709.8,3755.9,3732.8500000000004,3731.1666666666665,3730.325,3735.675,7140,2022-03-03 20:00:00
1880,STOXX50_i,3732.7,3688.6,3625.8,3738.7,3682.25,3684.366666666667,3685.425,3696.45,5841,2022-03-04 00:00:00
1881,STOXX50_i,3688.5,3648.8,3621.4,3690.0,3655.7,3653.4,3652.25,3662.175,6167,2022-03-04 04:00:00
1882,STOXX50_i,3649.0,3604.5,3589.1,3701.5,3645.3,3631.7000000000003,3624.9,3636.025,10264,2022-03-04 08:00:00
1883,STOXX50_i,3604.5,3605.2,3592.5,3629.7,3611.1,3609.133333333333,3608.1499999999996,3607.975,10202,2022-03-04 12:00:00
1884,STOXX50_i,3604.5,3566.2,3540.5,3621.0,3580.75,3575.9,3573.4750000000004,3583.05,12734,2022-03-04 16:00:00
1885,STOXX50_i,3566.5,3568.3,3529.2,3582.3,3555.75,3559.933333333333,3562.0249999999996,3561.575,8436,2022-03-04 20:00:00
1886,STOXX50_i,3511.6,3439.0,3426.2,3519.1,3472.6499999999996,3461.433333333333,3455.825,3473.975,4079,2022-03-07 00:00:00
1887,STOXX50_i,3438.6,3460.7,3433.6,3489.1,3461.35,3461.133333333333,3461.0249999999996,3455.5,4987,2022-03-07 04:00:00
1888,STOXX50_i,3459.0,3455.0,3381.5,3479.3,3430.4,3438.6,3442.7,3443.7,13042,2022-03-07 08:00:00
