,USDRUR_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
586,USDRUR_i,74.947,75.035,74.79,75.148,74.969,74.991,75.002,74.97999999999999,9371,2021-04-30 16:00:00
587,USDRUR_i,75.033,75.11,75.013,75.139,75.076,75.08733333333333,75.093,75.07375,8266,2021-04-30 20:00:00
588,USDRUR_i,75.11,75.125,75.11,75.199,75.1545,75.14466666666667,75.13974999999999,75.136,335,2021-05-03 00:00:00
589,USDRUR_i,75.125,75.127,75.049,75.135,75.09200000000001,75.10366666666668,75.10950000000001,75.10900000000001,128,2021-05-03 04:00:00
590,USDRUR_i,75.127,75.417,75.09,75.664,75.37700000000001,75.39033333333334,75.397,75.3245,1593,2021-05-03 08:00:00
591,USDRUR_i,75.395,75.158,74.996,75.757,75.3765,75.30366666666667,75.26725,75.3265,1967,2021-05-03 12:00:00
592,USDRUR_i,75.159,74.877,74.69,75.181,74.93549999999999,74.916,74.90625,74.97675,2436,2021-05-03 16:00:00
593,USDRUR_i,74.88,74.885,74.782,74.943,74.8625,74.87,74.87375,74.8725,1483,2021-05-03 20:00:00
594,USDRUR_i,74.885,74.88,74.762,74.939,74.8505,74.86033333333333,74.86525,74.8665,1185,2021-05-04 00:00:00
595,USDRUR_i,74.88,74.974,74.862,75.01,74.936,74.94866666666667,74.955,74.9315,1757,2021-05-04 04:00:00
596,USDRUR_i,74.974,75.105,74.926,75.26,75.093,75.097,75.099,75.06625,5478,2021-05-04 08:00:00
597,USDRUR_i,75.11,74.809,74.76,75.195,74.97749999999999,74.92133333333332,74.89325,74.96849999999999,5681,2021-05-04 12:00:00
598,USDRUR_i,74.806,74.86,74.6,75.162,74.881,74.87400000000001,74.8705,74.857,8704,2021-05-04 16:00:00
599,USDRUR_i,74.859,74.628,74.621,74.91,74.7655,74.71966666666667,74.69675,74.7545,8379,2021-05-04 20:00:00
600,USDRUR_i,74.69,74.626,74.576,74.805,74.6905,74.669,74.65825000000001,74.67425,1763,2021-05-05 00:00:00
601,USDRUR_i,74.626,74.615,74.578,74.754,74.666,74.649,74.6405,74.64325,5147,2021-05-05 04:00:00
602,USDRUR_i,74.615,74.595,74.49,74.939,74.71449999999999,74.67466666666665,74.65474999999999,74.65974999999999,6144,2021-05-05 08:00:00
603,USDRUR_i,74.595,74.67,74.545,74.782,74.6635,74.66566666666667,74.66675000000001,74.648,5496,2021-05-05 12:00:00
604,USDRUR_i,74.67,74.774,74.58,74.798,74.689,74.71733333333333,74.7315,74.7055,7426,2021-05-05 16:00:00
605,USDRUR_i,74.775,74.701,74.659,74.83,74.7445,74.73,74.72274999999999,74.74125000000001,7297,2021-05-05 20:00:00
606,USDRUR_i,74.703,74.782,74.69,74.843,74.76650000000001,74.77166666666666,74.77425,74.75450000000001,2679,2021-05-06 00:00:00
607,USDRUR_i,74.757,74.768,74.596,74.813,74.7045,74.72566666666667,74.73625,74.73349999999999,3810,2021-05-06 04:00:00
608,USDRUR_i,74.768,74.498,74.415,74.791,74.60300000000001,74.568,74.5505,74.618,6005,2021-05-06 08:00:00
609,USDRUR_i,74.495,74.33,74.315,74.611,74.463,74.41866666666665,74.39649999999999,74.43775,5842,2021-05-06 12:00:00
610,USDRUR_i,74.336,74.202,74.153,74.412,74.2825,74.25566666666667,74.24225,74.27575,8625,2021-05-06 16:00:00
611,USDRUR_i,74.203,74.166,74.097,74.222,74.1595,74.16166666666666,74.16274999999999,74.172,9061,2021-05-06 20:00:00
612,USDRUR_i,74.167,74.107,74.095,74.185,74.14,74.129,74.1235,74.1385,594,2021-05-07 00:00:00
613,USDRUR_i,74.105,74.145,74.079,74.183,74.131,74.13566666666667,74.13799999999999,74.128,2050,2021-05-07 04:00:00
614,USDRUR_i,74.146,74.02,73.955,74.218,74.0865,74.06433333333332,74.05324999999999,74.08475,6517,2021-05-07 08:00:00
615,USDRUR_i,74.02,73.855,73.78,74.215,73.9975,73.95,73.92625000000001,73.9675,5896,2021-05-07 12:00:00
616,USDRUR_i,73.845,73.628,73.425,73.984,73.7045,73.67899999999999,73.66624999999999,73.72049999999999,9433,2021-05-07 16:00:00
617,USDRUR_i,73.628,73.659,73.61,73.745,73.67750000000001,73.67133333333334,73.66825,73.6605,8807,2021-05-07 20:00:00
618,USDRUR_i,73.616,73.622,73.507,73.623,73.565,73.584,73.5935,73.592,446,2021-05-10 00:00:00
619,USDRUR_i,73.621,73.629,73.493,73.73,73.6115,73.61733333333335,73.62025000000001,73.61825,1975,2021-05-10 04:00:00
620,USDRUR_i,73.619,73.628,73.415,73.813,73.614,73.61866666666667,73.621,73.61875,5863,2021-05-10 08:00:00
621,USDRUR_i,73.636,73.825,73.635,73.946,73.79050000000001,73.802,73.80775,73.76050000000001,5896,2021-05-10 12:00:00
622,USDRUR_i,73.825,74.083,73.825,74.136,73.9805,74.01466666666667,74.03175,73.96725,7461,2021-05-10 16:00:00
623,USDRUR_i,74.085,74.226,74.071,74.269,74.17,74.18866666666666,74.19800000000001,74.16275,6979,2021-05-10 20:00:00
624,USDRUR_i,74.205,74.183,74.159,74.294,74.2265,74.212,74.20475,74.21025,449,2021-05-11 00:00:00
625,USDRUR_i,74.183,74.252,74.183,74.333,74.25800000000001,74.25600000000001,74.25500000000001,74.23775,2155,2021-05-11 04:00:00
626,USDRUR_i,74.247,73.885,73.85,74.258,74.054,73.99766666666666,73.9695,74.06,6821,2021-05-11 08:00:00
