,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1145,ASX200_i,7529.3,7517.5,7507.4,7529.3,7518.35,7518.066666666667,7517.925,7520.875,2319,2021-09-07 16:00:00
1146,ASX200_i,7517.5,7506.5,7502.4,7519.5,7510.95,7509.466666666667,7508.725,7511.475,984,2021-09-07 20:00:00
1147,ASX200_i,7471.0,7504.5,7460.7,7507.5,7484.1,7490.900000000001,7494.3,7485.925,1963,2021-09-08 00:00:00
1148,ASX200_i,7504.5,7496.5,7494.4,7514.4,7504.4,7501.766666666666,7500.45,7502.45,2406,2021-09-08 04:00:00
1149,ASX200_i,7496.5,7472.5,7464.4,7511.4,7487.9,7482.766666666666,7480.2,7486.2,3987,2021-09-08 08:00:00
1150,ASX200_i,7472.5,7498.5,7471.4,7507.5,7489.45,7492.466666666667,7493.975,7487.475,2363,2021-09-08 12:00:00
1151,ASX200_i,7498.5,7478.7,7470.6,7511.7,7491.15,7487.0,7484.925,7489.875,3877,2021-09-08 16:00:00
1152,ASX200_i,7478.7,7474.6,7473.6,7487.7,7480.65,7478.633333333334,7477.625,7478.650000000001,1370,2021-09-08 20:00:00
1153,ASX200_i,7438.6,7429.8,7425.8,7472.9,7449.35,7442.833333333333,7439.575,7441.775,1575,2021-09-09 00:00:00
1154,ASX200_i,7429.9,7358.9,7353.9,7434.9,7394.4,7382.566666666666,7376.65,7394.4,3046,2021-09-09 04:00:00
1155,ASX200_i,7358.9,7368.9,7325.9,7372.9,7349.4,7355.899999999999,7359.15,7356.65,4532,2021-09-09 08:00:00
1156,ASX200_i,7368.9,7386.9,7363.8,7391.9,7377.85,7380.866666666666,7382.375,7377.875,1747,2021-09-09 12:00:00
1157,ASX200_i,7386.9,7394.1,7378.8,7415.1,7396.950000000001,7396.0,7395.525,7393.725,2652,2021-09-09 16:00:00
1158,ASX200_i,7394.1,7392.0,7372.0,7402.1,7387.05,7388.7,7389.525,7390.049999999999,2537,2021-09-09 20:00:00
1159,ASX200_i,7378.1,7396.7,7374.5,7426.7,7400.6,7399.3,7398.650000000001,7394.0,2118,2021-09-10 00:00:00
1160,ASX200_i,7395.6,7407.7,7369.7,7418.6,7394.15,7398.666666666667,7400.925,7397.9,3135,2021-09-10 04:00:00
1161,ASX200_i,7407.7,7398.7,7376.9,7409.7,7393.299999999999,7395.099999999999,7396.0,7398.25,2875,2021-09-10 08:00:00
1162,ASX200_i,7399.6,7396.7,7387.6,7400.6,7394.1,7394.966666666667,7395.400000000001,7396.125,1060,2021-09-10 12:00:00
1163,ASX200_i,7396.7,7395.9,7364.8,7402.9,7383.85,7387.866666666666,7389.875,7390.075,4312,2021-09-10 16:00:00
1164,ASX200_i,7395.9,7360.9,7358.8,7397.8,7378.3,7372.5,7369.6,7378.35,1117,2021-09-10 20:00:00
1165,ASX200_i,7344.8,7411.6,7339.8,7423.6,7381.700000000001,7391.666666666667,7396.65,7379.95,1785,2021-09-13 00:00:00
1166,ASX200_i,7411.6,7405.6,7400.5,7431.6,7416.05,7412.566666666667,7410.825000000001,7412.325000000001,2314,2021-09-13 04:00:00
1167,ASX200_i,7405.6,7426.6,7389.5,7443.6,7416.55,7419.900000000001,7421.575000000001,7416.325000000001,2622,2021-09-13 08:00:00
1168,ASX200_i,7426.6,7442.6,7426.5,7448.6,7437.55,7439.233333333334,7440.075000000001,7436.075000000001,1249,2021-09-13 12:00:00
