,CHNA50_m_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1229,CHNA50_m_i,15014.5,15022.3,15002.4,15049.5,15025.95,15024.733333333332,15024.125,15022.175,2523,2021-09-22 20:00:00
1230,CHNA50_m_i,15002.8,14943.5,14896.6,15158.5,15027.55,14999.533333333333,14985.525,15000.349999999999,7937,2021-09-23 04:00:00
1231,CHNA50_m_i,14940.9,14934.4,14903.0,14981.5,14942.25,14939.633333333333,14938.325,14939.95,3579,2021-09-23 08:00:00
1232,CHNA50_m_i,14935.7,14844.7,14802.0,15005.7,14903.85,14884.133333333333,14874.275000000001,14897.025000000001,5538,2021-09-23 12:00:00
1233,CHNA50_m_i,14844.5,14875.5,14817.5,14887.5,14852.5,14860.166666666666,14864.0,14856.25,2599,2021-09-23 16:00:00
1234,CHNA50_m_i,14874.8,14909.9,14874.0,14917.5,14895.75,14900.466666666667,14902.825,14894.05,1141,2021-09-23 20:00:00
1235,CHNA50_m_i,14900.7,15104.9,14880.5,15240.9,15060.7,15075.433333333334,15082.800000000001,15031.75,6730,2021-09-24 04:00:00
1236,CHNA50_m_i,15104.9,15062.9,15030.2,15189.9,15110.05,15094.333333333334,15086.475,15096.975,4373,2021-09-24 08:00:00
1237,CHNA50_m_i,15058.0,15009.3,14991.0,15074.2,15032.6,15024.833333333334,15020.95,15033.125,1986,2021-09-24 12:00:00
1238,CHNA50_m_i,15009.4,15005.0,14984.9,15020.1,15002.5,15003.333333333334,15003.75,15004.85,1471,2021-09-24 16:00:00
1239,CHNA50_m_i,15005.2,15009.9,15002.9,15033.9,15018.4,15015.566666666666,15014.15,15012.974999999999,986,2021-09-24 20:00:00
1240,CHNA50_m_i,15067.7,15401.3,15034.7,15548.3,15291.5,15328.1,15346.400000000001,15263.0,10360,2021-09-27 04:00:00
1241,CHNA50_m_i,15399.8,15439.3,15319.3,15504.1,15411.7,15420.9,15425.5,15415.625,5237,2021-09-27 08:00:00
1242,CHNA50_m_i,15434.3,15433.8,15416.3,15457.3,15436.8,15435.799999999997,15435.3,15435.425,2398,2021-09-27 12:00:00
1243,CHNA50_m_i,15434.4,15458.3,15411.3,15480.3,15445.8,15449.966666666665,15452.05,15446.074999999999,2433,2021-09-27 16:00:00
1244,CHNA50_m_i,15458.3,15462.5,15454.3,15488.3,15471.3,15468.366666666667,15466.9,15465.849999999999,1264,2021-09-27 20:00:00
1245,CHNA50_m_i,15460.8,15556.8,15300.8,15584.8,15442.8,15480.799999999997,15499.8,15475.8,6794,2021-09-28 04:00:00
1246,CHNA50_m_i,15557.3,15460.0,15425.2,15564.9,15495.05,15483.366666666667,15477.525,15501.849999999999,4267,2021-09-28 08:00:00
1247,CHNA50_m_i,15471.3,15445.8,15437.0,15476.3,15456.65,15453.033333333333,15451.224999999999,15457.599999999999,1552,2021-09-28 12:00:00
1248,CHNA50_m_i,15445.8,15344.2,15336.8,15461.8,15399.3,15380.933333333334,15371.75,15397.150000000001,2378,2021-09-28 16:00:00
