,XAUUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
56,XAUUSD_i,1877.01,1882.86,1876.78,1884.14,1880.46,1881.26,1881.6599999999999,1880.1975,5718,2020-12-30 00:00:00
57,XAUUSD_i,1882.86,1881.51,1881.22,1885.95,1883.585,1882.8933333333334,1882.5475000000001,1882.885,6825,2020-12-30 04:00:00
58,XAUUSD_i,1881.49,1878.06,1877.31,1882.31,1879.81,1879.2266666666667,1878.935,1879.7925,9085,2020-12-30 08:00:00
59,XAUUSD_i,1878.06,1883.24,1875.91,1883.64,1879.775,1880.93,1881.5075,1880.2125,10412,2020-12-30 12:00:00
60,XAUUSD_i,1883.24,1888.63,1878.99,1888.93,1883.96,1885.5166666666667,1886.295,1884.9475,14684,2020-12-30 16:00:00
61,XAUUSD_i,1888.6,1893.63,1888.16,1893.86,1891.01,1891.8833333333332,1892.32,1891.0625,5055,2020-12-30 20:00:00
62,XAUUSD_i,1893.3,1896.65,1892.77,1899.75,1896.26,1896.39,1896.455,1895.6175,6396,2020-12-31 00:00:00
63,XAUUSD_i,1896.7,1889.98,1885.16,1898.38,1891.77,1891.1733333333334,1890.875,1892.555,8827,2020-12-31 04:00:00
64,XAUUSD_i,1890.05,1894.44,1885.79,1895.99,1890.8899999999999,1892.073333333333,1892.665,1891.5674999999999,12963,2020-12-31 08:00:00
65,XAUUSD_i,1894.29,1897.83,1890.91,1898.58,1894.745,1895.7733333333333,1896.2875,1895.4025,7856,2020-12-31 12:00:00
66,XAUUSD_i,1897.81,1894.1,1891.54,1900.21,1895.875,1895.2833333333335,1894.9875000000002,1895.915,12207,2020-12-31 16:00:00
67,XAUUSD_i,1894.09,1893.5,1890.05,1894.63,1892.3400000000001,1892.7266666666667,1892.92,1893.0675,2729,2020-12-31 20:00:00
68,XAUUSD_i,1908.71,1916.44,1907.43,1918.47,1912.95,1914.1133333333335,1914.6950000000002,1912.7625,10610,2021-01-04 00:00:00
69,XAUUSD_i,1916.45,1921.49,1915.31,1925.07,1920.19,1920.6233333333332,1920.84,1919.58,10137,2021-01-04 04:00:00
70,XAUUSD_i,1921.49,1932.03,1921.32,1934.95,1928.135,1929.4333333333334,1930.0825,1927.4475,13302,2021-01-04 08:00:00
71,XAUUSD_i,1931.98,1939.65,1927.7,1941.87,1934.7849999999999,1936.4066666666665,1937.2174999999997,1935.2999999999997,16603,2021-01-04 12:00:00
72,XAUUSD_i,1939.72,1936.89,1929.18,1944.29,1936.7350000000001,1936.7866666666669,1936.8125000000002,1937.5200000000002,29963,2021-01-04 16:00:00
73,XAUUSD_i,1936.91,1943.05,1936.13,1943.92,1940.025,1941.0333333333335,1941.5375000000001,1940.0025,10906,2021-01-04 20:00:00
74,XAUUSD_i,1941.31,1937.26,1934.12,1945.39,1939.755,1938.9233333333334,1938.5075000000002,1939.52,8246,2021-01-05 00:00:00
75,XAUUSD_i,1937.3,1938.26,1936.51,1943.73,1940.12,1939.5,1939.19,1938.95,10306,2021-01-05 04:00:00
76,XAUUSD_i,1938.3,1945.45,1936.78,1948.06,1942.42,1943.43,1943.935,1942.1475,13137,2021-01-05 08:00:00
77,XAUUSD_i,1945.45,1949.21,1943.35,1951.66,1947.505,1948.0733333333335,1948.3575,1947.4175,16529,2021-01-05 12:00:00
78,XAUUSD_i,1949.25,1949.92,1938.83,1952.43,1945.63,1947.0600000000002,1947.775,1947.6075,23241,2021-01-05 16:00:00
79,XAUUSD_i,1949.92,1949.79,1947.52,1952.95,1950.2350000000001,1950.0866666666668,1950.0125,1950.045,7781,2021-01-05 20:00:00
80,XAUUSD_i,1949.67,1947.69,1946.49,1955.14,1950.815,1949.7733333333333,1949.2525,1949.7475,10702,2021-01-06 00:00:00
81,XAUUSD_i,1947.94,1943.63,1941.12,1949.8,1945.46,1944.8500000000001,1944.545,1945.6225,13467,2021-01-06 04:00:00
82,XAUUSD_i,1943.68,1957.56,1943.05,1957.65,1950.35,1952.7533333333333,1953.955,1950.4850000000001,14770,2021-01-06 08:00:00
83,XAUUSD_i,1957.52,1932.79,1925.4,1959.16,1942.2800000000002,1939.1166666666668,1937.535,1943.7175000000002,25996,2021-01-06 12:00:00
84,XAUUSD_i,1932.79,1907.39,1900.65,1937.96,1919.305,1915.3333333333333,1913.3475,1919.6975,32397,2021-01-06 16:00:00
85,XAUUSD_i,1907.39,1918.62,1905.91,1924.06,1914.9850000000001,1916.1966666666667,1916.8025,1913.9950000000001,15758,2021-01-06 20:00:00
86,XAUUSD_i,1920.87,1917.93,1915.52,1924.49,1920.005,1919.3133333333335,1918.9675000000002,1919.7025,9285,2021-01-07 00:00:00
87,XAUUSD_i,1917.88,1920.59,1914.53,1920.98,1917.755,1918.7,1919.1725000000001,1918.4950000000001,9150,2021-01-07 04:00:00
88,XAUUSD_i,1920.64,1915.64,1914.79,1927.49,1921.1399999999999,1919.3066666666666,1918.39,1919.64,14715,2021-01-07 08:00:00
89,XAUUSD_i,1915.64,1913.08,1908.62,1920.97,1914.795,1914.2233333333334,1913.9375,1914.5775,18792,2021-01-07 12:00:00
90,XAUUSD_i,1913.13,1910.92,1906.61,1919.59,1913.1,1912.3733333333332,1912.01,1912.5625,23048,2021-01-07 16:00:00
91,XAUUSD_i,1911.02,1913.34,1910.22,1917.92,1914.0700000000002,1913.8266666666668,1913.7050000000002,1913.125,9132,2021-01-07 20:00:00
92,XAUUSD_i,1915.98,1910.71,1910.23,1917.28,1913.755,1912.74,1912.2325,1913.5500000000002,6197,2021-01-08 00:00:00
93,XAUUSD_i,1910.71,1908.01,1906.37,1912.45,1909.4099999999999,1908.9433333333334,1908.71,1909.385,8604,2021-01-08 04:00:00
94,XAUUSD_i,1908.01,1891.61,1877.66,1911.48,1894.5700000000002,1893.5833333333333,1893.09,1897.19,18309,2021-01-08 08:00:00
95,XAUUSD_i,1891.66,1890.68,1876.18,1894.31,1885.245,1887.0566666666666,1887.9625,1888.2075,19319,2021-01-08 12:00:00
96,XAUUSD_i,1890.62,1843.83,1839.32,1892.57,1865.945,1858.573333333333,1854.8874999999998,1866.5849999999998,40761,2021-01-08 16:00:00
97,XAUUSD_i,1843.77,1848.84,1828.11,1849.21,1838.6599999999999,1842.0533333333333,1843.75,1842.4825,23822,2021-01-08 20:00:00
98,XAUUSD_i,1854.55,1828.62,1817.05,1855.4,1836.225,1833.6899999999998,1832.4225,1838.905,16368,2021-01-11 00:00:00
99,XAUUSD_i,1828.62,1840.35,1826.19,1841.94,1834.065,1836.1599999999999,1837.2075,1834.2749999999999,15772,2021-01-11 04:00:00
100,XAUUSD_i,1840.37,1848.4,1838.7,1855.17,1846.935,1847.4233333333334,1847.6675,1845.66,18138,2021-01-11 08:00:00
101,XAUUSD_i,1848.4,1834.29,1831.7,1852.26,1841.98,1839.4166666666667,1838.135,1841.6625,16567,2021-01-11 12:00:00
102,XAUUSD_i,1834.29,1848.52,1828.86,1850.52,1839.69,1842.6333333333332,1844.105,1840.5475,24073,2021-01-11 16:00:00
103,XAUUSD_i,1848.52,1844.27,1843.39,1851.57,1847.48,1846.4099999999999,1845.875,1846.9375,8737,2021-01-11 20:00:00
104,XAUUSD_i,1847.33,1845.76,1841.09,1848.4,1844.745,1845.0833333333333,1845.2525,1845.645,8274,2021-01-12 00:00:00
105,XAUUSD_i,1845.76,1857.94,1845.02,1858.04,1851.53,1853.6666666666667,1854.7350000000001,1851.69,10677,2021-01-12 04:00:00
106,XAUUSD_i,1857.88,1862.55,1853.58,1863.2,1858.3899999999999,1859.7766666666666,1860.47,1859.3025,14358,2021-01-12 08:00:00
107,XAUUSD_i,1862.55,1844.13,1842.68,1863.51,1853.095,1850.1066666666666,1848.6125,1853.2175,16943,2021-01-12 12:00:00
108,XAUUSD_i,1844.19,1839.3,1836.67,1848.0,1842.335,1841.3233333333335,1840.8175,1842.04,23084,2021-01-12 16:00:00
109,XAUUSD_i,1839.3,1855.15,1839.25,1857.22,1848.2350000000001,1850.5400000000002,1851.6925,1847.7300000000002,14220,2021-01-12 20:00:00
110,XAUUSD_i,1854.85,1861.96,1853.6,1862.8,1858.1999999999998,1859.4533333333331,1860.08,1858.3024999999998,7029,2021-01-13 00:00:00
111,XAUUSD_i,1861.96,1858.22,1857.04,1862.28,1859.6599999999999,1859.18,1858.94,1859.875,8217,2021-01-13 04:00:00
112,XAUUSD_i,1858.22,1855.12,1849.16,1862.54,1855.85,1855.6066666666666,1855.485,1856.26,13469,2021-01-13 08:00:00
113,XAUUSD_i,1855.13,1857.76,1849.52,1859.02,1854.27,1855.4333333333334,1856.015,1855.3575,14334,2021-01-13 12:00:00
114,XAUUSD_i,1857.76,1855.61,1851.74,1861.01,1856.375,1856.12,1855.9924999999998,1856.53,17740,2021-01-13 16:00:00
115,XAUUSD_i,1855.61,1844.51,1841.72,1858.97,1850.345,1848.3999999999999,1847.4275,1850.2024999999999,8790,2021-01-13 20:00:00
116,XAUUSD_i,1847.35,1848.99,1844.42,1852.02,1848.22,1848.4766666666667,1848.605,1848.1950000000002,5505,2021-01-14 00:00:00
117,XAUUSD_i,1849.05,1844.2,1828.36,1849.11,1838.735,1840.5566666666666,1841.4675,1842.68,12413,2021-01-14 04:00:00
118,XAUUSD_i,1844.2,1841.1,1835.93,1845.03,1840.48,1840.6866666666665,1840.79,1841.5649999999998,13115,2021-01-14 08:00:00
119,XAUUSD_i,1841.05,1843.64,1836.53,1844.61,1840.57,1841.5933333333332,1842.105,1841.4575,14349,2021-01-14 12:00:00
120,XAUUSD_i,1843.64,1855.07,1841.1,1855.81,1848.455,1850.6599999999999,1851.7624999999998,1848.905,21359,2021-01-14 16:00:00
121,XAUUSD_i,1855.07,1846.29,1843.61,1857.27,1850.44,1849.0566666666666,1848.365,1850.56,11245,2021-01-14 20:00:00
122,XAUUSD_i,1847.63,1851.94,1845.23,1855.38,1850.305,1850.8500000000001,1851.1225,1850.045,5936,2021-01-15 00:00:00
123,XAUUSD_i,1852.04,1849.74,1847.25,1853.83,1850.54,1850.2733333333333,1850.1399999999999,1850.715,6816,2021-01-15 04:00:00
124,XAUUSD_i,1849.69,1855.07,1846.52,1856.68,1851.6,1852.7566666666664,1853.3349999999998,1851.9899999999998,13736,2021-01-15 08:00:00
125,XAUUSD_i,1854.99,1838.47,1836.32,1855.72,1846.02,1843.5033333333333,1842.2450000000001,1846.375,20757,2021-01-15 12:00:00
126,XAUUSD_i,1838.43,1831.35,1823.15,1845.26,1834.205,1833.2533333333333,1832.7775000000001,1834.5475000000001,37435,2021-01-15 16:00:00
127,XAUUSD_i,1831.35,1827.43,1825.01,1832.3,1828.655,1828.2466666666667,1828.0425,1829.0225,15383,2021-01-15 20:00:00
128,XAUUSD_i,1828.17,1824.98,1802.86,1829.11,1815.985,1818.9833333333333,1820.4825,1821.28,14402,2021-01-18 00:00:00
129,XAUUSD_i,1824.94,1838.38,1824.28,1839.36,1831.82,1834.006666666667,1835.1000000000001,1831.7400000000002,13432,2021-01-18 04:00:00
130,XAUUSD_i,1838.38,1831.56,1829.82,1840.53,1835.175,1833.97,1833.3674999999998,1835.0725,16391,2021-01-18 08:00:00
131,XAUUSD_i,1831.54,1835.02,1829.42,1838.22,1833.8200000000002,1834.22,1834.42,1833.55,16031,2021-01-18 12:00:00
132,XAUUSD_i,1835.02,1837.32,1832.43,1839.12,1835.775,1836.29,1836.5475,1835.9724999999999,15435,2021-01-18 16:00:00
