,GBPJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
987,GBPJPY_i,152.963,153.024,152.922,153.04,152.981,152.99533333333332,153.0025,152.98725,5185,2021-08-11 04:00:00
988,GBPJPY_i,153.024,152.979,152.955,153.119,153.037,153.01766666666666,153.008,153.01925,10919,2021-08-11 08:00:00
989,GBPJPY_i,152.98,153.097,152.844,153.216,153.03,153.05233333333334,153.0635,153.03425000000001,15762,2021-08-11 12:00:00
990,GBPJPY_i,153.096,153.223,152.988,153.252,153.12,153.15433333333334,153.1715,153.13975,19329,2021-08-11 16:00:00
991,GBPJPY_i,153.223,153.101,153.06,153.273,153.16649999999998,153.14466666666667,153.13375,153.16424999999998,8976,2021-08-11 20:00:00
992,GBPJPY_i,153.048,153.039,152.995,153.129,153.062,153.05433333333335,153.0505,153.05275,3799,2021-08-12 00:00:00
993,GBPJPY_i,153.039,153.104,152.987,153.133,153.06,153.07466666666667,153.08200000000002,153.06575,5599,2021-08-12 04:00:00
994,GBPJPY_i,153.104,152.961,152.949,153.176,153.0625,153.02866666666668,153.01175,153.0475,9518,2021-08-12 08:00:00
995,GBPJPY_i,152.96,152.929,152.843,153.084,152.9635,152.952,152.94625,152.954,12061,2021-08-12 12:00:00
996,GBPJPY_i,152.929,152.512,152.512,152.965,152.7385,152.66299999999998,152.62525,152.7295,13718,2021-08-12 16:00:00
997,GBPJPY_i,152.512,152.47,152.307,152.542,152.4245,152.43966666666665,152.44725,152.45774999999998,8667,2021-08-12 20:00:00
998,GBPJPY_i,152.375,152.471,152.319,152.527,152.423,152.439,152.447,152.423,3770,2021-08-13 00:00:00
999,GBPJPY_i,152.469,152.494,152.385,152.53,152.45749999999998,152.46966666666665,152.47575,152.46949999999998,3100,2021-08-13 04:00:00
1000,GBPJPY_i,152.494,152.152,152.048,152.502,152.275,152.234,152.2135,152.299,8532,2021-08-13 08:00:00
1001,GBPJPY_i,152.152,152.376,152.052,152.448,152.25,152.292,152.313,152.257,11087,2021-08-13 12:00:00
1002,GBPJPY_i,152.376,152.054,151.992,152.438,152.21499999999997,152.16133333333332,152.13449999999997,152.21499999999997,16838,2021-08-13 16:00:00
1003,GBPJPY_i,152.053,151.981,151.903,152.134,152.0185,152.006,151.99975,152.01774999999998,5355,2021-08-13 20:00:00
1004,GBPJPY_i,151.914,151.721,151.645,152.175,151.91000000000003,151.847,151.81550000000001,151.86375,6161,2021-08-16 00:00:00
1005,GBPJPY_i,151.719,151.609,151.469,151.781,151.625,151.6196666666667,151.61700000000002,151.6445,7122,2021-08-16 04:00:00
1006,GBPJPY_i,151.609,151.49,151.271,151.65,151.4605,151.47033333333334,151.47525000000002,151.505,10206,2021-08-16 08:00:00
1007,GBPJPY_i,151.491,151.539,151.326,151.756,151.541,151.54033333333334,151.54,151.528,13974,2021-08-16 12:00:00
1008,GBPJPY_i,151.535,151.222,150.899,151.564,151.23149999999998,151.22833333333332,151.22674999999998,151.30499999999998,21217,2021-08-16 16:00:00
1009,GBPJPY_i,151.222,151.226,151.109,151.23,151.1695,151.18833333333333,151.19774999999998,151.19675,5123,2021-08-16 20:00:00
