,FTSE100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
35,FTSE100_i,6612.7,6605.7,6585.2,6612.7,6598.95,6601.2,6602.325,6604.075,3244,2020-12-11 04:00:00
36,FTSE100_i,6605.7,6550.7,6535.7,6615.2,6575.45,6567.2,6563.075,6576.825,10117,2020-12-11 08:00:00
37,FTSE100_i,6550.7,6562.3,6522.2,6574.2,6548.2,6552.900000000001,6555.25,6552.35,10144,2020-12-11 12:00:00
38,FTSE100_i,6561.8,6535.2,6529.2,6572.3,6550.75,6545.566666666667,6542.975,6549.625,10677,2020-12-11 16:00:00
39,FTSE100_i,6535.2,6571.2,6532.2,6571.2,6551.7,6558.2,6561.45,6552.45,4410,2020-12-11 20:00:00
40,FTSE100_i,6576.5,6579.7,6568.7,6595.7,6582.2,6581.366666666666,6580.95,6580.15,3613,2020-12-14 00:00:00
41,FTSE100_i,6579.2,6548.7,6545.2,6580.2,6562.7,6558.033333333333,6555.7,6563.325,3113,2020-12-14 04:00:00
42,FTSE100_i,6548.7,6569.9,6539.4,6577.4,6558.4,6562.233333333333,6564.15,6558.849999999999,11128,2020-12-14 08:00:00
43,FTSE100_i,6569.3,6562.4,6550.4,6588.3,6569.35,6567.033333333333,6565.875,6567.599999999999,9083,2020-12-14 12:00:00
44,FTSE100_i,6561.8,6531.5,6527.9,6570.9,6549.4,6543.433333333333,6540.45,6548.025,9801,2020-12-14 16:00:00
45,FTSE100_i,6532.0,6508.9,6505.4,6536.5,6520.95,6516.933333333333,6514.924999999999,6520.7,4409,2020-12-14 20:00:00
46,FTSE100_i,6517.3,6513.9,6506.4,6523.9,6515.15,6514.733333333333,6514.525,6515.374999999999,3077,2020-12-15 00:00:00
47,FTSE100_i,6513.9,6515.9,6498.9,6517.9,6508.4,6510.899999999999,6512.15,6511.65,3165,2020-12-15 04:00:00
48,FTSE100_i,6515.9,6546.7,6500.6,6564.7,6532.65,6537.333333333333,6539.675,6531.975,10381,2020-12-15 08:00:00
49,FTSE100_i,6547.2,6510.4,6487.7,6551.2,6519.45,6516.433333333333,6514.924999999999,6524.125,9073,2020-12-15 12:00:00
50,FTSE100_i,6509.9,6540.4,6496.9,6540.9,6518.9,6526.066666666666,6529.65,6522.025,9460,2020-12-15 16:00:00
51,FTSE100_i,6540.4,6550.4,6537.9,6554.9,6546.4,6547.733333333333,6548.4,6545.9,3575,2020-12-15 20:00:00
52,FTSE100_i,6548.2,6542.9,6523.4,6552.4,6537.9,6539.566666666666,6540.4,6541.724999999999,2180,2020-12-16 00:00:00
53,FTSE100_i,6543.4,6546.4,6541.4,6554.9,6548.15,6547.566666666666,6547.275,6546.525,1332,2020-12-16 04:00:00
54,FTSE100_i,6546.4,6586.5,6534.0,6604.5,6569.25,6575.0,6577.875,6567.85,9346,2020-12-16 08:00:00
55,FTSE100_i,6586.5,6553.5,6550.0,6598.0,6574.0,6567.166666666667,6563.75,6572.0,9007,2020-12-16 12:00:00
56,FTSE100_i,6553.5,6581.7,6545.7,6582.2,6563.95,6569.866666666666,6572.825,6565.775,8672,2020-12-16 16:00:00
57,FTSE100_i,6581.7,6580.2,6571.2,6590.2,6580.7,6580.533333333333,6580.45,6580.825,4280,2020-12-16 20:00:00
58,FTSE100_i,6575.5,6567.9,6566.4,6577.5,6571.95,6570.599999999999,6569.924999999999,6571.825,2274,2020-12-17 00:00:00
59,FTSE100_i,6567.9,6587.9,6565.9,6591.4,6578.65,6581.733333333333,6583.275,6578.275,1019,2020-12-17 04:00:00
60,FTSE100_i,6587.9,6573.1,6572.1,6609.5,6590.8,6584.900000000001,6581.950000000001,6585.65,8138,2020-12-17 08:00:00
61,FTSE100_i,6573.1,6573.0,6564.6,6596.8,6580.700000000001,6578.133333333334,6576.85,6576.875,7231,2020-12-17 12:00:00
62,FTSE100_i,6573.0,6562.5,6552.1,6587.6,6569.85,6567.400000000001,6566.175,6568.8,8128,2020-12-17 16:00:00
63,FTSE100_i,6562.5,6562.5,6555.0,6572.5,6563.75,6563.333333333333,6563.125,6563.125,3258,2020-12-17 20:00:00
64,FTSE100_i,6559.3,6545.5,6543.5,6560.8,6552.15,6549.933333333333,6548.825,6552.275,2151,2020-12-18 00:00:00
65,FTSE100_i,6545.5,6538.5,6529.0,6545.5,6537.25,6537.666666666667,6537.875,6539.625,1865,2020-12-18 04:00:00
66,FTSE100_i,6538.5,6603.0,6537.0,6609.8,6573.4,6583.266666666666,6588.2,6572.075,8669,2020-12-18 08:00:00
67,FTSE100_i,6603.5,6564.7,6546.1,6613.0,6579.55,6574.599999999999,6572.125,6581.825,10625,2020-12-18 12:00:00
68,FTSE100_i,6564.7,6535.6,6517.6,6567.7,6542.65,6540.3,6539.125,6546.400000000001,8623,2020-12-18 16:00:00
69,FTSE100_i,6535.6,6512.6,6512.6,6540.6,6526.6,6521.933333333334,6519.6,6525.35,4900,2020-12-18 20:00:00
70,FTSE100_i,6467.6,6447.4,6420.7,6482.4,6451.549999999999,6450.166666666667,6449.475,6454.525,7199,2020-12-21 00:00:00
71,FTSE100_i,6447.9,6474.9,6446.9,6478.9,6462.9,6466.899999999999,6468.9,6462.15,4291,2020-12-21 04:00:00
72,FTSE100_i,6474.9,6410.0,6395.4,6483.0,6439.2,6429.466666666667,6424.6,6440.825000000001,15379,2020-12-21 08:00:00
73,FTSE100_i,6410.0,6363.5,6316.9,6417.4,6367.15,6365.933333333333,6365.325,6376.95,20331,2020-12-21 12:00:00
74,FTSE100_i,6364.0,6450.9,6354.5,6453.4,6403.95,6419.599999999999,6427.424999999999,6405.7,13945,2020-12-21 16:00:00
75,FTSE100_i,6451.4,6429.9,6407.4,6461.4,6434.4,6432.899999999999,6432.15,6437.525,7993,2020-12-21 20:00:00
76,FTSE100_i,6428.4,6431.6,6399.6,6440.6,6420.1,6423.933333333334,6425.85,6425.050000000001,4239,2020-12-22 00:00:00
77,FTSE100_i,6431.6,6394.1,6392.6,6444.6,6418.6,6410.433333333334,6406.35,6415.725,7910,2020-12-22 04:00:00
78,FTSE100_i,6394.1,6431.7,6374.1,6465.2,6419.65,6423.666666666667,6425.675,6416.275,13203,2020-12-22 08:00:00
79,FTSE100_i,6432.2,6445.6,6415.7,6455.7,6435.7,6439.0,6440.65,6437.3,8917,2020-12-22 12:00:00
80,FTSE100_i,6446.2,6452.7,6429.6,6465.2,6447.4,6449.166666666667,6450.05,6448.425,8576,2020-12-22 16:00:00
81,FTSE100_i,6452.7,6460.6,6448.6,6469.7,6459.15,6459.633333333334,6459.875,6457.900000000001,4697,2020-12-22 20:00:00
82,FTSE100_i,6460.4,6432.6,6418.6,6467.9,6443.25,6439.7,6437.924999999999,6444.875,6329,2020-12-23 00:00:00
83,FTSE100_i,6433.1,6440.6,6416.1,6448.1,6432.1,6434.933333333334,6436.35,6434.475,6801,2020-12-23 04:00:00
84,FTSE100_i,6440.6,6456.7,6436.6,6461.2,6448.9,6451.5,6452.8,6448.775,10011,2020-12-23 08:00:00
85,FTSE100_i,6457.2,6457.6,6434.6,6463.2,6448.9,6451.8,6453.25,6453.150000000001,6537,2020-12-23 12:00:00
86,FTSE100_i,6458.2,6509.1,6454.1,6512.6,6483.35,6491.933333333334,6496.225,6483.500000000001,10083,2020-12-23 16:00:00
87,FTSE100_i,6509.1,6507.6,6499.1,6528.6,6513.85,6511.766666666667,6510.725,6511.1,4340,2020-12-23 20:00:00
88,FTSE100_i,6524.3,6522.3,6497.8,6525.7,6511.75,6515.266666666666,6517.025,6517.525,3148,2020-12-24 00:00:00
89,FTSE100_i,6522.3,6537.8,6514.3,6537.8,6526.05,6529.966666666667,6531.925,6528.05,2104,2020-12-24 04:00:00
90,FTSE100_i,6537.8,6505.4,6487.5,6541.3,6514.4,6511.399999999999,6509.9,6517.999999999999,9317,2020-12-24 08:00:00
91,FTSE100_i,6505.4,6509.6,6480.8,6515.0,6497.9,6501.8,6503.75,6502.700000000001,6168,2020-12-24 12:00:00
92,FTSE100_i,6554.7,6566.4,6553.2,6576.7,6564.95,6565.433333333333,6565.674999999999,6562.75,3332,2020-12-29 00:00:00
93,FTSE100_i,6566.9,6581.4,6565.4,6584.9,6575.15,6577.233333333333,6578.275,6574.65,4521,2020-12-29 04:00:00
94,FTSE100_i,6581.4,6672.9,6576.9,6682.4,6629.65,6644.066666666666,6651.275,6628.4,12182,2020-12-29 08:00:00
95,FTSE100_i,6672.4,6645.9,6632.9,6677.4,6655.15,6652.066666666666,6650.525,6657.15,8323,2020-12-29 12:00:00
96,FTSE100_i,6646.4,6589.5,6584.5,6650.4,6617.45,6608.133333333334,6603.475,6617.700000000001,9159,2020-12-29 16:00:00
97,FTSE100_i,6590.0,6587.9,6580.0,6597.5,6588.75,6588.466666666667,6588.325000000001,6588.85,4896,2020-12-29 20:00:00
98,FTSE100_i,6585.4,6590.6,6572.4,6596.6,6584.5,6586.533333333333,6587.549999999999,6586.25,3651,2020-12-30 00:00:00
99,FTSE100_i,6590.6,6605.6,6590.6,6621.1,6605.85,6605.766666666667,6605.725,6601.975,4467,2020-12-30 04:00:00
100,FTSE100_i,6606.1,6622.6,6598.6,6626.1,6612.35,6615.766666666667,6617.475,6613.35,9105,2020-12-30 08:00:00
101,FTSE100_i,6621.6,6582.1,6579.1,6627.6,6603.35,6596.266666666667,6592.725,6602.6,6500,2020-12-30 12:00:00
102,FTSE100_i,6582.1,6548.6,6543.6,6595.6,6569.6,6562.600000000001,6559.1,6567.475,8290,2020-12-30 16:00:00
103,FTSE100_i,6548.6,6512.1,6509.6,6554.1,6531.85,6525.266666666667,6521.975,6531.1,4580,2020-12-30 20:00:00
104,FTSE100_i,6523.5,6514.1,6509.6,6529.9,6519.75,6517.866666666666,6516.924999999999,6519.275,1565,2020-12-31 00:00:00
105,FTSE100_i,6514.1,6514.1,6511.1,6523.1,6517.1,6516.100000000001,6515.6,6515.6,2143,2020-12-31 04:00:00
106,FTSE100_i,6514.1,6454.1,6439.1,6515.1,6477.1,6469.433333333334,6465.6,6480.6,9120,2020-12-31 08:00:00
107,FTSE100_i,6454.7,6448.9,6433.1,6511.2,6472.15,6464.399999999999,6460.525,6461.974999999999,9383,2020-12-31 12:00:00
108,FTSE100_i,6488.4,6487.1,6456.5,6493.6,6475.05,6479.066666666667,6481.075000000001,6481.4,6729,2021-01-04 00:00:00
109,FTSE100_i,6487.1,6499.1,6484.6,6506.6,6495.6,6496.766666666667,6497.35,6494.35,6608,2021-01-04 04:00:00
110,FTSE100_i,6498.6,6644.6,6497.6,6668.2,6582.9,6603.466666666667,6613.75,6577.25,14588,2021-01-04 08:00:00
111,FTSE100_i,6644.1,6645.1,6623.6,6654.7,6639.15,6641.133333333334,6642.125,6641.875,9926,2021-01-04 12:00:00
112,FTSE100_i,6645.2,6555.7,6534.7,6651.7,6593.2,6580.7,6574.45,6596.825,15266,2021-01-04 16:00:00
113,FTSE100_i,6555.2,6558.1,6552.6,6593.7,6573.15,6568.133333333334,6565.625,6564.900000000001,7875,2021-01-04 20:00:00
114,FTSE100_i,6544.0,6568.2,6544.0,6590.2,6567.1,6567.466666666667,6567.650000000001,6561.6,4878,2021-01-05 00:00:00
115,FTSE100_i,6568.2,6559.2,6552.7,6577.7,6565.2,6563.2,6562.2,6564.45,7849,2021-01-05 04:00:00
116,FTSE100_i,6559.2,6605.2,6519.2,6628.2,6573.7,6584.2,6589.45,6577.95,16080,2021-01-05 08:00:00
117,FTSE100_i,6605.7,6567.7,6554.7,6615.2,6584.95,6579.2,6576.325,6585.825,10865,2021-01-05 12:00:00
118,FTSE100_i,6568.2,6630.8,6563.7,6630.8,6597.25,6608.433333333333,6614.025,6598.375,11562,2021-01-05 16:00:00
119,FTSE100_i,6630.8,6629.2,6618.2,6651.8,6635.0,6633.066666666667,6632.1,6632.5,6013,2021-01-05 20:00:00
120,FTSE100_i,6623.5,6623.7,6603.7,6649.5,6626.6,6625.633333333334,6625.150000000001,6625.1,9401,2021-01-06 00:00:00
121,FTSE100_i,6623.7,6635.2,6605.7,6640.7,6623.2,6627.2,6629.2,6626.325,15230,2021-01-06 04:00:00
122,FTSE100_i,6636.2,6704.2,6633.2,6707.7,6670.45,6681.7,6687.325,6670.325,17721,2021-01-06 08:00:00
123,FTSE100_i,6703.2,6833.2,6698.7,6833.7,6766.2,6788.533333333333,6799.7,6767.2,15500,2021-01-06 12:00:00
124,FTSE100_i,6833.7,6864.2,6799.2,6868.7,6833.95,6844.033333333333,6849.075,6841.45,13524,2021-01-06 16:00:00
125,FTSE100_i,6863.7,6833.3,6826.3,6871.2,6848.75,6843.599999999999,6841.025,6848.625,9413,2021-01-06 20:00:00
126,FTSE100_i,6853.2,6902.1,6837.2,6957.1,6897.15,6898.8,6899.625,6887.400000000001,6466,2021-01-07 00:00:00
127,FTSE100_i,6902.1,6890.6,6882.1,6905.1,6893.6,6892.600000000001,6892.1,6894.975,3852,2021-01-07 04:00:00
128,FTSE100_i,6890.6,6826.6,6811.1,6930.6,6870.85,6856.100000000001,6848.725,6864.725,15006,2021-01-07 08:00:00
129,FTSE100_i,6826.7,6814.1,6798.1,6831.6,6814.85,6814.600000000001,6814.475,6817.625000000001,10530,2021-01-07 12:00:00
130,FTSE100_i,6814.1,6853.6,6814.1,6887.6,6850.85,6851.766666666667,6852.225,6842.35,10005,2021-01-07 16:00:00
131,FTSE100_i,6853.6,6864.1,6847.6,6873.1,6860.35,6861.600000000001,6862.225,6859.6,4712,2021-01-07 20:00:00
132,FTSE100_i,6859.8,6886.1,6858.3,6892.6,6875.450000000001,6879.0,6880.775,6874.2,4670,2021-01-08 00:00:00
133,FTSE100_i,6886.6,6897.6,6885.6,6905.1,6895.35,6896.100000000001,6896.475,6893.725,6820,2021-01-08 04:00:00
134,FTSE100_i,6898.1,6866.7,6850.7,6917.1,6883.9,6878.166666666667,6875.3,6883.15,12805,2021-01-08 08:00:00
135,FTSE100_i,6867.1,6842.2,6841.6,6875.2,6858.4,6853.0,6850.3,6856.525,8345,2021-01-08 12:00:00
136,FTSE100_i,6842.2,6875.6,6842.2,6889.1,6865.65,6868.966666666667,6870.625,6862.275000000001,10190,2021-01-08 16:00:00
137,FTSE100_i,6875.6,6907.6,6848.1,6914.7,6881.4,6890.133333333334,6894.5,6886.5,7272,2021-01-08 20:00:00
138,FTSE100_i,6878.8,6880.4,6866.4,6889.4,6877.9,6878.733333333333,6879.15,6878.749999999999,5373,2021-01-11 00:00:00
139,FTSE100_i,6879.9,6871.4,6866.9,6888.9,6877.9,6875.733333333333,6874.65,6876.775,6920,2021-01-11 04:00:00
140,FTSE100_i,6871.9,6837.0,6836.9,6880.5,6858.7,6851.466666666667,6847.85,6856.575000000001,10804,2021-01-11 08:00:00
141,FTSE100_i,6836.4,6795.0,6791.9,6862.0,6826.95,6816.3,6810.975,6821.325000000001,8126,2021-01-11 12:00:00
142,FTSE100_i,6795.0,6810.5,6773.0,6846.9,6809.95,6810.133333333334,6810.225,6806.35,11418,2021-01-11 16:00:00
143,FTSE100_i,6810.5,6800.4,6791.9,6814.5,6803.2,6802.266666666666,6801.799999999999,6804.325,5364,2021-01-11 20:00:00
144,FTSE100_i,6802.4,6811.1,6794.4,6828.6,6811.5,6811.366666666666,6811.299999999999,6809.125,4955,2021-01-12 00:00:00
145,FTSE100_i,6811.1,6811.6,6797.1,6816.1,6806.6,6808.266666666667,6809.1,6808.975,4060,2021-01-12 04:00:00
146,FTSE100_i,6811.6,6777.1,6771.1,6826.2,6798.65,6791.466666666667,6787.875,6796.5,10223,2021-01-12 08:00:00
147,FTSE100_i,6777.6,6755.2,6745.7,6784.7,6765.2,6761.866666666666,6760.2,6765.799999999999,7977,2021-01-12 12:00:00
148,FTSE100_i,6755.7,6748.7,6726.1,6778.2,6752.15,6751.0,6750.425,6752.175,9976,2021-01-12 16:00:00
149,FTSE100_i,6748.7,6769.1,6746.6,6774.7,6760.65,6763.466666666667,6764.875,6759.775000000001,5119,2021-01-12 20:00:00
150,FTSE100_i,6766.4,6769.1,6754.1,6779.3,6766.700000000001,6767.5,6767.9,6767.225,3306,2021-01-13 00:00:00
151,FTSE100_i,6769.1,6766.1,6763.1,6778.6,6770.85,6769.266666666667,6768.475,6769.225,2056,2021-01-13 04:00:00
152,FTSE100_i,6766.1,6765.6,6749.6,6781.1,6765.35,6765.433333333334,6765.475,6765.6,9496,2021-01-13 08:00:00
153,FTSE100_i,6765.6,6751.2,6739.6,6775.1,6757.35,6755.3,6754.275000000001,6757.875,8182,2021-01-13 12:00:00
154,FTSE100_i,6751.2,6756.6,6742.6,6764.6,6753.6,6754.600000000001,6755.1,6753.750000000001,7717,2021-01-13 16:00:00
155,FTSE100_i,6757.1,6748.1,6748.1,6764.1,6756.1,6753.433333333334,6752.1,6754.35,4073,2021-01-13 20:00:00
156,FTSE100_i,6752.1,6765.8,6746.6,6769.8,6758.200000000001,6760.733333333334,6762.0,6758.575000000001,3356,2021-01-14 00:00:00
157,FTSE100_i,6766.3,6764.8,6753.8,6777.3,6765.55,6765.3,6765.175,6765.55,4646,2021-01-14 04:00:00
158,FTSE100_i,6764.8,6792.1,6742.3,6797.1,6769.700000000001,6777.166666666667,6780.9,6774.075,9920,2021-01-14 08:00:00
159,FTSE100_i,6791.6,6780.0,6774.6,6805.5,6790.05,6786.7,6785.025,6787.924999999999,7753,2021-01-14 12:00:00
160,FTSE100_i,6779.6,6811.6,6773.6,6816.6,6795.1,6800.600000000001,6803.35,6795.35,8083,2021-01-14 16:00:00
161,FTSE100_i,6811.6,6800.0,6792.5,6816.6,6804.55,6803.033333333333,6802.275,6805.174999999999,4360,2021-01-14 20:00:00
162,FTSE100_i,6803.8,6789.6,6789.6,6806.3,6797.950000000001,6795.166666666667,6793.775,6797.325,3749,2021-01-15 00:00:00
163,FTSE100_i,6790.0,6775.0,6772.0,6804.5,6788.25,6783.833333333333,6781.625,6785.375,4754,2021-01-15 04:00:00
164,FTSE100_i,6775.0,6788.0,6758.6,6788.6,6773.6,6778.400000000001,6780.8,6777.55,10582,2021-01-15 08:00:00
165,FTSE100_i,6788.1,6746.5,6734.6,6789.5,6762.05,6756.866666666666,6754.275,6764.674999999999,9349,2021-01-15 12:00:00
166,FTSE100_i,6747.1,6743.1,6679.6,6754.6,6717.1,6725.766666666667,6730.1,6731.1,11624,2021-01-15 16:00:00
167,FTSE100_i,6743.1,6726.5,6724.1,6750.6,6737.35,6733.733333333334,6731.925,6736.075000000001,4611,2021-01-15 20:00:00
168,FTSE100_i,6728.4,6728.6,6706.5,6732.6,6719.55,6722.566666666667,6724.075000000001,6724.025,5750,2021-01-18 00:00:00
169,FTSE100_i,6729.1,6731.6,6719.1,6733.6,6726.35,6728.100000000001,6728.975,6728.35,4221,2021-01-18 04:00:00
170,FTSE100_i,6731.6,6726.6,6715.6,6744.6,6730.1,6728.933333333334,6728.35,6729.6,9484,2021-01-18 08:00:00
171,FTSE100_i,6726.6,6727.1,6713.1,6747.1,6730.1,6729.100000000001,6728.6,6728.475,6645,2021-01-18 12:00:00
172,FTSE100_i,6727.1,6729.7,6714.6,6736.1,6725.35,6726.8,6727.525000000001,6726.875,4841,2021-01-18 16:00:00
173,FTSE100_i,6729.7,6741.1,6728.2,6747.1,6737.65,6738.8,6739.375,6736.525000000001,1178,2021-01-18 20:00:00
174,FTSE100_i,6737.1,6751.8,6735.1,6757.8,6746.450000000001,6748.233333333334,6749.125,6745.450000000001,3489,2021-01-19 00:00:00
175,FTSE100_i,6751.8,6754.3,6750.3,6773.8,6762.05,6759.466666666667,6758.175,6757.55,3413,2021-01-19 04:00:00
176,FTSE100_i,6754.3,6742.8,6730.3,6775.4,6752.85,6749.5,6747.825,6750.7,9092,2021-01-19 08:00:00
177,FTSE100_i,6743.3,6733.8,6714.3,6749.9,6732.1,6732.666666666667,6732.95,6735.325,6375,2021-01-19 12:00:00
178,FTSE100_i,6733.3,6730.8,6700.8,6739.4,6720.1,6723.666666666667,6725.45,6726.075,8602,2021-01-19 16:00:00
179,FTSE100_i,6730.8,6733.8,6725.8,6737.8,6731.8,6732.466666666667,6732.8,6732.05,3535,2021-01-19 20:00:00
180,FTSE100_i,6748.0,6737.7,6725.2,6748.0,6736.6,6736.966666666667,6737.150000000001,6739.725,3653,2021-01-20 00:00:00
181,FTSE100_i,6737.2,6735.2,6725.2,6746.7,6735.95,6735.7,6735.575,6736.075,4318,2021-01-20 04:00:00
182,FTSE100_i,6735.2,6734.8,6699.2,6748.3,6723.75,6727.433333333333,6729.275,6729.375,10795,2021-01-20 08:00:00
183,FTSE100_i,6735.2,6721.3,6707.7,6740.2,6723.95,6723.066666666667,6722.625,6726.1,7657,2021-01-20 12:00:00
184,FTSE100_i,6721.3,6743.8,6718.2,6757.3,6737.75,6739.766666666666,6740.775,6735.15,8558,2021-01-20 16:00:00
185,FTSE100_i,6744.3,6761.7,6744.3,6766.3,6755.3,6757.433333333333,6758.5,6754.15,3551,2021-01-20 20:00:00
186,FTSE100_i,6760.0,6763.7,6753.5,6769.2,6761.35,6762.133333333334,6762.525000000001,6761.6,3156,2021-01-21 00:00:00
187,FTSE100_i,6763.7,6776.7,6762.2,6780.7,6771.45,6773.2,6774.075,6770.825,3569,2021-01-21 04:00:00
188,FTSE100_i,6776.7,6747.7,6726.7,6781.7,6754.2,6752.033333333333,6750.95,6758.2,9391,2021-01-21 08:00:00
189,FTSE100_i,6747.2,6744.8,6734.3,6756.3,6745.3,6745.133333333334,6745.05,6745.650000000001,7665,2021-01-21 12:00:00
190,FTSE100_i,6744.8,6710.8,6703.7,6755.2,6729.45,6723.233333333334,6720.125,6728.625,9013,2021-01-21 16:00:00
191,FTSE100_i,6711.2,6733.2,6708.2,6736.8,6722.5,6726.066666666667,6727.85,6722.35,3208,2021-01-21 20:00:00
192,FTSE100_i,6719.5,6726.7,6713.5,6728.7,6721.1,6722.966666666667,6723.900000000001,6722.1,2725,2021-01-22 00:00:00
193,FTSE100_i,6726.7,6712.2,6708.7,6728.7,6718.7,6716.533333333333,6715.45,6719.075,3828,2021-01-22 04:00:00
194,FTSE100_i,6712.2,6673.6,6662.3,6717.2,6689.75,6684.366666666666,6681.674999999999,6691.325,10606,2021-01-22 08:00:00
195,FTSE100_i,6673.6,6675.6,6653.1,6686.1,6669.6,6671.600000000001,6672.6,6672.1,8025,2021-01-22 12:00:00
196,FTSE100_i,6675.6,6706.1,6674.1,6712.1,6693.1,6697.433333333334,6699.6,6691.975,8345,2021-01-22 16:00:00
197,FTSE100_i,6706.1,6692.1,6691.6,6714.6,6703.1,6699.433333333334,6697.6,6701.1,3365,2021-01-22 20:00:00
198,FTSE100_i,6708.7,6706.3,6698.0,6718.1,6708.05,6707.466666666667,6707.175,6707.775000000001,3090,2021-01-25 00:00:00
199,FTSE100_i,6706.3,6715.3,6705.8,6718.3,6712.05,6713.133333333334,6713.675,6711.425,2134,2021-01-25 04:00:00
