,GBPSGD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
558,GBPSGD_i,1.8464399999999999,1.84751,1.84636,1.85002,1.84819,1.8479633333333334,1.84785,1.8475825000000001,10274,2021-05-03 16:00:00
559,GBPSGD_i,1.84751,1.84722,1.84649,1.8487900000000002,1.8476400000000002,1.8475000000000001,1.8474300000000001,1.8475025,3890,2021-05-03 20:00:00
560,GBPSGD_i,1.84692,1.8467500000000001,1.84591,1.84884,1.847375,1.8471666666666666,1.8470625,1.847105,3286,2021-05-04 00:00:00
561,GBPSGD_i,1.84674,1.84589,1.84579,1.84871,1.84725,1.8467966666666669,1.84657,1.8467825000000002,4615,2021-05-04 04:00:00
562,GBPSGD_i,1.84592,1.85072,1.84569,1.85175,1.8487200000000001,1.8493866666666667,1.84972,1.8485200000000002,9368,2021-05-04 08:00:00
563,GBPSGD_i,1.85072,1.8488799999999999,1.84754,1.85311,1.850325,1.8498433333333333,1.8496025,1.8500625,12096,2021-05-04 12:00:00
564,GBPSGD_i,1.8488799999999999,1.8548900000000001,1.84824,1.8553600000000001,1.8518000000000001,1.8528300000000002,1.8533450000000002,1.8518425,18304,2021-05-04 16:00:00
565,GBPSGD_i,1.85483,1.85402,1.85307,1.85588,1.8544749999999999,1.8543233333333333,1.8542475,1.85445,6763,2021-05-04 20:00:00
566,GBPSGD_i,1.85352,1.85357,1.85246,1.85591,1.854185,1.85398,1.8538774999999998,1.8538649999999999,2904,2021-05-05 00:00:00
567,GBPSGD_i,1.85354,1.85585,1.85301,1.8567,1.8548550000000001,1.8551866666666668,1.8553525000000002,1.854775,4105,2021-05-05 04:00:00
568,GBPSGD_i,1.8558599999999998,1.85554,1.85526,1.86016,1.85771,1.8569866666666666,1.8566249999999997,1.8567049999999998,9468,2021-05-05 08:00:00
569,GBPSGD_i,1.85554,1.8560699999999999,1.85291,1.85764,1.855275,1.8555400000000002,1.8556725,1.85554,8522,2021-05-05 12:00:00
570,GBPSGD_i,1.8560699999999999,1.85605,1.8540999999999999,1.8568500000000001,1.855475,1.8556666666666668,1.8557625,1.8557675,9903,2021-05-05 16:00:00
571,GBPSGD_i,1.85605,1.85602,1.8552499999999998,1.85785,1.85655,1.8563733333333332,1.856285,1.8562925,2700,2021-05-05 20:00:00
572,GBPSGD_i,1.8526799999999999,1.85533,1.8518599999999998,1.85748,1.85467,1.85489,1.855,1.8543374999999997,2712,2021-05-06 00:00:00
573,GBPSGD_i,1.85533,1.85657,1.85467,1.85657,1.85562,1.8559366666666666,1.8560949999999998,1.855785,6017,2021-05-06 04:00:00
574,GBPSGD_i,1.85657,1.8553,1.85508,1.85765,1.856365,1.8560100000000002,1.8558325,1.85615,9294,2021-05-06 08:00:00
575,GBPSGD_i,1.8553,1.85375,1.84768,1.85967,1.853675,1.8537,1.8537124999999999,1.8540999999999999,12536,2021-05-06 12:00:00
576,GBPSGD_i,1.85375,1.8509799999999998,1.8485399999999998,1.85447,1.851505,1.85133,1.8512425,1.8519349999999999,14074,2021-05-06 16:00:00
577,GBPSGD_i,1.85094,1.8506,1.8498700000000001,1.85221,1.85104,1.8508933333333335,1.8508200000000001,1.850905,4841,2021-05-06 20:00:00
578,GBPSGD_i,1.84882,1.85156,1.84813,1.8522699999999999,1.8502,1.8506533333333335,1.85088,1.850195,2386,2021-05-07 00:00:00
579,GBPSGD_i,1.85156,1.8505099999999999,1.85022,1.85274,1.85148,1.8511566666666666,1.850995,1.8512575,5115,2021-05-07 04:00:00
580,GBPSGD_i,1.8505099999999999,1.8519999999999999,1.84962,1.8540299999999998,1.8518249999999998,1.8518833333333333,1.8519125,1.85154,8593,2021-05-07 08:00:00
581,GBPSGD_i,1.85199,1.8516599999999999,1.84688,1.85381,1.850345,1.8507833333333332,1.8510024999999999,1.8510849999999999,12241,2021-05-07 12:00:00
582,GBPSGD_i,1.85162,1.85045,1.8486099999999999,1.8530799999999998,1.8508449999999999,1.8507133333333332,1.8506475,1.85094,18788,2021-05-07 16:00:00
583,GBPSGD_i,1.85045,1.85175,1.8502100000000001,1.85432,1.852265,1.8520933333333334,1.8520075,1.8516825,6394,2021-05-07 20:00:00
584,GBPSGD_i,1.85138,1.8582,1.84904,1.85924,1.8541400000000001,1.8554933333333334,1.85617,1.854465,4454,2021-05-10 00:00:00
585,GBPSGD_i,1.8582,1.85906,1.8564500000000002,1.86009,1.85827,1.8585333333333331,1.8586649999999998,1.85845,5147,2021-05-10 04:00:00
