,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
39,close,625,652,46,macds,178,107,6,16,0.04,2298,66,156,188,502,224,243,802,247,82,730,116,94,241,885,252,282,133,163,893,450,45,266,549,244,701,607,333,689,794,240,1149,1885,9,437,21,67,108,47,501,27,44,0.14,0.4,25,21,0.8,0.93,0.93,0.98,False,False,False,True,True,True,False,True,False,True,True,False,False,True,True,True,False,-1,True,False
40,OHLC/4,350,1455,29,macd,4,223,6,36,0.23,425,826,41,228,758,173,156,687,243,98,736,13,171,512,795,898,280,62,178,666,188,134,171,4,662,124,176,804,241,511,224,528,407,21,436,48,55,115,27,650,6,35,0.07,0.06,42,49,0.99,0.8,0.8,0.8,True,True,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,-1,True,False
41,close,113,188,37,macds,159,236,1,9,0.55,1715,804,3,167,116,175,5,668,39,80,248,201,94,732,450,60,54,38,831,350,104,58,409,960,335,398,755,793,266,774,253,1090,292,37,310,44,105,104,40,403,6,24,0.09,0.51,16,29,-0.13,1.08,0.38,1.15,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,True,-1,True,False
42,close,123,1401,21,macds,119,92,6,14,0.72,1795,382,137,227,850,185,151,692,216,211,60,7,205,676,807,589,344,218,862,812,359,75,722,478,323,266,113,653,835,747,359,736,1630,13,234,32,84,55,22,507,10,37,0.95,0.91,15,26,0.82,0.87,0.83,0.9,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,-1,True,False
43,HLC/3,231,1497,25,macd,18,61,6,44,0.06,2421,768,112,83,456,190,73,910,17,249,409,109,133,416,669,617,230,228,841,747,454,125,666,751,987,938,825,56,250,225,20,311,816,36,397,13,36,88,19,310,15,48,0.82,0.5,29,17,0.82,0.82,0.8,0.92,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,-1,True,False
44,OHLC/4,406,1342,20,macdh,179,25,6,2,0.66,1993,541,241,28,924,207,76,309,180,119,452,218,51,735,930,418,405,146,180,928,498,33,420,237,463,300,672,817,869,64,50,217,2148,46,14,26,58,208,29,414,30,33,0.19,0.53,14,17,0.93,0.86,0.93,0.87,False,True,True,True,False,False,False,False,True,False,False,False,True,False,True,True,True,-1,True,False
45,open,309,1325,20,macds,79,85,6,1,0.45,1107,947,144,83,12,102,217,263,32,226,82,105,23,288,816,624,346,180,117,876,254,130,707,280,236,137,410,142,875,983,314,1175,351,4,927,23,73,43,34,503,23,13,0.82,0.25,35,23,0.87,0.83,0.91,0.92,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,-1,True,False
46,low,557,1279,44,macd,53,38,6,5,0.43,140,853,224,147,95,81,106,386,15,185,186,177,176,92,622,434,201,29,140,124,258,242,450,419,472,687,166,661,655,598,156,1134,360,16,878,129,908,68,22,989,10,2,0.41,0.17,6,37,0.9,0.9,0.96,0.97,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,-1,True,False
47,close,338,711,13,macds,180,149,6,40,0.55,1743,462,116,156,688,144,204,164,240,229,291,250,84,519,791,961,397,102,164,644,231,218,578,71,667,640,87,112,487,758,194,706,2432,48,617,156,483,37,7,523,41,18,0.22,0.23,19,31,0.96,0.89,0.89,0.99,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,-1,True,False
48,OHLC/4,620,624,38,macds,117,96,6,11,0.97,1025,302,123,172,640,86,174,336,118,160,636,210,124,528,444,183,463,420,186,807,417,226,444,842,188,233,993,773,456,820,283,923,2409,35,984,17,46,122,25,565,44,47,0.11,0.2,45,3,0.8,0.83,0.9,0.98,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,-1,True,False
